mesh,intervention_type,interventions_normalized,Completed,Suspended,Terminated,197,199,200,201,202,n_gl
acute kidney injury,Drug,saline,3,,,,,,3,,3
acute kidney injury,Drug,atorvastatin,2,,,,,,2,,2
acute kidney injury,Drug,heparin,2,,,,,1,1,,2
acute kidney injury,Drug,isotonic saline,1,,1,,,,2,,2
acute kidney injury,Drug,normal saline,2,,,,,,2,,2
acute kidney injury,Drug,rosuvastatin,2,,,,,,2,,2
acute kidney injury,Drug,terlipressin,2,,,,,,1,1,2
acute kidney injury,placebo,placebo,2,,,,,,2,,2
acute pain,placebo,placebo,9,,1,,,1,9,,10
acute pain,Drug,morphine,5,,2,,,1,6,,7
acute pain,Drug,bupivacaine,6,,,,,,6,,6
acute pain,Drug,ketamine,4,,2,,,1,5,,6
acute pain,Drug,acetaminophen,4,,,,,,4,,4
acute pain,Drug,normal saline,4,,,,,,4,,4
acute pain,Drug,celecoxib,2,,1,,,1,2,,3
acute pain,Drug,ibuprofen,2,,1,,,,3,,3
acute pain,Drug,iv acetaminophen,2,,1,,,,3,,3
acute pain,Drug,liposomal bupivacaine,3,,,,,,3,,3
acute pain,Device,ultrasound,2,,,,,,2,,2
acute pain,Drug,buprenorphine,2,,,,,,2,,2
acute pain,Drug,fentanyl,1,,1,,,,2,,2
acute pain,Drug,fentanyl ev,2,,,,,,2,,2
acute pain,Drug,fentanyl sublingual,2,,,,,,2,,2
acute pain,Drug,gabapentin,2,,,,,,2,,2
acute pain,Drug,oxycodone,2,,,,,,2,,2
acute pain,Drug,zipsorâ®,2,,,,,,2,,2
acute pain,placebo,placebo ev,2,,,,,,2,,2
acute pain,placebo,placebo sublingual,2,,,,,,2,,2
adenocarcinoma,Drug,capecitabine,1,,1,,,,2,,2
adrenal insufficiency,Drug,hydrocortisone,1,,1,,,,2,,2
affective symptoms,Drug,seroquelâ®,2,,,,,,2,,2
aggression,placebo,placebo,4,,1,,,,5,,5
aggression,Drug,risperidone,3,,,,,,3,,3
aggression,Drug,amoxicillin,2,,,,,1,1,,2
aggression,Drug,metronidazole,2,,,,,1,1,,2
aggressive periodontitis,Drug,amoxicillin,2,,,,,1,1,,2
aggressive periodontitis,Drug,metronidazole,2,,,,,1,1,,2
aggressive periodontitis,placebo,placebo,2,,,,,,2,,2
agnosia,Drug,morphine,2,,1,,,2,1,,3
agnosia,placebo,placebo,2,,1,,,,3,,3
agnosia,Drug,paracetamol,1,,1,,,1,1,,2
albuminuria,Drug,valsartan,3,,,,,2,1,,3
albuminuria,Drug,amlodipine,2,,,,,1,1,,2
albuminuria,Drug,amlodipine/benazepril,2,,,,,1,1,,2
albuminuria,Drug,benazepril,2,,,,,1,1,,2
albuminuria,Drug,hydrochlorothiazide,2,,,,,1,1,,2
albuminuria,Drug,valsartan/hydrochlorothiazide,2,,,,,1,1,,2
albuminuria,placebo,placebo,2,,,,,1,1,,2
alcohol-related disorders,placebo,placebo,3,,,,,3,,,3
alcohol drinking,placebo,placebo,4,,,,,1,3,,4
alcohol drinking,Drug,naltrexone,2,,,,,1,1,,2
alcohol drinking,Drug,topiramate,2,,,,,,2,,2
alcoholism,placebo,placebo,28,,1,,,11,18,,29
alcoholism,Drug,naltrexone,12,,1,,,7,6,,13
alcoholism,Drug,acamprosate,5,,1,,,2,4,,6
alcoholism,Drug,quetiapine,4,,,,,2,2,,4
alcoholism,Drug,topiramate,4,,,,,,4,,4
alcoholism,Drug,baclofen,2,,,,,,2,,2
alcoholism,Drug,dutasteride,2,,,,,,2,,2
alcoholism,Drug,naltrexone (revia),2,,,,,2,,,2
alcoholism,Drug,naltrexone tablet,2,,,,,2,,,2
alcoholism,Drug,nicotine replacement patch,2,,,,,2,,,2
alcoholism,Drug,oral naltrexone,1,,1,,,,2,,2
alcoholism,Drug,selincroâ® 18 mg with continuous psychosocial support: cohort a,,,2,,,,2,,2
alcoholism,Drug,sertraline,2,,,,,1,1,,2
alcoholism,Drug,varenicline,1,,1,,,,2,,2
alkalosis,Drug,acetazolamide,2,,,,,1,1,,2
alkalosis,placebo,placebo,2,,,,,1,1,,2
alpha 1-antitrypsin deficiency,Biological,alpha1-proteinase inhibitor,3,,,,,1,2,,3
altitude sickness,placebo,placebo,3,,2,,,,5,,5
altitude sickness,Drug,acetazolamide,2,,1,,,,3,,3
alveolar bone loss,Biological,emdogainâ“‡(enamel matrix derivative),2,,,,,,2,,2
alzheimer disease,placebo,placebo,15,,,,,5,10,,15
alzheimer disease,Drug,memantine,12,,1,,,6,7,,13
alzheimer disease,Drug,donepezil,5,,,,,3,2,,5
alzheimer disease,Drug,rivastigmine transdermal patch,4,,,,,2,2,,4
alzheimer disease,Drug,galantamine,2,,1,,,1,2,,3
alzheimer disease,Drug,risperidone,3,,,,,,3,,3
alzheimer disease,Drug,aricept,1,,1,,,2,,,2
alzheimer disease,Drug,donepezil hcl,2,,,,,1,1,,2
alzheimer disease,Drug,donepezil hydrochloride,1,,1,,,2,,,2
alzheimer disease,Drug,egb 761â® (tanakanâ®),2,,,,,2,,,2
alzheimer disease,Drug,ena713,2,,,,,,2,,2
alzheimer disease,Drug,escitalopram,2,,,,,,2,,2
alzheimer disease,Drug,florbetapir (18f),2,,,,,,2,,2
alzheimer disease,Drug,simvastatin,2,,,,,1,1,,2
amenorrhea,Drug,prometriumâ® 300 mg,2,,,,,2,,,2
amenorrhea,Drug,prometriumâ® 400 mg,2,,,,,2,,,2
anemia,Drug,methoxy polyethylene glycol-epoetin beta [mircera],7,,2,,,3,6,,9
anemia,Drug,epoetin beta,3,,2,,,5,,,5
anemia,Drug,ferric carboxymaltose,4,,1,,,,5,,5
anemia,Drug,darbepoetin alfa,3,,,,,1,2,,3
anemia,Drug,ferrous sulfate,3,,,,,2,1,,3
anemia,Drug,methoxy polyethylene glycol-epoetin beta,3,,,,,1,2,,3
anemia,Dietary Supplement,cholecalciferol,1,,1,,,,2,,2
anemia,Drug,deferasirox,2,,,,,,2,,2
anemia,Drug,elemental iron (novaferrumâ®),2,,,,,,2,,2
anemia,Drug,epoetin alfa,1,,1,,,,2,,2
anemia,Drug,epoetin alpha,1,,1,,,1,1,,2
anemia,Drug,epoetin beta [neorecormon],2,,,,,1,1,,2
anemia,Drug,ferinject â®,,,2,,,,2,,2
anemia,Drug,"ferli-6â® (continental pharm co., ltd.)",2,,,,,,2,,2
anemia,Drug,ferrous glycine sulphate,2,,,,,,2,,2
anemia,Drug,ferrous sulfate  ,2,,,,,2,,,2
anemia,Drug,ferumoxytol,2,,,,,,2,,2
anemia,Drug,intravenous ferric carboxymaltose,2,,,,,,2,,2
anemia,Drug,iron sucrose,2,,,,,1,1,,2
anemia,Drug,iron sucrose (200 mg venoferâ®),2,,,,,2,,,2
anemia,Drug,"recombinant human erythropoietin (10,000 u eprexâ®)",2,,,,,2,,,2
anemia,Drug,"venoferâ® (vifor ag, st. gallen, switzerland)",2,,,,,,2,,2
anemia,Drug,vitamin c,2,,,,,,2,,2
anemia,placebo,placebo,1,,1,,,1,1,,2
"anemia, iron-deficiency",Drug,iron sucrose,4,1,,,,2,3,,5
"anemia, iron-deficiency",Drug,ferric carboxymaltose,3,,1,,,,4,,4
"anemia, iron-deficiency",Drug,ferrous sulfate,3,,1,,,2,2,,4
"anemia, iron-deficiency",placebo,placebo,4,,,,,,4,,4
"anemia, iron-deficiency",Drug,ferumoxytol,3,,,,,,3,,3
"anemia, iron-deficiency",Drug,elemental iron (novaferrumâ®),2,,,,,,2,,2
"anemia, iron-deficiency",Drug,ferinject â®,,,2,,,,2,,2
"anemia, iron-deficiency",Drug,ferric maltol 30 mg (feraccruâ®),,,2,,,,2,,2
"anemia, iron-deficiency",Drug,ferrous sulfate  ,2,,,,,2,,,2
"anemia, iron-deficiency",Drug,ferrous sulphate,2,,,,,,2,,2
"anemia, iron-deficiency",Drug,iron supplement,2,,,,,,2,,2
"anemia, iron-deficiency",Drug,sodium ferric gluconate,2,,,,,1,1,,2
"anemia, sickle cell",Drug,fentanyl citrate,2,,,,,,2,,2
"anemia, sickle cell",Drug,hydreaâ® (hydroxyurea ),2,,,,,,2,,2
"anemia, sickle cell",Drug,ibuprofen,,,2,,,1,1,,2
"anemia, sickle cell",Drug,normal saline,2,,,,,,1,1,2
aneurysm,Drug,sevoflurane,4,,,,,,4,,4
aneurysm,placebo,placebo,3,,1,,,1,3,,4
aneurysm,Biological,fresh frozen plasma,2,,,,,,2,,2
aneurysm,Device,gdcâ® coils for endovascular aneurysm occlusion,2,,,,,,2,,2
aneurysm,Device,gore excluderâ® bifurcated endoprosthesis-low permeability,2,,,,,2,,,2
aneurysm,Device,matrix 2â® coils for endovascular aneurysm occlusion,2,,,,,,2,,2
aneurysm,Drug,dexmedetomidine,1,,1,,,1,1,,2
aneurysm,Drug,octaplaslgâ®,2,,,,,,2,,2
aneurysm,Drug,propofol,2,,,,,,2,,2
angina pectoris,placebo,placebo,6,,,,,,6,,6
angina pectoris,Drug,ranolazine,4,,,,,,4,,4
angina pectoris,Drug,clopidogrel,2,,1,,,,3,,3
angina pectoris,Drug,crushed ticagrelor followed by morphine,2,,,,,,2,,2
angina pectoris,Drug,"ð¾ral intake of study drug capsules; study drug - cardionat â® (trimethylhydrazinium propionate dihydrate), oral capsules 250 mg",2,,,,,,2,,2
angina pectoris,Drug,danhong injection,2,,,,,,2,,2
angina pectoris,Drug,nicorandil,2,,,,,,2,,2
angina pectoris,Drug,pioglitazone,2,,,,,1,1,,2
angina pectoris,Drug,succinate metoprolol (betaloc zokâ®),2,,,,,,2,,2
angina pectoris,Other,standard medical care,2,,,,,,2,,2
"angina, stable",placebo,placebo,5,,1,,,,6,,6
"angina, stable",Drug,ranolazine,3,,,,,,3,,3
"angina, stable",Drug,atorvastatin,2,,,,,,2,,2
"angina, stable",Drug,febuxostat,1,,1,,,,2,,2
"angina, stable",Drug,nicorandil,2,,,,,,2,,2
"angina, stable",Drug,succinate metoprolol (betaloc zokâ®),2,,,,,,2,,2
"angina, unstable",Drug,crushed ticagrelor followed by morphine,2,,,,,,2,,2
"angina, unstable",Drug,ticagrelor,1,,1,,,,2,,2
"angina, unstable",placebo,placebo,2,,,,,1,1,,2
angioedema,Drug,icatibant,1,,1,,,,2,,2
ankle injuries,placebo,placebo,3,,,,,,3,,3
anorexia,placebo,placebo,3,,,,,3,,,3
anorexia,Drug,olanzapine,2,,,,,2,,,2
anorexia nervosa,placebo,placebo,3,,,,,3,,,3
anorexia nervosa,Drug,olanzapine,2,,,,,2,,,2
anthrax,Biological,biothraxâ®,2,,,,,,2,,2
anxiety disorders,placebo,placebo,22,,4,,,8,18,,26
anxiety disorders,Drug,escitalopram,5,,,,,4,1,,5
anxiety disorders,Drug,midazolam,4,,1,,,1,4,,5
anxiety disorders,Drug,sertraline,2,,3,,,,5,,5
anxiety disorders,Drug,quetiapine,2,,2,,,2,2,,4
anxiety disorders,Drug,duloxetine,2,,,,,,2,,2
anxiety disorders,Drug,fluoxetine,2,,,,,,2,,2
anxiety disorders,Drug,paroxetine,2,,,,,1,1,,2
anxiety disorders,Drug,pregabalin,2,,,,,,2,,2
anxiety disorders,Drug,ssri,2,,,,,1,1,,2
anxiety disorders,Drug,ziprasidone,1,,1,,,1,1,,2
aortic aneurysm,placebo,placebo,3,,,,,1,2,,3
aortic aneurysm,Device,gore excluderâ® bifurcated endoprosthesis-low permeability,2,,,,,2,,,2
aortic aneurysm,Drug,octaplaslgâ®,2,,,,,,2,,2
aortic aneurysm,Drug,propofol,2,,,,,,2,,2
aortic aneurysm,Drug,sevoflurane,2,,,,,,2,,2
"aortic aneurysm, abdominal",placebo,placebo,3,,,,,1,2,,3
"aortic aneurysm, abdominal",Device,gore excluderâ® bifurcated endoprosthesis-low permeability,2,,,,,2,,,2
"aortic aneurysm, thoracic",Drug,dexmedetomidine,1,,1,,,1,1,,2
"aortic aneurysm, thoracic",Drug,octaplaslgâ®,2,,,,,,2,,2
aortic diseases,Drug,propofol,2,,,,,,2,,2
aortic diseases,Drug,sevoflurane,2,,,,,,2,,2
aortic valve stenosis,placebo,placebo,,,3,,,,3,,3
aortic valve stenosis,Drug,tadalafil,,,2,,,,2,,2
apnea,placebo,placebo,7,,2,,,3,6,,9
apnea,Device,cpap,3,,2,,,1,4,,5
apnea,Device,continuous positive airway pressure (cpap),1,,1,,,2,,,2
apnea,Drug,acetazolamide,2,,,,,2,,,2
appendicitis,Drug,metronidazole,2,,,,,2,,,2
appendicitis,Drug,tigecycline,2,,,,,2,,,2
"arrhythmias, cardiac",placebo,placebo,5,,,,,1,4,,5
"arrhythmias, cardiac",Device,cartofinderâ„¢ device with cartoâ® 3 system v5 navigation,2,,,,,,2,,2
"arrhythmias, cardiac",Drug,incremental,2,,,,,,2,,2
"arrhythmias, cardiac",Procedure,catheter ablation,,,2,,,,2,,2
arterial occlusive diseases,Device,stent,2,,1,,,3,,,3
arterial occlusive diseases,placebo,placebo,2,,1,,,1,2,,3
arterial occlusive diseases,Device,angioplasty,1,,1,,,2,,,2
arteriosclerosis,Drug,aspirin,3,,1,,,2,2,,4
arteriosclerosis,placebo,placebo,2,,1,,,3,,,3
arteriosclerosis,Device,taxus libertã© stent system,2,,,,,2,,,2
arteriosclerosis,Device,xience primeâ„¢,2,,,,,,2,,2
arteriosclerosis,Device,xience vâ®,2,,,,,,2,,2
arteriosclerosis,Device,xience vâ®/ xience primeâ„¢,2,,,,,,2,,2
arthralgia,Drug,buprenorphine transdermal patch,2,,,,,,2,,2
arthritis,Drug,methotrexate,33,,4,,,7,30,,37
arthritis,placebo,placebo,23,,2,,,5,20,,25
arthritis,Drug,etanercept,18,,3,,,7,14,,21
arthritis,Drug,adalimumab,10,,2,,,2,10,,12
arthritis,Drug,actemra],9,,2,,,,11,,11
arthritis,Drug,tocilizumab [roactemra,9,,2,,,,11,,11
arthritis,Drug,tocilizumab [roactemra/actemra],9,,2,,,,11,,11
arthritis,Drug,tocilizumab,9,,1,,,,10,,10
arthritis,Biological,adalimumab,9,,,,,1,8,,9
arthritis,Drug,rituxan],6,,1,,,1,6,,7
arthritis,Drug,rituximab [mabthera,6,,1,,,1,6,,7
arthritis,Drug,rituximab [mabthera/rituxan],6,,1,,,1,6,,7
arthritis,Drug,rituximab,6,,,,,1,5,,6
arthritis,Drug,celecoxib,5,,,,,1,4,,5
arthritis,Drug,infliximab,5,,,,,2,3,,5
arthritis,Drug,sulfasalazine,4,,1,,,1,4,,5
arthritis,Device,depuy asrâ„¢ hip system,,,4,,,,4,,4
arthritis,Device,depuy proximaâ„¢ hip,,,4,,,,4,,4
arthritis,Drug,hydroxychloroquine,4,,,,,1,3,,4
arthritis,Drug,leflunomide,3,,1,,,,4,,4
arthritis,Drug,methylprednisolone,4,,,,,,4,,4
arthritis,Drug,tacrolimus,4,,,,,2,2,,4
arthritis,Drug,acetaminophen,3,,,,,1,2,,3
arthritis,Drug,naproxen,3,,,,,1,2,,3
arthritis,Biological,certolizumab pegol,2,,,,,,2,,2
arthritis,Biological,certolizumab pegol (czp),2,,,,,,2,,2
arthritis,Biological,etanercept,1,,1,,,,2,,2
arthritis,Biological,tocilizumab,2,,,,,,2,,2
arthritis,Device,pinnacleâ„¢ acetabular system,,,2,,,2,,,2
arthritis,Device,smartsetâ® ghv bone cement,2,,,,,,2,,2
arthritis,Device,smartsetâ® hv bone cement,2,,,,,,2,,2
arthritis,Drug,abatacept,2,,,,,,2,,2
arthritis,Drug,baricitinib,,2,,,,,,2,2
arthritis,Drug,buprenorphine transdermal patch,2,,,,,,2,,2
arthritis,Drug,celbestaâ®,2,,,,,,2,,2
arthritis,Drug,celebrexâ®,2,,,,,,2,,2
arthritis,Drug,certolizumab pegol,2,,,,,,2,,2
arthritis,Drug,desflurane,2,,,,,,2,,2
arthritis,Drug,diclofenac,2,,,,,1,1,,2
arthritis,Drug,folic acid,2,,,,,,2,,2
arthritis,Drug,lodotraâ®,2,,,,,,2,,2
arthritis,Drug,methotrexate (mtx),2,,,,,,2,,2
arthritis,Drug,milnacipran,2,,,,,,2,,2
arthritis,Drug,nsaid,2,,,,,2,,,2
arthritis,Drug,prednisone,2,,,,,,2,,2
arthritis,Drug,propofol,2,,,,,,2,,2
arthritis,Drug,tnf inhibitor,,2,,,,,,2,2
arthritis,placebo,celbestaâ® placebo,2,,,,,,2,,2
arthritis,placebo,celebrexâ® placebo,2,,,,,,2,,2
arthritis,placebo,placebo to adalimumab,1,,1,,,,2,,2
arthritis,placebo,placebo to tocilizumab,1,,1,,,,2,,2
"arthritis, psoriatic",Drug,etanercept,4,,,,,4,,,4
"arthritis, psoriatic",Drug,adalimumab,2,,,,,,2,,2
"arthritis, psoriatic",Drug,infliximab,2,,,,,1,1,,2
"arthritis, rheumatoid",Drug,methotrexate,31,,4,,,6,29,,35
"arthritis, rheumatoid",placebo,placebo,22,,2,,,5,19,,24
"arthritis, rheumatoid",Drug,etanercept,14,,3,,,3,14,,17
"arthritis, rheumatoid",Drug,actemra],9,,2,,,,11,,11
"arthritis, rheumatoid",Drug,tocilizumab [roactemra,9,,2,,,,11,,11
"arthritis, rheumatoid",Drug,tocilizumab [roactemra/actemra],9,,2,,,,11,,11
"arthritis, rheumatoid",Drug,adalimumab,8,,2,,,2,8,,10
"arthritis, rheumatoid",Drug,tocilizumab,8,,1,,,,9,,9
"arthritis, rheumatoid",Biological,adalimumab,8,,,,,1,7,,8
"arthritis, rheumatoid",Drug,rituxan],6,,1,,,1,6,,7
"arthritis, rheumatoid",Drug,rituximab [mabthera,6,,1,,,1,6,,7
"arthritis, rheumatoid",Drug,rituximab [mabthera/rituxan],6,,1,,,1,6,,7
"arthritis, rheumatoid",Drug,rituximab,6,,,,,1,5,,6
"arthritis, rheumatoid",Drug,hydroxychloroquine,4,,,,,1,3,,4
"arthritis, rheumatoid",Drug,leflunomide,3,,1,,,,4,,4
"arthritis, rheumatoid",Drug,methylprednisolone,4,,,,,,4,,4
"arthritis, rheumatoid",Drug,sulfasalazine,4,,,,,1,3,,4
"arthritis, rheumatoid",Drug,tacrolimus,4,,,,,2,2,,4
"arthritis, rheumatoid",Drug,celecoxib,3,,,,,1,2,,3
"arthritis, rheumatoid",Drug,infliximab,3,,,,,1,2,,3
"arthritis, rheumatoid",Biological,certolizumab pegol,2,,,,,,2,,2
"arthritis, rheumatoid",Biological,certolizumab pegol (czp),2,,,,,,2,,2
"arthritis, rheumatoid",Biological,etanercept,1,,1,,,,2,,2
"arthritis, rheumatoid",Biological,tocilizumab,2,,,,,,2,,2
"arthritis, rheumatoid",Drug,abatacept,2,,,,,,2,,2
"arthritis, rheumatoid",Drug,baricitinib,,2,,,,,,2,2
"arthritis, rheumatoid",Drug,buprenorphine transdermal patch,2,,,,,,2,,2
"arthritis, rheumatoid",Drug,celbestaâ®,2,,,,,,2,,2
"arthritis, rheumatoid",Drug,celebrexâ®,2,,,,,,2,,2
"arthritis, rheumatoid",Drug,certolizumab pegol,2,,,,,,2,,2
"arthritis, rheumatoid",Drug,diclofenac,2,,,,,1,1,,2
"arthritis, rheumatoid",Drug,folic acid,2,,,,,,2,,2
"arthritis, rheumatoid",Drug,lodotraâ®,2,,,,,,2,,2
"arthritis, rheumatoid",Drug,milnacipran,2,,,,,,2,,2
"arthritis, rheumatoid",Drug,naproxen,2,,,,,1,1,,2
"arthritis, rheumatoid",Drug,prednisone,2,,,,,,2,,2
"arthritis, rheumatoid",Drug,tnf inhibitor,,2,,,,,,2,2
"arthritis, rheumatoid",placebo,celbestaâ® placebo,2,,,,,,2,,2
"arthritis, rheumatoid",placebo,celebrexâ® placebo,2,,,,,,2,,2
"arthritis, rheumatoid",placebo,placebo to adalimumab,1,,1,,,,2,,2
"arthritis, rheumatoid",placebo,placebo to tocilizumab,1,,1,,,,2,,2
ascites,placebo,placebo,3,,,,,1,2,,3
ascites,Drug,albumin,2,,,,,,2,,2
asperger syndrome,placebo,placebo,2,,,,,,2,,2
aspergillosis,Drug,anidulafungin,1,,1,,,2,,,2
aspergillosis,Drug,itraconazole,1,,1,,,,2,,2
aspergillosis,Drug,micafungin,,,2,,,,2,,2
aspergillosis,Drug,voriconazole,1,,1,,,2,,,2
asthma,placebo,placebo,42,1,9,,1,23,27,1,52
asthma,Drug,salmeterol,16,,3,,,13,6,,19
asthma,Drug,montelukast,15,,2,,,8,9,,17
asthma,Drug,fluticasone propionate,15,,1,,,14,2,,16
asthma,Drug,omalizumab,11,1,2,,,7,6,1,14
asthma,Drug,fluticasone,11,,1,,,4,8,,12
asthma,Drug,budesonide,9,,2,,,7,4,,11
asthma,Drug,salbutamol,8,,1,,1,4,4,,9
asthma,Drug,albuterol,5,,,,1,1,3,,5
asthma,Drug,ciclesonide,5,,,,,2,3,,5
asthma,Drug,formoterol,2,,3,,,1,4,,5
asthma,Drug,montelukast sodium,5,,,,,5,,,5
asthma,Drug,seretide,5,,,,,2,3,,5
asthma,Drug,50mcg,4,,,,,2,2,,4
asthma,Drug,fluticasone propionate/salmeterol,3,,1,,,4,,,4
asthma,Biological,omalizumab,3,,,,,1,2,,3
asthma,Drug,50 mcg bid,3,,,,,2,1,,3
asthma,Drug,dexamethasone,2,,1,,,,3,,3
asthma,Drug,fp,3,,,,,1,2,,3
asthma,Drug,ipratropium bromide,2,,1,,1,2,,,3
asthma,Drug,montelukast 10mg,3,,,,,,3,,3
asthma,Drug,prednisolone,3,,,,,,2,1,3
asthma,Drug,prednisone,2,,1,,,,3,,3
asthma,Drug,theophylline,2,,1,,,1,2,,3
asthma,Drug,xolair,3,,,,,3,,,3
asthma,Behavioral,education,1,,1,,,2,,,2
asthma,Device,diskusâ„¢ powder inhalers,2,,,,,2,,,2
asthma,Device,ellipta dpi,2,,,,,,2,,2
asthma,Device,hudson rciâ® nebulizer,2,,,,,,2,,2
asthma,Device,nebutechâ® hdnâ® nebulizer,2,,,,,,2,,2
asthma,Drug,25 mcg,2,,,,,,2,,2
asthma,Drug,advair 100,2,,,,,,2,,2
asthma,Drug,advair 100/50mcg,2,,,,,,2,,2
asthma,Drug,advair 250,2,,,,,,2,,2
asthma,Drug,advair 250/50mcg,2,,,,,,2,,2
asthma,Drug,beclomethasone,2,,,,,,2,,2
asthma,Drug,cetirizine,2,,,,,,2,,2
asthma,Drug,flovent 100mcg,2,,,,,,2,,2
