mesh,intervention_type,interventions_normalized,Completed,Suspended,Terminated,198,199,200,201,202,203,n_gl
"adenocarcinoma, mucinous",Drug,leucovorin calcium,2,,,,,1,1,,,2
"adenocarcinoma, mucinous",Drug,oxaliplatin,2,,,,,1,1,,,2
"adenocarcinoma, mucinous",Other,laboratory biomarker analysis,2,,,,,1,1,,,2
adenoma,placebo,placebo,5,,2,,1,1,5,,,7
adenoma,Drug,cabergoline,2,,,,,,2,,,2
adenoma,Drug,celecoxib,2,,,,,1,1,,,2
"adenoma, islet cell",placebo,placebo,1,,1,,,1,,1,,2
adenomatous polyposis coli,placebo,placebo,2,,1,,,1,2,,,3
adenomatous polyposis coli,Drug,celecoxib,1,,1,,,,2,,,2
"adrenal hyperplasia, congenital",Drug,chronocortâ®,2,2,,,,,2,2,,4
adrenal insufficiency,Drug,infacortâ®,4,,,,,,4,,,4
adrenocortical hyperfunction,Drug,chronocortâ®,2,,,,,,2,,,2
adrenogenital syndrome,Drug,chronocortâ®,2,2,,,,,2,2,,4
afibrinogenemia,Drug,haemocomplettanâ® p,2,,,,,,2,,,2
aggression,Procedure,full-mouth ultrasonic debridement,3,,,,,,3,,,3
aggression,Drug,gemcitabine,1,,1,,,,2,,,2
aggression,Drug,rituximab,1,,1,,,,2,,,2
aggression,placebo,placebo,2,,,,,1,1,,,2
aggressive periodontitis,Procedure,full-mouth ultrasonic debridement,3,,,,,,3,,,3
agnosia,Device,luer-lock applicator,2,,,,,,2,,,2
agnosia,Device,vial access device,2,,,,,,2,,,2
agnosia,Drug,bupivacaine hcl,2,,,,,,2,,,2
agnosia,Drug,htx-011,2,,,,,,2,,,2
agnosia,placebo,saline placebo,2,,,,,,2,,,2
albuminuria,placebo,placebo,3,,,,,,3,,,3
albuminuria,Drug,paricalcitol,2,,,,,,2,,,2
alcohol drinking,Drug,naltrexone,2,,,,,,2,,,2
alcohol drinking,placebo,placebo,1,,1,,,,2,,,2
alcoholism,placebo,placebo,26,,1,,,7,20,,,27
alcoholism,Drug,naltrexone,9,,,,,4,5,,,9
alcoholism,Drug,baclofen,5,,,,,1,4,,,5
alcoholism,Drug,medisorb naltrexone 380 mg,4,,1,,,5,,,,5
alcoholism,Drug,medisorb naltrexone 190 mg,3,,,,,3,,,,3
alcoholism,Drug,nalmefene,3,,,,,,3,,,3
alcoholism,Behavioral,cbt,2,,,,,2,,,,2
alcoholism,Behavioral,counseling,2,,,,,1,1,,,2
alcoholism,Device,repetitive transcranial magnetic stimulation,2,,,,,,2,,,2
alcoholism,Drug,cognitive behavioral therapy,2,,,,,1,1,,,2
alcoholism,Drug,day,2,,,,,,2,,,2
alcoholism,Drug,gabapentin,2,,,,,1,1,,,2
alcoholism,Drug,intranasal oxytocin spray,2,,,,,,2,,,2
alcoholism,Drug,nalmefene hydrochloride,2,,,,,,2,,,2
alcoholism,Drug,varenicline,1,,1,,,,2,,,2
alcoholism,Other,brief intervention,2,,,,,1,1,,,2
alcoholism,Other,intranasal spray without oxytocin,2,,,,,,2,,,2
alopecia,placebo,placebo,3,,,,,,3,,,3
alopecia,Drug,minoxidil,2,,,,,2,,,,2
alopecia,placebo,finasteride placebo,2,,,,,,2,,,2
alopecia areata,placebo,placebo,3,,,,,,3,,,3
alopecia areata,Drug,minoxidil,2,,,,,2,,,,2
alopecia areata,placebo,finasteride placebo,2,,,,,,2,,,2
alpha-mannosidosis,Drug,lamazym,2,,,,,,2,,,2
alpha 1-antitrypsin deficiency,Biological,liquid alphaâ‚-pi,2,,,,,,2,,,2
alpha 1-antitrypsin deficiency,Drug,alpha-1 proteinase inhibitor (human),2,,,,,2,,,,2
altitude sickness,placebo,placebo,3,,,,,,3,,,3
alveolar bone loss,placebo,placebo,2,,,,,,2,,,2
alzheimer disease,placebo,placebo,42,,19,,,13,48,,,61
alzheimer disease,Drug,memantine,5,,2,,,2,5,,,7
alzheimer disease,Drug,dimebon,3,,2,,,1,4,,,5
alzheimer disease,Drug,bapineuzumab 0.5 mg,2,,2,,,,4,,,4
alzheimer disease,Drug,bapineuzumab 0.5 mg/kg,2,,2,,,,4,,,4
alzheimer disease,Drug,day,3,,1,,,1,3,,,4
alzheimer disease,Drug,kg,2,,2,,,,4,,,4
alzheimer disease,Drug,aripiprazole,3,,,,,3,,,,3
alzheimer disease,Drug,bapineuzumab,,,3,,,,3,,,3
alzheimer disease,Drug,bapineuzumab 1.0 m,2,,1,,,,3,,,3
alzheimer disease,Drug,bapineuzumab 1.0 m/kg,2,,1,,,,3,,,3
alzheimer disease,Drug,donepezil,2,,1,,,2,1,,,3
alzheimer disease,Drug,florbetapir f 18,3,,,,,,3,,,3
alzheimer disease,Drug,idalopirdine,3,,,,,,3,,,3
alzheimer disease,Drug,lanabecestat,,,3,,,,3,,,3
alzheimer disease,Drug,solanezumab,,,3,,,,3,,,3
alzheimer disease,Drug,18f-av-1451,2,,,,,,2,,,2
alzheimer disease,Drug,aducanumab (biib037),,,2,,,,2,,,2
alzheimer disease,Drug,avp-786,2,,,,,,2,,,2
alzheimer disease,Drug,"brexpiprazole, opc-34712",2,,,,,,2,,,2
alzheimer disease,Drug,crenezumab,2,,,,,,2,,,2
alzheimer disease,Drug,drug: evp-6124,,,2,,,,2,,,2
alzheimer disease,Drug,e2020,2,,,,,,2,,,2
alzheimer disease,Drug,estrogen,2,,,,1,1,,,,2
alzheimer disease,Drug,insulin (humulinâ® r u-100),2,,,,,,2,,,2
alzheimer disease,Drug,ly2062430,2,,,,,,2,,,2
alzheimer disease,Drug,ly450139,2,,,,,,2,,,2
alzheimer disease,Drug,pioglitazone,,,2,,,,2,,,2
alzheimer disease,Drug,rivastigmine transdermal patch,2,,,,,2,,,,2
alzheimer disease,Drug,rosiglitazone xr,,,2,,,2,,,,2
alzheimer disease,Drug,xaliproden (sr57746a),2,,,,,2,,,,2
alzheimer disease,placebo,placebo control,2,,,,,,2,,,2
amblyopia,Device,eye patch,5,,,,,4,1,,,5
amblyopia,Drug,atropine,4,,1,,,4,1,,,5
amblyopia,Device,patching,2,,2,,,4,,,,4
amblyopia,Procedure,near activities,3,,1,,,4,,,,4
amblyopia,Device,plano lens,2,,,,,1,1,,,2
amyloid neuropathies,placebo,placebo,3,,,,,1,2,,,3
amyloid neuropathies,Drug,fx-1006a,2,,,,,2,,,,2
amyloid neuropathies,Drug,sterile normal saline (0.9% nacl),2,,,,,,2,,,2
"amyloid neuropathies, familial",placebo,placebo,3,,,,,1,2,,,3
"amyloid neuropathies, familial",Drug,fx-1006a,2,,,,,2,,,,2
"amyloid neuropathies, familial",Drug,sterile normal saline (0.9% nacl),2,,,,,,2,,,2
amyloidosis,placebo,placebo,6,,1,,,1,6,,,7
amyloidosis,Drug,melphalan,3,,1,,,,4,,,4
amyloidosis,Drug,bortezomib,2,,1,,,,3,,,3
amyloidosis,Drug,dexamethasone,3,,,,,,3,,,3
amyloidosis,Biological,filgrastim,2,,,,,,2,,,2
amyloidosis,Drug,[18f] flutemetamol,2,,,,,,2,,,2
amyloidosis,Drug,canakinumab,2,,,,,,2,,,2
amyloidosis,Drug,fx-1006a,2,,,,,2,,,,2
amyloidosis,Drug,sterile normal saline (0.9% nacl),2,,,,,,2,,,2
amyloidosis,Drug,tafamidis,2,,,,,,2,,,2
"amyloidosis, familial",Drug,sterile normal saline (0.9% nacl),2,,,,,,2,,,2
amyotrophic lateral sclerosis,placebo,placebo,11,,2,,,4,9,,,13
amyotrophic lateral sclerosis,Drug,mci-186,4,,,,,3,1,,,4
amyotrophic lateral sclerosis,Drug,riluzole,3,,1,,,2,2,,,4
amyotrophic lateral sclerosis,placebo,placebo of mci-186,3,,,,,3,,,,3
amyotrophic lateral sclerosis,Device,phenique nerve stimulation neurxâ„¢ (synapse biomedical),,,2,,,,2,,,2
amyotrophic lateral sclerosis,Drug,dexpramipexole,1,,1,,,,2,,,2
amyotrophic lateral sclerosis,Drug,e0302 (mecobalamin),2,,,,,,2,,,2
amyotrophic lateral sclerosis,Drug,tirasemtiv,2,,,,,,2,,,2
anemia,Drug,darbepoetin alfa,30,,5,,,20,15,,,35
anemia,placebo,placebo,24,1,5,,,12,17,1,,30
anemia,Drug,methoxy polyethylene glycol-epoetin beta [mircera],16,,2,,,9,9,,,18
anemia,Drug,epoetin alfa,15,,2,,,10,7,,,17
anemia,Drug,ferric carboxymaltose,9,1,1,,,4,6,1,,11
anemia,Drug,methoxy polyethylene glycol-epoetin beta,9,,2,,,5,6,,,11
anemia,Drug,roxadustat,11,,,,,,11,,,11
anemia,Drug,ferrous sulfate,7,1,1,,,4,4,1,,9
anemia,Drug,ferric carboxymaltose (fcm),7,,,,,5,2,,,7
anemia,Drug,ferumoxytol,4,,3,,,,7,,,7
anemia,Drug,epoetin beta,6,,,,,4,2,,,6
anemia,Biological,epoetin alfa,5,,,,,5,,,,5
anemia,Drug,ferric derisomaltose,5,,,,,,5,,,5
anemia,Drug,ferrous sulfate  ,4,,1,,,3,2,,,5
anemia,Drug,hydroxyurea,3,,2,,1,1,3,,,5
anemia,Drug,iron isomaltoside,5,,,,,,5,,,5
anemia,Drug,iron isomaltoside/ferric derisomaltose,5,,,,,,5,,,5
anemia,Drug,iron sucrose,5,,,,,1,4,,,5
anemia,Drug,molidustat (bay85-3934),5,,,,,,5,,,5
anemia,Drug,oral iron,3,,2,,,2,3,,,5
anemia,Drug,cyclophosphamide,4,,,,,2,2,,,4
anemia,Drug,ferinject â® (ferric carboxymaltose),2,,2,,,4,,,,4
anemia,Drug,fg-4592,4,,,,,,4,,,4
anemia,Drug,mt-6548,4,,,,,,4,,,4
anemia,Drug,peginesatide,4,,,,,4,,,,4
anemia,Biological,filgrastim,3,,,,,3,,,,3
anemia,Drug,beta,3,,,,,3,,,,3
anemia,Drug,epoetin alfa/beta,3,,,,,3,,,,3
anemia,Drug,iron sulphate,3,,,,,,3,,,3
anemia,Drug,standard medical care (smc),3,,,,,3,,,,3
anemia,Drug,busulfan,2,,,,,1,1,,,2
anemia,Drug,cinnapoietinâ®,2,,,,,,2,,,2
anemia,Drug,cytarabine,2,,,,,2,,,,2
anemia,Drug,daunorubicin hydrochloride,2,,,,,2,,,,2
anemia,Drug,dexamethasone,2,,,,,2,,,,2
anemia,Drug,epoetin,2,,,,,2,,,,2
anemia,Drug,eprexâ®,2,,,,,,2,,,2
anemia,Drug,"erypoâ®, janssen-cilag",2,,,,,2,,,,2
anemia,Drug,"erypoâ®, janssen-cilag, solution for injection (s.c.)",2,,,,,2,,,,2
anemia,Drug,etoposide,2,,,,,1,1,,,2
anemia,Drug,ferinjectâ®,2,,,,,,2,,,2
anemia,Drug,ferric maltol,2,,,,,,2,,,2
anemia,Drug,ferric maltol 30 mg (feraccruâ®),,,2,,,,,2,,2
anemia,Drug,ferrous sulphate,2,,,,,1,1,,,2
anemia,Drug,fludarabine phosphate,2,,,,,1,1,,,2
anemia,Drug,iron,2,,,,,,2,,,2
anemia,Drug,iron dextran,2,,,,,,2,,,2
anemia,Drug,iron isomaltoside 1000 (monoferâ®),2,,,,,,2,,,2
anemia,Drug,iron sucrose (venofer),2,,,,,,2,,,2
anemia,Drug,iron sucrose (venoferâ®),2,,,,,,2,,,2
anemia,Drug,jr-131,2,,,,,,2,,,2
anemia,Drug,methoxy polyethylene glycol-epoetin beta (c.e.r.a.),1,,1,,,1,1,,,2
anemia,Drug,methoxy polyethylene glycol-epoetin beta [c.e.r.a.],2,,,,,1,1,,,2
anemia,Drug,monofer,2,,,,,,2,,,2
anemia,Drug,normal saline,2,,,,,,2,,,2
anemia,Drug,normal saline (0.9%),1,,1,,,2,,,,2
anemia,Drug,rituximab (mabtheraâ®),2,,,,,,2,,,2
anemia,Drug,venofer,2,,,,,2,,,,2
anemia,Drug,z-213,2,,,,,,2,,,2
anemia,placebo,placebo oral capsule,2,,,,,,2,,,2
