ArticleType,Article_Count
"Clinical Trial, Phase II|Clinical Trial, Phase III|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase II|Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial",1
"Clinical Trial, Phase II|Controlled Clinical Trial|Journal Article",1
"Clinical Trial, Phase II|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Video-Audio Media",1
"Clinical Trial, Phase III|Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase III|Comparative Study|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase III|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, U.S. Gov't, P.H.S.",1
"Clinical Trial, Phase III|Letter|Randomized Controlled Trial",1
"Clinical Trial|Clinical Trial, Phase I|Journal Article",1
"Clinical Trial|Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
Clinical Trial|Controlled Clinical Trial|Journal Article,1
Clinical Trial|Journal Article|Multicenter Study,1
Clinical Trial|Journal Article|Multicenter Study|Observational Study,1
"Clinical Trial|Journal Article|Multicenter Study|Observational Study|Research Support, Non-U.S. Gov't",1
Clinical Trial|Journal Article|Observational Study,1
Clinical Trial|Journal Article|Randomized Controlled Trial,1
"Clinical Trial|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
"Clinical Trial|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, P.H.S.",1
"Clinical Trial|Journal Article|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, Non-P.H.S.|Research Support, U.S. Gov't, P.H.S.",1
"Clinical Trial|Letter|Multicenter Study|Research Support, N.I.H., Extramural",1
Comment|Editorial,1
Comparative Study|Evaluation Study|Journal Article,1
Comparative Study|Journal Article|Multicenter Study,1
Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial,1
"Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
"Comparative Study|Journal Article|Observational Study|Research Support, Non-U.S. Gov't",1
Comparative Study|Journal Article|Practice Guideline|Review,1
"Comparative Study|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
"Comparative Study|Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
"Comparative Study|Journal Article|Research Support, N.I.H., Intramural",1
"Comparative Study|Journal Article|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, Non-P.H.S.",1
"Comparative Study|Journal Article|Research Support, Non-U.S. Gov't|Validation Study",1
Comparative Study|Journal Article|Review,1
Comparative Study|Journal Article|Validation Study,1
Comparative Study|Letter,1
Comparative Study|Letter|Meta-Analysis|Review,1
Comparative Study|Letter|Randomized Controlled Trial,1
"Comparative Study|Letter|Research Support, N.I.H., Intramural|Research Support, Non-U.S. Gov't",1
"Comparative Study|Letter|Research Support, Non-U.S. Gov't",1
Controlled Clinical Trial|Journal Article,1
Editorial|Guideline,1
"Editorial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
"Editorial|Research Support, Non-U.S. Gov't",1
Editorial|Review,1
"English Abstract|Journal Article|Research Support, Non-U.S. Gov't",1
"Evaluation Study|Journal Article|Research Support, U.S. Gov't, P.H.S.",1
Evaluation Study|Letter,1
Historical Article|Journal Article|Meta-Analysis,1
"Historical Article|Journal Article|Research Support, Non-U.S. Gov't|Review",1
Journal Article|Meta-Analysis,1
"Journal Article|Meta-Analysis|Research Support, Non-U.S. Gov't|Review",1
"Journal Article|Meta-Analysis|Research Support, U.S. Gov't, Non-P.H.S.|Research Support, U.S. Gov't, P.H.S.",1
Journal Article|Meta-Analysis|Systematic Review,1
"Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
"Journal Article|Multicenter Study|Research Support, N.I.H., Extramural",1
"Journal Article|Multicenter Study|Research Support, N.I.H., Extramural|Research Support, U.S. Gov't, P.H.S.",1
"Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, P.H.S.",1
Journal Article|Observational Study|Retracted Publication,1
"Journal Article|Practice Guideline|Research Support, Non-U.S. Gov't",1
Journal Article|Randomized Controlled Trial|Retracted Publication,1
"Journal Article|Research Support, N.I.H., Extramural|Research Support, N.I.H., Intramural|Review",1
"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, P.H.S.",1
"Journal Article|Research Support, N.I.H., Extramural|Research Support, U.S. Gov't, Non-P.H.S.",1
"Journal Article|Research Support, N.I.H., Extramural|Research Support, U.S. Gov't, P.H.S.",1
"Journal Article|Research Support, N.I.H., Extramural|Research Support, U.S. Gov't, P.H.S.|Review",1
"Journal Article|Research Support, N.I.H., Intramural",1
"Journal Article|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, P.H.S.|Review",1
"Journal Article|Review|Research Support, N.I.H., Extramural",1
Journal Article|Video-Audio Media,1
"Letter|Research Support, N.I.H., Extramural",1
"Letter|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
"Letter|Research Support, Non-U.S. Gov't|Comment",1
"News|Research Support, Non-U.S. Gov't",1
Published Erratum,1
