ArticleType,Article_Count
"Clinical Trial, Phase II|Clinical Trial, Phase III|Comparative Study|Letter|Randomized Controlled Trial",1
"Clinical Trial, Phase II|Clinical Trial, Phase III|Journal Article|Multicenter Study|Randomized Controlled Trial",1
"Clinical Trial, Phase II|Clinical Trial, Phase III|Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase II|Clinical Trial, Phase III|Journal Article|Randomized Controlled Trial",1
"Clinical Trial, Phase II|Controlled Clinical Trial|Journal Article",1
"Clinical Trial, Phase II|Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial",1
"Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural",1
"Clinical Trial, Phase II|Journal Article|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase III|Comparative Study|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase III|Journal Article|Multicenter Study|Randomized Controlled Trial",1
"Clinical Trial, Phase III|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase III|Journal Article|Randomized Controlled Trial",1
"Clinical Trial, Phase III|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase III|Letter|Randomized Controlled Trial",1
"Clinical Trial, Phase IV|Journal Article|Research Support, Non-U.S. Gov't",1
Clinical Trial|Comparative Study|Journal Article|Multicenter Study,1
Clinical Trial|Journal Article|Multicenter Study|Observational Study,1
"Clinical Trial|Journal Article|Observational Study|Research Support, Non-U.S. Gov't",1
"Clinical Trial|Journal Article|Research Support, N.I.H., Extramural",1
Clinical Trial|Journal Article|Video-Audio Media,1
"Comparative Study|Journal Article|Meta-Analysis|Research Support, Non-U.S. Gov't|Systematic Review",1
Comparative Study|Journal Article|Multicenter Study,1
"Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
"Comparative Study|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
"Comparative Study|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, Non-P.H.S.",1
"Comparative Study|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Video-Audio Media",1
"Comparative Study|Journal Article|Research Support, N.I.H., Extramural",1
"Comparative Study|Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
Comparative Study|Journal Article|Validation Study,1
Comparative Study|Letter|Randomized Controlled Trial,1
Consensus Development Conference|Journal Article,1
Controlled Clinical Trial|Journal Article,1
Equivalence Trial|Journal Article|Multicenter Study|Randomized Controlled Trial,1
Historical Article|Journal Article|Personal Narrative,1
Journal Article|Meta-Analysis,1
"Journal Article|Meta-Analysis|Research Support, Non-U.S. Gov't|Review",1
Journal Article|Meta-Analysis|Review,1
Journal Article|Meta-Analysis|Video-Audio Media,1
Journal Article|Multicenter Study|Observational Study|Randomized Controlled Trial,1
"Journal Article|Multicenter Study|Observational Study|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
Journal Article|Multicenter Study|Observational Study|Validation Study,1
Journal Article|Multicenter Study|Pragmatic Clinical Trial,1
"Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't|Webcast",1
"Journal Article|Observational Study|Research Support, N.I.H., Extramural",1
Journal Article|Observational Study|Retracted Publication,1
"Journal Article|Pragmatic Clinical Trial|Research Support, Non-U.S. Gov't",1
"Journal Article|Research Support, N.I.H., Extramural|Research Support, N.I.H., Intramural|Research Support, Non-U.S. Gov't|Systematic Review",1
"Journal Article|Research Support, N.I.H., Extramural|Research Support, N.I.H., Intramural|Review",1
"Journal Article|Research Support, N.I.H., Extramural|Research Support, U.S. Gov't, P.H.S.|Review",1
"Journal Article|Research Support, N.I.H., Intramural",1
"Journal Article|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, Non-P.H.S.",1
"Journal Article|Research Support, Non-U.S. Gov't|Validation Study",1
"Journal Article|Research Support, U.S. Gov't, Non-P.H.S.",1
Journal Article|Review|Systematic Review,1
Letter|Comment,1
"Letter|Observational Study|Research Support, Non-U.S. Gov't",1
Review|Journal Article,1
