nct_id,start_date.x,primary_completion_date.x,study_type.x,brief_title.x,overall_status.x,phase.x,source.x,why_stopped.x,ctg_links,Abstract,Registry,Total_pubs,US_site_flag,country,Has_Results,Number_of_updates,intervention,vaccine_trial_flag
NCT04368728,4/29/2020,5/2/2023,Interventional,"Study to Describe the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Individuals",Recruiting,Phase 2/Phase 3,BioNTech SE,NA,https://clinicaltrials.gov/ct2/show/NCT04368728,4,0,4,1,United States|Argentina|Brazil|Germany|South Africa|Turkey,0,31,BNT162b1|BNT162b2|Placebo|BNT162b2SA,1
NCT04497987,8/2/2020,1/16/2021,Interventional,A Study of LY3819253 (LY-CoV555) and LY3832479 (LY-CoV016) in Preventing SARS-CoV-2 Infection and COVID-19 in Nursing Home Residents and Staff,Completed,Phase 3,Eli Lilly and Company,NA,https://clinicaltrials.gov/ct2/show/NCT04497987,1,0,1,1,United States,0,21,LY3819253|Placebo|LY3832479,0
NCT04546581,10/8/2020,5/21/2021,Interventional,Inpatient Treatment of COVID-19 With Anti-Coronavirus Immunoglobulin (ITAC),Completed,Phase 3,University of Minnesota,NA,https://clinicaltrials.gov/ct2/show/NCT04546581,1,0,1,1,United States|Denmark|Greece|Japan|Nigeria|Spain|United Kingdom,0,9,Hyperimmune immunoglobulin to SARS-CoV-2 (hIVIG)|Placebo|Remdesivir,0
NCT04328467,4/6/2020,7/13/2020,Interventional,Pre-exposure Prophylaxis for SARS-Coronavirus-2,Completed,Phase 3,University of Minnesota,NA,https://clinicaltrials.gov/ct2/show/NCT04328467,2,1,3,1,United States,1,7,Hydroxychloroquine|Placebo,0
NCT04308668,3/17/2020,5/20/2020,Interventional,Post-exposure Prophylaxis / Preemptive Therapy for SARS-Coronavirus-2,Completed,Phase 3,University of Minnesota,NA,https://clinicaltrials.gov/ct2/show/NCT04308668,3,3,6,1,United States|Canada,1,14,Hydroxychloroquine|Placebo,0
NCT04505722,9/7/2020,1/22/2021,Interventional,A Study of Ad26.COV2.S for the Prevention of SARS-CoV-2-Mediated COVID-19 in Adult Participants,"Active, not recruiting",Phase 3,Janssen Vaccines & Prevention B.V.,NA,https://clinicaltrials.gov/ct2/show/NCT04505722,1,0,1,1,United States|Argentina|Brazil|Chile|Colombia|Mexico|Peru|South Africa,0,15,Ad26.COV2.S|Placebo,0
NCT04351152,5/5/2020,3/31/2021,Interventional,Phase 3 Study to Evaluate Efficacy and Safety of Lenzilumab in Patients With COVID-19,"Active, not recruiting",Phase 3,"Humanigen, Inc.",NA,https://clinicaltrials.gov/ct2/show/NCT04351152,2,0,2,1,United States|Brazil,0,11,Lenzilumab|Standard of Care,0
NCT04369469,5/11/2020,5/31/2021,Interventional,Efficacy and Safety Study of IV Ravulizumab in Patients With COVID-19 Severe Pneumonia,"Active, not recruiting",Phase 3,Alexion Pharmaceuticals,NA,https://clinicaltrials.gov/ct2/show/NCT04369469,3,0,3,1,United States|France|Japan|Spain|United Kingdom,0,9,Ravulizumab|Best Supportive Care,0
NCT04401293,4/26/2020,5/14/2021,Interventional,Full Dose Heparin Vs. Prophylactic Or Intermediate Dose Heparin in High Risk COVID-19 Patients,Completed,Phase 3,Northwell Health,NA,https://clinicaltrials.gov/ct2/show/NCT04401293,1,0,1,1,United States,0,4,Enoxaparin|Prophylactic/Intermediate Dose Enoxaparin,0
NCT04320615,4/3/2020,6/24/2020,Interventional,A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia,Completed,Phase 3,Hoffmann-La Roche,NA,https://clinicaltrials.gov/ct2/show/NCT04320615,1,0,1,1,United States|Canada|Denmark|France|Germany|Italy|Netherlands|Spain|United Kingdom,1,12,Tocilizumab (TCZ)|Placebo,0
NCT04354428,4/16/2020,12/31/2020,Interventional,Treatment for COVID-19 in High-Risk Adult Outpatients,"Active, not recruiting",Phase 2/Phase 3,University of Washington,NA,https://clinicaltrials.gov/ct2/show/NCT04354428,1,0,1,1,United States,0,6,Ascorbic Acid|Hydroxychloroquine Sulfate|Azithromycin|Folic Acid|Lopinavir 200 MG / Ritonavir 50 MG [Kaletra],0
NCT04362176,4/24/2020,7/1/2021,Interventional,Passive Immunity Trial for Our Nation to Treat COVID-19 in Hospitalized Adults,Recruiting,Phase 3,Vanderbilt University Medical Center,NA,https://clinicaltrials.gov/ct2/show/NCT04362176,2,0,2,1,United States,0,7,pathogen reduced SARS-CoV-2 convalescent plasma|Placebo,0
NCT04328961,3/31/2020,9/24/2020,Interventional,Hydroxychloroquine for COVID-19 Post-exposure Prophylaxis (PEP),Completed,Phase 2/Phase 3,University of Washington,NA,https://clinicaltrials.gov/ct2/show/NCT04328961,2,0,2,1,United States,0,5,Hydroxychloroquine Sulfate|Ascorbic Acid,0
NCT04501978,8/4/2020,7/31/2022,Interventional,ACTIV-3: Therapeutics for Inpatients With COVID-19,Recruiting,Phase 3,National Institute of Allergy and Infectious Diseases (NIAID),NA,https://clinicaltrials.gov/ct2/show/NCT04501978,1,0,1,1,United States|Denmark|Greece|India|Nigeria|Poland|Singapore|Spain|Switzerland|Uganda|United Kingdom,0,46,LY3819253|Placebo|Remdesivir|VIR-7831|BRII-196/BRII-198|AZD7442|MP0420,0
NCT04401579,5/8/2020,7/31/2020,Interventional,Adaptive COVID-19 Treatment Trial 2 (ACTT-2),Completed,Phase 3,National Institute of Allergy and Infectious Diseases (NIAID),NA,https://clinicaltrials.gov/ct2/show/NCT04401579,1,0,1,1,"United States|Denmark|Japan|Korea, Republic of|Mexico|Singapore|Spain|United Kingdom",1,16,Placebo|Remdesivir|Baricitinib,0
NCT04389840,6/3/2020,5/20/2021,Interventional,Dociparstat for the Treatment of Severe COVID-19 in Adults at High Risk of Respiratory Failure,Terminated,Phase 2/Phase 3,Chimerix,Limited enrollment,https://clinicaltrials.gov/ct2/show/NCT04389840,1,0,1,1,United States,0,12,Dociparstat sodium|Placebo,0
NCT04470427,7/27/2020,10/27/2022,Interventional,"A Study to Evaluate Efficacy, Safety, and Immunogenicity of mRNA-1273 Vaccine in Adults Aged 18 Years and Older to Prevent COVID-19","Active, not recruiting",Phase 3,"ModernaTX, Inc.",NA,https://clinicaltrials.gov/ct2/show/NCT04470427,1,0,1,1,United States,0,16,mRNA-1273|Placebo,1
NCT04410328,10/21/2020,3/15/2021,Interventional,Aggrenox To Treat Acute Covid-19,Recruiting,Phase 3,"Rutgers, The State University of New Jersey",NA,https://clinicaltrials.gov/ct2/show/NCT04410328,0,5,5,1,United States,0,4,Dipyridamole ER 200mg/ Aspirin 25mg orally/enterally AND Standard of care|Standard of care,0
NCT04425629,6/16/2020,6/18/2021,Interventional,"Safety, Tolerability, and Efficacy of Anti-Spike (S) SARS-CoV-2 Monoclonal Antibodies for the Treatment of Ambulatory Adult and Pediatric Patients With COVID-19",Recruiting,Phase 2/Phase 3,Regeneron Pharmaceuticals,NA,https://clinicaltrials.gov/ct2/show/NCT04425629,1,0,1,1,United States|Chile|Mexico|Romania,0,19,REGN10933+REGN10987 combination therapy|Placebo,0
NCT04372186,5/14/2020,8/18/2020,Interventional,A Study to Evaluate the Efficacy and Safety of Tocilizumab in Hospitalized Participants With COVID-19 Pneumonia,"Active, not recruiting",Phase 3,"Genentech, Inc.",NA,https://clinicaltrials.gov/ct2/show/NCT04372186,1,0,1,1,United States|Brazil|Kenya|Mexico|Peru|South Africa,0,12,Placebo|Tocilizumab,0
NCT04492475,8/5/2020,12/21/2020,Interventional,Adaptive COVID-19 Treatment Trial 3 (ACTT-3),Completed,Phase 3,National Institute of Allergy and Infectious Diseases (NIAID),NA,https://clinicaltrials.gov/ct2/show/NCT04492475,1,0,1,1,"United States|Japan|Korea, Republic of|Mexico|Singapore",0,29,Interferon beta-1a|Placebo|Remdesivir,0
NCT04356937,4/20/2020,7/13/2020,Interventional,Efficacy of Tocilizumab on Patients With COVID-19,Completed,Phase 3,Massachusetts General Hospital,NA,https://clinicaltrials.gov/ct2/show/NCT04356937,1,0,1,1,United States,1,7,Tocilizumab|Placebos,0
NCT04332991,4/2/2020,6/19/2020,Interventional,Outcomes Related to COVID-19 Treated With Hydroxychloroquine Among In-patients With Symptomatic Disease,Completed,Phase 3,Massachusetts General Hospital,NA,https://clinicaltrials.gov/ct2/show/NCT04332991,2,0,2,1,United States,1,9,Hydroxychloroquine|Placebo,0
NCT04280705,2/21/2020,5/21/2020,Interventional,Adaptive COVID-19 Treatment Trial (ACTT),Completed,Phase 3,National Institute of Allergy and Infectious Diseases (NIAID),NA,https://clinicaltrials.gov/ct2/show/NCT04280705,1,0,1,1,"United States|Denmark|Germany|Greece|Japan|Korea, Republic of|Mexico|Singapore|Spain|United Kingdom",1,24,Placebo|Remdesivir,0
NCT04292730,3/15/2020,4/29/2020,Interventional,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734â„¢) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Completed,Phase 3,Gilead Sciences,NA,https://clinicaltrials.gov/ct2/show/NCT04292730,1,1,2,1,"Japan|United States|China|France|Germany|Hong Kong|Italy|Korea, Republic of|Netherlands|Singapore|Spain|Sweden|Switzerland|Taiwan|United Kingdom",1,20,Remdesivir|Standard of Care,0
NCT04634409,10/29/2020,7/21/2021,Interventional,A Study of Immune System Proteins in Participants With Mild to Moderate COVID-19 Illness,"Active, not recruiting",Phase 2,Eli Lilly and Company,NA,https://clinicaltrials.gov/ct2/show/NCT04634409,1,0,1,1,United States|Argentina|Puerto Rico,0,18,LY3819253|LY3832479|Placebo|VIR-7831|LY3853113,0
NCT04326426,4/13/2020,8/1/2020,Interventional,ODYSSEY: A Study to Investigate the Efficacy of Tradipitant in Treating Severe or Critical COVID-19 Infection,Enrolling by invitation,Phase 3,Vanda Pharmaceuticals,NA,https://clinicaltrials.gov/ct2/show/NCT04326426,1,0,1,1,United States,0,2,Tradipitant|Placebo,0
NCT04405570,6/16/2020,2/21/2021,Interventional,"A Safety, Tolerability and Efficacy of Molnupiravir (EIDD-2801) to Eliminate Infectious Virus Detection in Persons With COVID-19",Completed,Phase 2,"Ridgeback Biotherapeutics, LP",NA,https://clinicaltrials.gov/ct2/show/NCT04405570,3,0,3,1,United States,0,18,EIDD-2801|Placebo (PBO),0
NCT04306393,3/21/2020,12/21/2021,Interventional,Nitric Oxide Gas Inhalation in Severe Acute Respiratory Syndrome in COVID-19,"Active, not recruiting",Phase 2,Massachusetts General Hospital,NA,https://clinicaltrials.gov/ct2/show/NCT04306393,2,0,2,1,United States|Sweden,0,8,Nitric Oxide Gas,0
NCT04359810,4/21/2020,12/30/2020,Interventional,Plasma Therapy of COVID-19 in Severely Ill Patients,Completed,Phase 2,Columbia University,NA,https://clinicaltrials.gov/ct2/show/NCT04359810,3,0,3,1,United States|Brazil,0,4,Convalescent Plasma (anti-SARS-CoV-2 plasma)|Non-convalescent Plasma (control plasma),0
NCT04311177,4/9/2020,2/1/2021,Interventional,Losartan for Patients With COVID-19 Not Requiring Hospitalization,Completed,Phase 2,University of Minnesota,NA,https://clinicaltrials.gov/ct2/show/NCT04311177,1,0,1,1,United States,0,10,Losartan|Placebo,0
NCT04485130,5/1/2021,12/31/2021,Interventional,DISulfiram for COvid-19 (DISCO) Trial,Recruiting,Phase 2,"University of California, San Francisco",NA,https://clinicaltrials.gov/ct2/show/NCT04485130,0,6,6,1,United States,0,6,Disulfiram|Placebo,0
NCT04399980,5/20/2020,4/23/2021,Interventional,Mavrilimumab to Reduce Progression of Acute Respiratory Failure in COVID-19 Pneumonia and Systemic Hyper-inflammation,Completed,Phase 2,The Cleveland Clinic,NA,https://clinicaltrials.gov/ct2/show/NCT04399980,1,0,1,1,United States,1,5,Mavrilimumab|Placebos,0
NCT04436276,7/15/2020,12/3/2021,Interventional,A Study of Ad26.COV2.S in Adults (COVID-19),"Active, not recruiting",Phase 1/Phase 2,Janssen Vaccines & Prevention B.V.,NA,https://clinicaltrials.gov/ct2/show/NCT04436276,3,0,3,1,Belgium|United States,0,11,Ad26.COV2.S|Placebo,0
NCT04405076,5/29/2020,11/1/2021,Interventional,"Dose-Confirmation Study to Evaluate the Safety, Reactogenicity, and Immunogenicity of mRNA-1273 COVID-19 Vaccine in Adults Aged 18 Years and Older","Active, not recruiting",Phase 2,"ModernaTX, Inc.",NA,https://clinicaltrials.gov/ct2/show/NCT04405076,1,0,1,1,United States,0,6,Biological: mRNA-1273|Placebo|mRNA-1273.351,1
NCT04357730,5/14/2020,3/21/2021,Interventional,Fibrinolytic Therapy to Treat ARDS in the Setting of COVID-19 Infection,"Active, not recruiting",Phase 2,Denver Health and Hospital Authority,NA,https://clinicaltrials.gov/ct2/show/NCT04357730,1,0,1,1,United States,0,10,Alteplase 50 MG [Activase]|Alteplase 50 MG [Activase],0
NCT04343261,4/10/2020,7/23/2020,Interventional,Convalescent Plasma in the Treatment of COVID 19,Completed,Phase 2,Saint Francis Care,NA,https://clinicaltrials.gov/ct2/show/NCT04343261,1,2,3,1,United States,1,9,Convalescent Plasma,0
NCT04537208,9/3/2020,11/30/2021,Interventional,Study of Recombinant Protein Vaccine Formulations Against COVID-19 in Healthy Adults 18 Years of Age and Older,"Active, not recruiting",Phase 1/Phase 2,Sanofi,NA,https://clinicaltrials.gov/ct2/show/NCT04537208,1,0,1,1,United States,0,5,Placebo (0.9% normal saline)|SARS-CoV-2 vaccine formulation 2 without adjuvant|SARS-CoV-2 vaccine formulation 1 with adjuvant 1|SARS-CoV-2 vaccine formulation 1 with adjuvant 2|SARS-CoV-2 vaccine formulation 2 with adjuvant 1|SARS-CoV-2 vaccine formulation 2 with adjuvant 2,1
NCT04579393,10/8/2020,3/30/2021,Interventional,Fostamatinib for Hospitalized Adults With COVID-19,Completed,Phase 2,National Institutes of Health Clinical Center (CC),NA,https://clinicaltrials.gov/ct2/show/NCT04579393,1,0,1,1,United States,0,22,Placebo|fostamatinib,0
NCT04331899,4/25/2020,8/14/2020,Interventional,Single-Blind Study of a Single Dose of Peginterferon Lambda-1a Compared With Placebo in Outpatients With Mild COVID-19,Completed,Phase 2,Stanford University,NA,https://clinicaltrials.gov/ct2/show/NCT04331899,1,1,2,1,United States,1,7,Peginterferon Lambda-1a|Placebo,0
NCT04329832,3/30/2020,12/18/2020,Interventional,Hydroxychloroquine vs. Azithromycin for Hospitalized Patients With Suspected or Confirmed COVID-19,"Active, not recruiting",Phase 2,"Intermountain Health Care, Inc.",NA,https://clinicaltrials.gov/ct2/show/NCT04329832,2,0,2,1,United States,0,3,Hydroxychloroquine|Azithromycin,0
NCT04331795,4/4/2020,6/5/2020,Interventional,"Tocilizumab to Prevent Clinical Decompensation in Hospitalized, Non-critically Ill Patients With COVID-19 Pneumonitis",Completed,Phase 2,University of Chicago,NA,https://clinicaltrials.gov/ct2/show/NCT04331795,0,1,1,1,United States,0,9,Tocilizumab|Tocilizumab,0
NCT04435184,7/9/2020,11/28/2020,Interventional,Crizanlizumab for Treating COVID-19 Vasculopathy,Completed,Phase 2,Johns Hopkins University,NA,https://clinicaltrials.gov/ct2/show/NCT04435184,1,0,1,1,United States,0,5,Crizanlizumab|0.9% saline,0
NCT04329923,4/9/2020,11/11/2020,Interventional,The PATCH Trial (Prevention And Treatment of COVID-19 With Hydroxychloroquine),Terminated,Phase 2,University of Pennsylvania,"Cohort 1: slow accrual Cohort 2: Other studies showed no benefit Cohort 3: Study met
    pre-specificied futility analysis at planned second interim analysis",https://clinicaltrials.gov/ct2/show/NCT04329923,1,1,2,1,United States,1,7,Hydroxychloroquine Sulfate 400 mg twice a day|Hydroxychloroquine Sulfate 600 mg twice a day|Hydroxychloroquine Sulfate 600 mg once a day|Placebo oral tablet,0
NCT04354155,6/2/2020,6/4/2021,Interventional,COVID-19 Anticoagulation in Children - Thromboprophlaxis (COVAC-TP) Trial,Completed,Phase 2,Johns Hopkins All Children's Hospital,NA,https://clinicaltrials.gov/ct2/show/NCT04354155,1,0,1,1,United States,0,3,Enoxaparin Prefilled Syringe [Lovenox],0
NCT04368988,5/25/2020,5/21/2022,Interventional,Evaluation of the Safety and Immunogenicity of a SARS-CoV-2 rS Nanoparticle Vaccine With/Without Matrix-M Adjuvant,"Active, not recruiting",Phase 1/Phase 2,Novavax,NA,https://clinicaltrials.gov/ct2/show/NCT04368988,3,0,3,1,United States|Australia,0,7,"SARS-CoV-2 rS - Phase 1|SARS-CoV-2 rS/Matrix-M Adjuvant - Phase 1|Normal saline solution (NSS), Placebo - Phase 1|Normal saline solution (NSS), Placebo - Phase 2|SARS-CoV-2 rS/Matrix-M Adjuvant, Day 0 - Phase 1|Normal saline solution (NSS), Placebo, Day 21 - Phase 1|SARS-CoV-2 rS/Matrix-M Adjuvant - Phase 2",1
NCT04342663,4/10/2020,8/20/2020,Interventional,"A Double-blind, Placebo-controlled Clinical Trial of Fluvoxamine for Symptomatic Individuals With COVID-19 Infection",Completed,Phase 2,Washington University School of Medicine,NA,https://clinicaltrials.gov/ct2/show/NCT04342663,1,0,1,1,United States,1,7,Fluvoxamine|Placebo,0
NCT04495816,7/15/2020,8/31/2021,Interventional,COVID-19 Anosmia Study,Recruiting,Phase 2,Icahn School of Medicine at Mount Sinai,NA,https://clinicaltrials.gov/ct2/show/NCT04495816,1,0,1,1,United States,0,3,Omega-3 Fatty Acid Supplement|Placebo/Control,0
NCT04555096,9/9/2020,5/28/2021,Interventional,A Trial of GC4419 in Patients With Critical Illness Due to COVID-19,Terminated,Phase 2,"Galera Therapeutics, Inc.",Participants are no longer receiving intervention,https://clinicaltrials.gov/ct2/show/NCT04555096,1,0,1,1,United States,0,5,GC4419|Placebo,0
NCT04434131,4/28/2020,4/28/2021,Interventional,Treatment With Investigational Convalescent Plasma and Measure Antibody Levels in Patients Hospitalized With COVID-19,Recruiting,Phase 2,University of New Mexico,NA,https://clinicaltrials.gov/ct2/show/NCT04434131,1,0,1,1,United States,0,3,Convalescent Plasma,0
NCT04364802,4/29/2020,4/30/2022,Interventional,COVID-19: Povidone-Iodine Intranasal Prophylaxis in Front-line Healthcare Personnel and Inpatients,Recruiting,Phase 2,University of Kentucky,NA,https://clinicaltrials.gov/ct2/show/NCT04364802,1,0,1,1,United States,0,3,Povidone-Iodine Nasal Spray and Gargle|Povidone-Iodine Nasal Spray and Gargle|Povidone-Iodine Nasal Spray and Gargle,0
NCT04426201,12/20/2020,12/30/2021,Interventional,InterLeukin-7 to Improve Clinical Outcomes in Lymphopenic Patients With COVID-19 Infection ( ILIAD-7-US-O ),Recruiting,Phase 2,Revimmune,NA,https://clinicaltrials.gov/ct2/show/NCT04426201,0,4,4,1,United States,0,4,CYT107|Placebo,0
NCT04412057,6/9/2020,12/2/2020,Interventional,Clinical Trial to Evaluate CERC-002 in Adults With COVID-19 Pneumonia and Acute Lung Injury,Completed,Phase 2,Cerecor Inc,NA,https://clinicaltrials.gov/ct2/show/NCT04412057,1,0,1,1,United States,0,6,CERC-002|Placebo,0
NCT04345614,4/8/2020,6/28/2021,Interventional,A Study of Auxora in Patients With Severe COVID-19 Pneumonia,Completed,Phase 2,"CalciMedica, Inc.",NA,https://clinicaltrials.gov/ct2/show/NCT04345614,1,0,1,1,United States,0,19,Auxora|Placebo,0
NCT04400838,5/28/2020,9/30/2021,Interventional,Investigating a Vaccine Against COVID-19,"Active, not recruiting",Phase 2/Phase 3,University of Oxford,NA,https://clinicaltrials.gov/ct2/show/NCT04400838,4,0,4,0,United Kingdom,0,11,ChAdOx1 nCoV-19 (Abs 260)|MenACWY vaccine|ChAdOx1 nCoV-19 (Abs 260) + 2.2x10^10vp (qPCR) boost|Two dose MenACWY vaccine|ChAdOx1 nCoV-19 (qPCR)|ChAdOx1 nCoV-19 0.5mL prime plus boost|Two dose MenACWY vaccine min. 4 weeks apart|Two dose ChAdOx1 nCoV-19/Covishield 0.5mL|Two dose ChAdOx1 nCoV-19/Covishield 0.25mL & 0.5mL,1
NCT04315948,3/22/2020,3/31/2023,Interventional,Trial of Treatments for COVID-19 in Hospitalized Adults,"Active, not recruiting",Phase 3,"Institut National de la SantÃ© Et de la Recherche MÃ©dicale, France",NA,https://clinicaltrials.gov/ct2/show/NCT04315948,3,2,5,0,Austria|Belgium|France|Luxembourg|Norway|Portugal,0,12,Remdesivir|Lopinavir/ritonavir|Interferon Beta-1A|Hydroxychloroquine|Standard of care|AZD7442|Placebo,0
NCT04834869,4/1/2021,12/31/2021,Observational,COVID-19 Vaccines Safety Tracking (CoVaST),Recruiting,NA,Masaryk University,NA,https://clinicaltrials.gov/ct2/show/NCT04834869,1,0,1,1,United States|Canada|Croatia|Czechia|Estonia|Ethiopia|Germany|Ghana|Mexico|Poland|Portugal|Russian Federation|Serbia|Slovenia,0,3,BNT162b2|mRNA-1273|AZD1222|CoronaVac|Sinopharm|Gam-COVID-Vac|JNJ-78436735|CVnCoV|NVX-CoV2373|BBV152,0
NCT04353596,4/20/2020,2/16/2021,Interventional,Stopping ACE-inhibitors in COVID-19,Completed,Phase 4,Medical University Innsbruck,NA,https://clinicaltrials.gov/ct2/show/NCT04353596,1,0,1,0,Austria|Germany,0,3,"ACE inhibitor, angiotensin receptor blocker",0
NCT04572399,10/30/2020,12/28/2020,Interventional,UVA Light Device to Treat COVID-19,Completed,N/A,Cedars-Sinai Medical Center,NA,https://clinicaltrials.gov/ct2/show/NCT04572399,1,0,1,1,United States,0,3,UV Light Treatment,0
NCT04325893,4/1/2020,6/18/2020,Interventional,Hydroxychloroquine Versus Placebo in COVID-19 Patients at Risk for Severe Disease,Terminated,Phase 3,"University Hospital, Angers",decrease in number of eligible patients,https://clinicaltrials.gov/ct2/show/NCT04325893,1,0,1,0,France|Monaco,0,4,Hydroxychloroquine|Placebo,0
NCT04373135,5/8/2020,2/28/2021,Interventional,"Understanding Community Considerations, Opinions, Values, Impacts, and Decisions for COVID-19","Active, not recruiting",N/A,"University of California, Los Angeles",NA,https://clinicaltrials.gov/ct2/show/NCT04373135,2,0,2,1,United States,0,3,Brief educational video,0
NCT04469114,9/16/2020,1/9/2021,Interventional,Tofacitinib in Hospitalized Patients With COVID-19 Pneumonia,Completed,Phase 3,Hospital Israelita Albert Einstein,NA,https://clinicaltrials.gov/ct2/show/NCT04469114,1,0,1,0,Brazil,0,6,Tofacitinib 10 mg|Placebo,0
NCT04343898,4/1/2020,8/1/2020,Observational,Study of the Treatment and Outcomes in Critically Ill Patients With COVID-19,"Active, not recruiting",NA,Brigham and Women's Hospital,NA,https://clinicaltrials.gov/ct2/show/NCT04343898,0,13,13,1,United States,0,12,No intervention,0
NCT04349202,4/10/2020,12/31/2021,Observational,Beaumont Health Large-scale Automated Serologic Testing for COVID-19,Recruiting,NA,William Beaumont Hospitals,NA,https://clinicaltrials.gov/ct2/show/NCT04349202,1,0,1,1,United States,0,3,EUROIMMUN assay,0
NCT04439084,3/6/2020,7/31/2021,Observational,COVID-19 in Patients With Chronic Liver Diseases,Completed,NA,Stanford University,NA,https://clinicaltrials.gov/ct2/show/NCT04439084,1,3,4,1,United States,0,3,Prospective Chart Review,0
NCT04582344,9/14/2020,2/15/2022,Interventional,Clinical Trial For SARS-CoV-2 Vaccine (COVID-19),"Active, not recruiting",Phase 3,Health Institutes of Turkey,NA,https://clinicaltrials.gov/ct2/show/NCT04582344,2,0,2,0,Turkey,0,3,CoronaVac|Placebo,1
NCT04342728,4/8/2020,12/30/2020,Interventional,Coronavirus 2019 (COVID-19)- Using Ascorbic Acid and Zinc Supplementation,Completed,N/A,The Cleveland Clinic,NA,https://clinicaltrials.gov/ct2/show/NCT04342728,2,0,2,1,United States,0,6,Ascorbic Acid|Zinc Gluconate|Ascorbic Acid and Zinc Gluconate|Standard of Care,0
