nct_id,start_date.x,primary_completion_date.x,study_type.x,brief_title.x,overall_status.x,phase.x,source.x,why_stopped.x,pubmed_links,ctg_links,Abstract,Registry,Total_pubs,country,Has_Results,Number_of_updates,intervention,vaccine_trial_flag
NCT04332991,4/2/2020,6/19/2020,Interventional,Outcomes Related to COVID-19 Treated With Hydroxychloroquine Among In-patients With Symptomatic Disease,Completed,Phase 3,Massachusetts General Hospital,NA,https://pubmed.ncbi.nlm.nih.gov/33165621,https://clinicaltrials.gov/ct2/show/NCT04332991,2,0,2,United States,1,9,Hydroxychloroquine|Placebo,0
NCT04320615,4/3/2020,6/24/2020,Interventional,A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia,Completed,Phase 3,Hoffmann-La Roche,NA,https://pubmed.ncbi.nlm.nih.gov/33631066,https://clinicaltrials.gov/ct2/show/NCT04320615,1,0,1,United States|Canada|Denmark|France|Germany|Italy|Netherlands|Spain|United Kingdom,1,12,Tocilizumab (TCZ)|Placebo,0
NCT04501978,8/4/2020,7/31/2022,Interventional,ACTIV-3: Therapeutics for Inpatients With COVID-19,Recruiting,Phase 3,National Institute of Allergy and Infectious Diseases (NIAID),NA,https://pubmed.ncbi.nlm.nih.gov/33356051,https://clinicaltrials.gov/ct2/show/NCT04501978,1,0,1,United States|Argentina|Denmark|Georgia|Greece|India|Mexico|Mozambique|Nigeria|Poland|Singapore|Spain|Switzerland|Uganda|United Kingdom,0,57,LY3819253|Placebo|Remdesivir|VIR-7831|BRII-196/BRII-198|AZD7442|MP0420|PF-07304814,0
NCT04401579,5/8/2020,7/31/2020,Interventional,Adaptive COVID-19 Treatment Trial 2 (ACTT-2),Completed,Phase 3,National Institute of Allergy and Infectious Diseases (NIAID),NA,https://pubmed.ncbi.nlm.nih.gov/33306283,https://clinicaltrials.gov/ct2/show/NCT04401579,1,0,1,"United States|Denmark|Japan|Korea, Republic of|Mexico|Singapore|Spain|United Kingdom",1,16,Placebo|Remdesivir|Baricitinib,0
NCT04372186,5/14/2020,8/18/2020,Interventional,A Study to Evaluate the Efficacy and Safety of Tocilizumab in Hospitalized Participants With COVID-19 Pneumonia,"Active, not recruiting",Phase 3,"Genentech, Inc.",NA,https://pubmed.ncbi.nlm.nih.gov/33332779,https://clinicaltrials.gov/ct2/show/NCT04372186,1,0,1,United States|Brazil|Kenya|Mexico|Peru|South Africa,1,15,Placebo|Tocilizumab,0
NCT04356937,4/20/2020,7/13/2020,Interventional,Efficacy of Tocilizumab on Patients With COVID-19,Completed,Phase 3,Massachusetts General Hospital,NA,https://pubmed.ncbi.nlm.nih.gov/33085857,https://clinicaltrials.gov/ct2/show/NCT04356937,1,0,1,United States,1,7,Tocilizumab|Placebos,0
NCT04280705,2/21/2020,5/21/2020,Interventional,Adaptive COVID-19 Treatment Trial (ACTT),Completed,Phase 3,National Institute of Allergy and Infectious Diseases (NIAID),NA,https://pubmed.ncbi.nlm.nih.gov/32445440,https://clinicaltrials.gov/ct2/show/NCT04280705,1,0,1,"United States|Denmark|Germany|Greece|Japan|Korea, Republic of|Mexico|Singapore|Spain|United Kingdom",1,24,Placebo|Remdesivir,0
NCT04401293,4/26/2020,5/14/2021,Interventional,Full Dose Heparin Vs. Prophylactic Or Intermediate Dose Heparin in High Risk COVID-19 Patients,Completed,Phase 3,Northwell Health,NA,https://pubmed.ncbi.nlm.nih.gov/34617959,https://clinicaltrials.gov/ct2/show/NCT04401293,2,0,2,United States,1,8,Enoxaparin|Prophylactic/Intermediate Dose Enoxaparin,0
NCT04649151,12/9/2020,6/30/2022,Interventional,"A Study to Evaluate the Safety, Reactogenicity, and Effectiveness of mRNA-1273 Vaccine in Adolescents 12 to <18 Years Old to Prevent COVID-19","Active, not recruiting",Phase 2/Phase 3,"ModernaTX, Inc.",NA,https://pubmed.ncbi.nlm.nih.gov/34379915,https://clinicaltrials.gov/ct2/show/NCT04649151,1,0,1,United States,0,9,mRNA-1273|Placebo,1
NCT04796896,3/15/2021,6/12/2023,Interventional,A Study to Evaluate Safety and Effectiveness of mRNA-1273 COVID-19 Vaccine in Healthy Children Between 6 Months of Age and Less Than 12 Years of Age,Recruiting,Phase 2/Phase 3,"ModernaTX, Inc.",NA,https://pubmed.ncbi.nlm.nih.gov/34870630,https://clinicaltrials.gov/ct2/show/NCT04796896,1,0,1,United States|Canada,0,18,mRNA-1273|Placebo,1
NCT04421027,6/12/2020,2/12/2021,Interventional,A Study of Baricitinib (LY3009104) in Participants With COVID-19,Completed,Phase 3,Eli Lilly and Company,NA,https://pubmed.ncbi.nlm.nih.gov/34480861,https://clinicaltrials.gov/ct2/show/NCT04421027,1,0,1,"United States|Argentina|Brazil|Germany|India|Italy|Japan|Korea, Republic of|Mexico|Puerto Rico|Russian Federation|Spain|United Kingdom",0,26,Baricitinib|Placebo,0
NCT04470427,7/27/2020,10/27/2022,Interventional,"A Study to Evaluate Efficacy, Safety, and Immunogenicity of mRNA-1273 Vaccine in Adults Aged 18 Years and Older to Prevent COVID-19","Active, not recruiting",Phase 3,"ModernaTX, Inc.",NA,https://pubmed.ncbi.nlm.nih.gov/34401888,https://clinicaltrials.gov/ct2/show/NCT04470427,3,0,3,United States,0,18,mRNA-1273|Placebo,1
NCT04505774,9/4/2020,9/30/2022,Interventional,Accelerating COVID-19 Therapeutic Interventions and Vaccines 4 ACUTE,Recruiting,Phase 4,University of Pittsburgh,NA,https://pubmed.ncbi.nlm.nih.gov/34351721,https://clinicaltrials.gov/ct2/show/NCT04505774,1,0,1,United States|Brazil|Italy|Spain,0,6,theraputic heparin|prophylactic heparin|P2Y12|Crizanlizumab Injection|SGLT2 inhibitor,1
NCT04372589,5/20/2020,5/17/2021,Interventional,Antithrombotic Therapy to Ameliorate Complications of COVID-19 (ATTACC),Completed,Phase 2/Phase 3,University of Manitoba,NA,https://pubmed.ncbi.nlm.nih.gov/34351722,https://clinicaltrials.gov/ct2/show/NCT04372589,2,0,2,United States|Brazil|Canada|Mexico,0,6,Heparin,1
NCT04340557,3/27/2020,6/13/2020,Interventional,Do Angiotensin Receptor Blockers Mitigate Progression to Acute Respiratory Distress Syndrome With SARS-CoV-2 Infection,Completed,Phase 4,Sharp HealthCare,NA,https://pubmed.ncbi.nlm.nih.gov/33977506,https://clinicaltrials.gov/ct2/show/NCT04340557,1,0,1,United States,1,4,Losartan,0
NCT04516746,8/28/2020,3/5/2021,Interventional,"Phase III Double-blind, Placebo-controlled Study of AZD1222 for the Prevention of COVID-19 in Adults","Active, not recruiting",Phase 3,AstraZeneca,NA,https://pubmed.ncbi.nlm.nih.gov/34587382,https://clinicaltrials.gov/ct2/show/NCT04516746,1,0,1,United States|Chile|Peru,0,9,AZD1222|Placebo,1
NCT04368728,4/29/2020,5/15/2023,Interventional,"Study to Describe the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Individuals",Recruiting,Phase 2/Phase 3,BioNTech SE,NA,https://pubmed.ncbi.nlm.nih.gov/34525277,https://clinicaltrials.gov/ct2/show/NCT04368728,6,0,6,United States|Argentina|Brazil|Germany|South Africa|Turkey,0,35,BNT162b1|BNT162b2|Placebo|BNT162b2SA,1
NCT04348656,3/14/2020,3/5/2021,Interventional,CONvalescent Plasma for Hospitalized Adults With COVID-19 Respiratory Illness (CONCOR-1),Terminated,Phase 3,McMaster University,Study was terminated after the planned interim analysis as the pre-defined futility threshold was met,https://pubmed.ncbi.nlm.nih.gov/34504336,https://clinicaltrials.gov/ct2/show/NCT04348656,2,0,2,United States|Brazil|Canada,0,14,Convalescent plasma,0
NCT04816643,3/24/2021,5/5/2026,Interventional,"A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, and Immunogenicity of an RNA Vaccine Candidate Against COVID-19 in Healthy Children and Young Adults",Recruiting,Phase 2/Phase 3,BioNTech SE,NA,https://pubmed.ncbi.nlm.nih.gov/34752019,https://clinicaltrials.gov/ct2/show/NCT04816643,1,0,1,United States|Finland|Poland|Spain,0,10,Biological/Vaccine: BNT162b2 10mcg|BNT162b2 20mcg|BNT162b2 30mcg|Placebo|Biological/Vaccine: BNT162b2 3mcg,1
NCT04498273,9/7/2020,8/5/2021,Interventional,COVID-19 Positive Outpatient Thrombosis Prevention in Adults Aged 40-80,Terminated,Phase 3,University of Pittsburgh,an event rate lower than anticipated,https://pubmed.ncbi.nlm.nih.gov/34633405,https://clinicaltrials.gov/ct2/show/NCT04498273,1,0,1,United States,0,6,Apixaban 2.5 MG|Apixaban 5MG|Aspirin|Placebo,0
NCT04362176,4/24/2020,7/6/2021,Interventional,Passive Immunity Trial for Our Nation to Treat COVID-19 in Hospitalized Adults,Completed,Phase 3,Vanderbilt University Medical Center,NA,https://pubmed.ncbi.nlm.nih.gov/33688640,https://clinicaltrials.gov/ct2/show/NCT04362176,2,0,2,United States,0,9,pathogen reduced SARS-CoV-2 convalescent plasma|Placebo,0
NCT04369469,5/11/2020,2/8/2021,Interventional,Efficacy and Safety Study of IV Ravulizumab in Patients With COVID-19 Severe Pneumonia,Terminated,Phase 3,Alexion Pharmaceuticals,Met futility bar at interim analysis.,https://pubmed.ncbi.nlm.nih.gov/33826106,https://clinicaltrials.gov/ct2/show/NCT04369469,3,0,3,United States|France|Japan|Spain|United Kingdom,0,10,Ravulizumab|Best Supportive Care,0
NCT04360824,5/6/2020,4/16/2021,Interventional,Covid-19 Associated Coagulopathy,Recruiting,Phase 4,University of Iowa,NA,https://pubmed.ncbi.nlm.nih.gov/33502773,https://clinicaltrials.gov/ct2/show/NCT04360824,1,0,1,United States,0,4,Intermediate dose thromboprophylaxis|Standard of Care thromboprophylaxis,0
NCT04358549,4/17/2020,9/30/2020,Interventional,Study of the Use of Favipiravir in Hospitalized Subjects With COVID-19,Completed,Phase 2,"Fujifilm Pharmaceuticals U.S.A., Inc.",NA,https://pubmed.ncbi.nlm.nih.gov/34888401,https://clinicaltrials.gov/ct2/show/NCT04358549,1,0,1,United States,0,13,Favipiravir + Standard of Care|Standard of Care,0
NCT04472611,10/30/2020,10/30/2021,Interventional,Colchicine/Statins for the Prevention of COVID-19 Complications (COLSTAT) Trial,Recruiting,Phase 3,Yale University,NA,https://pubmed.ncbi.nlm.nih.gov/34461322,https://clinicaltrials.gov/ct2/show/NCT04472611,1,0,1,United States,0,2,Standard of Care (SOC) and Colchicine+Rosuvastatin,0
NCT04364737,4/17/2020,3/29/2021,Interventional,CONTAIN COVID-19: Convalescent Plasma to Limit COVID-19 Complications in Hospitalized Patients,"Active, not recruiting",Phase 2,NYU Langone Health,NA,https://pubmed.ncbi.nlm.nih.gov/34901997,https://clinicaltrials.gov/ct2/show/NCT04364737,1,0,1,United States,0,13,Convalescent Plasma|Saline solution,0
NCT04435184,7/9/2020,11/28/2020,Interventional,Crizanlizumab for Treating COVID-19 Vasculopathy,Completed,Phase 2,Johns Hopkins University,NA,https://pubmed.ncbi.nlm.nih.gov/34904132,https://clinicaltrials.gov/ct2/show/NCT04435184,2,0,2,United States,1,6,Crizanlizumab|0.9% saline,0
NCT04452318,7/13/2020,10/4/2021,Interventional,COVID-19 Study Assessing the Efficacy and Safety of Anti-Spike SARS CoV-2 Monoclonal Antibodies for Prevention of SARS CoV-2 Infection Asymptomatic in Healthy Adults and Adolescents Who Are Household Contacts to an Individual With a Positive SARS-CoV-2 RT-PCR Assay,Completed,Phase 3,Regeneron Pharmaceuticals,NA,https://pubmed.ncbi.nlm.nih.gov/34159343,https://clinicaltrials.gov/ct2/show/NCT04452318,3,0,3,"United States|Moldova, Republic of|Romania",0,17,REGN10933 + REGN10987|Placebo,0
NCT04505722,9/7/2020,1/22/2021,Interventional,A Study of Ad26.COV2.S for the Prevention of SARS-CoV-2-Mediated COVID-19 in Adult Participants,"Active, not recruiting",Phase 3,Janssen Vaccines & Prevention B.V.,NA,https://pubmed.ncbi.nlm.nih.gov/34824596,https://clinicaltrials.gov/ct2/show/NCT04505722,2,0,2,United States|Argentina|Brazil|Chile|Colombia|Mexico|Peru|South Africa,0,20,Ad26.COV2.S|Placebo,0
NCT04400890,9/12/2020,3/1/2021,Interventional,"Randomized Proof-of-Concept Trial to Evaluate the Safety and Explore the Effectiveness of Resveratrol, a Plant Polyphenol, for COVID-19",Terminated,Phase 2,Mount Carmel Health System,Feasibility,https://pubmed.ncbi.nlm.nih.gov/34545357,https://clinicaltrials.gov/ct2/show/NCT04400890,1,0,1,United States,0,8,Resveratrol|Vitamin D3,0
NCT04329832,3/30/2020,12/18/2020,Interventional,Hydroxychloroquine vs. Azithromycin for Hospitalized Patients With Suspected or Confirmed COVID-19,"Active, not recruiting",Phase 2,"Intermountain Health Care, Inc.",NA,https://pubmed.ncbi.nlm.nih.gov/33166179,https://clinicaltrials.gov/ct2/show/NCT04329832,2,0,2,United States,0,3,Hydroxychloroquine|Azithromycin,0
NCT04427501,6/17/2020,2/16/2021,Interventional,A Study of LY3819253 (LY-CoV555) and LY3832479 (LY-CoV016) in Participants With Mild to Moderate COVID-19 Illness,"Active, not recruiting",Phase 2/Phase 3,Eli Lilly and Company,NA,https://pubmed.ncbi.nlm.nih.gov/34260849,https://clinicaltrials.gov/ct2/show/NCT04427501,3,0,3,United States|Puerto Rico,0,47,LY3819253|LY3832479|Placebo,0
NCT04329923,4/9/2020,11/11/2020,Interventional,The PATCH Trial (Prevention And Treatment of COVID-19 With Hydroxychloroquine),Terminated,Phase 2,University of Pennsylvania,Cohort 1: slow accrual Cohort 2: Other studies showed no benefit Cohort 3: Study met pre-specificied futility analysis at planned second interim analysis,https://pubmed.ncbi.nlm.nih.gov/33001138,https://clinicaltrials.gov/ct2/show/NCT04329923,1,1,2,United States,1,7,Hydroxychloroquine Sulfate 400 mg twice a day|Hydroxychloroquine Sulfate 600 mg twice a day|Hydroxychloroquine Sulfate 600 mg once a day|Placebo oral tablet,0
NCT04497987,8/2/2020,1/16/2021,Interventional,A Study of LY3819253 (LY-CoV555) and LY3832479 (LY-CoV016) in Preventing SARS-CoV-2 Infection and COVID-19 in Nursing Home Residents and Staff,Completed,Phase 3,Eli Lilly and Company,NA,https://pubmed.ncbi.nlm.nih.gov/34081073,https://clinicaltrials.gov/ct2/show/NCT04497987,1,0,1,United States,0,21,LY3819253|Placebo|LY3832479,0
NCT04331795,4/4/2020,6/5/2020,Interventional,"Tocilizumab to Prevent Clinical Decompensation in Hospitalized, Non-critically Ill Patients With COVID-19 Pneumonitis",Completed,Phase 2,University of Chicago,NA,https://pubmed.ncbi.nlm.nih.gov/33210302,https://clinicaltrials.gov/ct2/show/NCT04331795,0,1,1,United States,0,10,Tocilizumab|Tocilizumab,0
NCT04495816,7/15/2020,12/31/2021,Interventional,COVID-19 Anosmia Study,"Active, not recruiting",Phase 2,Icahn School of Medicine at Mount Sinai,NA,https://pubmed.ncbi.nlm.nih.gov/33225989,https://clinicaltrials.gov/ct2/show/NCT04495816,1,0,1,United States,0,4,Omega-3 Fatty Acid Supplement|Placebo/Control,0
NCT04865029,7/22/2021,5/31/2022,Interventional,Estradiol and Progesterone in Hospitalized COVID-19 Patients,Recruiting,Phase 2,Tulane University,NA,https://pubmed.ncbi.nlm.nih.gov/34848523,https://clinicaltrials.gov/ct2/show/NCT04865029,1,0,1,United States,0,4,Placebo injection and placebo pill|Estradiol Cypionate 5 MG/ML|Progesterone 200 MG Oral Capsule,0
NCT04611802,12/27/2020,6/30/2023,Interventional,"A Study to Evaluate the Efficacy, Immune Response, and Safety of a COVID-19 Vaccine in Adults â‰¥ 18 Years With a Pediatric Expansion in Adolescents (12 to < 18 Years) at Risk for SARS-CoV-2","Active, not recruiting",Phase 3,Novavax,NA,https://pubmed.ncbi.nlm.nih.gov/34910859,https://clinicaltrials.gov/ct2/show/NCT04611802,1,0,1,United States|Mexico|Puerto Rico,0,17,SARS-CoV-2 rS/Matrix-M1 Adjuvant (Initial Vaccination Period)|Placebo (Initial Vaccination Period)|SARS-CoV-2 rS/Matrix-M1 Adjuvant (Crossover Vaccination period)|Placebo (Crossover Vaccination period),1
NCT04425629,6/16/2020,12/29/2021,Interventional,"Safety, Tolerability, and Efficacy of Anti-Spike (S) SARS-CoV-2 Monoclonal Antibodies for the Treatment of Ambulatory Adult and Pediatric Patients With COVID-19",Recruiting,Phase 3,Regeneron Pharmaceuticals,NA,https://pubmed.ncbi.nlm.nih.gov/34587383,https://clinicaltrials.gov/ct2/show/NCT04425629,2,0,2,United States|Chile|Mexico|Romania,0,21,casirivimab+imdevimab combination therapy,0
NCT04315298,3/18/2020,7/24/2020,Interventional,Evaluation of the Efficacy and Safety of Sarilumab in Hospitalized Patients With COVID-19,Completed,Phase 2/Phase 3,Regeneron Pharmaceuticals,NA,https://pubmed.ncbi.nlm.nih.gov/34496013,https://clinicaltrials.gov/ct2/show/NCT04315298,1,0,1,United States,1,10,Sarilumab|Placebo,0
NCT04377711,6/8/2020,1/5/2021,Interventional,A Study of the Safety and Efficacy of Ciclesonide in the Treatment of Non-hospitalized COVID-19 Patients,Completed,Phase 3,Covis Pharma S.Ã .r.l.,NA,https://pubmed.ncbi.nlm.nih.gov/34807241,https://clinicaltrials.gov/ct2/show/NCT04377711,1,0,1,United States,0,7,Ciclesonide|Placebo,0
NCT04545060,8/27/2020,4/8/2021,Interventional,VIR-7831 for the Early Treatment of COVID-19 in Outpatients,Completed,Phase 2/Phase 3,"Vir Biotechnology, Inc.",NA,https://pubmed.ncbi.nlm.nih.gov/34706189,https://clinicaltrials.gov/ct2/show/NCT04545060,1,0,1,United States|Austria|Brazil|Canada|Peru|Spain|United Kingdom,0,16,VIR-7831|Placebo,0
NCT04889209,5/28/2021,12/1/2022,Interventional,Delayed Heterologous SARS-CoV-2 Vaccine Dosing (Boost) After Receipt of EUA Vaccines,Recruiting,Phase 1/Phase 2,National Institute of Allergy and Infectious Diseases (NIAID),NA,https://pubmed.ncbi.nlm.nih.gov/34671773,https://clinicaltrials.gov/ct2/show/NCT04889209,1,0,1,United States,0,18,Ad26.COV2.S|BNT162b2|mRNA-1273|mRNA-1273.211,1
NCT04311177,4/9/2020,2/1/2021,Interventional,Losartan for Patients With COVID-19 Not Requiring Hospitalization,Completed,Phase 2,University of Minnesota,NA,https://pubmed.ncbi.nlm.nih.gov/34195577,https://clinicaltrials.gov/ct2/show/NCT04311177,1,1,2,United States,0,12,Losartan|Placebo,0
NCT04362813,4/30/2020,9/16/2020,Interventional,Study of Efficacy and Safety of Canakinumab Treatment for CRS in Participants With COVID-19-induced Pneumonia,Completed,Phase 3,Novartis,NA,https://pubmed.ncbi.nlm.nih.gov/34367680,https://clinicaltrials.gov/ct2/show/NCT04362813,2,0,2,United States|France|Italy|Russian Federation|Spain|United Kingdom,1,19,Canakinumab|Placebo,0
NCT04374149,4/30/2020,9/30/2020,Interventional,Therapeutic Plasma Exchange Alone or in Combination With Ruxolitinib in COVID-19 Associated CRS,Completed,Phase 2,Prisma Health-Upstate,NA,https://pubmed.ncbi.nlm.nih.gov/33190086,https://clinicaltrials.gov/ct2/show/NCT04374149,1,0,1,United States,1,4,Therapeutic Plasma Exchange|Ruxolitinib,0
NCT04312009,4/13/2020,2/1/2021,Interventional,Losartan for Patients With COVID-19 Requiring Hospitalization,Completed,Phase 2,University of Minnesota,NA,https://pubmed.ncbi.nlm.nih.gov/32658300,https://clinicaltrials.gov/ct2/show/NCT04312009,1,0,1,United States,0,15,Losartan|Placebo,0
NCT04575597,10/19/2020,5/5/2022,Interventional,Efficacy and Safety of Molnupiravir (MK-4482) in Non-Hospitalized Adult Participants With COVID-19 (MK-4482-002),"Active, not recruiting",Phase 2/Phase 3,Merck Sharp & Dohme Corp.,NA,https://pubmed.ncbi.nlm.nih.gov/34914868,https://clinicaltrials.gov/ct2/show/NCT04575597,1,0,1,United States|Argentina|Brazil|Canada|Chile|Colombia|Egypt|France|Germany|Guatemala|Israel|Italy|Japan|Mexico|Philippines|Poland|Russian Federation|South Africa|Spain|Sweden|Taiwan|Ukraine|United Kingdom,0,47,Molnupiravir|Placebo,0
NCT04501952,9/18/2020,5/6/2021,Interventional,Study to Evaluate the Efficacy and Safety of Remdesivir (GS-5734â„¢) Treatment of Coronavirus Disease 2019 (COVID-19) in an Outpatient Setting,Terminated,Phase 3,Gilead Sciences,The study was terminated due to study enrollment feasibility and changing needs of non-hospitalized participants. This decision is not based on efficacy or safety concerns.,https://pubmed.ncbi.nlm.nih.gov/34937145,https://clinicaltrials.gov/ct2/show/NCT04501952,1,0,1,United States|Denmark|Spain|United Kingdom,1,14,RDV|Placebo to Match RDV,0
NCT04402970,6/19/2020,12/31/2020,Interventional,Dornase Alfa for ARDS in Patients With Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2),Completed,Phase 3,University of Missouri-Columbia,NA,https://pubmed.ncbi.nlm.nih.gov/34745093,https://clinicaltrials.gov/ct2/show/NCT04402970,1,0,1,United States,1,6,Dornase Alfa Inhalation Solution,0
NCT04350593,4/22/2020,3/31/2021,Interventional,Dapagliflozin in Respiratory Failure in Patients With COVID-19,Completed,Phase 3,Saint Luke's Health System,NA,https://pubmed.ncbi.nlm.nih.gov/34302745,https://clinicaltrials.gov/ct2/show/NCT04350593,1,0,1,United States|Argentina|Brazil|Canada|India|Mexico|United Kingdom,0,6,Dapagliflozin 10 MG|Placebo,0
NCT04389840,6/3/2020,5/20/2021,Interventional,Dociparstat for the Treatment of Severe COVID-19 in Adults at High Risk of Respiratory Failure,Terminated,Phase 2/Phase 3,Chimerix,Limited enrollment,https://pubmed.ncbi.nlm.nih.gov/33108622,https://clinicaltrials.gov/ct2/show/NCT04389840,1,0,1,United States,0,12,Dociparstat sodium|Placebo,0
NCT04323800,6/10/2020,12/31/2022,Interventional,Convalescent Plasma to Stem Coronavirus (CSSC-001),"Active, not recruiting",Phase 2,Johns Hopkins University,NA,https://pubmed.ncbi.nlm.nih.gov/34931202,https://clinicaltrials.gov/ct2/show/NCT04323800,1,0,1,United States,0,21,Anti- SARS-CoV-2 Plasma|SARS-CoV-2 non-immune Plasma,0
NCT04343261,4/10/2020,7/23/2020,Interventional,Convalescent Plasma in the Treatment of COVID 19,Completed,Phase 2,Saint Francis Care,NA,https://pubmed.ncbi.nlm.nih.gov/32951151,https://clinicaltrials.gov/ct2/show/NCT04343261,1,2,3,United States,1,9,Convalescent Plasma,0
