nct_id,start_date.x,primary_completion_date.x,study_type.x,brief_title.x,overall_status.x,phase.x,source.x,why_stopped.x,pubmed_links,ctg_links,Abstract,Registry,Total_pubs,country,Has_Results,Number_of_updates,intervention,vaccine_trial_flag
NCT04327531,3/26/2020,5/22/2020,Observational,"Evaluation of Covid 19 Knowledge Anxiety and Expectation Levels of Turkish Physicians, Survey Study",Completed,NA,Kanuni Sultan Suleyman Training and Research Hospital,NA,https://pubmed.ncbi.nlm.nih.gov/32602562,https://clinicaltrials.gov/ct2/show/NCT04327531,1,0,1,Turkey,0,4,turkish physicians,0
NCT04339608,4/2/2020,5/30/2020,Observational,Max COVID19- Study,Recruiting,NA,Max Healthcare Insititute Limited,NA,https://pubmed.ncbi.nlm.nih.gov/32602677,https://clinicaltrials.gov/ct2/show/NCT04339608,1,0,1,India,0,0,NA,0
NCT04331106,3/27/2020,4/30/2022,Observational,Survey of the Anxiety Associated With the COVID-19 Pandemic,Recruiting,NA,"Charite University, Berlin, Germany",NA,https://pubmed.ncbi.nlm.nih.gov/32633094,https://clinicaltrials.gov/ct2/show/NCT04331106,1,0,1,Germany,0,4,Online Questionnaire,0
NCT04471701,4/13/2020,7/31/2020,Observational,Italian Web-based Cross-sectional Survey on COVID-19,Recruiting,NA,"Institute of Biomedical Technologies-National Research Council, Italy",NA,https://pubmed.ncbi.nlm.nih.gov/32650305,https://clinicaltrials.gov/ct2/show/NCT04471701,3,0,3,Italy,0,1,Environmental exposure and clinical features,0
NCT04394195,4/3/2020,5/1/2020,Observational,sFlt1: a Biomarker of Organ Dysfunction in Critically-ill Patients With COVID-19?,Completed,NA,CHU de Reims,NA,https://pubmed.ncbi.nlm.nih.gov/32672790,https://clinicaltrials.gov/ct2/show/NCT04394195,1,0,1,France,0,1,measurement of circulating sFlt1 concentration,0
NCT04368390,4/3/2020,4/30/2021,Observational,Neuroradiolological Analysis of COVID-19 Patients,Recruiting,NA,"University Hospital, Strasbourg, France",NA,https://pubmed.ncbi.nlm.nih.gov/32680942,https://clinicaltrials.gov/ct2/show/NCT04368390,1,0,1,France,0,2,NA,0
NCT04279899,2/1/2020,11/30/2023,Observational,The Investigation of the Neonates With or With Risk of COVID-19,Recruiting,NA,Children's Hospital of Fudan University,NA,https://pubmed.ncbi.nlm.nih.gov/32699166,https://clinicaltrials.gov/ct2/show/NCT04279899,1,0,1,China,0,1,NA,0
NCT04403607,5/22/2020,9/30/2020,Observational,Cardiac Imaging in SARS-CoV-2 (COVID-19),Recruiting,NA,NHS Greater Glasgow and Clyde,NA,https://pubmed.ncbi.nlm.nih.gov/32702087,https://clinicaltrials.gov/ct2/show/NCT04403607,1,0,1,United Kingdom,0,2,NA,0
NCT04441489,3/27/2020,5/3/2020,Observational,Assessment of Lung Inflammation With FDG PET/CT in COVID-19,Completed,NA,Centre Hospitalier Princesse Grace,NA,https://pubmed.ncbi.nlm.nih.gov/32712702,https://clinicaltrials.gov/ct2/show/NCT04441489,1,0,1,Monaco,0,0,NA,0
NCT04323644,1/1/2020,9/30/2020,Observational,Outcomes of Surgery in COVID-19 Infection: International Cohort Study (CovidSurg),Recruiting,NA,University of Birmingham,NA,https://pubmed.ncbi.nlm.nih.gov/32720012,https://clinicaltrials.gov/ct2/show/NCT04323644,1,0,1,Spain,0,1,Surgery,0
NCT04331509,3/23/2020,3/23/2022,Observational,COVID-19 Symptom Tracker,Recruiting,NA,King's College London,NA,https://pubmed.ncbi.nlm.nih.gov/32745512,https://clinicaltrials.gov/ct2/show/NCT04331509,2,0,2,United States|United Kingdom,0,2,No Intervention,0
NCT04346186,4/15/2020,10/1/2020,Observational,COVID-19: Investigation of Transmission and Immunisation Among Hospital Staff,Enrolling by invitation,NA,Herlev Hospital,NA,https://pubmed.ncbi.nlm.nih.gov/32758438,https://clinicaltrials.gov/ct2/show/NCT04346186,2,0,2,Denmark,0,1,IgM and IgG diagnostic kits to SARS-CoV-2|Elisa-test for IgM and IgG to SARS-CoV-2,0
NCT04392245,4/15/2020,4/26/2020,Observational,Proctologic Practice and Covid-19,Completed,NA,Societa Italiana di Chirurgia ColoRettale,NA,https://pubmed.ncbi.nlm.nih.gov/32770466,https://clinicaltrials.gov/ct2/show/NCT04392245,1,0,1,Italy,0,0,NA,0
NCT04316949,3/20/2020,4/30/2020,Observational,Predictors of Respiratory Failure in SARS-Cov-2 Infection,Recruiting,NA,University of Bologna,NA,https://pubmed.ncbi.nlm.nih.gov/32781244,https://clinicaltrials.gov/ct2/show/NCT04316949,1,0,1,Italy,0,4,NA,0
NCT04352556,4/7/2020,4/30/2022,Observational,COVID19-hematological Malignancies: the Italian Hematology Alliance,Recruiting,NA,Ospedale di Circolo - Fondazione Macchi,NA,https://pubmed.ncbi.nlm.nih.gov/32798473,https://clinicaltrials.gov/ct2/show/NCT04352556,2,0,2,Italy,0,3,NA,0
NCT04375410,4/22/2020,4/30/2020,Observational,Consequences of Intensified Handwash and Hand Disinfection Among Children During the COVID19 Pandemic,Completed,NA,Vendsyssel Hospital,NA,https://pubmed.ncbi.nlm.nih.gov/32800064,https://clinicaltrials.gov/ct2/show/NCT04375410,1,0,1,Denmark,0,1,NA,0
NCT04438629,3/26/2020,6/10/2020,Observational,Evaluation of Immune Response in COVID-19 Patients,Recruiting,NA,Azienda Ospedaliera Universitaria Integrata Verona,NA,https://pubmed.ncbi.nlm.nih.gov/32809969,https://clinicaltrials.gov/ct2/show/NCT04438629,1,0,1,Italy,0,1,COVID-19 treatment,0
NCT04262921,2/8/2020,3/27/2020,Observational,French COVID Cohort,Recruiting,NA,"Institut National de la SantÃ© Et de la Recherche MÃ©dicale, France",NA,https://pubmed.ncbi.nlm.nih.gov/32829467,https://clinicaltrials.gov/ct2/show/NCT04262921,3,0,3,France,0,3,NA,0
NCT04378595,4/10/2020,12/30/2020,Observational,Assessing Pediatric Food Insecurity During the COVID-19 Pandemic in Austin,Recruiting,NA,University of Texas at Austin,NA,https://pubmed.ncbi.nlm.nih.gov/32864604,https://clinicaltrials.gov/ct2/show/NCT04378595,1,0,1,United States,0,1,During COVID-19 Pandemic|After COVID-19 Pandemic,0
NCT04378582,5/7/2020,7/28/2020,Observational,Characteristics and Outcomes of Patients With COVID-19 Admitted to the ICU,Completed,NA,University of Sao Paulo General Hospital,NA,https://pubmed.ncbi.nlm.nih.gov/32876113,https://clinicaltrials.gov/ct2/show/NCT04378582,1,0,1,Brazil,0,3,risk factors,0
NCT04305574,3/7/2020,4/21/2020,Observational,Social Media Use During COVID-19,Completed,NA,Yale-NUS College,NA,https://pubmed.ncbi.nlm.nih.gov/32877349,https://clinicaltrials.gov/ct2/show/NCT04305574,1,0,1,Singapore,0,2,Use of social media during COVID-19,0
NCT04333849,3/25/2020,5/11/2020,Observational,Telephony Or Videophony for Isolated elDerly in Maine-Et-Loire 49 During COVID-19,Completed,NA,"University Hospital, Angers",NA,https://pubmed.ncbi.nlm.nih.gov/32896832,https://clinicaltrials.gov/ct2/show/NCT04333849,1,0,1,France,0,2,NA,0
NCT04396197,3/1/2020,5/8/2020,Observational,Physical Activity Levels in COVID-19 Patients Admitted to Intensive Care,Completed,NA,University Hospital Birmingham NHS Foundation Trust,NA,https://pubmed.ncbi.nlm.nih.gov/32915072,https://clinicaltrials.gov/ct2/show/NCT04396197,1,0,1,United Kingdom,0,0,Physiotherapy,0
NCT04367129,4/14/2020,4/1/2021,Observational,Electrocardiogram Analysis in COVID-19 Patients,Recruiting,NA,University Hospital of Ferrara,NA,https://pubmed.ncbi.nlm.nih.gov/32944767,https://clinicaltrials.gov/ct2/show/NCT04367129,1,0,1,Italy,0,1,ECG,0
NCT04439084,3/6/2020,7/31/2021,Observational,COVID-19 in Patients With Chronic Liver Diseases,Completed,NA,Stanford University,NA,https://pubmed.ncbi.nlm.nih.gov/32950749,https://clinicaltrials.gov/ct2/show/NCT04439084,1,3,4,United States,0,3,Prospective Chart Review,0
NCT04335162,2/28/2020,8/31/2021,Observational,Cardiovascular Complications and COVID-19 (CovCardioVasc-Study),Recruiting,NA,Centre Hospitalier Universitaire de Nice,NA,https://pubmed.ncbi.nlm.nih.gov/32972320,https://clinicaltrials.gov/ct2/show/NCT04335162,1,0,1,France,0,4,NA,0
NCT04377815,4/23/2020,5/14/2020,Observational,Finding Out if COVID-19 Infection Can be pREdicted by ChAnges in Smell and/or Taste,Completed,NA,"University College, London",NA,https://pubmed.ncbi.nlm.nih.gov/33001967,https://clinicaltrials.gov/ct2/show/NCT04377815,2,0,2,United Kingdom,0,1,General Public cohort,0
NCT04384926,3/30/2020,12/31/2020,Observational,Outcomes of Elective Cancer Surgery During the COVID-19 Pandemic Crisis,Recruiting,NA,University of Birmingham,NA,https://pubmed.ncbi.nlm.nih.gov/33021869,https://clinicaltrials.gov/ct2/show/NCT04384926,1,0,1,Spain,0,0,Elective Cancer Surgery,0
NCT04358029,4/9/2020,5/31/2022,Observational,Cardiac Arrhythmias In Patients With Coronavirus Disease (COVID-19),Recruiting,NA,Icahn School of Medicine at Mount Sinai,NA,https://pubmed.ncbi.nlm.nih.gov/33026892,https://clinicaltrials.gov/ct2/show/NCT04358029,1,0,1,United States,0,2,NA,0
NCT04307459,3/19/2020,9/1/2020,Observational,Acute Respiratory Failure and COVID-19 in Real Life,Recruiting,NA,University of Milan,NA,https://pubmed.ncbi.nlm.nih.gov/33040020,https://clinicaltrials.gov/ct2/show/NCT04307459,1,0,1,Italy,0,3,standard operating procedures,0
NCT04507282,5/15/2020,7/1/2020,Observational,Eosinophil and Anticoagulation in COVID-19 Patients,Completed,NA,Bursa Postgraduate Hospital,NA,https://pubmed.ncbi.nlm.nih.gov/33046998,https://clinicaltrials.gov/ct2/show/NCT04507282,1,0,1,Turkey,0,1,LMWH,0
NCT04314232,3/18/2020,12/31/2021,Observational,Mechanisms for Covid-19 Disease Complications,Recruiting,NA,"University Hospital, Akershus",NA,https://pubmed.ncbi.nlm.nih.gov/33058695,https://clinicaltrials.gov/ct2/show/NCT04314232,4,0,4,Norway,0,1,NA,0
NCT04448717,6/16/2020,12/31/2023,Observational,COVID-19: Longitudinal Study of Seroprevalence of SARS-CoV-2 Antibodies and Development of Immunity in School Children,Recruiting,NA,University of Zurich,NA,https://pubmed.ncbi.nlm.nih.gov/33063141,https://clinicaltrials.gov/ct2/show/NCT04448717,5,0,5,Switzerland,0,3,COVID-19 Antibody testing,0
NCT04423770,6/8/2020,6/8/2021,Observational,COVID-19 Related Health and Infection Control Practices Among Dentists,Completed,NA,American Dental Association,NA,https://pubmed.ncbi.nlm.nih.gov/33071007,https://clinicaltrials.gov/ct2/show/NCT04423770,1,0,1,United States,0,4,No intervention,0
NCT04411459,2/1/2020,6/30/2020,Observational,Risk Factors for Prolonged Invasive Mechanical Ventilation in COVID-19 Acute Respiratory Distress Syndrome,Completed,NA,Azienda Usl di Bologna,NA,https://pubmed.ncbi.nlm.nih.gov/33078076,https://clinicaltrials.gov/ct2/show/NCT04411459,4,3,7,Italy,0,3,Invasive mechanical ventilation,0
NCT04416100,4/29/2020,4/28/2022,Observational,Development of Interstitial Lung Disease (ILD) in Patients With Severe SARS-CoV-2 Infection (COVID-19),Recruiting,NA,Medical University Innsbruck,NA,https://pubmed.ncbi.nlm.nih.gov/33087116,https://clinicaltrials.gov/ct2/show/NCT04416100,2,0,2,Austria,0,1,Pulmonary function tests|Imaging|Blood sampling,0
NCT04282135,2/15/2020,5/8/2020,Observational,Detection of Influenza or SARS-CoV-2 Infection by IMS of Nasal Air Sampling,Completed,NA,Klinikum Bayreuth GmbH,NA,https://pubmed.ncbi.nlm.nih.gov/33089824,https://clinicaltrials.gov/ct2/show/NCT04282135,1,0,1,Germany,0,1,MCC IMS,0
NCT04290780,3/9/2020,12/31/2022,Observational,COVID-19 - Multicenter Study on Nosocomial Transmission of SARS-CoV-2 Virus,Recruiting,NA,Hospices Civils de Lyon,NA,https://pubmed.ncbi.nlm.nih.gov/33093033,https://clinicaltrials.gov/ct2/show/NCT04290780,1,0,1,France,0,8,nosocomial infection/hospital acquired infection,0
NCT04344197,4/2/2020,4/8/2020,Observational,"Surgery During Covid-19: The Role of Asymptomatic Patients, a Survey",Completed,NA,University of Rome Tor Vergata,NA,https://pubmed.ncbi.nlm.nih.gov/33110590,https://clinicaltrials.gov/ct2/show/NCT04344197,1,0,1,Italy,0,1,global survey,0
NCT04440098,4/22/2020,5/11/2020,Observational,Isolated During COVID-19: Effects of COVID-19's Social Restrictions on Loneliness and Psychosocial Symptomatology,Completed,NA,University of Miami,NA,https://pubmed.ncbi.nlm.nih.gov/33111650,https://clinicaltrials.gov/ct2/show/NCT04440098,1,0,1,United States,0,0,NA,0
NCT04407156,6/1/2020,6/7/2020,Observational,Epidemiology of Acute Kidney Injury in COVID19 Disease in United Kingdom,Completed,NA,University Hospitals of Derby and Burton NHS Foundation Trust,NA,https://pubmed.ncbi.nlm.nih.gov/33125416,https://clinicaltrials.gov/ct2/show/NCT04407156,1,0,1,United Kingdom,0,2,acute kidney injury,0
NCT04349202,4/10/2020,1/19/2021,Observational,Beaumont Health Large-scale Automated Serologic Testing for COVID-19,Completed,NA,William Beaumont Hospitals,NA,https://pubmed.ncbi.nlm.nih.gov/33150375,https://clinicaltrials.gov/ct2/show/NCT04349202,1,0,1,United States,0,4,EUROIMMUN assay,0
NCT04346342,3/6/2020,9/1/2020,Observational,PRactice of VENTilation in COVID-19 Patients (PRoVENT-COVID),Completed,NA,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),NA,https://pubmed.ncbi.nlm.nih.gov/33169671,https://clinicaltrials.gov/ct2/show/NCT04346342,6,0,6,Netherlands,0,4,NA,0
NCT04347408,5/6/2020,12/1/2021,Observational,Seroprevalence of SARS-Cov-2 Antibodies in Children,Recruiting,NA,"Queen's University, Belfast",NA,https://pubmed.ncbi.nlm.nih.gov/33172887,https://clinicaltrials.gov/ct2/show/NCT04347408,1,0,1,United Kingdom,1,9,Covid-19 Antibody testing (IgG and IgM)|Blood Storage,0
NCT04486404,4/1/2020,6/30/2020,Observational,"Needs, Perceptions and Acute Stress of Healtcare Workers Caring for COVID-19 Patients in South America",Enrolling by invitation,NA,Universidad Miguel Hernandez de Elche,NA,https://pubmed.ncbi.nlm.nih.gov/33175877,https://clinicaltrials.gov/ct2/show/NCT04486404,1,0,1,Argentina|Chile|Colombia|Ecuador|Spain,0,4,Online survey,0
NCT04386395,3/30/2020,5/30/2020,Observational,Immune Changes in Severe COVID-19 Pulmonary Infections,Completed,NA,"Central Hospital, Nancy, France",NA,https://pubmed.ncbi.nlm.nih.gov/33178207,https://clinicaltrials.gov/ct2/show/NCT04386395,1,0,1,France,0,1,NA,0
NCT04412655,5/5/2020,5/30/2020,Observational,Primary Angioplasty for STEMI During COVID-19 Pandemic (ISACS-STEMI COVID-19) Registry,"Active, not recruiting",NA,"UniversitÃ  degli Studi del Piemonte Orientale ""Amedeo Avogadro""",NA,https://pubmed.ncbi.nlm.nih.gov/33183506,https://clinicaltrials.gov/ct2/show/NCT04412655,4,0,4,Italy,0,1,Percutaneous Coronary Revascularization for STEMI,0
NCT04406090,4/1/2020,6/30/2020,Observational,Endovascular Thrombectomy in COVID-19 Infected Patients,Completed,NA,"University Hospital, Montpellier",NA,https://pubmed.ncbi.nlm.nih.gov/33222617,https://clinicaltrials.gov/ct2/show/NCT04406090,1,0,1,France,0,1,Mechanical Trombectomy,0
NCT04412304,3/6/2020,4/30/2020,Observational,Anticoagulant Therapy and 28-days Mortality in Critically Ill COVID-19 Patients,Completed,NA,Karolinska Institutet,NA,https://pubmed.ncbi.nlm.nih.gov/33225952,https://clinicaltrials.gov/ct2/show/NCT04412304,1,0,1,Sweden,0,2,Dose of Tinzaparin or Dalteparin,0
NCT04357535,5/10/2020,7/1/2020,Observational,Prognosis of Coronavirus Disease 2019 (COVID-19) Patients Receiving Receiving Antihypertensives,Completed,NA,King Faisal Specialist Hospital & Research Center,NA,https://pubmed.ncbi.nlm.nih.gov/33231487,https://clinicaltrials.gov/ct2/show/NCT04357535,1,0,1,Saudi Arabia,0,8,Angiotensin-Converting Enzyme Inhibitors (ACE-I) and Angiotensin II Receptor Blockers (ARB),0
NCT04380987,5/4/2020,9/30/2021,Observational,Luxembourg Cohort of Positive Patients for COVID-19: a Stratification Study to Predict Patient Prognosis,Recruiting,NA,Luxembourg Institute of Health,NA,https://pubmed.ncbi.nlm.nih.gov/33234656,https://clinicaltrials.gov/ct2/show/NCT04380987,1,0,1,Luxembourg,0,1,Biological sampling,0
NCT04344119,4/9/2020,4/30/2021,Observational,Assessment of Chilbains Occuring During Covid-19 Infection,Recruiting,NA,Centre Hospitalier Universitaire de Nice,NA,https://pubmed.ncbi.nlm.nih.gov/33237291,https://clinicaltrials.gov/ct2/show/NCT04344119,1,0,1,France,0,2,NA,0
NCT04444661,6/10/2020,11/11/2020,Observational,Effects of COVID-19 Induced Deconditioning After Long-term High Intensity Resistance Exercise,Completed,NA,University of Erlangen-NÃ¼rnberg Medical School,NA,https://pubmed.ncbi.nlm.nih.gov/33249320,https://clinicaltrials.gov/ct2/show/NCT04444661,1,0,1,Germany,0,4,NA,0
NCT04386083,6/10/2020,12/31/2020,Observational,Neurologic Manifestations of COVID-19,Recruiting,NA,University of the Philippines,NA,https://pubmed.ncbi.nlm.nih.gov/33257488,https://clinicaltrials.gov/ct2/show/NCT04386083,2,0,2,Philippines,0,1,NA,0
NCT04361877,3/30/2020,4/20/2020,Observational,Cardiovascular Prevention During COVID-19 Pandemic Lockdown in Young Adults (COLA Trial),Completed,NA,LMU Klinikum,NA,https://pubmed.ncbi.nlm.nih.gov/33258996,https://clinicaltrials.gov/ct2/show/NCT04361877,2,0,2,Germany,0,2,NA,0
NCT04405726,3/27/2020,3/31/2022,Observational,Prognostic Factors of COVID19,Recruiting,NA,"University Hospital, Strasbourg, France",NA,https://pubmed.ncbi.nlm.nih.gov/33261718,https://clinicaltrials.gov/ct2/show/NCT04405726,1,0,1,France,0,2,NA,0
NCT04645563,3/11/2020,5/30/2020,Observational,Using Whatsapp for the Consultation,Completed,NA,Kafkas University,NA,https://pubmed.ncbi.nlm.nih.gov/33276318,https://clinicaltrials.gov/ct2/show/NCT04645563,1,0,1,Turkey,0,0,Sending thorax ct video images via smartphone applications,0
NCT04510623,3/17/2020,6/30/2021,Observational,Host Response Mediators in Coronavirus (COVID-19) Infection,Recruiting,NA,University of British Columbia,NA,https://pubmed.ncbi.nlm.nih.gov/33293316,https://clinicaltrials.gov/ct2/show/NCT04510623,1,0,1,Canada,0,0,ARBs and/or ACE inhibitors|Usual Care,0
NCT04502108,4/1/2020,12/31/2022,Observational,Behavior During and After COVID-19 Crisis,Recruiting,NA,Bern University of Applied Sciences,NA,https://pubmed.ncbi.nlm.nih.gov/33296868,https://clinicaltrials.gov/ct2/show/NCT04502108,2,0,2,Switzerland,0,1,Covid19,0
NCT04444531,3/20/2020,5/19/2020,Observational,Ozone Therapy and Coronavirus Disease of 2019 (COVID-19) Pneumonia,Completed,NA,Institut d'InvestigaciÃ³ BiomÃ¨dica de Girona Dr. Josep Trueta,NA,https://pubmed.ncbi.nlm.nih.gov/33310665,https://clinicaltrials.gov/ct2/show/NCT04444531,1,0,1,Spain,0,3,NA,0
NCT04369690,4/3/2020,4/3/2021,Observational,"The Psychological, Social, and Economic Impacts of COVID-19",Recruiting,NA,University of Ottawa,NA,https://pubmed.ncbi.nlm.nih.gov/33310814,https://clinicaltrials.gov/ct2/show/NCT04369690,1,0,1,Canada,0,0,NA,0
NCT04492904,7/17/2020,6/15/2021,Observational,Singapore COVID-19 Chemosensory Tracking (SCCT) Study,Completed,NA,"Clinical Nutrition Research Centre, Singapore",NA,https://pubmed.ncbi.nlm.nih.gov/33351775,https://clinicaltrials.gov/ct2/show/NCT04492904,1,0,1,Singapore,0,1,Home-use Test and Follow-up Questionnaire,0
NCT04358380,4/15/2020,12/31/2020,Observational,Liver Injury in Patients With COVID-19,Enrolling by invitation,NA,"Austral University, Argentina",NA,https://pubmed.ncbi.nlm.nih.gov/33359234,https://clinicaltrials.gov/ct2/show/NCT04358380,2,0,2,Argentina,0,2,Liver injury,0
NCT04540029,5/6/2020,10/31/2022,Observational,Measuring Outcomes of Maternal COVID-19-related Prenatal Exposure,Recruiting,NA,"IRCCS National Neurological Institute ""C. Mondino"" Foundation",NA,https://pubmed.ncbi.nlm.nih.gov/33384402,https://clinicaltrials.gov/ct2/show/NCT04540029,1,0,1,Italy,0,0,Maternal stress,0
NCT04344327,4/10/2020,4/21/2020,Observational,Early Risk Stratification of Patient Hospitalized for SARS-CoV2 Infection: Critical COVID-19 France CCF,Completed,NA,French Cardiology Society,NA,https://pubmed.ncbi.nlm.nih.gov/33388386,https://clinicaltrials.gov/ct2/show/NCT04344327,1,0,1,France,0,1,NA,0
NCT04382235,3/26/2020,4/30/2021,Observational,Non-invasive Ventilatory Support of Patients Affected by COVID-19,"Active, not recruiting",NA,University of Milano Bicocca,NA,https://pubmed.ncbi.nlm.nih.gov/33395553,https://clinicaltrials.gov/ct2/show/NCT04382235,1,0,1,Italy,0,2,Non-invasive ventilatory support,0
NCT04463706,6/1/2020,12/30/2021,Observational,COVID19 Severity Prediction and Health Services Research Evaluation,Recruiting,NA,Hospital Galdakao-Usansolo,NA,https://pubmed.ncbi.nlm.nih.gov/33400164,https://clinicaltrials.gov/ct2/show/NCT04463706,1,0,1,Spain,0,2,Predictors adverse evolution|Predictors of health care provide,0
NCT04422418,7/1/2020,12/14/2020,Observational,Impact of Burnout on Cardiovascular and Immune Biomarkers in Healthcare Professionals - Covid-19 Pandemic in Abu Dhabi,Recruiting,NA,Khalifa University for Science and Technology,NA,https://pubmed.ncbi.nlm.nih.gov/33415114,https://clinicaltrials.gov/ct2/show/NCT04422418,1,0,1,United Arab Emirates,0,1,NA,0
NCT04385121,4/16/2020,4/16/2020,Observational,Psychological Impact of the Hospitalization of a Family Member in Intensive Care for Covid-19 Infection,Recruiting,NA,"University Hospital, Strasbourg, France",NA,https://pubmed.ncbi.nlm.nih.gov/33422153,https://clinicaltrials.gov/ct2/show/NCT04385121,1,0,1,France,0,1,Questionnary,0
NCT04389645,4/7/2020,5/12/2020,Observational,Interferon Gamma Induced Protein 10 (IP-10) in a Clinical Decision Support Protocol in COVID-19 Patients,Completed,NA,MeMed Diagnostics Ltd.,NA,https://pubmed.ncbi.nlm.nih.gov/33434221,https://clinicaltrials.gov/ct2/show/NCT04389645,1,0,1,Israel,0,0,IP-10 in CDS protocol,0
NCT04458337,3/13/2020,3/13/2022,Observational,SURgical Outcomes in COvid Patients - the SUROCO Multicenter Cohort Study (COVID-19),Recruiting,NA,Centre hospitalier de l'UniversitÃ© de MontrÃ©al (CHUM),NA,https://pubmed.ncbi.nlm.nih.gov/33435887,https://clinicaltrials.gov/ct2/show/NCT04458337,1,0,1,Canada,0,6,NA,0
NCT04357938,4/15/2020,5/20/2020,Observational,Risk Stratification With Chest CT to Rule-out Suspected SARS-CoV-2 Infections,Completed,NA,Jena University Hospital,NA,https://pubmed.ncbi.nlm.nih.gov/33435973,https://clinicaltrials.gov/ct2/show/NCT04357938,1,0,1,Germany,0,2,CT-imaging,0
NCT04330261,3/18/2020,6/15/2021,Observational,Clinical Characteristics and Outcomes of Pediatric COVID-19,"Active, not recruiting",NA,University of Calgary,NA,https://pubmed.ncbi.nlm.nih.gov/33452195,https://clinicaltrials.gov/ct2/show/NCT04330261,1,0,1,Canada,0,1,Exposure (not intervention) - SARS-CoV-2 infection,0
NCT04405869,4/29/2020,4/30/2021,Observational,Thromboembolic Events in Severe COVID-19 Patients,Recruiting,NA,"University Hospital, Strasbourg, France",NA,https://pubmed.ncbi.nlm.nih.gov/33465342,https://clinicaltrials.gov/ct2/show/NCT04405869,1,0,1,France,0,1,NA,0
NCT04344145,4/16/2020,5/25/2020,Observational,Exhaustion and Needs in Frontline COVID-19 Healthcare Workers: Cross-sectional Study in a Belgian Population,Completed,NA,UniversitÃ© Libre de Bruxelles,NA,https://pubmed.ncbi.nlm.nih.gov/33469439,https://clinicaltrials.gov/ct2/show/NCT04344145,1,15,16,Belgium,0,4,NA,0
NCT04346602,2/1/2020,6/1/2020,Observational,A Study on the Clinical and Psychological Characteristics of Patients With COVID-2019,Recruiting,NA,Jilin University,NA,https://pubmed.ncbi.nlm.nih.gov/33469542,https://clinicaltrials.gov/ct2/show/NCT04346602,1,0,1,China,0,0,all treatment about COVID-2019,0
