pmid,nct_id,pub_source,ArticleType,Substance,MeSH,Title,PubDate,Journal,pubmed_links,ctg_links
32401715,NCT04276688,Abstract,"Clinical Trial, Phase II|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",Drug Combinations|lopinavir-ritonavir drug combination|Interferon beta-1b|Lopinavir|Ribavirin|Ritonavir|NA,"Adult|Betacoronavirus|COVID-19|Coronavirus Infections|Drug Combinations|Drug Therapy, Combination|Female|Hong Kong|Hospitalization|Humans|Interferon beta-1b|Lopinavir|Male|Middle Aged|Pandemics|Pneumonia, Viral|Ribavirin|Ritonavir|SARS-CoV-2|NA","Triple combination of interferon beta-1b, lopinavir-ritonavir, and ribavirin in the treatment of patients admitted to hospital with COVID-19: an open-label, randomised, phase 2 trial.",2020-06-02,"Lancet (London, England)",https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04276688
32407672,NCT04367831,Abstract,Journal Article,"Anticoagulants|Fibrin Fibrinogen Degradation Products|Heparin, Low-Molecular-Weight|fibrin fragment D|NA","Anticoagulants|Betacoronavirus|Blood Coagulation|COVID-19|Coronavirus Infections|Disseminated Intravascular Coagulation|Fibrin Fibrinogen Degradation Products|Heparin, Low-Molecular-Weight|Humans|Pandemics|Platelet Count|Pneumonia, Viral|Prothrombin Time|SARS-CoV-2|Thrombosis|NA",Coagulation abnormalities and thrombosis in patients with COVID-19.,2020-06-09,The Lancet. Haematology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04367831
32407672,NCT04345848,Abstract,Journal Article,"Anticoagulants|Fibrin Fibrinogen Degradation Products|Heparin, Low-Molecular-Weight|fibrin fragment D|NA","Anticoagulants|Betacoronavirus|Blood Coagulation|COVID-19|Coronavirus Infections|Disseminated Intravascular Coagulation|Fibrin Fibrinogen Degradation Products|Heparin, Low-Molecular-Weight|Humans|Pandemics|Platelet Count|Pneumonia, Viral|Prothrombin Time|SARS-CoV-2|Thrombosis|NA",Coagulation abnormalities and thrombosis in patients with COVID-19.,2020-06-09,The Lancet. Haematology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04345848
32407672,NCT04372589,Abstract,Journal Article,"Anticoagulants|Fibrin Fibrinogen Degradation Products|Heparin, Low-Molecular-Weight|fibrin fragment D|NA","Anticoagulants|Betacoronavirus|Blood Coagulation|COVID-19|Coronavirus Infections|Disseminated Intravascular Coagulation|Fibrin Fibrinogen Degradation Products|Heparin, Low-Molecular-Weight|Humans|Pandemics|Platelet Count|Pneumonia, Viral|Prothrombin Time|SARS-CoV-2|Thrombosis|NA",Coagulation abnormalities and thrombosis in patients with COVID-19.,2020-06-09,The Lancet. Haematology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04372589
32407672,NCT04366960,Abstract,Journal Article,"Anticoagulants|Fibrin Fibrinogen Degradation Products|Heparin, Low-Molecular-Weight|fibrin fragment D|NA","Anticoagulants|Betacoronavirus|Blood Coagulation|COVID-19|Coronavirus Infections|Disseminated Intravascular Coagulation|Fibrin Fibrinogen Degradation Products|Heparin, Low-Molecular-Weight|Humans|Pandemics|Platelet Count|Pneumonia, Viral|Prothrombin Time|SARS-CoV-2|Thrombosis|NA",Coagulation abnormalities and thrombosis in patients with COVID-19.,2020-06-09,The Lancet. Haematology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04366960
32423584,NCT04257656,Abstract,Journal Article|Multicenter Study|Randomized Controlled Trial,Antiviral Agents|remdesivir|Adenosine Monophosphate|Alanine|NA,"Adenosine Monophosphate|Aged|Alanine|Antiviral Agents|Betacoronavirus|COVID-19|China|Coronavirus Infections|Double-Blind Method|Female|Humans|Infusions, Intravenous|Male|Middle Aged|Negative Results|Pandemics|Pneumonia, Viral|SARS-CoV-2|NA","Remdesivir in adults with severe COVID-19: a randomised, double-blind, placebo-controlled, multicentre trial.",2020-05-29,"Lancet (London, England)",https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04257656
32425051,NCT04329832,Abstract,"Clinical Trial Protocol|Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",Anti-Infective Agents|Hydroxychloroquine|Azithromycin|NA,"Adult|Anti-Infective Agents|Azithromycin|Betacoronavirus|COVID-19|Coronavirus Infections|Drug Monitoring|Female|Humans|Hydroxychloroquine|Male|Pandemics|Pneumonia, Viral|Randomized Controlled Trials as Topic|SARS-CoV-2|Treatment Outcome|Utah|NA","Hydroxychloroquine versus Azithromycin for Hospitalized Patients with Suspected or Confirmed COVID-19 (HAHPS). Protocol for a Pragmatic, Open-Label, Active Comparator Trial.",2020-08-13,Annals of the American Thoracic Society,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04329832
32427279,NCT04374071,Abstract,Journal Article,Adrenal Cortex Hormones|Methylprednisolone|NA,Adrenal Cortex Hormones|COVID-19|Female|Hospitalization|Humans|Male|Methylprednisolone|Middle Aged|Multicenter Studies as Topic|NA,Early Short-Course Corticosteroids in Hospitalized Patients With COVID-19.,2020-12-14,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04374071
32445440,NCT04280705,Abstract,"Clinical Trial, Phase III|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",Antiviral Agents|remdesivir|Adenosine Monophosphate|Alanine|NA,"Adenosine Monophosphate|Administration, Intravenous|Adult|Aged|Alanine|Antiviral Agents|Betacoronavirus|COVID-19|Coronavirus Infections|Double-Blind Method|Extracorporeal Membrane Oxygenation|Female|Humans|Kaplan-Meier Estimate|Male|Middle Aged|Oxygen Inhalation Therapy|Pandemics|Pneumonia, Viral|Respiration, Artificial|SARS-CoV-2|Time Factors|Young Adult|NA",Remdesivir for the Treatment of Covid-19 - Final Report.,2020-12-01,The New England journal of medicine,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04280705
32448345,NCT04257656,Abstract,Clinical Trial Protocol|Journal Article,Antiviral Agents|remdesivir|Adenosine Monophosphate|Alanine|NA,"Adenosine Monophosphate|Alanine|Antiviral Agents|Betacoronavirus|COVID-19|China|Clinical Trials, Phase III as Topic|Coronavirus Infections|Double-Blind Method|Equivalence Trials as Topic|Female|Humans|Infusions, Intravenous|Male|Multicenter Studies as Topic|Pandemics|Patient Safety|Pneumonia, Viral|Risk Assessment|Risk Factors|SARS-CoV-2|Severity of Illness Index|Time Factors|Treatment Outcome|NA","Evaluation of the efficacy and safety of intravenous remdesivir in adult patients with severe COVID-19: study protocol for a phase 3 randomized, double-blind, placebo-controlled, multicentre trial.",2020-05-27,Trials,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04257656
32450106,NCT04313127,Abstract,"Clinical Trial, Phase I|Journal Article","Ad5-nCoV vaccine|Antibodies, Neutralizing|Antibodies, Viral|COVID-19 Vaccines|Vaccines, Synthetic|Viral Vaccines|NA","Adenoviridae|Adolescent|Adult|Antibodies, Neutralizing|Antibodies, Viral|Betacoronavirus|COVID-19|COVID-19 Vaccines|China|Coronavirus Infections|Enzyme-Linked Immunosorbent Assay|Female|Humans|Immunity, Cellular|Immunity, Humoral|Injections, Intramuscular|Male|Middle Aged|Pandemics|Pneumonia, Viral|SARS-CoV-2|T-Lymphocytes|Vaccines, Synthetic|Viral Vaccines|Young Adult|NA","Safety, tolerability, and immunogenicity of a recombinant adenovirus type-5 vectored COVID-19 vaccine: a dose-escalation, open-label, non-randomised, first-in-human trial.",2020-06-17,"Lancet (London, England)",https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04313127
32459919,NCT04292899,Abstract,"Clinical Trial, Phase III|Comparative Study|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",Antiviral Agents|remdesivir|Adenosine Monophosphate|Alanine|NA,"Adenosine Monophosphate|Adult|Aged|Alanine|Antiviral Agents|Betacoronavirus|COVID-19|Coronavirus Infections|Drug Administration Schedule|Female|Hospitalization|Humans|Male|Middle Aged|Oxygen Inhalation Therapy|Pandemics|Pneumonia, Viral|SARS-CoV-2|Treatment Outcome|NA",Remdesivir for 5 or 10 Days in Patients with Severe Covid-19.,2020-12-01,The New England journal of medicine,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04292899
32468508,NCT04321421,Abstract,Clinical Trial Protocol|Journal Article|Multicenter Study, ,"Betacoronavirus|COVID-19|Coronavirus Infections|Humans|Immunization, Passive|Pandemics|Plasma|Pneumonia, Viral|SARS-CoV-2|NA",Plasma from donors recovered from the new Coronavirus 2019 as therapy for critical patients with COVID-19 (COVID-19 plasma study): a multicentre study protocol.,2020-08-28,Internal and emergency medicine,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04321421
32472191,NCT04324736,Abstract,"Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't","Glycated Hemoglobin A|hemoglobin A1c protein, human|NA","Aged|Aged, 80 and over|COVID-19|Coronavirus Infections|Diabetes Mellitus, Type 2|Female|Glycated Hemoglobin A|Humans|Hypertension|Inpatients|Male|Middle Aged|Pandemics|Pneumonia, Viral|Prognosis|Respiration, Artificial|Risk Factors|NA",Phenotypic characteristics and prognosis of inpatients with COVID-19 and diabetes: the CORONADO study.,2020-07-27,Diabetologia,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04324736
32473681,NCT04354701,Abstract,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",Antiviral Agents|Hydroxychloroquine|Azithromycin|NA,"Aged|Antiviral Agents|Azithromycin|Betacoronavirus|COVID-19|Cause of Death|Comorbidity|Coronavirus Infections|Databases, Factual|Female|Humans|Hydroxychloroquine|Male|Middle Aged|Neoplasms|Pandemics|Pneumonia, Viral|Prognosis|Risk Factors|SARS-CoV-2|NA",Clinical impact of COVID-19 on patients with cancer (CCC19): a cohort study.,2020-07-02,"Lancet (London, England)",https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04354701
32492293,NCT04308668,Abstract,"Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",Hydroxychloroquine|NA,"Adult|Betacoronavirus|COVID-19|Canada|Coronavirus Infections|Double-Blind Method|Female|Humans|Hydroxychloroquine|Inhalation Exposure|Male|Middle Aged|Occupational Exposure|Pandemics|Pneumonia, Viral|Post-Exposure Prophylaxis|SARS-CoV-2|Treatment Failure|United States|NA",A Randomized Trial of Hydroxychloroquine as Postexposure Prophylaxis for Covid-19.,2020-08-12,The New England journal of medicine,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04308668
32492354,NCT04332991,Abstract,"Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, N.I.H., Extramural",Antimalarials|Hydroxychloroquine|NA,"Adult|Antimalarials|Betacoronavirus|COVID-19|Coronavirus Infections|Dose-Response Relationship, Drug|Hospitalization|Humans|Hydroxychloroquine|Pandemics|Pneumonia, Viral|SARS-CoV-2|Single-Blind Method|Treatment Outcome|NA",Rationale and Design of ORCHID: A Randomized Placebo-controlled Clinical Trial of Hydroxychloroquine for Adults Hospitalized with COVID-19.,2020-09-21,Annals of the American Thoracic Society,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04332991
32493441,NCT04330638,Abstract,Clinical Trial Protocol|Letter,"Anti-Inflammatory Agents|Antibodies, Monoclonal|Antibodies, Monoclonal, Humanized|IL6 protein, human|IL6R protein, human|Interleukin 1 Receptor Antagonist Protein|Interleukin-1|Interleukin-6|Receptors, Interleukin-6|tocilizumab|siltuximab|NA","Anti-Inflammatory Agents|Antibodies, Monoclonal|Antibodies, Monoclonal, Humanized|Belgium|Betacoronavirus|COVID-19|Clinical Trials, Phase III as Topic|Coronavirus Infections|Drug Therapy, Combination|Host-Pathogen Interactions|Humans|Interleukin 1 Receptor Antagonist Protein|Interleukin-1|Interleukin-6|Multicenter Studies as Topic|Pandemics|Pneumonia, Viral|Prospective Studies|Randomized Controlled Trials as Topic|Receptors, Interleukin-6|SARS-CoV-2|Severity of Illness Index|Time Factors|Treatment Outcome|NA",Treatment of severely ill COVID-19 patients with anti-interleukin drugs (COV-AID): A structured summary of a study protocol for a randomised controlled trial.,2020-06-10,Trials,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04330638
32493468,NCT04343768,Abstract,Clinical Trial Protocol|Letter,Antiviral Agents|Drug Combinations|lopinavir-ritonavir drug combination|Interferon beta-1b|Lopinavir|Hydroxychloroquine|Ritonavir|Interferon beta-1a|NA,"Antiviral Agents|Betacoronavirus|COVID-19|Coronavirus Infections|Drug Combinations|Drug Therapy, Combination|Host-Pathogen Interactions|Humans|Hydroxychloroquine|Interferon beta-1a|Interferon beta-1b|Iran|Lopinavir|Pandemics|Pneumonia, Viral|Randomized Controlled Trials as Topic|Ritonavir|SARS-CoV-2|Severity of Illness Index|Time Factors|Treatment Outcome|NA","Effectiveness of Interferon Beta 1a, compared to Interferon Beta 1b and the usual therapeutic regimen to treat adults with moderate to severe COVID-19: structured summary of a study protocol for a randomized controlled trial.",2020-06-10,Trials,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04343768
32493478,NCT04328961,Abstract,Clinical Trial Protocol|Letter,Antiviral Agents|Hydroxychloroquine|Ascorbic Acid|NA,"Adolescent|Adult|Aged|Aged, 80 and over|Antiviral Agents|Ascorbic Acid|Betacoronavirus|COVID-19|Contact Tracing|Coronavirus Infections|Drug Administration Schedule|Female|Humans|Hydroxychloroquine|Incidence|Male|Middle Aged|Multicenter Studies as Topic|Occupational Exposure|Occupational Health|Pandemics|Pneumonia, Viral|Post-Exposure Prophylaxis|Randomized Controlled Trials as Topic|Risk Assessment|Risk Factors|SARS-CoV-2|Time Factors|Treatment Outcome|United States|Virus Shedding|Young Adult|NA",Efficacy of hydroxychloroquine for post-exposure prophylaxis to prevent severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection among adults exposed to coronavirus disease (COVID-19): a structured summary of a study protocol for a randomised controlled trial.,2020-06-10,Trials,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04328961
32496206,NCT04331171,Abstract,Journal Article, ,"Adolescent|Adult|Aged|Aged, 80 and over|Betacoronavirus|COVID-19|Coronavirus Infections|Disease Outbreaks|France|Humans|Middle Aged|Olfaction Disorders|Pandemics|Pneumonia, Viral|SARS-CoV-2|Self-Assessment|Surveys and Questionnaires|Young Adult|NA",Epidemiological Observations on the Association Between Anosmia and COVID-19 Infection: Analysis of Data From a Self-Assessment Web Application.,2020-06-17,Journal of medical Internet research,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04331171
32501454,NCT04318366,Abstract,Journal Article, , ,"Interleukin-1 blockade with high-dose anakinra in patients with COVID-19, acute respiratory distress syndrome, and hyperinflammation: a retrospective cohort study.",2020-09-28,The Lancet Rheumatology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04318366
32503602,NCT04328441,Abstract,Clinical Trial Protocol|Letter,BCG Vaccine|NA,"Absenteeism|Adult|Aged|Aged, 80 and over|BCG Vaccine|Betacoronavirus|COVID-19|Coronavirus Infections|Female|Health Personnel|Hospitalization|Humans|Male|Middle Aged|Multicenter Studies as Topic|Pandemics|Pneumonia, Viral|Randomized Controlled Trials as Topic|SARS-CoV-2|Vaccination|NA",Two Randomized Controlled Trials of Bacillus Calmette-Gu̩rin Vaccination to reduce absenteeism among health care workers and hospital admission by elderly persons during the COVID-19 pandemic: A structured summary of the study protocols for two randomised controlled trials.,2020-06-30,Trials,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04328441
32503620,NCT04360980,Abstract,Clinical Trial Protocol|Letter,Drug Combinations|lopinavir-ritonavir drug combination|Lopinavir|Ritonavir|Colchicine|NA,"Betacoronavirus|COVID-19|Colchicine|Coronavirus Infections|Double-Blind Method|Drug Combinations|Hospitalization|Humans|Lopinavir|Pandemics|Pneumonia, Viral|Prospective Studies|Randomized Controlled Trials as Topic|Ritonavir|SARS-CoV-2|NA",Adding Colchicine to the Antiretroviral Medication - Lopinavir/Ritonavir (Kaletra) in Hospitalized Patients with Non-Severe Covid-19 Pneumonia: A Structured Summary of a Study Protocol for a Randomized Controlled Trial.,2020-06-30,Trials,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04360980
32503657,NCT04333589,Abstract,Clinical Trial Protocol|Letter,"Amides|Antiviral Agents|Pyrazines|RNA, Viral|favipiravir|NA","Adolescent|Adult|Aged|Aged, 80 and over|Amides|Antiviral Agents|Betacoronavirus|COVID-19|Coronavirus Infections|Female|Humans|Male|Middle Aged|Multicenter Studies as Topic|Pandemics|Pneumonia, Viral|Pyrazines|RNA, Viral|Randomized Controlled Trials as Topic|SARS-CoV-2|Treatment Outcome|Young Adult|NA","The Mechanism and Clinical Outcome of patients with Corona Virus Disease 2019 Whose Nucleic Acid Test has changed from negative to positive, and the therapeutic efficacy of Favipiravir: A structured summary of a study protocol for a randomised controlled trial.",2020-06-30,Trials,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04333589
32503662,NCT04316377,Abstract,Clinical Trial Protocol|Letter,Hydroxychloroquine|NA,"Betacoronavirus|COVID-19|Coronavirus Infections|Female|Hospitalization|Humans|Hydroxychloroquine|Male|Norway|Pandemics|Pneumonia, Viral|Pragmatic Clinical Trials as Topic|Research Design|SARS-CoV-2|Viral Load|NA",Norwegian Coronavirus Disease 2019 (NO COVID-19) Pragmatic Open label Study to assess early use of hydroxychloroquine sulphate in moderately severe hospitalised patients with coronavirus disease 2019: A structured summary of a study protocol for a randomised controlled trial.,2020-06-30,Trials,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04316377
32503663,NCT04326920,Abstract,Clinical Trial Protocol|Letter,Recombinant Proteins|sargramostim|Granulocyte-Macrophage Colony-Stimulating Factor|Oxygen|NA,"Acute Disease|Adolescent|Adult|Aged|Aged, 80 and over|Betacoronavirus|COVID-19|Clinical Trials, Phase IV as Topic|Coronavirus Infections|Female|Granulocyte-Macrophage Colony-Stimulating Factor|Humans|Male|Middle Aged|Oxygen|Pandemics|Pneumonia, Viral|Prospective Studies|Randomized Controlled Trials as Topic|Recombinant Proteins|Respiration, Artificial|Respiratory Insufficiency|SARS-CoV-2|Young Adult|NA",Sargramostim to treat patients with acute hypoxic respiratory failure due to COVID-19 (SARPAC): A structured summary of a study protocol for a randomised controlled trial.,2020-06-30,Trials,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04326920
32511534,NCT04306393,Abstract,Preprint, , ,Protocol of a randomized controlled trial testing inhaled Nitric Oxide in mechanically ventilated patients with severe acute respiratory syndrome in COVID-19 (SARS-CoV-2).,2020-09-28,medRxiv : the preprint server for health sciences,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04306393
32512291,NCT04335786,Abstract,"Clinical Trial Protocol|Journal Article|Research Support, Non-U.S. Gov't",Angiotensin II Type 1 Receptor Blockers|Placebos|Valsartan|NA,"Adult|Angiotensin II Type 1 Receptor Blockers|Betacoronavirus|COVID-19|Coronary Care Units|Coronavirus Infections|Double-Blind Method|Drug Administration Schedule|Humans|Inpatients|Multicenter Studies as Topic|Netherlands|Pandemics|Placebos|Pneumonia, Viral|Randomized Controlled Trials as Topic|Respiration, Artificial|Respiratory Distress Syndrome|SARS-CoV-2|Time Factors|Valsartan|NA","Rationale and design of the PRAETORIAN-COVID trial: A double-blind, placebo-controlled randomized clinical trial with valsartan for PRevention of Acute rEspiraTORy dIstress syndrome in hospitAlized patieNts with SARS-COV-2 Infection Disease.",2020-08-26,American heart journal,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04335786
32513231,NCT04341493,Abstract,Clinical Trial Protocol|Letter,Thiazoles|Hydroxychloroquine|nitazoxanide|NA,"Betacoronavirus|COVID-19|Coronavirus Infections|Drug Therapy, Combination|Humans|Hydroxychloroquine|Pandemics|Pneumonia, Viral|Prognosis|Randomized Controlled Trials as Topic|Respiration, Artificial|Risk Factors|SARS-CoV-2|Single-Blind Method|Thiazoles|NA",Treatment with Hydroxychloroquine vs Hydroxychloroquine + Nitazoxanide in COVID-19 patients with risk factors for poor prognosis: A structured summary of a study protocol for a randomised controlled trial.,2020-06-30,Trials,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04341493
