Intervention_type,intervention,Study_count,Date of First Study,N/A,Phase 1,Phase 2,Phase 3,Phase 4,sponsor_counts,Score,NUmber_of_sponsors,NUmber_of_Publications
Drug,0.5% povidone iodine,1,2020-10-21,0,0,0,0,1,Ohio State University ( 1 ),4.001,1,1
Drug,1% povidone iodine (pvp-i),1,2021-01-19,0,0,0,0,1,King Abdulaziz University ( 1 ),4.001,1,7
Drug,1% pvp- mouthwash,1,2021-09-16,0,0,0,0,1,National Taiwan University Hospital ( 1 ),4.001,1,2
Drug,1.5% hydrogen peroxide (h2o2),1,2021-01-19,0,0,0,0,1,King Abdulaziz University ( 1 ),4.001,1,7
Biological,2 doses of vaccine,1,2021-04-27,0,0,0,0,1,China National Biotec Group Company Limited ( 1 ),4.001,1,NA
Biological,"3-doses schedule 1 of covid-19 vaccine (vero cell), inactivated",1,2021-04-27,0,0,0,0,1,China National Biotec Group Company Limited ( 1 ),4.001,1,NA
Drug,amlodipine,1,2020-08-26,0,0,0,0,1,Queen Mary University of London ( 1 ),4.001,1,NA
Drug,anti-sars-cov-2 mab,1,2021-02-08,0,0,0,0,1,University of Calgary ( 1 ),4.001,1,NA
Drug,argatroban,1,2020-05-26,0,0,0,0,1,Weill Medical College of Cornell University ( 1 ),4.001,1,NA
Drug,baf312,1,2021-03-08,0,0,0,0,1,Novartis ( 1 ),4.001,1,NA
Drug,baseline disease modifying therapies (dmts),1,2021-03-08,0,0,0,0,1,Novartis ( 1 ),4.001,1,NA
Drug,berberine,1,2020-05-13,0,0,0,0,1,Chinese Medical Association ( 1 ),4.001,1,2
Drug,bno 1030,1,2021-03-08,0,0,0,0,1,Ivano-Frankivsk National Medical University ( 1 ),4.001,1,NA
Dietary Supplement,bromelain,1,2020-07-05,0,0,0,0,1,"Ministry of Health, Saudi Arabia ( 1 )",4.001,1,NA
Drug,combined art,1,2020-06-15,0,0,0,0,1,Mahidol University ( 1 ),4.001,1,NA
Behavioral,covid-19 individual awareness/education.,1,2021-08-18,0,0,0,0,1,"University of California, San Diego ( 1 )",4.001,1,NA
Behavioral,covid-19 individual health education,1,2021-08-18,0,0,0,0,1,"University of California, San Diego ( 1 )",4.001,1,NA
Behavioral,covid-19 individual health education/linkages to medical/supportive services.,1,2021-08-18,0,0,0,0,1,"University of California, San Diego ( 1 )",4.001,1,NA
Biological,covid-19 vaccine astrazeneca suspension for injection,1,2021-02-08,0,0,0,0,1,"Rigshospitalet, Denmark ( 1 )",4.001,1,NA
Biological,covid-19 vaccine janssen (ad26.cov2-s),1,2021-09-06,0,0,0,0,1,Centre Hospitalier Universitaire de Saint Etienne ( 1 ),4.001,1,NA
Biological,covid-19 vaccine moderna dispersion for injection - moderna biotech,1,2021-02-08,0,0,0,0,1,"Rigshospitalet, Denmark ( 1 )",4.001,1,NA
Drug,d followed by enoxaparin,1,2020-05-08,0,0,0,0,1,Brazilian Clinical Research Institute ( 1 ),4.001,1,2
Drug,danoprevir,1,2020-04-10,0,0,0,0,1,Huoshenshan Hospital ( 1 ),4.001,1,NA
Drug,danoprevir/ritonavir,1,2020-04-10,0,0,0,0,1,Huoshenshan Hospital ( 1 ),4.001,1,NA
Drug,day for 5 days,1,2021-05-31,0,0,0,0,1,"Clinical Research Centre, Malaysia ( 1 )",4.001,1,NA
Drug,diovan,1,2020-04-02,0,0,0,0,1,Radboud University ( 1 ),4.001,1,1
Drug,enoxaparin/lovenox,1,2020-04-27,0,0,0,0,1,Columbia University ( 1 ),4.001,1,NA
Drug,fluoxetine,1,2020-04-18,0,0,0,0,1,University of Toledo Health Science Campus ( 1 ),4.001,1,NA
Drug,fluvoxamine maleate 50 mg,1,2021-10-19,0,0,0,0,1,Chulalongkorn University ( 1 ),4.001,1,NA
Combination Product,"fluvoxamine, cyproheptadine",1,2021-10-19,0,0,0,0,1,Chulalongkorn University ( 1 ),4.001,1,NA
Drug,glatiramer acetate,1,2021-05-03,0,0,0,0,1,Novartis ( 1 ),4.001,1,NA
Drug,group 1: rivaroxaban 20mg/d followed by enoxaparin/unfractionated heparin when needed,1,2020-05-08,0,0,0,0,1,Brazilian Clinical Research Institute ( 1 ),4.001,1,2
Behavioral,health promotion.,1,2021-08-18,0,0,0,0,1,"University of California, San Diego ( 1 )",4.001,1,NA
Diagnostic Test,immunogenicity after first,1,2021-04-14,0,0,0,0,1,Sciensano ( 1 ),4.001,1,NA
Drug,imunor,1,2021-01-13,0,0,0,0,1,University Hospital Ostrava ( 1 ),4.001,1,NA
Drug,ivermectin 0.4mg,1,2021-05-31,0,0,0,0,1,"Clinical Research Centre, Malaysia ( 1 )",4.001,1,NA
Drug,ivermectin pill,1,2020-06-15,0,0,0,0,1,Mahidol University ( 1 ),4.001,1,NA
Drug,lopinavir/ ritonavir/remdesivir combination,1,2021-01-31,0,0,0,0,1,October 6 University ( 1 ),4.001,1,NA
Drug,lovenox,1,2020-04-27,0,0,0,0,1,Columbia University ( 1 ),4.001,1,NA
Drug,methylprednisolone tablet,1,2021-07-22,0,0,0,0,1,Turkish Thoracic Society ( 1 ),4.001,1,NA
Dietary Supplement,micronized,1,2020-09-24,0,0,0,0,1,Epitech Group SpA ( 1 ),4.001,1,NA
placebo,normal saline placebo,1,2021-05-09,0,0,0,0,1,"University Health Network, Toronto ( 1 )",4.001,1,NA
Biological,one dose quadrivalent influenza vaccine on day 0,1,2021-03-15,0,0,0,0,1,"Sinovac Biotech Co., Ltd ( 1 )",4.001,1,NA
Biological,one dose quadrivalent influenza vaccine on day 14.,1,2021-03-15,0,0,0,0,1,"Sinovac Biotech Co., Ltd ( 1 )",4.001,1,NA
Drug,open label bss (pepto bismol),1,2021-03-20,0,0,0,0,1,University of Louisville ( 1 ),4.001,1,NA
Biological,oral polio vaccine / information,1,2020-06-22,0,0,0,0,1,Bandim Health Project ( 1 ),4.001,1,NA
Drug,p2y12,1,2020-08-06,0,0,0,0,1,University of Pittsburgh ( 1 ),4.001,1,NA
Drug,pioglitazone 45 mg,1,2020-10-26,0,0,0,0,1,Dasman Diabetes Institute ( 1 ),4.001,1,NA
Biological,pop-up community vaccination sites,1,2021-08-18,0,0,0,0,1,"University of California, San Diego ( 1 )",4.001,1,NA
Biological,ppv23 for the 1st dose/iiv4 for the 2nd dose,1,2021-10-05,0,0,0,0,1,China National Biotec Group Company Limited ( 1 ),4.001,1,NA
Biological,ppv23 for the 2nd dose,1,2021-03-08,0,0,0,0,1,China National Biotec Group Company Limited ( 1 ),4.001,1,NA
Drug,reduction in antimetabolite immunosuppression,1,2021-09-24,0,0,0,0,1,"University of California, Davis ( 1 )",4.001,1,NA
Drug,remdesivir combination,1,2021-01-31,0,0,0,0,1,October 6 University ( 1 ),4.001,1,NA
Drug,rivaroxaban 15mg tab,1,2020-10-02,0,0,0,0,1,Yaounde Central Hospital ( 1 ),4.001,1,NA
Biological,simultaneous administration of mrna covid-19,1,2021-08-30,0,0,0,0,1,Duke University ( 1 ),4.001,1,NA
Drug,standard treatment covid-19 / triazavirin,1,2021-07-03,0,0,0,0,1,Ain Shams University ( 1 ),4.001,1,NA
Behavioral,supportive services.,1,2021-08-18,0,0,0,0,1,"University of California, San Diego ( 1 )",4.001,1,NA
Drug,tetrandrine,1,2020-03-04,0,0,0,0,1,Henan Provincial People's Hospital ( 1 ),4.001,1,NA
Biological,"two doses of inactivated sars-cov-2 vaccine at the schedule of day 0,28",1,2021-03-15,0,0,0,0,1,"Sinovac Biotech Co., Ltd ( 1 )",4.001,1,NA
Biological,"two doses of inactivated sars-cov-2 vaccine at the schedule of day 0,28/one dose quadrivalent influenza vaccine on day 0/day 28.",1,2021-03-15,0,0,0,0,1,"Sinovac Biotech Co., Ltd ( 1 )",4.001,1,NA
Biological,"two doses of inactivated sars-cov-2 vaccine at the schedule of day 0,28/one dose quadrivalent influenza vaccine on day 14.",1,2021-03-15,0,0,0,0,1,"Sinovac Biotech Co., Ltd ( 1 )",4.001,1,NA
Drug,-interferon nebulization,1,2020-02-27,0,0,0,0,1,The Ninth Hospital of Nanchang ( 1 ),4.001,1,NA
Drug,0.075% cetylpyridinium chloride (cpc),1,2021-01-19,0,0,0,0,1,King Abdulaziz University ( 1 ),4.001,1,7
Drug,0.1% sodium hypochlorite,1,2021-01-19,0,0,0,0,1,King Abdulaziz University ( 1 ),4.001,1,7
Drug,0.9% normal saline,1,2020-10-21,0,0,0,0,1,Ohio State University ( 1 ),4.001,1,1
Drug,1% hydrogen peroxide,1,2020-10-21,0,0,0,0,1,Ohio State University ( 1 ),4.001,1,1
Biological,23-valent pneumococcal polysaccharide vaccine,1,2021-07-05,0,0,0,0,1,"Sinovac Biotech Co., Ltd ( 1 )",4.001,1,NA
Biological,"3-doses schedule 2 of covid-19 vaccine (vero cell), inactivated",1,2021-04-27,0,0,0,0,1,China National Biotec Group Company Limited ( 1 ),4.001,1,NA
Biological,"3-doses schedule 3 of covid-19 vaccine (vero cell), inactivated",1,2021-04-27,0,0,0,0,1,China National Biotec Group Company Limited ( 1 ),4.001,1,NA
Dietary Supplement,600mg) oral suspension,1,2020-09-24,0,0,0,0,1,Epitech Group SpA ( 1 ),4.001,1,NA
Drug,"ace inhibitor, angiotensin receptor blocker",1,2020-04-14,0,0,0,0,1,Medical University Innsbruck ( 1 ),4.001,1,1
Biological,adsorbed sars-cov-2 (inactivated) vaccine,1,2021-03-05,0,0,0,0,1,FundaÃ§Ã£o de Medicina Tropical Dr. Heitor Vieira Dourado ( 1 ),4.001,1,NA
Drug,arbidol hydrochloride/interferon atomization,1,2020-02-02,0,0,0,0,1,Tongji Hospital ( 1 ),4.001,1,NA
Dietary Supplement,artemisinin,1,2021-07-26,0,0,0,0,1,Mateon Therapeutics ( 1 ),4.001,1,NA
Drug,bivalirudin,1,2020-06-23,0,0,0,0,1,Hamad Medical Corporation ( 1 ),4.001,1,1
Drug,bromhexine oral tablet and/or hydroxychloroquine tablet,1,2020-04-15,0,0,0,0,1,General and Teaching Hospital Celje ( 1 ),4.001,1,NA
Drug,canrenoate potassium,1,2021-06-01,0,0,0,0,1,Pomeranian Medical University Szczecin ( 1 ),4.001,1,NA
Drug,carrageenan nasal spray,1,2021-09-16,0,0,0,0,1,National Taiwan University Hospital ( 1 ),4.001,1,2
Drug,carrageenan nasal spray/1% pvp- mouthwash/gargle,1,2021-09-16,0,0,0,0,1,National Taiwan University Hospital ( 1 ),4.001,1,2
Drug,cefditoren pivoxil 400mg,1,2021-01-12,0,0,0,0,1,Meiji Pharma Spain S.A. ( 1 ),4.001,1,NA
Drug,cerebrolysin,1,2020-12-24,0,0,0,0,1,Assiut University ( 1 ),4.001,1,1
Drug,cholecalciferol 6 lakh iu,1,2021-06-08,0,0,0,0,1,Postgraduate Institute of Medical Education and Research ( 1 ),4.001,1,NA
Combination Product,co-ultrapealut,1,2021-04-16,0,0,0,0,1,University Of Perugia ( 1 ),4.001,1,NA
Dietary Supplement,cod liver oil,1,2020-10-22,0,0,0,0,1,Oslo University Hospital ( 1 ),4.001,1,NA
Drug,combined art/hydroxychloroquine,1,2020-06-15,0,0,0,0,1,Mahidol University ( 1 ),4.001,1,NA
Biological,comirnaty - biontech manufacturing gmbh,1,2021-02-08,0,0,0,0,1,"Rigshospitalet, Denmark ( 1 )",4.001,1,NA
Biological,"comirnaty (covid-19, mrna vaccine)",1,2021-02-19,0,0,0,0,1,Karolinska University Hospital ( 1 ),4.001,1,NA
Biological,community-provided moderna mrna-1273 covid-19 vaccine,1,2021-06-28,0,0,0,0,1,National Institute of Allergy and Infectious Diseases (NIAID) ( 1 ),4.001,1,NA
Biological,community-provided mrna-based covid-19 vaccine,1,2021-06-28,0,0,0,0,1,National Institute of Allergy and Infectious Diseases (NIAID) ( 1 ),4.001,1,NA
placebo,corn oil (placebo),1,2020-10-22,0,0,0,0,1,Oslo University Hospital ( 1 ),4.001,1,NA
Biological,covax/iiv4; covax/ppv23,1,2021-03-08,0,0,0,0,1,China National Biotec Group Company Limited ( 1 ),4.001,1,NA
Biological,covax/ppv23;covax/iiv4,1,2021-10-05,0,0,0,0,1,China National Biotec Group Company Limited ( 1 ),4.001,1,NA
Behavioral,covid-19 community outreach,1,2021-08-18,0,0,0,0,1,"University of California, San Diego ( 1 )",4.001,1,NA
Behavioral,covid-19 community outreach/health promotion.,1,2021-08-18,0,0,0,0,1,"University of California, San Diego ( 1 )",4.001,1,NA
Behavioral,covid-19 individual awareness,1,2021-08-18,0,0,0,0,1,"University of California, San Diego ( 1 )",4.001,1,NA
Biological,day 28.,1,2021-03-15,0,0,0,0,1,"Sinovac Biotech Co., Ltd ( 1 )",4.001,1,NA
Drug,dexamethasone high dose,1,2021-01-23,0,0,0,0,1,Hospital Clinico Universitario de Santiago ( 1 ),4.001,1,NA
Drug,dexamethasone low dose,1,2021-01-23,0,0,0,0,1,Hospital Clinico Universitario de Santiago ( 1 ),4.001,1,NA
Behavioral,education.,1,2021-08-18,0,0,0,0,1,"University of California, San Diego ( 1 )",4.001,1,NA
Drug,equinacea arkopharma,1,2021-07-26,0,0,0,0,1,University of Santiago de Compostela ( 1 ),4.001,1,NA
Combination Product,"fluvoxamine, bromhexine",1,2021-10-19,0,0,0,0,1,Chulalongkorn University ( 1 ),4.001,1,NA
Drug,fondapariniux,1,2020-05-26,0,0,0,0,1,Weill Medical College of Cornell University ( 1 ),4.001,1,NA
Drug,ganovo,1,2020-02-27,0,0,0,0,1,The Ninth Hospital of Nanchang ( 1 ),4.001,1,NA
Drug,ganovo/ritonavir//-interferon nebulization,1,2020-02-27,0,0,0,0,1,The Ninth Hospital of Nanchang ( 1 ),4.001,1,NA
Biological,iiv4 for the 1st dose,1,2021-03-08,0,0,0,0,1,China National Biotec Group Company Limited ( 1 ),4.001,1,NA
Biological,iiv4 for the 1st dose/ppv23 for the 2nd dose,1,2021-03-08,0,0,0,0,1,China National Biotec Group Company Limited ( 1 ),4.001,1,NA
Biological,iiv4 for the 2nd dose,1,2021-10-05,0,0,0,0,1,China National Biotec Group Company Limited ( 1 ),4.001,1,NA
Biological,iiv4; covax,1,2021-03-08,0,0,0,0,1,China National Biotec Group Company Limited ( 1 ),4.001,1,NA
Diagnostic Test,immunogenicity after first/second dose,1,2021-04-14,0,0,0,0,1,Sciensano ( 1 ),4.001,1,NA
Biological,inactivated hepatitis a vaccine,1,2021-07-05,0,0,0,0,1,"Sinovac Biotech Co., Ltd ( 1 )",4.001,1,NA
Drug,interferon/glatiramer acetate,1,2021-05-03,0,0,0,0,1,Novartis ( 1 ),4.001,1,NA
Drug,ivermectin 0.4mg/kg/day for 5 days,1,2021-05-31,0,0,0,0,1,"Clinical Research Centre, Malaysia ( 1 )",4.001,1,NA
Drug,late dexamethazone,1,2020-08-24,0,0,0,0,1,ClinAmygate ( 1 ),4.001,1,NA
Behavioral,linkages to medical,1,2021-08-18,0,0,0,0,1,"University of California, San Diego ( 1 )",4.001,1,NA
Drug,low-molecular-weight heparin,1,2020-10-06,0,0,0,0,1,Ain Shams University ( 1 ),4.001,1,NA
Dietary Supplement,"micronized/ultra-micronized palmitoylethanolamide (mpea/umpea, 300mg / 600mg) oral suspension",1,2020-09-24,0,0,0,0,1,Epitech Group SpA ( 1 ),4.001,1,NA
Drug,montmorrillonite,1,2020-05-13,0,0,0,0,1,Chinese Medical Association ( 1 ),4.001,1,2
Biological,mrna-1273 vaccine,1,2021-05-09,0,0,0,0,1,"University Health Network, Toronto ( 1 )",4.001,1,NA
Biological,mrna covid-19 vaccine,1,2021-05-03,0,0,0,0,1,Novartis ( 1 ),4.001,1,NA
Drug,niagen,1,2021-03-19,0,0,0,0,1,Massachusetts General Hospital ( 1 ),4.001,1,NA
Drug,niclosamide pill,1,2021-10-19,0,0,0,0,1,Chulalongkorn University ( 1 ),4.001,1,NA
Combination Product,"niclosamide, bromhexine",1,2021-10-19,0,0,0,0,1,Chulalongkorn University ( 1 ),4.001,1,NA
Procedure,olfactory rehab,1,2021-04-16,0,0,0,0,1,University Of Perugia ( 1 ),4.001,1,NA
Biological,pfizer bnt162b2 covid-19 vaccine,1,2021-07-16,0,0,0,0,1,National Institute of Allergy and Infectious Diseases (NIAID) ( 1 ),4.001,1,NA
Drug,pioglitazone,1,2020-06-22,0,0,0,0,1,Samaritan Health Services ( 1 ),4.001,1,NA
Drug,pioglitazone 30 mg,1,2020-08-27,0,0,0,0,1,Fundacion para la Investigacion Biomedica del Hospital Universitario Ramon y Cajal ( 1 ),4.001,1,NA
Biological,ppv23,1,2021-03-08,0,0,0,0,1,China National Biotec Group Company Limited ( 1 ),4.001,1,NA
Biological,ppv23 for the 1st dose,1,2021-10-05,0,0,0,0,1,China National Biotec Group Company Limited ( 1 ),4.001,1,NA
Biological,ppv23;covax,1,2021-10-05,0,0,0,0,1,China National Biotec Group Company Limited ( 1 ),4.001,1,NA
Drug,propofol,1,2020-04-21,0,0,0,0,1,FundaciÃ³n para la InvestigaciÃ³n del Hospital ClÃ­nico de Valencia ( 1 ),4.001,1,NA
Biological,rbd-based protein subunit vaccine (zf2001) against covid-19,1,2021-04-03,0,0,0,0,1,Jiangsu Province Centers for Disease Control and Prevention ( 1 ),4.001,1,NA
Biological,recombinant ad5 vectored covid-19 vaccine,1,2021-04-03,0,0,0,0,1,Jiangsu Province Centers for Disease Control and Prevention ( 1 ),4.001,1,NA
Diagnostic Test,second dose,1,2021-04-14,0,0,0,0,1,Sciensano ( 1 ),4.001,1,NA
Biological,simultaneous administration of mrna covid-19/iiv4,1,2021-08-30,0,0,0,0,1,Duke University ( 1 ),4.001,1,NA
Drug,standard of care thromboprophylaxis,1,2020-04-13,0,0,0,0,1,University of Iowa ( 1 ),4.001,1,NA
Drug,standard treatment covid-19,1,2021-07-03,0,0,0,0,1,Ain Shams University ( 1 ),4.001,1,NA
Drug,sublingual micro-dose ketamine,1,2021-02-22,0,0,0,0,1,Limbic Medical ( 1 ),4.001,1,NA
Biological,the sars-cov-2 inactivated vaccine,1,2021-07-13,0,0,0,0,1,"Sinovac Biotech Co., Ltd ( 1 )",4.001,1,NA
Other,the standard protocol only,1,2021-02-13,0,0,0,0,1,ClinAmygate ( 1 ),4.001,1,NA
Drug,theraputic heparin,1,2020-08-06,0,0,0,0,1,University of Pittsburgh ( 1 ),4.001,1,NA
Drug,tnkase,1,2020-09-19,0,0,0,0,1,Cedars-Sinai Medical Center ( 1 ),4.001,1,NA
Drug,triazavirin,1,2021-07-03,0,0,0,0,1,Ain Shams University ( 1 ),4.001,1,NA
Biological,trivalent split influenza vaccine,1,2021-04-03,0,0,0,0,1,Jiangsu Province Centers for Disease Control and Prevention ( 1 ),4.001,1,NA
Dietary Supplement,ultra-micronized palmitoylethanolamide (mpea,1,2020-09-24,0,0,0,0,1,Epitech Group SpA ( 1 ),4.001,1,NA
Drug,umifenovir,1,2020-04-14,0,0,0,0,1,Shahid Beheshti University of Medical Sciences ( 1 ),4.001,1,1
Dietary Supplement,"umpea, 300mg",1,2020-09-24,0,0,0,0,1,Epitech Group SpA ( 1 ),4.001,1,NA
Drug,unfractionated heparin iv,1,2020-05-28,0,0,0,0,1,The TIMI Study Group ( 1 ),4.001,1,NA
Drug,unfractionated heparin sc,1,2020-05-28,0,0,0,0,1,The TIMI Study Group ( 1 ),4.001,1,NA
Biological,vaccinated with polio vaccine (ipv),1,2020-11-16,0,0,0,0,1,E-MO Biology Inc ( 1 ),4.001,1,NA
Dietary Supplement,zinc sulfate 220 mg,1,2020-11-06,0,0,0,0,1,"St. Francis Hospital, New York ( 1 )",4.001,1,NA
Other,exercise,24,2020-05-07,23,0,1,0,0,"University of Sao Paulo ( 3 )|Biruni University ( 1 )|Cairo University ( 1 )|Clinical Exercise Physiology and Rehabilitation Reasearch Laboratory ( 1 )|Gazi University ( 1 )|Government College University Faisalabad ( 1 )|Hacettepe University ( 1 )|Istinye University ( 1 )|Karolinska Institutet ( 1 )|KTO Karatay University ( 1 )|Medical University of Vienna ( 1 )|National Institutes of Health Clinical Center (CC) ( 1 )|Rigshospitalet, Denmark ( 1 )|Universidad de Murcia ( 1 )|Universidade Metodista de Piracicaba ( 1 )|University Hospital Southampton NHS Foundation Trust ( 1 )|University of Alberta ( 1 )|University of British Columbia ( 1 )|University of Erlangen-NÃ¼rnberg Medical School ( 1 )|University of Massachusetts, Amherst ( 1 )|University of Turin, Italy ( 1 )|Yeditepe University ( 1 )",3.024,22,7
Radiation,radiotherapy,11,2020-05-04,7,0,4,0,0,"Ohio State University Comprehensive Cancer Center ( 2 )|Fundacion GenesisCare ( 1 )|Grupo de InvestigaciÃ³n ClÃ­nica en OncologÃ­a Radioterapia ( 1 )|Hospital San Carlos, Madrid ( 1 )|Instituto Mexicano del Seguro Social ( 1 )|Lancashire Teaching Hospitals NHS Foundation Trust ( 1 )|Mahatma Gandhi Institute of Medical Sciences ( 1 )|Memorial Sloan Kettering Cancer Center ( 1 )|Shahid Beheshti University of Medical Sciences ( 1 )|University Hospital, Basel, Switzerland ( 1 )",3.011,10,8
Drug,nitric oxide,8,2020-04-05,0,1,7,0,0,"Massachusetts General Hospital ( 4 )|Sanotize Research and Development corp. ( 1 )|Tomsk National Research Medical Center of the Russian Academy of Sciences ( 1 )|Tufts Medical Center ( 1 )|University Health Network, Toronto ( 1 )",3.008,5,2
Other,supportive care,5,2020-04-14,2,0,3,0,0,"Aga Khan University ( 1 )|Baylor College of Medicine ( 1 )|BeiGene ( 1 )|Institute of Liver and Biliary Sciences, India ( 1 )|Mansoura University ( 1 )",3.005,5,NA
Biological,ampion,5,2021-05-06,0,3,2,0,0,Ampio Pharmaceuticals. Inc. ( 5 ),3.005,1,NA
Biological,nk cells,5,2020-04-22,0,2,3,0,0,"Celularity Incorporated ( 1 )|Chongqing Public Health Medical Center ( 1 )|Instituto de InvestigaciÃ³n Hospital Universitario La Paz ( 1 )|Masonic Cancer Center, University of Minnesota ( 1 )|Xinxiang medical university ( 1 )",3.005,5,2
Diagnostic Test,ct-scan,4,2020-04-22,3,0,1,0,0,"Hospital General de MÃ©xico Dr. Eduardo Liceaga ( 1 )|Jessa Hospital ( 1 )|Semmelweis University Heart and Vascular Center ( 1 )|State Budgetary Healthcare Institution, National Medical Surgical Center N.A. N.I. Pirogov, Ministry of Health of Russia ( 1 )",3.004,4,2
Dietary Supplement,probiotic,4,2020-04-27,3,0,1,0,0,Bioithas SL ( 1 )|Biosearch S.A. ( 1 )|Brugmann University Hospital ( 1 )|Vanderbilt University Medical Center ( 1 ),3.004,4,NA
Other,blood,4,2020-05-01,2,0,2,0,0,"Centre Hospitalier Universitaire de Nice ( 1 )|Memorial Sloan Kettering Cancer Center ( 1 )|Puerta de Hierro University Hospital ( 1 )|University Hospital, Ghent ( 1 )",3.004,4,2
Drug,defibrotide,4,2020-03-31,0,1,3,0,0,Brigham and Women's Hospital ( 1 )|Fundacion para la Formacion e Investigacion Sanitarias de la Region de Murcia ( 1 )|IRCCS San Raffaele ( 1 )|University of Michigan ( 1 ),3.004,4,NA
Drug,emtricitabine,4,2020-04-15,0,0,0,4,0,"Instituto de InvestigaciÃ³n Hospital Universitario La Paz ( 1 )|Plan Nacional sobre el Sida (PNS) ( 1 )|Universidad Nacional de Colombia ( 1 )|University Hospital, Caen ( 1 )",3.004,4,9
Biological,mesenchymalÂ stem cells,4,2020-09-22,0,1,3,0,0,"Rohto Pharmaceutical Co., Ltd. ( 2 )|Institute of Cell Therapy ( 1 )|M.D. Anderson Cancer Center ( 1 )",3.004,3,NA
Drug,methylene blue,4,2020-05-01,0,1,3,0,0,Ain Shams University ( 1 )|Fondazione Epatocentro Ticino ( 1 )|I.M. Sechenov First Moscow State Medical University ( 1 )|Irkutsk Scientific Center of the Siberian Branch of the Russian Academy of Sciences ( 1 ),3.004,4,NA
Combination Product,na-831,4,2020-09-04,0,0,0,4,0,"NeuroActiva, Inc. ( 4 )",3.004,1,NA
Drug,resveratrol,3,2021-03-10,1,0,2,0,0,Hong Kong Baptist University ( 1 )|Mount Carmel Health System ( 1 )|Swedish Medical Center ( 1 ),3.003,3,1
Drug,at-527,3,2021-05-04,0,1,2,0,0,"Atea Pharmaceuticals, Inc. ( 2 )|Hoffmann-La Roche ( 1 )",3.003,2,NA
Biological,comirnaty,3,2021-05-25,0,1,2,0,0,Medical University Innsbruck ( 1 )|Spanish Clinical Research Network - SCReN ( 1 )|UniversitÃ¤tsklinikum Hamburg-Eppendorf ( 1 ),3.003,3,1
Drug,eidd-2801,3,2020-05-26,0,1,2,0,0,"Ridgeback Biotherapeutics, LP ( 3 )",3.003,1,3
Drug,honey,3,2020-04-11,0,0,0,3,0,Sheikh Zayed Federal Postgraduate Medical Institute ( 2 )|Misr University for Science and Technology ( 1 ),3.003,2,1
Drug,immunoglobulin,3,2020-04-08,0,0,0,3,0,Centenario Hospital Miguel Hidalgo ( 1 )|Centre Hospitalier St Anne ( 1 )|University of Oxford ( 1 ),3.003,3,5
Drug,maraviroc,3,2020-06-18,0,1,2,0,0,Hospital General de MÃ©xico Dr. Eduardo Liceaga ( 1 )|Hospital Universitario Infanta Leonor ( 1 )|Rhode Island Hospital ( 1 ),3.003,3,NA
Drug,molnupiravir,3,2021-06-24,0,0,0,3,0,Merck Sharp & Dohme Corp. ( 3 ),3.003,1,NA
Biological,ub-612,3,2021-02-23,0,2,1,0,0,"United Biomedical Inc., Asia ( 3 )",3.003,1,NA
Dietary Supplement,vitamin super b-complex,3,2020-04-20,0,0,0,3,0,Romark Laboratories L.C. ( 3 ),3.003,1,NA
Dietary Supplement,asbrip,3,2021-01-04,1,0,2,0,0,Catalysis SL ( 3 ),3.003,1,NA
Drug,bevacizumab,3,2020-03-09,1,0,2,0,0,Qilu Hospital of Shandong University ( 2 )|MaimÃ³nides Biomedical Research Institute of CÃ³rdoba ( 1 ),3.003,2,1
Other,education,3,2020-10-20,2,0,1,0,0,KTO Karatay University ( 1 )|National Institutes of Health Clinical Center (CC) ( 1 )|University of Malaga ( 1 ),3.003,3,NA
Dietary Supplement,viusid,3,2021-01-04,1,0,2,0,0,Catalysis SL ( 3 ),3.003,1,NA
Biological,allocetra-ots,3,2021-06-09,0,1,2,0,0,Hadassah Medical Organization ( 2 )|Enlivex Therapeutics Ltd. ( 1 ),3.003,2,NA
Biological,av-covid-19,3,2021-08-11,0,2,1,0,0,"Aivita Biomedical, Inc. ( 2 )|Indonesia-MoH ( 1 )",3.003,2,NA
Biological,vpm1002,3,2020-06-16,0,0,0,3,0,"Vakzine Projekt Management GmbH ( 2 )|University Health Network, Toronto ( 1 )",3.003,2,NA
Other,blood draw,2,2020-04-30,1,0,1,0,0,Assistance Publique Hopitaux De Marseille ( 1 )|Washington University School of Medicine ( 1 ),3.002,2,NA
Dietary Supplement,fotv,2,2021-06-30,1,0,1,0,0,"University of California, San Diego ( 2 )",3.002,1,NA
Device,rd-x19,2,2021-07-09,1,0,1,0,0,KNOWBio Inc. ( 2 ),3.002,1,NA
Drug,adg20,2,2021-03-17,0,0,0,2,0,"Adagio Therapeutics, Inc. ( 2 )",3.002,1,NA
Biological,aviptadil,2,2021-04-09,0,0,0,2,0,"National Institute of Allergy and Infectious Diseases (NIAID) ( 1 )|NeuroRx, Inc. ( 1 )",3.002,2,NA
Drug,broncho-vaxomâ®,2,2020-07-26,0,0,0,2,0,The University of Queensland ( 2 ),3.002,1,NA
Drug,gx-19n,2,2021-06-03,0,1,1,0,0,"Genexine, Inc. ( 2 )",3.002,1,NA
Drug,interferon î²-1b,2,2020-04-11,0,0,0,2,0,"University Hospital, Bordeaux ( 2 )",3.002,1,1
Combination Product,mefloquine,2,2020-04-07,0,0,0,2,0,Burnasyan Federal Medical Biophysical Center ( 2 ),3.002,1,NA
