nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,id,nct_id,mesh_term,downcase_mesh_term,intervention_type,intervention_name,description,intervention_count,status,facility_name,city,state,zip,country,site_count
"ClinicalTrials.gov processed this data on April 22, 2020",2020-03-26,NA,NA,2020-04-10,2020-03-26,2020-03-31,Actual,NA,NA,NA,NA,NA,NA,2020-04-10,2020-04-14,Actual,"March 25, 2020",Actual,2020-03-25,April 2020,2020-04-30,"April 10, 2020",Anticipated,2020-04-10,"April 3, 2020",Anticipated,2020-04-03,NA,Observational,NA,,A Longitudinal Study of COVID-19 Positive Patients Testing Nasal Swabs and Collecting Blood Samples for Research,A Longitudinal Study of COVID-19 Positive Patients Testing Nasal Swabs and Collecting Blood Samples for Research,Recruiting,NA,NA,120,Anticipated,UnitedHealth Group,,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples Without DNA,"
      Patients will return at the following times to complete the same battery of sample
      collection:

        -  7-9 days after initially testing positive;

        -  14-18 days after initially testing positive;

        -  28-42 days after initially testing positive. Additional visits, during which additional
           samples could be collected may occur after 42 days if agreeable to the participants and
           desired by the study investigators.
    ",2 months,"The data collected due to this study will be extracted from the medical record and stored for additional research analysis to demonstrate equivalence between location in the two nasal swabs. Blood samples will be delivered to PATH and the Mayo Clinic for storage and analysis. Patients may not have access to these samples or the blood features derived from them after sample collection. Data will be shared between the participating clinics, UHG and collaborating partners performing the analysis of the samples and returning results.",NA,Yes,"Four data sources will be recorded for each patient who consents to participate in the study:
Electronic medical record (EMR);
Results of testing from the foam and polyester nasal swab samples;
Results of any blood testing performed on the blood samples;
Responses to a set of standard questions posed to each participant.",2020-04-24T09:08:15Z,2020-04-24T09:08:15Z,5099425,NCT04327804,Coronavirus Infections,coronavirus infections,Diagnostic Test,Odd/Even birth year intervention groups,The nostril used and order of testing will be different in each arm.,1,Recruiting,Everett Clinic,Seattle,Washington,98133,United States,1
"ClinicalTrials.gov processed this data on April 22, 2020",2020-03-25,NA,NA,2020-04-10,2020-03-25,2020-03-27,Actual,NA,NA,NA,NA,NA,NA,2020-04-10,2020-04-14,Actual,"March 10, 2020",Actual,2020-03-10,April 2020,2020-04-30,"May 8, 2020",Anticipated,2020-05-08,"April 10, 2020",Anticipated,2020-04-10,NA,Observational,CORONADO,,"""COVID-19 and Diabetes Outcomes""","""Coronavirus SARS-CoV2 and Diabetes Outcomes"" : CORONADO",Recruiting,NA,NA,1000,Anticipated,Nantes University Hospital,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-24T09:08:24Z,2020-04-24T09:08:24Z,5099458,NCT04324736,Coronavirus Infections,coronavirus infections,Other,no interventional study,no interventional study,1,Recruiting,CHU Nantes,Nantes,,44000,France,1
"ClinicalTrials.gov processed this data on March 31, 2020",2020-03-08,NA,NA,2020-03-16,2020-03-11,2020-03-12,Actual,NA,NA,NA,NA,NA,NA,2020-03-16,2020-03-17,Actual,"March 8, 2020",Actual,2020-03-08,March 2020,2020-03-31,"May 31, 2020",Anticipated,2020-05-31,"May 31, 2020",Anticipated,2020-05-31,NA,Observational,NA,,Social Media Use During COVID-19,Getting it Right: Towards Responsible Social Media Use During a Pandemic,Recruiting,NA,NA,5000,Anticipated,Yale-NUS College,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,"Due to stipulations by the Institutional Review Board, data cannot be shared.",2020-04-01T09:20:25Z,2020-04-01T09:20:25Z,4275274,NCT04305574,Coronavirus Infections,coronavirus infections,Behavioral,Use of social media during COVID-19,Participants' self-reported use of social media to receive and share news about COVID-19,1,Recruiting,Yale-NUS College,Singapore,,138527,Singapore,1
"ClinicalTrials.gov processed this data on March 31, 2020",2020-03-10,NA,NA,2020-03-14,2020-03-10,2020-03-13,Actual,NA,NA,NA,NA,NA,NA,2020-03-14,2020-03-17,Actual,"March 19, 2020",Anticipated,2020-03-19,March 2020,2020-03-31,"December 31, 2020",Anticipated,2020-12-31,"April 19, 2020",Anticipated,2020-04-19,NA,Observational,NA,,Acute Respiratory Failure and Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection in Real Life,Acute Respiratory Failure and Continuous Positive Airway Pressure Therapy in Patients With Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection: a Real Life Evaluation,Not yet recruiting,NA,NA,50,Anticipated,University of Milan,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-01T09:20:12Z,2020-04-01T09:20:12Z,4275055,NCT04307459,Coronavirus Infections,coronavirus infections,Other,standard operating procedures,"standard operating procedures represented by continuous positive airway pressure (CPAP) therapy or non invasive ventilation, pharmacological treatment as antiviral and antibiotic drugs, bronchodilators, xanthines, enteral nutrition, hydration.",1,,Luigi Sacco University Hospital,Milan,Lombardia,20157,Italy,1
"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-25,NA,NA,2020-02-28,2020-02-28,2020-03-03,Actual,NA,NA,NA,NA,NA,NA,2020-02-28,2020-03-03,Actual,"February 1, 2020",Actual,2020-02-01,February 2020,2020-02-29,"December 31, 2020",Anticipated,2020-12-31,"July 31, 2020",Anticipated,2020-07-31,NA,Observational,NA,,Anti-SARS-CoV-2 Inactivated Convalescent Plasma in the Treatment of COVID-19,The Efficacy and Safety of Anti-SARS-CoV-2 Inactivated Convalescent Plasma in the Treatment of Novel Coronavirus Pneumonia Patient (COVID-19) : An Observational Study,Recruiting,NA,NA,15,Anticipated,Shanghai Public Health Clinical Center,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-01T09:22:05Z,2020-04-01T09:22:05Z,4276857,NCT04292340,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,Recruiting,Shanghai Public Health Clinical Center,Shanghai,Shanghai,201508,China,1
"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-23,NA,NA,2020-02-29,2020-02-29,2020-03-03,Actual,NA,NA,NA,NA,NA,NA,2020-02-29,2020-03-03,Actual,"January 1, 2020",Actual,2020-01-01,February 2020,2020-02-29,"July 31, 2020",Anticipated,2020-07-31,"April 30, 2020",Anticipated,2020-04-30,NA,Observational,2019-nCoV,,Clinical Progressive Characteristics and Treatment Effects of 2019-novel Coronavirus,Clinical Progressive Characteristics and Treatment Effects of 2019-novel Coronavirus(2019-nCoV),"Active, not recruiting",NA,NA,400,Anticipated,Fujian Provincial Hospital,,NA,3,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-01T09:22:05Z,2020-04-01T09:22:05Z,4276858,NCT04292327,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,,Fujian Provincial Hospital,Fuzhou,Fujian,350000,China,1
"ClinicalTrials.gov processed this data on April 24, 2020",2020-04-09,NA,NA,2020-04-15,2020-04-10,2020-04-13,Actual,NA,NA,NA,NA,NA,NA,2020-04-15,2020-04-16,Actual,"April 1, 2020",Actual,2020-04-01,April 2020,2020-04-30,"June 1, 2022",Anticipated,2022-06-01,"April 15, 2020",Anticipated,2020-04-15,NA,Observational,STOP-COVID,,Study of the Treatment and Outcomes in Critically Ill Patients With COVID-19,Study of the Treatment and Outcomes in Critically Ill Patients With COVID-19,Recruiting,NA,NA,2000,Anticipated,Brigham and Women's Hospital,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-26T09:06:09Z,2020-04-26T09:06:09Z,5123689,NCT04343898,Coronavirus Infections,coronavirus infections,Other,No intervention,Observational,1,Recruiting,Brigham and Women's Hospital,Boston,Massachusetts,02115,United States,1
"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-19,NA,NA,2020-02-19,2020-02-19,2020-02-21,Actual,NA,NA,NA,NA,NA,NA,2020-02-19,2020-02-21,Actual,"January 20, 2020",Actual,2020-01-20,February 2020,2020-02-29,"February 28, 2021",Anticipated,2021-02-28,"January 31, 2021",Anticipated,2021-01-31,NA,Observational,NA,,Detection of 2019 Novel Coronavirus in Multiple Organ System and Its Relationship With Clinical Manifestations,Study on Detection of 2019 Novel Coronavirus in Multiple Organ System and Its Relationship With Clinical Manifestations in Patients,Recruiting,NA,NA,20,Anticipated,"Third Affiliated Hospital, Sun Yat-Sen University",,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-01T09:23:39Z,2020-04-01T09:23:39Z,4278532,NCT04279795,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,Recruiting,The Third Affiliated Hospital of Sun Yat-sen University,Guangzhou,Guangdong,510630,China,1
"ClinicalTrials.gov processed this data on April 10, 2020",2020-03-30,NA,NA,2020-03-31,2020-03-31,2020-04-01,Actual,NA,NA,NA,NA,NA,NA,2020-03-31,2020-04-01,Actual,April 2020,Anticipated,2020-04-30,March 2020,2020-03-31,May 2022,Anticipated,2022-05-31,May 2022,Anticipated,2022-05-31,NA,Observational,NA,,Impact of the Coronavirus (COVID-19) on Patients With Cancer,Impact of the Coronavirus (COVID-19) on Patients With Cancer,Not yet recruiting,NA,NA,50,Anticipated,Stanford University,,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-11T09:12:30Z,2020-04-11T09:12:30Z,4953200,NCT04330521,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ClinicalTrials.gov processed this data on April 16, 2020",2020-04-06,NA,NA,2020-04-06,2020-04-06,2020-04-07,Actual,NA,NA,NA,NA,NA,NA,2020-04-06,2020-04-07,Actual,"December 23, 2019",Actual,2019-12-23,March 2020,2020-03-31,"March 3, 2020",Actual,2020-03-03,"January 20, 2020",Actual,2020-01-20,NA,Observational,NA,,Clinical and Radiomic Model of COVID-19,A Clinical and Radiological Model to Predict the Prognosis for COVID-19 Patients,Completed,NA,NA,300,Actual,Maastricht University,,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,No share plan,2020-04-17T09:12:02Z,2020-04-17T09:12:02Z,5023014,NCT04337502,Coronavirus Infections,coronavirus infections,Diagnostic Test,Machine learning model,"Machine learning, such as logistic regression, random forest, and deep learning",1,,The central hospital of Wuhan,Wuhan,Hubei,,China,1
"ClinicalTrials.gov processed this data on April 16, 2020",2020-04-01,NA,NA,2020-04-06,2020-04-06,2020-04-07,Actual,NA,NA,NA,NA,NA,NA,2020-04-06,2020-04-07,Actual,"April 1, 2020",Anticipated,2020-04-01,April 2020,2020-04-30,"April 1, 2021",Anticipated,2021-04-01,"April 1, 2021",Anticipated,2021-04-01,NA,Observational,REMOTE-COVID,,Remote Monitoring Use In Cases Of Suspected COVID-19 (Coronavirus),REmote MOniToring usE in Suspected Cases of COVID-19 (Coronavirus): REMOTE-COVID Trial,Not yet recruiting,NA,NA,200,Anticipated,Imperial College London,,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-17T09:12:02Z,2020-04-17T09:12:02Z,5023015,NCT04337489,Coronavirus Infections,coronavirus infections,Device,SensiumVitals wearable sensor,"A waterproof, light, wearable sensor measuring vital signs (heart rate, respiratory rate, temperature) continuously.",1,NA,NA,NA,NA,NA,NA,NA
"ClinicalTrials.gov processed this data on April 10, 2020",2020-03-26,NA,NA,2020-03-30,2020-03-27,2020-03-30,Actual,NA,NA,NA,NA,NA,NA,2020-03-30,2020-04-01,Actual,"March 23, 2020",Actual,2020-03-23,March 2020,2020-03-31,"September 20, 2020",Anticipated,2020-09-20,"July 20, 2020",Anticipated,2020-07-20,NA,Observational,NA,,Active Monitoring And Determinants of Incidence Infection of COVDI-19,Active Monitoring And Determinants of Incidence Infection of COVDI-19 in a Hospital Population (AMADIICH) Study Protocol,Recruiting,NA,NA,1000,Anticipated,"FundaciÃ³n TeÃ³filo Hernando, Spain",,NA,1,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-11T09:13:56Z,2020-04-11T09:13:56Z,4953508,NCT04326400,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,Recruiting,Hospital Universitario de la Princesa,Madrid,,28006,Spain,1
