Intervention_type,intervention,Study_count
Behavioral,blood donation sms,3
Biological,bnt162b1,3
Drug,cannabidiol,3
Drug,cenicriviroc,3
Drug,chloroquine/hydroxychloroquine,3
Drug,clopidogrel,3
Drug,corticosteroid,3
Device,cpap,3
Drug,cyclosporine,3
Drug,day,3
Drug,defibrotide,3
Biological,dose)- stage 2,3
Biological,dzif-10c,3
Other,education,3
Drug,eidd-2801,3
Drug,emtricitabine,3
Other,exhaled breath sampling,3
Drug,fostamatinib,3
Drug,gargle,3
Biological,had5-s-fusion,3
Drug,honey,3
Drug,immunoglobulin,3
Behavioral,information,3
Drug,ino-4800,3
Drug,iodine,3
Radiation,low,3
Drug,ly3832479,3
Behavioral,mechanical ventilation,3
Biological,medium dosage inactivated sars-cov-2 vaccine on a 0-,3
Biological,menacwy,3
Drug,methylene blue,3
Biological,mf59 adjuvanted sars-cov-2 sclamp vaccine,3
Diagnostic Test,monitoring visit,3
Drug,naltrexone,3
Other,nutrition,3
Radiation,phase 2,3
Other,phone call,3
Drug,pirfenidone,3
Drug,prednisone,3
Dietary Supplement,probiotic,3
Dietary Supplement,quercetin,3
Diagnostic Test,rapid test,3
Drug,ravulizumab,3
Drug,regn10933/regn10987 combination therapy,3
Drug,ribavirin,3
Drug,sevoflurane,3
Drug,sng001,3
Biological,stool collection,3
Drug,suspension of heat killed (autoclaved) mycobacterium w,3
Drug,tofacitinib,3
Biological,ty027,3
Biological,vir-7831,3
Dietary Supplement,vitamin super b-complex,3
Biological,vpm1002,3
Combination Product,- tocilizumab,2
Drug,[18f]f-arag (2'-deoxy-2'-fluoro-9-î²-d-arabinofuranosylguanine),2
Biological,1 âµg cov2 sam (lnp),2
Biological,10 âµg cov2 sam (lnp),2
Drug,100 mg,2
Drug,18f-î±vî²6-bp,2
Biological,3 âµg cov2 sam (lnp),2
Biological,30 âµg cov2 sam (lnp),2
Dietary Supplement,300 mg of omega3-fa,2
Drug,99mtc-pertechnetate aerosol,2
Dietary Supplement,aã§aã­ palm berry extract - natural product,2
Biological,abatacept,2
Drug,acetylsalicylic acid,2
Drug,activase,2
Biological,adsorbed covid-19 (inactivated) vaccine,2
Device,aeonose,2
Biological,ag0301-covid19,2
Biological,allocetra-ots,2
Drug,"alpha-interferon, abidol, ribavirin, buzhong yiqi plus",2
Drug,ambrisentan,2
Biological,ampion,2
Biological,angiotensin peptide (1-7) derived plasma,2
Drug,antibiotics,2
Drug,apixaban,2
Drug,apremilast,2
Drug,artecomâ® (pyronaridine-artesunate),2
Dietary Supplement,asbrip,2
Drug,at-527,2
Biological,av-covid-19,2
Biological,avdoralimab,2
Drug,avigan,2
Biological,azd1222,2
Behavioral,basic feedback,2
Drug,bat,2
Behavioral,behavioral,2
Drug,bemiparin,2
Drug,bevacizumab,2
Dietary Supplement,bioargininaâ®,2
Other,blood draw,2
Drug,brequinar,2
Biological,brii-196,2
Biological,brii-196/brii-198,2
Biological,brii-198,2
Drug,broncho-vaxomâ®,2
Drug,bucillamine,2
Other,canine odor detection of volatile organic compounds,2
Other,caring contacts,2
Diagnostic Test,chest ct,2
Drug,chlorhexidine,2
Device,citrox,2
Drug,clorhexidine dental phbâ©,2
Diagnostic Test,conjunctival swab,2
Other,continuation of arb,2
Drug,"conventional medicines (oxygen therapy, alfa interferon via aerosol inhalation,",2
Drug,"conventional medicines (oxygen therapy, alfa interferon via aerosol inhalation,/lopinavir/ritonavir)/traditional chinese medicines (tcms) granules",2
Device,conventional oxygen therapy,2
Biological,coronavac,2
Combination Product,cospherunate,2
Device,coviage,2
Other,covid-19 patients,2
Behavioral,covid-19 symptom monitoring system,2
Diagnostic Test,covid-viroâ® test,2
Biological,ct-p59,2
Diagnostic Test,ct-scan,2
Drug,curosurfâ® (poractant alfa),2
Biological,cvncov 12 î¼g,2
Biological,cvncov 12î¼g,2
Biological,cvncov 6 î¼g,2
Biological,cvncov vaccine,2
Drug,cyt107,2
Device,cytokine adsorption,2
Device,cytosorb,2
Drug,dapagliflozin,2
Behavioral,data collection,2
Drug,dipyridamole,2
Other,discontinuation of arb,2
Behavioral,discussion board for social support,2
Drug,distilled water,2
Biological,dose),2
Biological,dose) - stage 2,2
Drug,doxycycline tablets,2
Diagnostic Test,drã¤ger antigen test sars-cov-2,2
Drug,duvelisib,2
Device,ðžxygen therapy,2
Drug,early-dexamethasone,2
Drug,edp1815,2
Behavioral,entrã©e: behavioral skills,2
Behavioral,entrã©e: cognitive skills,2
Behavioral,entrã©e: interpersonal skills,2
Biological,epivaccorona (epivaccorona vaccine based on peptide antigens for the prevention of covid-19),2
Drug,essential oils,2
Behavioral,exercise training,2
Other,exercise/nutrition,2
Drug,exo 1 inhalation,2
Drug,exo 2 inhalation,2
Behavioral,experimental group,2
Behavioral,expressive writing,2
Device,extracorporeal blood purification using the oxirisâ® (an69st) hemofilter,2
Combination Product,favipiravir/hydroxychloroquine,2
Device,fit test,2
Drug,folic acid,2
Drug,fuzheng huayu,2
Device,gammacoreâ® (vagus nerve stimulation),2
Device,gammacoreâ® sapphire (non-invasive vagus nerve stimulator),2
Biological,gbp510 (rbd 25î¼g,2
Biological,gbp510 adjuvanted with alum (rbd 10î¼g,2
Biological,gbp510 adjuvanted with alum (rbd 25î¼g,2
Biological,gbp510 adjuvanted with as03 (rbd 10î¼g,2
Biological,gbp510 adjuvanted with as03 (rbd 25î¼g,2
Dietary Supplement,glycine,2
Drug,group hydroxychloroquine,2
Drug,gx-i7,2
Biological,had5-s-fusion/n-etsd vaccine,2
Other,health supplements,2
placebo,high-dose placebo (18-59 years),2
placebo,high-dose placebo (60-85 years),2
Biological,high-dose recombinant covid-19 vaccine (sf9 cells) (18-59 years),2
Biological,high-dose recombinant covid-19 vaccine (sf9 cells) (60-85 years),2
Biological,high dosage inactivated sars-cov-2 vaccine,2
Device,high flow nasal cannula,2
Device,high flow nasal cannula (hfnc),2
Drug,hormones,2
Biological,human amniotic fluid,2
Drug,hydroxychloroquine/clindamycin/primaquine,2
Drug,hzvsf-v13,2
Drug,ibrutinib,2
Drug,ibuprofen,2
Diagnostic Test,id nowâ„¢ covid-19 screening test,2
Device,igg,2
Device,igm antibodytest,2
Device,igm/igg rapid test,2
Drug,iloprost,2
Drug,imatinib,2
Drug,imu-838,2
Drug,infliximab,2
Drug,interferon-ãÿ-1a,2
Drug,interferon-î² 1a,2
Drug,interferon î²-1b,2
Drug,interleukin,2
Biological,intramuscular vaccine,2
Drug,iota-carrageenan,2
Other,kb109,2
Other,kb109 / self supportive care (ssc),2
Dietary Supplement,l-citrulline,2
Biological,lanadelumab,2
Procedure,laryngoscopy,2
Drug,ledipasvir,2
Drug,leflunomide,2
Device,life2000â® ventilator,2
Drug,lopinavir/ ritonavir,2
placebo,low-dose placebo (18-59 years),2
placebo,low-dose placebo (60-85 years),2
Biological,low-dose recombinant covid-19 vaccine (sf9 cells) (18-59 years),2
Biological,low-dose recombinant covid-19 vaccine (sf9 cells) (60-85 years),2
Device,lucira covid-19 all-in-one test kit,2
Device,lung ultrasound,2
Drug,m5049,2
Device,"magpro x100 stimulator, b70 fluid-cooled coil",2
Drug,maraviroc,2
Device,marker therapeutics d2000 cartridge (d2000) for use with the spectra optiaâ® apheresis system (optia spd protocol),2
Device,mask,2
Behavioral,meditation,2
Other,meditation (1 x 20-minute guided audio training),2
Biological,medium dosage inactivated sars-cov-2 vaccine,2
Biological,medium dosage inactivated sars-cov-2 vaccine on a 0-/28-day schedule,2
Combination Product,mefloquine,2
Device,metanebâ® system,2
Drug,"minus formula, huhuang detoxicity paste, baimu qingre jiedu paste",2
Biological,moderna covid-19 vaccine,2
Drug,molnupiravir,2
Behavioral,motivational interviewing,2
Drug,n-acetyl cysteine,2
Biological,n-etsd vaccine,2
Biological,nasopharyngeal swabs,2
Device,neuromuscular electrical stimulation,2
Dietary Supplement,nigella sativa,2
Device,nioâ® (intraosseous access),2
Device,nitric oxide delivered via lungfitâ„¢ system,2
Behavioral,no intervention,2
Other,normal saline (0.9% sodium chloride solution)- stage 2,2
Drug,nusepinâ® 0.1 mg,2
Drug,nusepinâ® 0.2 mg,2
Behavioral,ocat,2
Biological,octagam,2
Drug,omegavenâ®,2
Behavioral,online support group,2
Drug,opaganib,2
Procedure,ophthalmologic exam,2
Biological,oral polio vaccine,2
Drug,osoc,2
Drug,oximenâ® 3%,2
Other,oxygen-ozone,2
Drug,pegylated interferon-î±2b,2
Diagnostic Test,performance evaluation,2
Behavioral,personalized feedback,2
Radiation,phase 1,2
Other,physical therapy,2
placebo,placebo (normal saline solution),2
Biological,plx-pad,2
Behavioral,prayer,2
Behavioral,preventive information,2
Drug,proxalutamide,2
Drug,pul-042,2
Other,pulmonary rehabilitation,2
Drug,pyronaridine-artesunate,2
Biological,qazcovid-inâ®-vaccine against covid-19,2
Biological,qazcovid-inâ® - covid-19 inactivated vaccine,2
Other,quality-of-life assessment,2
Diagnostic Test,rapid diagnostic test vs pcr,2
Drug,recombinant human interferon î±2b spray,2
Biological,recombinant new coronavirus vaccine (cho cell) low-dose group,2
Biological,recombinant new coronavirus vaccine (cho cells) high-dose group,2
Drug,regn10933 / regn10987,2
Dietary Supplement,resveratrol,2
Dietary Supplement,rhea health toneâ®,2
Drug,ribaroxaban,2
Drug,rivaroxaban 10 mg,2
Drug,roactemra,2
Drug,rosuvastatin,2
Drug,rtb101,2
Drug,ruconest,2
Biological,saline containing 1% human serum albuminï¼ˆsolution without uc-mscsï¼‰,2
Diagnostic Test,sample collection,2
Other,self supportive care (ssc),2
Other,self supportive care (ssc) alone,2
Drug,selinexor,2
Biological,serum test,2
Drug,silmitasertib,2
Drug,siltuximab,2
Drug,silymarin,2
Behavioral,simple cognitive task intervention,2
Drug,sirolimus,2
Device,smf,2
Drug,soc / placebo,2
Drug,sodium bicarbonate,2
Drug,sofosbuvir/daclatasvir,2
Drug,sofosbuvir/ledipasvir,2
Device,splenic ultrasound,2
Drug,standard covid-19 care,2
Other,stp,2
Other,surgical mask,2
Drug,tacrolimus,2
Drug,td-0903,2
Other,tele-yoga,2
Drug,tenofovir disoproxil,2
Diagnostic Test,testing,2
placebo,"three doses of placebo at the schedule of day 0, 14, 28ï¼ˆhigh-dose groupï¼‰",2
Drug,thromboprophylaxis,2
Drug,thymalfasin,2
Drug,tricorâ® 145mg tablets,2
Biological,two dose chadox1 ncov-19,2
Biological,"two doses of low dosage inactivated sars-cov-2 vaccine at the schedule of day 0,28",2
Biological,"two doses of medium dosage inactivated sars-cov-2 vaccine at the schedule of day 0,28",2
placebo,"two doses of placebo at the schedule of day 0, 28ï¼ˆhigh-dose groupï¼‰",2
placebo,"two doses of placebo at the schedule of day 0, 28ï¼ˆmiddle-dose groupï¼‰",2
Biological,ub-612,2
Device,uvc irradiation,2
Other,vehicle control,2
Behavioral,video chat,2
Drug,virazole,2
Drug,vitis xtra forteâ©,2
Dietary Supplement,viusid,2
Device,volatile organic compounds analysis,2
Device,vv-ecmo,2
Drug,water,2
Other,yoga,2
Drug,zilucoplanâ®,2
Drug,-interferon nebulization,1
Other,"""calm"" is a mindfulness meditation mobile app",1
placebo,"""sham""-block with placebo (isotone nacl)",1
Other,),1
Other,0.07% cetylpyridinium chloride (cpc) in mouthwash,1
Drug,0.075% cetylpyridinium chloride,1
Drug,0.075% cetylpyridinium chloride (cpc),1
Drug,0.1% sodium hypochlorite,1
Drug,0.12% chg oral rinse,1
Drug,0.12% chlorhexidine gluconate,1
Drug,0.12% chlorhexidine gluconate mouth rinse,1
Drug,0.4ml inj syringe 0.4ml,1
Drug,0.5% povidone iodine,1
Biological,0.5ml,1
Drug,0.9% (w,1
Drug,0.9% (w/v) saline,1
Drug,0.9% normal saline,1
Drug,1% hydrogen peroxide,1
Drug,1% povidone iodine (pvp-i),1
Drug,1% w,1
Drug,1% w/v povidone-iodide,1
Drug,1.5-2% w,1
Drug,1.5-2% w/v hydrogen peroxide,1
Drug,1.5% hydrogen peroxide (h2o2),1
Biological,10 to 14 days later,1
Drug,100 mg/ml virazole,1
Other,"12.7% fio2, hypercapnia 7% co2, inspiratory mechanical constraint",1
Biological,15mg,1
Drug,1600 mg),1
Biological,2.2x10^10vp (qpcr) boost,1
Biological,21 - phase 2,1
Drug,21% ethanol,1
Drug,21% ethanol/essential oils,1
Diagnostic Test,24 hour holter ecg,1
Drug,24h transdermal patch - 24 hour,1
Biological,28),1
Biological,2nd dose),1
Drug,3),1
Drug,400 mg,1
Combination Product,4plants,1
Combination Product,4plants/azythromycin,1
Dietary Supplement,5-ala-phosphate,1
Dietary Supplement,5-ala-phosphate / sfc (5-ala / sfc),1
Drug,5% glucose,1
Drug,50 mg,1
Drug,50 mg/ml virazole,1
Other,6 minutes walk test,1
Other,6 months later,1
Dietary Supplement,600mg) oral suspension,1
Radiation,99mtc-pertechnetate,1
Behavioral,a $10 survey incentive,1
Behavioral,a $20 survey incentive,1
placebo,"a high-dose placebo (18-59 years) at the schedule of day 0, 28, 56",1
placebo,"a high-dose placebo (60-85 years) at the schedule of day 0, 28, 56",1
Biological,"a high-dose recombinant covid-19 vaccine (cho cell) (18-59 years) at the schedule of day 0, 28, 56",1
Biological,"a high-dose recombinant covid-19 vaccine (cho cell) (60-85 years) at the schedule of day 0, 28, 56",1
placebo,"a middle-dose placebo (18-59 years) at the schedule of day 0, 28, 56",1
placebo,"a middle-dose placebo (60-85 years) at the schedule of day 0, 28, 56",1
Biological,"a middle-dose recombinant covid-19 vaccine (cho cell) (18-59 years) at the schedule of day 0, 28, 56",1
Biological,"a middle-dose recombinant covid-19 vaccine (cho cell) (60-85 years) at the schedule of day 0, 28, 56",1
Other,a short video intervention,1
Other,a vignette intervention,1
Biological,aapc,1
Diagnostic Test,aaz covid-19 rapid test,1
Dietary Supplement,abbc1 immunoessential,1
Drug,abbv-2b04,1
Drug,abbv-47d11,1
Drug,abivertinib,1
Drug,abx464,1
Device,accuchek inform ii platform,1
Drug,"ace inhibitor, angiotensin receptor blocker",1
Behavioral,acknowledgement racial injustice ama,1
Device,actigraphy,1
Behavioral,action (tara),1
Drug,active comparator,1
Behavioral,active control:healthy living,1
Other,activity list,1
Biological,ad5-ncov,1
Biological,adcld-cov19,1
Biological,adcovid,1
Biological,adenovirus type-5 vectored covid-19 vaccine,1
Drug,adg20,1
Biological,adimrsc-2f,1
Drug,adm03820,1
Biological,administration of equine immunoglobulin anti sars-cov-2,1
Biological,adsorbed sars-cov-2 (inactivated) vaccine,1
Other,aerobic exercises,1
Other,aerobic training,1
Drug,aerosolized dnase,1
Behavioral,african american sender acknowledgement,1
Behavioral,african american sender in informational videos.,1
Other,after-each-case room disinfection,1
Drug,agent-797,1
Other,ai algorithm,1
Drug,ak119,1
Dietary Supplement,alanine,1
Other,albumine,1
Other,alcohol mouthwash (listerine) (d) mouth rinse with the solution provided,1
Biological,aldesleukin,1
Drug,allogeneic,1
Drug,allogeneic mesenchymal stem cell,1
Drug,almitrine,1
Drug,"alpha-interferon alpha, abidol, ribavirin, buzhong yiqi plus",1
Drug,"alpha-interferon alpha, abidol, ribavirin, buzhong yiqi plus/minus formula, huhuang detoxicity paste, baimu qingre jiedu paste, fumigation/inhalation of vitamin c",1
Drug,"alpha-interferon, abidol, ribavirin, buzhong yiqi plus/minus formula, huhuang detoxicity paste, baimu qingre jiedu paste/5% glucose",1
Drug,"alpha-interferon, abidol, ribavirin, buzhong yiqi plus/minus formula, huhuang detoxicity paste, baimu qingre jiedu paste/high-dose vitamin c treatment",1
Drug,alpha one antitrypsin,1
Drug,alteplase,1
Biological,alum adjuvant,1
Biological,aluminum adjuvant of inactivated sars-cov-2 vaccine,1
Drug,alvelestat,1
Procedure,alveolar,1
Behavioral,ama acknowledgement drug pricing,1
Other,ambulation,1
Drug,amiodarone,1
Drug,amlodipine,1
Procedure,an69-oxiris,1
Procedure,an69-standard,1
Drug,anakinra/osoc,1
Drug,anakinra/ruxolitinib,1
Drug,ang-3777,1
Other,anger message,1
Radiation,angiography scanner,1
Drug,angiotensin,1
Drug,angiotensin-(1-7),1
Drug,angiotensin ii receptor blockers,1
Drug,anise,1
Drug,anluohuaxian,1
Biological,anti-cd14,1
Biological,anti-coronavirus antibodies (immunoglobulins)obtained with dfpp from convalescent patients,1
Biological,anti-sars-cov-2 igt seropositivity,1
Drug,anti-sars-cov-2 igy,1
Diagnostic Test,antibody test,1
Drug,anticoagulation agents (edoxaban and,1
Drug,anticoagulation agents (edoxaban and/or high dose lmwh),1
Drug,antihypertensives,1
Dietary Supplement,antioxidants,1
Drug,antithrombin,1
Drug,antithrombin / best available treatment,1
Drug,antroquinonol,1
Other,anxiety,1
Drug,apilimod dimesylate,1
Drug,apixaban 5mg,1
Drug,apl-9,1
Other,apps,1
placebo,apremilast placebo,1
Drug,aprepitant injectable emulsion,1
Drug,aprotinin,1
Drug,arbidol hydrochloride/interferon atomization,1
Dietary Supplement,arbox,1
Biological,arct-021 dose 1,1
Biological,arct-021 dose 2,1
Biological,arct-021 dose 3,1
Biological,arct-021 dose 4,1
Biological,arct-021 dose regimen 1,1
Biological,arct-021 dose regimen 2,1
Biological,arct-021 single dose priming,1
Biological,arct-021 two higher dose priming,1
Biological,arct-021 two lower dose priming,1
Other,ardsnet,1
Drug,argatroban,1
Dietary Supplement,artemesia annua,1
Drug,artemether-lumefantrine (al),1
Drug,artemic,1
Drug,artemisia annua leaf,1
Drug,artesunate,1
Drug,artesunate-amodiaquine,1
Drug,asc09,1
Drug,asc09f/oseltamivir,1
Dietary Supplement,ascorbic acid/zinc gluconate,1
Other,ashmolean website,1
Drug,asp,1
Drug,aspirin 25mg orally,1
Other,assembled mask,1
Diagnostic Test,"assessing antibody responses, neutralizing capacity",1
Diagnostic Test,"assessing antibody responses, neutralizing capacity/memory b-cell function",1
Behavioral,assigned strategies: active choice,1
Behavioral,assigned strategies: enhanced active choice,1
Behavioral,assigned strategies: opt-in,1
Biological,asunercept,1
Drug,asunercept 100mg,1
Drug,asunercept 25mg,1
Drug,asunercept 400mg,1
Drug,at-001,1
Combination Product,atazanavir/dexamethasone,1
Drug,ati-450,1
Drug,atorvastatin / l-arginine / folic acid / nicorandil / nebivolol,1
Drug,atorvastatin 20 mg oral tablet,1
Drug,atovaquone,1
Drug,atovaquone/azithromycin,1
Drug,atr-002,1
Behavioral,attention bias modification (abm),1
Behavioral,audio for relaxation techniques,1
Procedure,auditory evoked potentials (aep),1
Behavioral,augmented message,1
Procedure,auricular neuromodulation,1
Device,auricular percutaneous neurostimulation,1
Other,auricular stimulation,1
Combination Product,autologous activated platelet-rich plasma,1
Biological,autologous non-hematopoietic peripheral blood stem cells (nhpbsc),1
Drug,autophagy inhibitor (gns651),1
Drug,auxora,1
Drug,aviptadil,1
Drug,aviptadil/standard care,1
Behavioral,award,1
Behavioral,award advice,1
Behavioral,award/covid-specific advice,1
Drug,azd1656,1
Biological,azd7442 (im),1
Biological,azd7442 (iv),1
Drug,azithromycin / ivermectin / ribaroxaban / paracetamol,1
Drug,azithromycin / ribaroxaban / paracetamol,1
Drug,azoximer bromide,1
placebo,b: placebo,1
Biological,bactek-r,1
Biological,bactrl-spike,1
Behavioral,bandebereho fathers',1
Drug,bardoxolone methyl,1
Other,baseline,1
Other,baseline blood sample,1
Other,baseline message,1
Other,baseline/during hospitalization blood samples,1
Drug,bat / calcifediol,1
Biological,bbv152,1
Biological,bbv152a - phase i,1
Biological,bbv152a - phase ii,1
Biological,bbv152b - phase i,1
Biological,bbv152b - phase ii,1
Biological,bbv152c - phase i,1
Biological,bbv154 vaccine,1
Drug,bcg-10 vaccine,1
Drug,bdb-001 injection,1
Behavioral,behavioral activation ssi,1
Behavioral,behavioral economics,1
Behavioral,behaviour change technique intervention to improve quality of life,1
Drug,bemiparin sodium,1
Drug,bempegaldesleukin,1
Drug,berberine,1
Other,bereavement virtual support group,1
Behavioral,best message,1
Behavioral,best message / augmented message/implementation strategy,1
Behavioral,best message alone,1
Drug,best symptomatic treatment based on doctor recommendations),1
Other,betadine (c) mouth rinse with the solution provided,1
Drug,betadineâ© bucal 100 mg,1
Drug,betadineâ© bucal 100 mg/ml,1
Drug,bgb-dxp593,1
Drug,bgb dxp593,1
Drug,bge-175,1
Drug,bi 764198,1
Drug,bicalutamide 150 mg,1
Drug,bicalutamide 150 mg oral tablet,1
Device,bidirectional oxygenation mouthpiece,1
Drug,bio 300 oral suspension,1
Drug,bio101,1
Behavioral,biobehavioral tele-rehabilitation sessions,1
Other,biocollection,1
Biological,biological test,1
Biological,biological/vaccine: recombinant new coronavirus vaccine (cho cell) low-dose group,1
Biological,biological/vaccine: recombinant new coronavirus vaccine (cho cells) high-dose group,1
Biological,biological/vaccine: recombinant new coronavirus vaccine (cho cells) placebo group,1
Biological,biological: mrna-1273,1
Device,biosensor,1
Procedure,biospecimen collection,1
Device,biovitals,1
Diagnostic Test,biozek covid-19 antigen rapid test,1
Drug,bivalirudin,1
Drug,bld-2660,1
Procedure,blink,1
Procedure,blink/masseter inhibitory reflex,1
Biological,blood collection on their first consultation/10 to 14 days later,1
Diagnostic Test,blood group determination,1
Other,blood sample analyses,1
Other,blood sample/data record,1
Other,blood/derivatives,1
Drug,bms-986253,1
Drug,bno 1030,1
Biological,bnt162a1,1
Biological,bnt162b3,1
Biological,bnt162c2,1
Other,body position change,1
Biological,boost,1
Drug,botulinum neurotoxin,1
Dietary Supplement,bovine plasma-derived immunoglobulin concentrate,1
Diagnostic Test,brain mri,1
Drug,brain parenchyma biopsies,1
Drug,brazilian green propolis extract (epp-af),1
Diagnostic Test,breath biopsy,1
Diagnostic Test,breath test,1
Diagnostic Test,breath test/cheek swab,1
Other,"breathing exercise, intensive spirometry use, supported cough, progressive mobilisation",1
Other,"breathing exercise, intensive spirometry use, supported cough, progressive mobilisation/ambulation",1
Drug,brensocatib,1
Drug,brexanolone,1
Drug,bridge therapy,1
Behavioral,brief counseling,1
Behavioral,brief informational infographic,1
Behavioral,brief interpersonal telepsychotherapy,1
Behavioral,brief mindfulness based intervention,1
Behavioral,brief skills for safer living,1
Drug,brilacidin,1
Dietary Supplement,broad-spectrum cbd oil,1
Dietary Supplement,bromelain,1
placebo,bromhexine 8 mg placebo,1
Drug,bromhexine oral tablet and/or hydroxychloroquine tablet,1
Drug,btl-tml-covid,1
Device,butterfly iq,1
Biological,c-135-ls,1
Biological,c144-ls,1
Biological,c144-ls/c-135-ls,1
Drug,c21,1
Drug,calcifediol,1
Drug,camostat mesylate,1
Drug,candesartan,1
Device,canswab,1
Biological,cap-1002,1
Diagnostic Test,capillary collection,1
Diagnostic Test,capillary collection/testing,1
Other,care as usual,1
Other,caring contacts without an introductory phone call (cc),1
Other,caring contacts/introductory phone call (cc/),1
Device,carragelose,1
Other,cash transfer,1
Biological,castem,1
Dietary Supplement,cbd isolate,1
Biological,ccp,1
Drug,cd24fc,1
Drug,cefditoren pivoxil 400mg,1
Biological,cell therapy protocol 1,1
Biological,cell therapy protocol 2,1
Device,centricyte 1000,1
Drug,cerc-002,1
Drug,"cerebrospinal fluid sampling, meningeal",1
Drug,"cerebrospinal fluid sampling, meningeal/brain parenchyma biopsies",1
Other,certified cloth face mask,1
Other,certified cloth face mask/preventive information,1
Biological,chadox1 ncov-19 0.5ml (3.5-6.5x10^10vp) late vaccine (lv),1
Biological,chadox1 ncov-19 0.5ml (3.5-6.5x10^10vp) late vaccine two (lvt),1
Biological,chadox1 ncov-19 single dose,1
Biological,chadox1 ncov-19 single dose / paracetamol,1
Biological,chadox1 ncov-19 two dose,1
Biological,chadox1 ncov-19 two dose / paracetamol,1
Biological,chadv68-s,1
Biological,chadv68-s-tce,1
Behavioral,"change in knowledge, motivation, skills, resources",1
Behavioral,chat-based instant messaging support,1
Behavioral,chat-based support,1
Other,check-list including lung ultrasound,1
Diagnostic Test,cheek swab,1
Other,chemokines profiles of patients with dexmedetomidine administration,1
Other,chest physiotherapy post-covid19,1
Diagnostic Test,chest x-ray,1
Other,chiropractic care (more than one visit),1
Other,chiropractic care (one visit),1
Other,chlorhexidine gluconate (a) mouth rinse with the solution provided,1
Other,chlorine dioxide,1
Behavioral,choice of assignment: active choice,1
