intervention,"Active, not recruiting",Completed,Enrolling by invitation,Recruiting,Terminated,Total
azd1222,3,0,0,3,0,6
azd7442,4,0,0,2,0,6
blood test,0,2,0,4,0,6
cellectraâ® 2000,4,0,0,2,0,6
clazakizumab,1,3,0,2,0,6
coronavac,2,0,0,4,0,6
lenzilumab,3,1,0,2,0,6
melatonin,0,1,0,5,0,6
n-acetylcysteine,1,2,0,2,1,6
nafamostat mesilate,1,2,0,3,0,6
niclosamide,1,0,0,5,0,6
oseltamivir,1,0,0,5,0,6
peginterferon,2,1,0,3,0,6
povidone/iodine,0,4,0,2,0,6
pulmozyme,0,0,0,6,0,6
regn10933,3,1,0,2,0,6
regn10987,3,1,0,2,0,6
sofosbuvir,0,3,0,3,0,6
,0,3,1,1,0,5
ampion,1,1,0,3,0,5
arbidol,1,2,0,2,0,5
aspirin,1,0,1,3,0,5
atorvastatin,0,1,0,4,0,5
bamlanivimab,1,2,0,2,0,5
best supportive care,0,2,0,2,1,5
budesonide,0,2,0,2,1,5
ciclesonide,0,2,0,2,1,5
doxycycline,0,3,0,2,0,5
famotidine,2,1,0,1,1,5
fluvoxamine,1,1,0,3,0,5
ly3819253,2,2,0,1,0,5
nasopharyngeal swab,1,1,0,3,0,5
nk cells,2,0,0,3,0,5
pcr,1,1,0,3,0,5
quercetin,0,3,0,2,0,5
sargramostim,0,2,0,3,0,5
supportive care,1,3,0,1,0,5
telmisartan,0,1,0,4,0,5
vir-7831,2,1,0,2,0,5
acalabrutinib,1,2,0,0,1,4
anticoagulation,2,0,0,1,1,4
bacille calmette-guã©rin (bcg),0,0,0,4,0,4
biological,1,1,0,2,0,4
blood,2,1,0,1,0,4
bromhexine hydrochloride,1,1,1,1,0,4
chadox1,3,0,1,0,0,4
corticosteroid,0,0,0,4,0,4
ct-scan,0,1,0,3,0,4
cyclosporine,1,1,0,2,0,4
daclatasvir,0,1,0,3,0,4
defibrotide,1,0,0,3,0,4
emtricitabine,0,3,0,1,0,4
high flow nasal cannula,0,2,0,2,0,4
inactivated vaccine,1,1,0,2,0,4
information,3,0,0,1,0,4
kg,0,1,0,2,1,4
mavrilimumab,0,2,0,2,0,4
mesenchymalÂ stem cells,0,1,0,3,0,4
methylene blue,0,1,0,3,0,4
mvc-cov1901(s protein with adjuvant),2,0,1,1,0,4
na-831,0,0,2,2,0,4
paracetamol,1,1,0,2,0,4
pf-07321332,0,0,0,4,0,4
phone call,2,1,0,1,0,4
pirfenidone,0,0,0,4,0,4
probiotic,0,1,0,3,0,4
proxalutamide,1,2,0,1,0,4
pulmonary rehabilitation,0,0,1,3,0,4
sars-cov-2 rs,3,0,0,1,0,4
sodium,0,0,0,4,0,4
survey,0,1,0,3,0,4
ace inhibitor,0,1,0,2,0,3
acupressure,0,0,2,1,0,3
adsorbed covid-19 (inactivated) vaccine,3,0,0,0,0,3
allocetra-ots,1,0,0,2,0,3
asbrip,1,2,0,0,0,3
at-527,0,0,0,3,0,3
atazanavir,0,0,0,3,0,3
av-covid-19,0,2,0,1,0,3
ayurveda,0,3,0,0,0,3
bevacizumab,0,1,0,1,1,3
blood donation sms,0,1,2,0,0,3
bnt162b1,1,0,0,2,0,3
brii-196,0,0,0,3,0,3
brii-196/brii-198,0,0,0,3,0,3
brii-198,0,0,0,3,0,3
canakinumab,0,3,0,0,0,3
cannabidiol,2,0,0,1,0,3
chloroquine/hydroxychloroquine,0,1,0,2,0,3
clopidogrel,0,1,0,2,0,3
comirnaty,2,0,0,1,0,3
cpap,1,0,0,1,1,3
cvncov vaccine,3,0,0,0,0,3
data collection,1,1,0,1,0,3
distilled water,0,1,0,2,0,3
education,0,1,1,1,0,3
eidd-2801,0,2,0,1,0,3
ensovibep,0,1,0,2,0,3
epivaccorona (epivaccorona vaccine based on peptide antigens for the prevention of covid-19),2,1,0,0,0,3
experimental group,1,1,0,1,0,3
fisetin,0,0,3,0,0,3
fostamatinib,0,1,0,2,0,3
had5-s-fusion,2,0,0,1,0,3
honey,0,1,0,2,0,3
hyperbaric oxygen,0,0,0,2,1,3
hzvsf-v13,0,1,0,2,0,3
igg,0,1,0,2,0,3
imdevimab,0,0,0,3,0,3
immunoglobulin,0,2,0,1,0,3
infliximab,0,1,0,2,0,3
ino-4800,2,0,0,1,0,3
interleukin,0,0,0,3,0,3
leflunomide,1,0,0,2,0,3
low,1,0,0,2,0,3
ly3832479,2,1,0,0,0,3
maraviroc,0,1,0,2,0,3
meditation,1,1,1,0,0,3
moderna covid-19 vaccine,1,0,0,2,0,3
molnupiravir,0,0,0,2,1,3
naltrexone,0,0,1,1,1,3
nasal rinse,0,0,0,3,0,3
physical therapy,2,1,0,0,0,3
prednisone,0,1,0,0,2,3
ravulizumab,0,0,0,2,1,3
regn10933 / regn10987,2,0,0,1,0,3
regn10933/regn10987 combination therapy,1,1,0,1,0,3
resveratrol,1,0,0,1,1,3
ribavirin,0,1,0,1,1,3
sevoflurane,0,1,0,1,1,3
sirolimus,0,0,0,3,0,3
sng001,1,0,0,2,0,3
splenic ultrasound,0,1,1,1,0,3
surgical mask,0,3,0,0,0,3
suspension of heat killed (autoclaved) mycobacterium w,0,1,0,2,0,3
tofacitinib,0,2,0,1,0,3
transcranial direct current stimulation,0,0,0,3,0,3
ub-612,0,1,0,2,0,3
vitamin super b-complex,2,1,0,0,0,3
viusid,1,2,0,0,0,3
vla2001,2,0,0,1,0,3
vpm1002,3,0,0,0,0,3
water,0,1,0,0,2,3
[18f]f-arag (2'-deoxy-2'-fluoro-9-î²-d-arabinofuranosylguanine),0,0,0,2,0,2
1 âµg cov2 sam (lnp),2,0,0,0,0,2
100 mg,0,1,0,1,0,2
18f-î±vî²6-bp,0,0,2,0,0,2
202-cov low adjuvant dose,0,0,0,2,0,2
202-cov low antigen dose,0,0,0,2,0,2
202-cov standard dose,0,0,0,2,0,2
28-day schedule,0,0,1,1,0,2
99mtc-pertechnetate aerosol,0,2,0,0,0,2
aã§aã­ palm berry extract - natural product,0,0,0,2,0,2
abatacept,1,0,0,1,0,2
acebilustat,0,0,0,2,0,2
acetylsalicylic acid,0,1,0,1,0,2
active placebo,0,0,0,2,0,2
adg20,0,0,0,2,0,2
adjuvant,1,0,0,1,0,2
advax-sm adjuvant,1,0,0,1,0,2
aeonose,0,2,0,0,0,2
ambrisentan,0,0,0,2,0,2
"anti-covid19 mrna-based vaccine (bnt162b2, comirnatyâ®, commercialized by pfizer)",0,0,0,2,0,2
arb,0,0,0,2,0,2
artecomâ® (pyronaridine-artesunate),0,0,0,2,0,2
artesunate,0,1,0,1,0,2
avdoralimab,1,1,0,0,0,2
avigan,1,0,0,1,0,2
aviptadil,0,1,0,1,0,2
aviptadil 67î¼g,0,0,0,2,0,2
bat,0,0,0,1,1,2
behavior,0,0,0,2,0,2
behavioral,0,0,1,0,1,2
bioargininaâ®,0,0,0,2,0,2
blood draw,0,0,0,2,0,2
brequinar,0,2,0,0,0,2
broncho-vaxomâ®,2,0,0,0,0,2
canine odor detection of volatile organic compounds,0,1,0,1,0,2
caring contacts,1,0,1,0,0,2
casirivimab,0,0,0,2,0,2
cellectraâ„¢ 2000,0,0,0,2,0,2
cenicriviroc,0,0,0,2,0,2
chest ct,0,1,0,1,0,2
clevudine,0,0,0,2,0,2
clorhexidine dental phbâ©,0,2,0,0,0,2
colgate periogardâ® mouthwash,0,0,2,0,0,2
colgate peroxylâ® -1.5% hydrogen peroxide,0,0,0,2,0,2
colgate peroxylâ® mouthwash,0,0,2,0,0,2
colgate totalâ® mouthwash,0,0,2,0,0,2
conjunctival swab,0,1,0,1,0,2
"conventional medicines (oxygen therapy, alfa interferon via aerosol inhalation,/lopinavir/ritonavir)/traditional chinese medicines (tcms) granules",0,0,0,2,0,2
conventional oxygen therapy,1,1,0,0,0,2
corsodylâ® alcohol free -0.2 % chlorhexidine digluconate,0,0,0,2,0,2
covi-amg,0,0,0,2,0,2
coviage,0,2,0,0,0,2
covid-19 patients,1,0,0,1,0,2
covid-viroâ® test,0,2,0,0,0,2
ct-p59,1,0,0,1,0,2
curosurfâ® (poractant alfa),0,0,0,2,0,2
cvncov 12 î¼g,2,0,0,0,0,2
cvncov 12î¼g,2,0,0,0,0,2
cvncov 6 î¼g,2,0,0,0,0,2
cyt107,0,0,0,2,0,2
cytokine adsorption,0,1,0,1,0,2
cytosorb,0,1,0,1,0,2
d,0,1,0,1,0,2
dalargin,0,1,0,1,0,2
dapagliflozin,0,1,0,1,0,2
"ddropsâ® products, 50,000 iu, oral",0,0,0,2,0,2
dipyridamole,0,1,0,1,0,2
disulfiram,1,0,0,1,0,2
dose)- stage 2,2,0,0,0,0,2
dose) - stage 1,2,0,0,0,0,2
dose) - stage 2,2,0,0,0,0,2
drã¤ger antigen test sars-cov-2,0,0,0,0,2,2
duvelisib,0,0,0,2,0,2
dwrx2003,0,0,0,1,1,2
dzif-10c,1,1,0,0,0,2
ðžxygen therapy,0,0,0,2,0,2
ebselen,0,0,2,0,0,2
ec-18,0,0,0,2,0,2
ecg,1,0,0,1,0,2
edp1815,0,0,0,2,0,2
entrã©e: behavioral skills,0,2,0,0,0,2
entrã©e: cognitive skills,0,2,0,0,0,2
entrã©e: interpersonal skills,0,2,0,0,0,2
escola l'horitzã³,0,2,0,0,0,2
essential oils,0,1,0,1,0,2
exo 1,0,1,1,0,0,2
exo 2,0,1,1,0,0,2
extracorporeal blood purification using the oxirisâ® (an69st) hemofilter,0,0,0,2,0,2
favipiravir / standard care,0,1,0,1,0,2
favipiravir/hydroxychloroquine,1,1,0,0,0,2
fit test,0,2,0,0,0,2
folic acid,1,0,0,1,0,2
fotv,0,0,0,2,0,2
fultiumâ® -d3 800,0,0,0,2,0,2
fuzheng huayu,0,1,0,1,0,2
gam-covid-vac / gam-covid-vac,0,1,0,1,0,2
gammacoreâ® (vagus nerve stimulation),2,0,0,0,0,2
gammacoreâ® sapphire (non-invasive vagus nerve stimulator),2,0,0,0,0,2
gargle,0,0,0,2,0,2
glycine,0,0,0,2,0,2
grad-cov2,1,1,0,0,0,2
gx-19n,1,0,0,1,0,2
gx-i7,0,0,0,2,0,2
had5-s-fusion/n-etsd vaccine,1,0,0,1,0,2
health supplements,0,0,0,2,0,2
hormones,1,0,0,1,0,2
human amniotic fluid,0,0,0,2,0,2
hyperimmune immunoglobulin to sars-cov-2 (hivig),0,1,0,1,0,2
î²-hydroxy î²-methyl butyrate (hmb) enriched amino acid,0,0,0,2,0,2
ibrutinib,0,1,0,1,0,2
ibuprofen,0,0,0,2,0,2
id nowâ„¢ covid-19 screening test,2,0,0,0,0,2
igm antibodytest,0,1,0,1,0,2
igm/igg rapid test,0,1,0,1,0,2
iloprost,0,1,0,1,0,2
imatinib,1,0,0,1,0,2
imu-838,0,1,0,1,0,2
inactivated covid-19 vaccine,0,0,0,2,0,2
inactivated sars-cov-2 vaccine (vero cellï¼‰,2,0,0,0,0,2
inactive sars-cov-2 vaccine (vero cell),1,0,0,1,0,2
interferon-ãÿ-1a,0,0,0,0,2,2
interferon-î² 1a,0,0,2,0,0,2
interferon î²-1b,0,0,0,2,0,2
intramuscular vaccine,2,0,0,0,0,2
iota-carrageenan,0,1,0,1,0,2
kb109,0,2,0,0,0,2
kb109 / self supportive care (ssc),0,2,0,0,0,2
kg),0,0,0,2,0,2
l-citrulline,0,1,0,1,0,2
lanadelumab,0,2,0,0,0,2
ledipasvir,0,2,0,0,0,2
life2000â® ventilator,0,0,0,2,0,2
lucira covid-19 all-in-one test kit,0,2,0,0,0,2
lung ultrasound,0,0,0,2,0,2
mad0004j08,1,0,0,1,0,2
"magpro x100 stimulator, b70 fluid-cooled coil",1,0,0,1,0,2
marker therapeutics d2000 cartridge (d2000) for use with the spectra optiaâ® apheresis system (optia spd protocol),0,0,0,2,0,2
mask,0,2,0,0,0,2
mechanical ventilation,1,0,0,1,0,2
meditation (1 x 20-minute guided audio training),0,0,0,2,0,2
medium dosage inactivated sars-cov-2 vaccine,2,0,0,0,0,2
medium dosage inactivated sars-cov-2 vaccine on a 0-,0,0,1,1,0,2
medium dosage inactivated sars-cov-2 vaccine on a 0-/28-day schedule,0,0,1,1,0,2
mefloquine,0,2,0,0,0,2
menacwy,2,0,0,0,0,2
meplazumab,0,1,0,1,0,2
metanebâ® system,0,0,0,2,0,2
microbiome immunity formula,0,0,0,2,0,2
"moderna covid-19 vaccine, mrna-1273 (100 î¼g)",2,0,0,0,0,2
moderna mrna-1273 covid-19 vaccine,0,0,0,2,0,2
mrna-1273.211,1,0,0,1,0,2
mrna-1273.351,2,0,0,0,0,2
musä±c therapy,0,0,0,2,0,2
mvc-cov1901(saline),1,0,0,1,0,2
n-etsd vaccine,1,0,0,1,0,2
nasafytolâ®,0,0,0,2,0,2
nasopharyngeal swabs,1,0,0,1,0,2
ndv-hxp-s 10î¼g (stage a),0,0,0,2,0,2
ndv-hxp-s 1î¼g (stage a),0,0,0,2,0,2
ndv-hxp-s 3î¼g (stage a),0,0,0,2,0,2
neuromuscular electrical stimulation,0,0,0,2,0,2
nicotinamide,0,1,0,1,0,2
nicotinamide riboside,0,0,0,2,0,2
nigella sativa oil,0,1,0,1,0,2
nintedanib,0,0,0,2,0,2
nioâ® (intraosseous access),0,2,0,0,0,2
nitric oxide delivered via lungfitâ„¢ system,0,0,0,2,0,2
normal saline (0.9% sodium chloride solution)- stage 2,2,0,0,0,0,2
normal saline (0.9% sodium chloride solution) - stage 1,2,0,0,0,0,2
nowdx covid-19 test,0,1,0,1,0,2
nusepinâ® 0.1 mg,0,0,0,2,0,2
nusepinâ® 0.2 mg,0,0,0,2,0,2
nutrition,0,0,0,2,0,2
octagam,0,2,0,0,0,2
ofatumumab,0,0,0,2,0,2
omega-3,0,0,0,2,0,2
omega3-fatty acid,0,0,1,1,0,2
omegavenâ®,0,0,0,2,0,2
online support group,1,1,0,0,0,2
opaganib,0,2,0,0,0,2
ophthalmologic exam,0,2,0,0,0,2
oral,0,1,0,1,0,2
oral polio vaccine,1,0,1,0,0,2
oximenâ® 3%,0,2,0,0,0,2
patient navigation (pn),2,0,0,0,0,2
pegylated interferon-î±2b,2,0,0,0,0,2
pentarlandirâ„¢ uppta,0,0,0,2,0,2
pf-06650833,0,0,0,2,0,2
pf-07304814,0,1,0,1,0,2
pfizer-biontech covid-19 vaccine bnt162b2 (30 âµg)( comirnatyâ®),2,0,0,0,0,2
photodynamic therapy,1,1,0,0,0,2
physiotherapy,0,1,0,1,0,2
placebo injection,0,0,0,2,0,2
plitidepsin,0,1,0,1,0,2
plx-pad,2,0,0,0,0,2
povidone-iodine,0,0,0,2,0,2
prayer,0,0,0,2,0,2
preventive information,2,0,0,0,0,2
probiotics,0,2,0,0,0,2
prothioneâ„¢ (6g),2,0,0,0,0,2
protransâ®,0,0,0,2,0,2
psychoeducational intervention,0,0,0,2,0,2
psychological,1,0,0,1,0,2
pul-042,0,2,0,0,0,2
pyronaridine-artesunate,0,2,0,0,0,2
qazcovid-inâ®-vaccine against covid-19,0,2,0,0,0,2
qazcovid-inâ® - covid-19 inactivated vaccine,0,2,0,0,0,2
quality-of-life assessment,0,0,0,2,0,2
rd-x19,0,1,0,1,0,2
recombinant human interferon î±2b spray,2,0,0,0,0,2
recombinant new coronavirus vaccine (cho cell) group,0,0,0,2,0,2
recombinant new coronavirus vaccine (cho cell) low-dose group,2,0,0,0,0,2
recombinant new coronavirus vaccine (cho cells) high-dose group,2,0,0,0,0,2
reparixin,0,0,0,1,1,2
"resp301, a nitric oxide generating solution",0,0,0,2,0,2
rhea health toneâ®,2,0,0,0,0,2
rosuvastatin,0,1,0,1,0,2
rtb101,1,0,0,0,1,2
ruconest,0,0,0,2,0,2
rutiâ® vaccine,0,0,0,2,0,2
saline containing 1% human serum albuminï¼ˆsolution without uc-mscsï¼‰,0,2,0,0,0,2
sars-cov-2 recombinant spike protein,1,0,0,1,0,2
sars-cov-2 recombinant spike protein / advax-sm adjuvant,1,0,0,1,0,2
sars-cov-2 rs/matrix-m1 adjuvant,1,0,0,1,0,2
sars-cov-2 virus,1,0,0,1,0,2
scb-2019,1,0,0,1,0,2
scta01,0,1,0,1,0,2
self supportive care (ssc),0,2,0,0,0,2
self supportive care (ssc) alone,0,2,0,0,0,2
self test,0,0,0,2,0,2
selinexor,0,1,0,1,0,2
serum test,0,1,0,1,0,2
silmitasertib,1,0,0,1,0,2
siltuximab,1,0,0,1,0,2
silymarin,0,0,0,2,0,2
simple cognitive task intervention,0,1,0,1,0,2
sodium bicarbonate,2,0,0,0,0,2
sofosbuvir/daclatasvir,0,1,0,1,0,2
sofosbuvir/ledipasvir,0,2,0,0,0,2
standard covid-19 care,0,2,0,0,0,2
standard of care/placebo,0,1,0,1,0,2
stool collection,0,1,0,1,0,2
tacrolimus,0,0,0,2,0,2
take home saliva kits,2,0,0,0,0,2
targeted wellness formula câ„¢ sublingual drops - 1200mg - 30 ml (formula c),0,0,0,2,0,2
td-0903,0,2,0,0,0,2
tele-yoga,0,2,0,0,0,2
teleorientation,0,0,0,2,0,2
"telerehabilitation ä°ntervention, motor learning",0,0,0,2,0,2
tenofovir disoproxil,0,2,0,0,0,2
test,0,0,0,2,0,2
text-messaging (tm),2,0,0,0,0,2
the binaxnowâ„¢ antibody tests measure igg antibodies against sars-cov-2.,0,0,0,2,0,2
"three doses of placebo at the schedule of day 0, 14, 28ï¼ˆhigh-dose groupï¼‰",2,0,0,0,0,2
thromboprophylaxis,0,0,0,2,0,2
thymalfasin,0,0,0,2,0,2
tinzaparin,0,0,0,2,0,2
tricorâ® 145mg tablets,0,0,0,2,0,2
trv027,0,1,0,1,0,2
"two doses of low dosage inactivated sars-cov-2 vaccine at the schedule of day 0,28",1,0,1,0,0,2
"two doses of medium dosage inactivated sars-cov-2 vaccine at the schedule of day 0,28",1,0,1,0,0,2
"two doses of placebo at the schedule of day 0, 28ï¼ˆhigh-dose groupï¼‰",2,0,0,0,0,2
"two doses of placebo at the schedule of day 0, 28ï¼ˆmiddle-dose groupï¼‰",2,0,0,0,0,2
txa127,0,1,0,1,0,2
ty027,0,1,0,1,0,2
uvc irradiation,0,2,0,0,0,2
veru-111,1,0,0,1,0,2
vitis xtra forteâ©,0,2,0,0,0,2
viusid/asbrip,1,1,0,0,0,2
volatile organic compounds analysis,0,1,0,1,0,2
writing,0,2,0,0,0,2
xav-19,1,0,0,1,0,2
xc221,0,1,0,1,0,2
yoga,0,0,0,2,0,2
zilucoplanâ®,0,2,0,0,0,2
zinc acetate,1,0,0,1,0,2
zyesamiâ„¢ (aviptadil acetate),0,0,0,2,0,2
- tocilizumab,0,1,0,0,0,1
-cd25,0,0,0,1,0,1
-interferon nebulization,0,1,0,0,0,1
"""sham""-block with placebo (isotone nacl)",0,0,0,1,0,1
),0,0,1,0,0,1
"0, 112 day schedule",0,0,0,1,0,1
"0, 28 day schedule",0,0,0,1,0,1
0.07% cetylpyridinium chloride (cpc) in mouthwash,0,1,0,0,0,1
0.075% cetylpyridinium chloride,0,0,0,1,0,1
0.075% cetylpyridinium chloride (cpc),0,0,0,1,0,1
0.1% sodium hypochlorite,0,0,0,1,0,1
0.12% chg oral rinse,0,0,0,1,0,1
0.12% chlorhexidine gluconate,0,0,0,1,0,1
0.12% chlorhexidine gluconate mouth rinse,0,0,0,1,0,1
0.4ml inj syringe 0.4ml,0,0,0,1,0,1
0.5% povidone iodine,0,0,0,1,0,1
0.5% w,0,0,0,1,0,1
0.5% w/v povidone-iodide,0,0,0,1,0,1
0.5ml,1,0,0,0,0,1
0.6% pvp-i oral,0,0,0,1,0,1
0.6% pvp-i oral/nasal spray to asymptomatic to mild covid-19 patient having multiple comorbidity,0,0,0,1,0,1
0.6% pvp-i oral/nasal spray to healthy volunteer,0,0,0,1,0,1
0.6% pvp-i oral/nasal spray to moderately ill covid-19 positive patient,0,0,0,1,0,1
0.67ml inj syringe,0,0,0,0,1,1
0.9% (w,1,0,0,0,0,1
0.9% (w/v) saline,1,0,0,0,0,1
0.9% normal saline,0,0,0,1,0,1
0.9% sodium chloride,0,0,0,1,0,1
1 minute sit to stand test,0,1,0,0,0,1
1% hydrogen peroxide,0,0,0,1,0,1
1% povidone iodine (pvp-i),0,0,0,1,0,1
1% pvp- mouthwash,0,0,0,1,0,1
1.5% hydrogen peroxide (h2o2),0,0,0,1,0,1
1.5% w,0,0,0,1,0,1
1.5% w/v hydrogen peroxide,0,0,0,1,0,1
10 to 14 days later,0,0,0,1,0,1
100 mg/ml virazole,0,1,0,0,0,1
"12.7% fio2, hypercapnia 7% co2, inspiratory mechanical constraint",0,1,0,0,0,1
1200 mg),1,0,0,0,0,1
14-day schedule,0,0,0,1,0,1
15mg,0,0,0,1,0,1
16-hour pp,0,0,0,1,0,1
1600 mg),1,0,0,0,0,1
2-way sms delivery of information,0,0,0,1,0,1
2 doses of vaccine,0,0,0,1,0,1
2.2x10^10vp (qpcr) boost,1,0,0,0,0,1
23-valent pneumococcal polysaccharide vaccine,0,0,0,1,0,1
24 hour holter ecg,0,0,0,1,0,1
24h transdermal patch - 24 hour,0,0,0,1,0,1
25 âµg spfn_1b-06-pl,1,0,0,0,0,1
25 âµg spfn_1b-06-pl / alfq (qs21 adjuvant),1,0,0,0,0,1
27% ethanol,0,0,0,1,0,1
27% ethanol/essential oils,0,0,0,1,0,1
28),1,0,0,0,0,1
2nd dose),0,1,0,0,0,1
"3-doses schedule 1 of covid-19 vaccine (vero cell), inactivated",0,0,0,1,0,1
"3-doses schedule 2 of covid-19 vaccine (vero cell), inactivated",0,0,0,1,0,1
"3-doses schedule 3 of covid-19 vaccine (vero cell), inactivated",0,0,0,1,0,1
3 consecutive lots (group c1a),0,0,0,1,0,1
3 consecutive lots (group c2a),0,0,0,1,0,1
3),0,0,0,0,1,1
4-free app,0,1,0,0,0,1
4-free app / phn intervention,0,1,0,0,0,1
400 mg,0,0,0,1,0,1
4plants,0,0,1,0,0,1
4plants/azythromycin,0,0,1,0,0,1
5-ala-phosphate,0,0,0,1,0,1
5-ala-phosphate / sfc (5-ala / sfc),0,0,0,1,0,1
5-week prevention program,1,0,0,0,0,1
5 times sit to stand test,0,1,0,0,0,1
5% glucose,1,0,0,0,0,1
50 âµg spfn_1b-06-pl,1,0,0,0,0,1
50 âµg spfn_1b-06-pl / alfq (qs21 adjuvant),1,0,0,0,0,1
50 mg,0,1,0,0,0,1
50 mg/ml virazole,0,1,0,0,0,1
6-min-walk fpp2,0,0,0,1,0,1
6-min-walk surgical mask,0,0,0,1,0,1
6-min-walk without mask,0,0,0,1,0,1
6 minute walk test,0,1,0,0,0,1
6 minutes walk test,1,0,0,0,0,1
6 months later,0,1,0,0,0,1
6 point likert scale,0,1,0,0,0,1
600mg) oral suspension,0,1,0,0,0,1
a $10 survey incentive,1,0,0,0,0,1
a $20 survey incentive,1,0,0,0,0,1
a 940-nm diode laser,0,0,0,1,0,1
a faithful response to covid-19,0,0,0,1,0,1
"a high-dose placebo (18-59 years) at the schedule of day 0, 28, 56",0,0,0,1,0,1
"a high-dose placebo (60-85 years) at the schedule of day 0, 28, 56",0,0,0,1,0,1
"a high-dose recombinant covid-19 vaccine (cho cell) (18-59 years) at the schedule of day 0, 28, 56",0,0,0,1,0,1
"a high-dose recombinant covid-19 vaccine (cho cell) (60-85 years) at the schedule of day 0, 28, 56",0,0,0,1,0,1
"a middle-dose placebo (18-59 years) at the schedule of day 0, 28, 56",0,0,0,1,0,1
"a middle-dose placebo (60-85 years) at the schedule of day 0, 28, 56",0,0,0,1,0,1
"a middle-dose recombinant covid-19 vaccine (cho cell) (18-59 years) at the schedule of day 0, 28, 56",0,0,0,1,0,1
"a middle-dose recombinant covid-19 vaccine (cho cell) (60-85 years) at the schedule of day 0, 28, 56",0,0,0,1,0,1
a short video intervention,0,0,0,1,0,1
"a single ""booster"" dose of the moderna mrna covid-19 vaccine",0,0,0,1,0,1
a vignette intervention,0,0,0,1,0,1
aapc,0,0,0,1,0,1
aaz covid-19 rapid test,0,1,0,0,0,1
abbc1 immunoessential,0,0,0,1,0,1
abbv-2b04,0,1,0,0,0,1
abbv-47d11,0,1,0,0,0,1
abivertinib,1,0,0,0,0,1
abncov2 vaccine,0,0,0,1,0,1
abx464,0,0,0,0,1,1
accuchek inform ii platform,0,1,0,0,0,1
"ace inhibitor, angiotensin receptor blocker",0,1,0,0,0,1
acknowledgement racial injustice ama,0,1,0,0,0,1
"acp educator led, video assisted discussion",0,0,0,1,0,1
act,0,0,0,1,0,1
actigraphy,0,0,0,1,0,1
action (tara),0,1,0,0,0,1
activase,1,0,0,0,0,1
active comparator,0,0,0,1,0,1
active control:healthy living,0,1,0,0,0,1
active vaccine control (group b1a),0,0,0,1,0,1
active vaccine control (group b1b),0,0,0,1,0,1
active vaccine control (group b1c),0,0,0,1,0,1
active vaccine control (group b1d),0,0,0,1,0,1
active vaccine control (group c2a),0,0,0,1,0,1
active vaccine control (group c2b),0,0,0,1,0,1
active vaccine control (group c2c),0,0,0,1,0,1
active vaccine control simple dose (group b1d),0,0,0,1,0,1
active vaccine control simple dose (group c2d),0,0,0,1,0,1
active vaccine control simple dose (group c2d) - 60 years old,0,0,0,1,0,1
active vaccine control simple dose (group c2d) - 60 years old/more,0,0,0,1,0,1
activity list,0,1,0,0,0,1
acupuncture,0,1,0,0,0,1
acupuncture/standard care,0,1,0,0,0,1
ad5-ncov,1,0,0,0,0,1
adapt-232 oral solution,0,0,0,1,0,1
adcld-cov19,1,0,0,0,0,1
