Date,variable,value,Date2
2020-08-09T00:00:00Z,standard care,1,2020-08-09
2020-08-16T00:00:00Z,standard care,3,2020-08-16
2020-08-23T00:00:00Z,standard care,3,2020-08-23
2020-08-30T00:00:00Z,standard care,2,2020-08-30
2020-09-06T00:00:00Z,standard care,1,2020-09-06
2020-09-13T00:00:00Z,standard care,4,2020-09-13
2020-09-20T00:00:00Z,standard care,1,2020-09-20
2020-09-27T00:00:00Z,standard care,1,2020-09-27
2020-10-04T00:00:00Z,standard care,1,2020-10-04
2020-10-11T00:00:00Z,standard care,2,2020-10-11
2020-10-18T00:00:00Z,standard care,2,2020-10-18
2020-10-25T00:00:00Z,standard care,1,2020-10-25
2020-11-01T00:00:00Z,standard care,2,2020-11-01
2020-11-08T00:00:00Z,standard care,0,2020-11-08
2020-11-15T00:00:00Z,standard care,1,2020-11-15
2020-11-22T00:00:00Z,standard care,1,2020-11-22
2020-11-29T00:00:00Z,standard care,2,2020-11-29
2020-12-06T00:00:00Z,standard care,2,2020-12-06
2020-12-13T00:00:00Z,standard care,1,2020-12-13
2020-12-20T00:00:00Z,standard care,2,2020-12-20
2020-12-27T00:00:00Z,standard care,0,2020-12-27
2021-01-03T00:00:00Z,standard care,0,2021-01-03
2021-01-10T00:00:00Z,standard care,2,2021-01-10
2021-01-17T00:00:00Z,standard care,0,2021-01-17
2021-01-24T00:00:00Z,standard care,1,2021-01-24
2021-01-31T00:00:00Z,standard care,3,2021-01-31
2021-02-07T00:00:00Z,standard care,0,2021-02-07
2021-02-14T00:00:00Z,standard care,2,2021-02-14
2021-02-21T00:00:00Z,standard care,0,2021-02-21
2021-02-28T00:00:00Z,standard care,2,2021-02-28
2021-03-07T00:00:00Z,standard care,1,2021-03-07
2021-03-14T00:00:00Z,standard care,5,2021-03-14
2021-03-21T00:00:00Z,standard care,0,2021-03-21
2021-03-28T00:00:00Z,standard care,2,2021-03-28
2021-04-04T00:00:00Z,standard care,0,2021-04-04
2021-04-11T00:00:00Z,standard care,0,2021-04-11
2021-04-18T00:00:00Z,standard care,2,2021-04-18
2021-04-25T00:00:00Z,standard care,1,2021-04-25
2021-05-02T00:00:00Z,standard care,0,2021-05-02
2021-05-09T00:00:00Z,standard care,0,2021-05-09
2021-05-16T00:00:00Z,standard care,0,2021-05-16
2021-05-23T00:00:00Z,standard care,1,2021-05-23
2021-05-30T00:00:00Z,standard care,0,2021-05-30
2021-06-02T00:00:00Z,standard care,0,2021-06-02
2020-01-26T00:00:00Z,hydroxychloroquine,0,2020-01-26
2020-02-02T00:00:00Z,hydroxychloroquine,0,2020-02-02
2020-02-09T00:00:00Z,hydroxychloroquine,1,2020-02-09
2020-02-16T00:00:00Z,hydroxychloroquine,0,2020-02-16
2020-02-23T00:00:00Z,hydroxychloroquine,0,2020-02-23
2020-03-01T00:00:00Z,hydroxychloroquine,0,2020-03-01
2020-03-08T00:00:00Z,hydroxychloroquine,1,2020-03-08
2020-03-15T00:00:00Z,hydroxychloroquine,4,2020-03-15
2020-03-22T00:00:00Z,hydroxychloroquine,3,2020-03-22
2020-03-29T00:00:00Z,hydroxychloroquine,10,2020-03-29
2020-04-05T00:00:00Z,hydroxychloroquine,19,2020-04-05
2020-04-12T00:00:00Z,hydroxychloroquine,20,2020-04-12
2020-04-19T00:00:00Z,hydroxychloroquine,12,2020-04-19
2020-04-26T00:00:00Z,hydroxychloroquine,8,2020-04-26
2020-05-03T00:00:00Z,hydroxychloroquine,2,2020-05-03
2020-05-10T00:00:00Z,hydroxychloroquine,6,2020-05-10
2020-05-17T00:00:00Z,hydroxychloroquine,4,2020-05-17
2020-05-24T00:00:00Z,hydroxychloroquine,4,2020-05-24
2020-05-31T00:00:00Z,hydroxychloroquine,1,2020-05-31
2020-06-07T00:00:00Z,hydroxychloroquine,3,2020-06-07
2020-06-14T00:00:00Z,hydroxychloroquine,2,2020-06-14
2020-06-21T00:00:00Z,hydroxychloroquine,1,2020-06-21
2020-06-28T00:00:00Z,hydroxychloroquine,0,2020-06-28
2020-07-05T00:00:00Z,hydroxychloroquine,1,2020-07-05
2020-07-12T00:00:00Z,hydroxychloroquine,1,2020-07-12
2020-07-19T00:00:00Z,hydroxychloroquine,1,2020-07-19
2020-07-26T00:00:00Z,hydroxychloroquine,0,2020-07-26
2020-08-02T00:00:00Z,hydroxychloroquine,1,2020-08-02
2020-08-09T00:00:00Z,hydroxychloroquine,2,2020-08-09
2020-08-16T00:00:00Z,hydroxychloroquine,0,2020-08-16
2020-08-23T00:00:00Z,hydroxychloroquine,1,2020-08-23
2020-08-30T00:00:00Z,hydroxychloroquine,0,2020-08-30
2020-09-06T00:00:00Z,hydroxychloroquine,0,2020-09-06
2020-09-13T00:00:00Z,hydroxychloroquine,0,2020-09-13
2020-09-20T00:00:00Z,hydroxychloroquine,0,2020-09-20
2020-09-27T00:00:00Z,hydroxychloroquine,0,2020-09-27
2020-10-04T00:00:00Z,hydroxychloroquine,2,2020-10-04
2020-10-11T00:00:00Z,hydroxychloroquine,0,2020-10-11
2020-10-18T00:00:00Z,hydroxychloroquine,0,2020-10-18
2020-10-25T00:00:00Z,hydroxychloroquine,0,2020-10-25
2020-11-01T00:00:00Z,hydroxychloroquine,1,2020-11-01
2020-11-08T00:00:00Z,hydroxychloroquine,0,2020-11-08
2020-11-15T00:00:00Z,hydroxychloroquine,0,2020-11-15
2020-11-22T00:00:00Z,hydroxychloroquine,0,2020-11-22
2020-11-29T00:00:00Z,hydroxychloroquine,1,2020-11-29
2020-12-06T00:00:00Z,hydroxychloroquine,1,2020-12-06
2020-12-13T00:00:00Z,hydroxychloroquine,0,2020-12-13
2020-12-20T00:00:00Z,hydroxychloroquine,0,2020-12-20
2020-12-27T00:00:00Z,hydroxychloroquine,0,2020-12-27
2021-01-03T00:00:00Z,hydroxychloroquine,0,2021-01-03
2021-01-10T00:00:00Z,hydroxychloroquine,0,2021-01-10
2021-01-17T00:00:00Z,hydroxychloroquine,0,2021-01-17
2021-01-24T00:00:00Z,hydroxychloroquine,0,2021-01-24
2021-01-31T00:00:00Z,hydroxychloroquine,0,2021-01-31
2021-02-07T00:00:00Z,hydroxychloroquine,1,2021-02-07
2021-02-14T00:00:00Z,hydroxychloroquine,0,2021-02-14
2021-02-21T00:00:00Z,hydroxychloroquine,0,2021-02-21
2021-02-28T00:00:00Z,hydroxychloroquine,1,2021-02-28
2021-03-07T00:00:00Z,hydroxychloroquine,0,2021-03-07
2021-03-14T00:00:00Z,hydroxychloroquine,0,2021-03-14
2021-03-21T00:00:00Z,hydroxychloroquine,0,2021-03-21
2021-03-28T00:00:00Z,hydroxychloroquine,1,2021-03-28
2021-04-04T00:00:00Z,hydroxychloroquine,0,2021-04-04
2021-04-11T00:00:00Z,hydroxychloroquine,0,2021-04-11
2021-04-18T00:00:00Z,hydroxychloroquine,0,2021-04-18
2021-04-25T00:00:00Z,hydroxychloroquine,0,2021-04-25
2021-05-02T00:00:00Z,hydroxychloroquine,0,2021-05-02
2021-05-09T00:00:00Z,hydroxychloroquine,0,2021-05-09
2021-05-16T00:00:00Z,hydroxychloroquine,0,2021-05-16
2021-05-23T00:00:00Z,hydroxychloroquine,0,2021-05-23
2021-05-30T00:00:00Z,hydroxychloroquine,0,2021-05-30
2021-06-02T00:00:00Z,hydroxychloroquine,0,2021-06-02
2020-01-26T00:00:00Z,convalescent plasma,0,2020-01-26
2020-02-02T00:00:00Z,convalescent plasma,0,2020-02-02
2020-02-09T00:00:00Z,convalescent plasma,0,2020-02-09
2020-02-16T00:00:00Z,convalescent plasma,0,2020-02-16
2020-02-23T00:00:00Z,convalescent plasma,0,2020-02-23
2020-03-01T00:00:00Z,convalescent plasma,0,2020-03-01
2020-03-08T00:00:00Z,convalescent plasma,0,2020-03-08
2020-03-15T00:00:00Z,convalescent plasma,0,2020-03-15
2020-03-22T00:00:00Z,convalescent plasma,0,2020-03-22
2020-03-29T00:00:00Z,convalescent plasma,3,2020-03-29
2020-04-05T00:00:00Z,convalescent plasma,2,2020-04-05
2020-04-12T00:00:00Z,convalescent plasma,10,2020-04-12
2020-04-19T00:00:00Z,convalescent plasma,11,2020-04-19
2020-04-26T00:00:00Z,convalescent plasma,5,2020-04-26
2020-05-03T00:00:00Z,convalescent plasma,8,2020-05-03
2020-05-10T00:00:00Z,convalescent plasma,10,2020-05-10
2020-05-17T00:00:00Z,convalescent plasma,9,2020-05-17
2020-05-24T00:00:00Z,convalescent plasma,3,2020-05-24
2020-05-31T00:00:00Z,convalescent plasma,3,2020-05-31
2020-06-07T00:00:00Z,convalescent plasma,4,2020-06-07
2020-06-14T00:00:00Z,convalescent plasma,4,2020-06-14
2020-06-21T00:00:00Z,convalescent plasma,2,2020-06-21
2020-06-28T00:00:00Z,convalescent plasma,1,2020-06-28
2020-07-05T00:00:00Z,convalescent plasma,2,2020-07-05
2020-07-12T00:00:00Z,convalescent plasma,1,2020-07-12
2020-07-19T00:00:00Z,convalescent plasma,1,2020-07-19
2020-07-26T00:00:00Z,convalescent plasma,1,2020-07-26
2020-08-02T00:00:00Z,convalescent plasma,2,2020-08-02
2020-08-09T00:00:00Z,convalescent plasma,2,2020-08-09
2020-08-16T00:00:00Z,convalescent plasma,1,2020-08-16
2020-08-23T00:00:00Z,convalescent plasma,3,2020-08-23
2020-08-30T00:00:00Z,convalescent plasma,4,2020-08-30
2020-09-06T00:00:00Z,convalescent plasma,2,2020-09-06
2020-09-13T00:00:00Z,convalescent plasma,2,2020-09-13
2020-09-20T00:00:00Z,convalescent plasma,1,2020-09-20
2020-09-27T00:00:00Z,convalescent plasma,2,2020-09-27
2020-10-04T00:00:00Z,convalescent plasma,0,2020-10-04
2020-10-11T00:00:00Z,convalescent plasma,0,2020-10-11
2020-10-18T00:00:00Z,convalescent plasma,0,2020-10-18
2020-10-25T00:00:00Z,convalescent plasma,1,2020-10-25
2020-11-01T00:00:00Z,convalescent plasma,0,2020-11-01
2020-11-08T00:00:00Z,convalescent plasma,1,2020-11-08
2020-11-15T00:00:00Z,convalescent plasma,1,2020-11-15
2020-11-22T00:00:00Z,convalescent plasma,0,2020-11-22
2020-11-29T00:00:00Z,convalescent plasma,0,2020-11-29
2020-12-06T00:00:00Z,convalescent plasma,0,2020-12-06
2020-12-13T00:00:00Z,convalescent plasma,0,2020-12-13
2020-12-20T00:00:00Z,convalescent plasma,1,2020-12-20
2020-12-27T00:00:00Z,convalescent plasma,0,2020-12-27
2021-01-03T00:00:00Z,convalescent plasma,1,2021-01-03
2021-01-10T00:00:00Z,convalescent plasma,0,2021-01-10
2021-01-17T00:00:00Z,convalescent plasma,1,2021-01-17
2021-01-24T00:00:00Z,convalescent plasma,1,2021-01-24
2021-01-31T00:00:00Z,convalescent plasma,2,2021-01-31
2021-02-07T00:00:00Z,convalescent plasma,0,2021-02-07
2021-02-14T00:00:00Z,convalescent plasma,1,2021-02-14
2021-02-21T00:00:00Z,convalescent plasma,0,2021-02-21
2021-02-28T00:00:00Z,convalescent plasma,0,2021-02-28
2021-03-07T00:00:00Z,convalescent plasma,0,2021-03-07
2021-03-14T00:00:00Z,convalescent plasma,0,2021-03-14
2021-03-21T00:00:00Z,convalescent plasma,0,2021-03-21
2021-03-28T00:00:00Z,convalescent plasma,0,2021-03-28
2021-04-04T00:00:00Z,convalescent plasma,0,2021-04-04
2021-04-11T00:00:00Z,convalescent plasma,2,2021-04-11
2021-04-18T00:00:00Z,convalescent plasma,0,2021-04-18
2021-04-25T00:00:00Z,convalescent plasma,0,2021-04-25
2021-05-02T00:00:00Z,convalescent plasma,0,2021-05-02
2021-05-09T00:00:00Z,convalescent plasma,0,2021-05-09
2021-05-16T00:00:00Z,convalescent plasma,0,2021-05-16
2021-05-23T00:00:00Z,convalescent plasma,0,2021-05-23
2021-05-30T00:00:00Z,convalescent plasma,0,2021-05-30
2021-06-02T00:00:00Z,convalescent plasma,0,2021-06-02
2020-01-26T00:00:00Z,saline,0,2020-01-26
2020-02-02T00:00:00Z,saline,0,2020-02-02
2020-02-09T00:00:00Z,saline,0,2020-02-09
2020-02-16T00:00:00Z,saline,0,2020-02-16
2020-02-23T00:00:00Z,saline,0,2020-02-23
2020-03-01T00:00:00Z,saline,0,2020-03-01
2020-03-08T00:00:00Z,saline,0,2020-03-08
2020-03-15T00:00:00Z,saline,1,2020-03-15
2020-03-22T00:00:00Z,saline,0,2020-03-22
2020-03-29T00:00:00Z,saline,3,2020-03-29
2020-04-05T00:00:00Z,saline,1,2020-04-05
2020-04-12T00:00:00Z,saline,3,2020-04-12
2020-04-19T00:00:00Z,saline,3,2020-04-19
2020-04-26T00:00:00Z,saline,4,2020-04-26
2020-05-03T00:00:00Z,saline,1,2020-05-03
2020-05-10T00:00:00Z,saline,3,2020-05-10
2020-05-17T00:00:00Z,saline,1,2020-05-17
2020-05-24T00:00:00Z,saline,2,2020-05-24
2020-05-31T00:00:00Z,saline,0,2020-05-31
2020-06-07T00:00:00Z,saline,2,2020-06-07
2020-06-14T00:00:00Z,saline,1,2020-06-14
2020-06-21T00:00:00Z,saline,3,2020-06-21
2020-06-28T00:00:00Z,saline,1,2020-06-28
2020-07-05T00:00:00Z,saline,1,2020-07-05
2020-07-12T00:00:00Z,saline,1,2020-07-12
2020-07-19T00:00:00Z,saline,0,2020-07-19
2020-07-26T00:00:00Z,saline,0,2020-07-26
2020-08-02T00:00:00Z,saline,0,2020-08-02
2020-08-09T00:00:00Z,saline,0,2020-08-09
2020-08-16T00:00:00Z,saline,0,2020-08-16
2020-08-23T00:00:00Z,saline,1,2020-08-23
2020-08-30T00:00:00Z,saline,0,2020-08-30
2020-09-06T00:00:00Z,saline,0,2020-09-06
2020-09-13T00:00:00Z,saline,2,2020-09-13
2020-09-20T00:00:00Z,saline,0,2020-09-20
2020-09-27T00:00:00Z,saline,0,2020-09-27
2020-10-04T00:00:00Z,saline,1,2020-10-04
2020-10-11T00:00:00Z,saline,1,2020-10-11
2020-10-18T00:00:00Z,saline,2,2020-10-18
2020-10-25T00:00:00Z,saline,0,2020-10-25
2020-11-01T00:00:00Z,saline,0,2020-11-01
2020-11-08T00:00:00Z,saline,0,2020-11-08
2020-11-15T00:00:00Z,saline,0,2020-11-15
2020-11-22T00:00:00Z,saline,1,2020-11-22
2020-11-29T00:00:00Z,saline,1,2020-11-29
2020-12-06T00:00:00Z,saline,0,2020-12-06
2020-12-13T00:00:00Z,saline,0,2020-12-13
2020-12-20T00:00:00Z,saline,0,2020-12-20
2020-12-27T00:00:00Z,saline,0,2020-12-27
2021-01-03T00:00:00Z,saline,0,2021-01-03
2021-01-10T00:00:00Z,saline,0,2021-01-10
2021-01-17T00:00:00Z,saline,0,2021-01-17
2021-01-24T00:00:00Z,saline,1,2021-01-24
2021-01-31T00:00:00Z,saline,0,2021-01-31
2021-02-07T00:00:00Z,saline,0,2021-02-07
2021-02-14T00:00:00Z,saline,0,2021-02-14
2021-02-21T00:00:00Z,saline,1,2021-02-21
2021-02-28T00:00:00Z,saline,0,2021-02-28
2021-03-07T00:00:00Z,saline,1,2021-03-07
2021-03-14T00:00:00Z,saline,0,2021-03-14
2021-03-21T00:00:00Z,saline,0,2021-03-21
2021-03-28T00:00:00Z,saline,1,2021-03-28
2021-04-04T00:00:00Z,saline,0,2021-04-04
2021-04-11T00:00:00Z,saline,1,2021-04-11
2021-04-18T00:00:00Z,saline,0,2021-04-18
2021-04-25T00:00:00Z,saline,0,2021-04-25
2021-05-02T00:00:00Z,saline,0,2021-05-02
2021-05-09T00:00:00Z,saline,1,2021-05-09
2021-05-16T00:00:00Z,saline,0,2021-05-16
2021-05-23T00:00:00Z,saline,0,2021-05-23
2021-05-30T00:00:00Z,saline,0,2021-05-30
2021-06-02T00:00:00Z,saline,0,2021-06-02
2020-01-26T00:00:00Z,ivermectin,0,2020-01-26
2020-02-02T00:00:00Z,ivermectin,0,2020-02-02
2020-02-09T00:00:00Z,ivermectin,0,2020-02-09
2020-02-16T00:00:00Z,ivermectin,0,2020-02-16
2020-02-23T00:00:00Z,ivermectin,0,2020-02-23
2020-03-01T00:00:00Z,ivermectin,0,2020-03-01
2020-03-08T00:00:00Z,ivermectin,0,2020-03-08
2020-03-15T00:00:00Z,ivermectin,0,2020-03-15
2020-03-22T00:00:00Z,ivermectin,0,2020-03-22
2020-03-29T00:00:00Z,ivermectin,0,2020-03-29
2020-04-05T00:00:00Z,ivermectin,1,2020-04-05
2020-04-12T00:00:00Z,ivermectin,1,2020-04-12
2020-04-19T00:00:00Z,ivermectin,1,2020-04-19
2020-04-26T00:00:00Z,ivermectin,1,2020-04-26
2020-05-03T00:00:00Z,ivermectin,1,2020-05-03
2020-05-10T00:00:00Z,ivermectin,3,2020-05-10
2020-05-17T00:00:00Z,ivermectin,3,2020-05-17
2020-05-24T00:00:00Z,ivermectin,4,2020-05-24
2020-05-31T00:00:00Z,ivermectin,1,2020-05-31
2020-06-07T00:00:00Z,ivermectin,1,2020-06-07
2020-06-14T00:00:00Z,ivermectin,2,2020-06-14
2020-06-21T00:00:00Z,ivermectin,1,2020-06-21
2020-06-28T00:00:00Z,ivermectin,1,2020-06-28
2020-07-05T00:00:00Z,ivermectin,0,2020-07-05
2020-07-12T00:00:00Z,ivermectin,0,2020-07-12
2020-07-19T00:00:00Z,ivermectin,1,2020-07-19
2020-07-26T00:00:00Z,ivermectin,1,2020-07-26
2020-08-02T00:00:00Z,ivermectin,0,2020-08-02
2020-08-09T00:00:00Z,ivermectin,1,2020-08-09
2020-08-16T00:00:00Z,ivermectin,0,2020-08-16
2020-08-23T00:00:00Z,ivermectin,2,2020-08-23
2020-08-30T00:00:00Z,ivermectin,0,2020-08-30
2020-09-06T00:00:00Z,ivermectin,0,2020-09-06
2020-09-13T00:00:00Z,ivermectin,0,2020-09-13
2020-09-20T00:00:00Z,ivermectin,0,2020-09-20
2020-09-27T00:00:00Z,ivermectin,0,2020-09-27
2020-10-04T00:00:00Z,ivermectin,0,2020-10-04
2020-10-11T00:00:00Z,ivermectin,0,2020-10-11
2020-10-18T00:00:00Z,ivermectin,1,2020-10-18
2020-10-25T00:00:00Z,ivermectin,1,2020-10-25
2020-11-01T00:00:00Z,ivermectin,1,2020-11-01
2020-11-08T00:00:00Z,ivermectin,0,2020-11-08
2020-11-15T00:00:00Z,ivermectin,2,2020-11-15
2020-11-22T00:00:00Z,ivermectin,0,2020-11-22
2020-11-29T00:00:00Z,ivermectin,1,2020-11-29
2020-12-06T00:00:00Z,ivermectin,0,2020-12-06
2020-12-13T00:00:00Z,ivermectin,0,2020-12-13
2020-12-20T00:00:00Z,ivermectin,1,2020-12-20
2020-12-27T00:00:00Z,ivermectin,0,2020-12-27
2021-01-03T00:00:00Z,ivermectin,1,2021-01-03
2021-01-10T00:00:00Z,ivermectin,2,2021-01-10
2021-01-17T00:00:00Z,ivermectin,0,2021-01-17
2021-01-24T00:00:00Z,ivermectin,0,2021-01-24
2021-01-31T00:00:00Z,ivermectin,0,2021-01-31
2021-02-07T00:00:00Z,ivermectin,2,2021-02-07
2021-02-14T00:00:00Z,ivermectin,0,2021-02-14
2021-02-21T00:00:00Z,ivermectin,1,2021-02-21
2021-02-28T00:00:00Z,ivermectin,1,2021-02-28
2021-03-07T00:00:00Z,ivermectin,0,2021-03-07
2021-03-14T00:00:00Z,ivermectin,0,2021-03-14
2021-03-21T00:00:00Z,ivermectin,0,2021-03-21
2021-03-28T00:00:00Z,ivermectin,1,2021-03-28
2021-04-04T00:00:00Z,ivermectin,0,2021-04-04
2021-04-11T00:00:00Z,ivermectin,0,2021-04-11
2021-04-18T00:00:00Z,ivermectin,0,2021-04-18
2021-04-25T00:00:00Z,ivermectin,0,2021-04-25
2021-05-02T00:00:00Z,ivermectin,0,2021-05-02
2021-05-09T00:00:00Z,ivermectin,1,2021-05-09
2021-05-16T00:00:00Z,ivermectin,0,2021-05-16
2021-05-23T00:00:00Z,ivermectin,0,2021-05-23
2021-05-30T00:00:00Z,ivermectin,0,2021-05-30
2021-06-02T00:00:00Z,ivermectin,0,2021-06-02
2020-01-26T00:00:00Z,azithromycin,0,2020-01-26
2020-02-02T00:00:00Z,azithromycin,0,2020-02-02
2020-02-09T00:00:00Z,azithromycin,0,2020-02-09
2020-02-16T00:00:00Z,azithromycin,0,2020-02-16
2020-02-23T00:00:00Z,azithromycin,0,2020-02-23
2020-03-01T00:00:00Z,azithromycin,0,2020-03-01
2020-03-08T00:00:00Z,azithromycin,0,2020-03-08
2020-03-15T00:00:00Z,azithromycin,0,2020-03-15
2020-03-22T00:00:00Z,azithromycin,0,2020-03-22
2020-03-29T00:00:00Z,azithromycin,3,2020-03-29
2020-04-05T00:00:00Z,azithromycin,9,2020-04-05
2020-04-12T00:00:00Z,azithromycin,6,2020-04-12
2020-04-19T00:00:00Z,azithromycin,2,2020-04-19
2020-04-26T00:00:00Z,azithromycin,3,2020-04-26
2020-05-03T00:00:00Z,azithromycin,1,2020-05-03
2020-05-10T00:00:00Z,azithromycin,3,2020-05-10
2020-05-17T00:00:00Z,azithromycin,2,2020-05-17
2020-05-24T00:00:00Z,azithromycin,3,2020-05-24
2020-05-31T00:00:00Z,azithromycin,1,2020-05-31
2020-06-07T00:00:00Z,azithromycin,0,2020-06-07
2020-06-14T00:00:00Z,azithromycin,1,2020-06-14
2020-06-21T00:00:00Z,azithromycin,0,2020-06-21
2020-06-28T00:00:00Z,azithromycin,0,2020-06-28
2020-07-05T00:00:00Z,azithromycin,0,2020-07-05
2020-07-12T00:00:00Z,azithromycin,0,2020-07-12
2020-07-19T00:00:00Z,azithromycin,0,2020-07-19
2020-07-26T00:00:00Z,azithromycin,0,2020-07-26
2020-08-02T00:00:00Z,azithromycin,0,2020-08-02
2020-08-09T00:00:00Z,azithromycin,2,2020-08-09
2020-08-16T00:00:00Z,azithromycin,0,2020-08-16
2020-08-23T00:00:00Z,azithromycin,0,2020-08-23
2020-08-30T00:00:00Z,azithromycin,0,2020-08-30
2020-09-06T00:00:00Z,azithromycin,0,2020-09-06
2020-09-13T00:00:00Z,azithromycin,0,2020-09-13
2020-09-20T00:00:00Z,azithromycin,0,2020-09-20
2020-09-27T00:00:00Z,azithromycin,0,2020-09-27
