intervention,"Active, not recruiting",Completed,Enrolling by invitation,Recruiting,Terminated,Total
low,1,0,0,3,0,4
mask,0,2,0,2,0,4
mavrilimumab,1,0,0,3,0,4
melatonin,1,0,0,3,0,4
na-831,0,0,2,2,0,4
peginterferon,1,0,1,2,0,4
regn10933,0,0,0,4,0,4
regn10987,0,0,0,4,0,4
ribavirin,0,1,0,3,0,4
supportive care,1,1,0,2,0,4
,1,1,1,0,0,3
acalabrutinib,2,0,0,1,0,3
antibody test,0,0,0,3,0,3
behavior,1,0,0,2,0,3
biological,0,0,0,3,0,3
blood,0,0,0,3,0,3
blood donation sms,0,1,2,0,0,3
bnt162b1,1,0,0,2,0,3
canakinumab,2,0,0,1,0,3
cenicriviroc,0,0,0,3,0,3
chadox1,2,0,0,1,0,3
chest ct,0,2,0,1,0,3
ciclesonide,0,0,0,3,0,3
clinical assessment,0,2,0,1,0,3
clinical data,2,0,0,1,0,3
clopidogrel,0,1,0,2,0,3
corticosteroid,0,0,0,3,0,3
coviage,0,3,0,0,0,3
covid-19 pandemic,1,1,0,1,0,3
cyclosporine,0,0,0,3,0,3
cytokine adsorption,0,0,0,3,0,3
cytosorb,0,0,0,3,0,3
daclatasvir,0,0,0,3,0,3
data record,0,0,0,3,0,3
ecg,0,0,0,3,0,3
echocardiography,0,2,0,1,0,3
education,0,1,1,1,0,3
eidd-2801,0,1,0,2,0,3
famotidine,0,1,0,2,0,3
high flow nasal cannula,0,1,0,2,0,3
information,0,0,2,1,0,3
mesenchymalÂ stem cells,0,0,0,3,0,3
mrna-1273,3,0,0,0,0,3
nafamostat mesilate,0,0,0,3,0,3
nasal,0,0,0,3,0,3
nasal rinse,0,0,0,3,0,3
niclosamide,0,0,0,3,0,3
nigella sativa,0,1,0,2,0,3
non-interventional,0,0,0,3,0,3
opaganib,1,1,0,1,0,3
other,0,1,0,2,0,3
pcr/serology,0,0,0,3,0,3
prednisone,0,1,0,1,1,3
probiotic,0,0,0,3,0,3
sample collection,0,0,0,3,0,3
sampling,0,0,0,3,0,3
sargramostim,0,0,0,3,0,3
sars-cov-2 rs,1,0,0,2,0,3
sevoflurane,0,0,0,3,0,3
sodium,0,0,0,3,0,3
taste,0,0,0,3,0,3
throat swab,0,1,0,2,0,3
thromboprophylaxis,0,1,0,2,0,3
vitamin super b-complex,0,0,0,3,0,3
vpm1002,1,0,0,2,0,3
vv-ecmo,0,1,0,2,0,3
yoga,0,0,0,3,0,3
28-day schedule,0,0,1,1,0,2
abatacept,0,0,0,2,0,2
acetylsalicylic acid,0,1,0,1,0,2
adjuvant,1,0,0,1,0,2
aeonose,0,2,0,0,0,2
allocetra-ots,1,0,0,1,0,2
antibiotics,0,1,0,1,0,2
antihypertensives,1,0,0,1,0,2
assessment of work-related stress,0,1,0,1,0,2
atazanavir,0,0,0,2,0,2
atorvastatin,0,0,0,2,0,2
ayurveda,0,2,0,0,0,2
azd1222,0,0,0,2,0,2
bacille calmette-guã©rin (bcg),0,0,0,2,0,2
bcg-denmark,0,0,0,2,0,2
behavioral,0,0,1,1,0,2
bevacizumab,0,1,0,1,0,2
biological data,2,0,0,0,0,2
blood draw,0,0,0,2,0,2
breath test,0,0,0,2,0,2
brequinar,0,0,0,2,0,2
camostat,0,0,0,2,0,2
cannabidiol,2,0,0,0,0,2
cardiac,0,1,0,1,0,2
cardiac/electrodermal recordings,0,1,0,1,0,2
cellectraâ® 2000,1,0,0,1,0,2
clinical examination,0,0,0,2,0,2
cobicistat,0,0,0,2,0,2
conjunctival swab,0,1,0,1,0,2
"conventional medicines (oxygen therapy, alfa interferon via aerosol inhalation,/lopinavir/ritonavir)/traditional chinese medicines (tcms) granules",0,0,0,2,0,2
corticosteroids,1,0,0,1,0,2
covid-19 patients,0,0,0,2,0,2
cpap,0,0,0,2,0,2
ct-p59,1,0,0,1,0,2
cumin,0,1,0,1,0,2
dalteparin,0,2,0,0,0,2
dapagliflozin,0,0,0,2,0,2
darunavir,0,0,0,2,0,2
darunavir/cobicistat,0,0,0,2,0,2
defibrotide,0,0,0,2,0,2
diagnostic test,0,1,0,1,0,2
dialysis,1,0,0,1,0,2
dipyridamole,0,0,0,2,0,2
dornase alfa,0,1,0,1,0,2
edp1815,0,0,0,2,0,2
electrodermal recordings,0,1,0,1,0,2
elisa,1,1,0,0,0,2
emotional stimulation,0,1,0,1,0,2
emtricitabine,0,0,0,2,0,2
exo 1 inhalation,0,1,1,0,0,2
exo 2 inhalation,0,1,1,0,0,2
expressive writing,0,2,0,0,0,2
favipiravir/hydroxychloroquine,0,0,0,2,0,2
file scanning,0,0,0,2,0,2
flow cytometry,0,0,0,2,0,2
fondaparinux,0,2,0,0,0,2
fostamatinib,0,0,0,2,0,2
fuzheng huayu,0,1,0,1,0,2
guduchi ghan vati,0,2,0,0,0,2
honey,0,1,0,1,0,2
hormones,1,0,0,1,0,2
human amniotic fluid,0,0,0,2,0,2
hyperbaric oxygen,0,0,0,1,1,2
ibrutinib,0,0,0,2,0,2
ibuprofen,0,0,0,2,0,2
icu treatment,0,0,0,2,0,2
igg test,0,1,0,1,0,2
iloprost,0,0,0,2,0,2
imatinib,0,0,0,2,0,2
imu-838,0,0,0,2,0,2
infliximab,0,0,0,2,0,2
ino-4800,1,0,0,1,0,2
iodine,0,0,0,2,0,2
kb109,0,0,0,2,0,2
kb109 / self supportive care (ssc),0,0,0,2,0,2
kg,1,0,0,1,0,2
l-citrulline,0,0,0,2,0,2
ledipasvir,0,2,0,0,0,2
ly3832479,0,0,0,2,0,2
"magpro x100 stimulator, b70 fluid-cooled coil",0,0,0,2,0,2
maraviroc,0,0,0,2,0,2
mechanical ventilation,0,0,0,2,0,2
meditation,0,0,1,1,0,2
meditation (1 x 20-minute guided audio training),0,0,0,2,0,2
medium dosage inactivated sars-cov-2 vaccine on a 0-,0,0,1,1,0,2
medium dosage inactivated sars-cov-2 vaccine on a 0-/28-day schedule,0,0,1,1,0,2
mefloquine,2,0,0,0,0,2
menacwy,1,0,0,1,0,2
molnupiravir,0,0,0,2,0,2
mri,0,0,0,2,0,2
muscle,1,0,0,1,0,2
n-acetylcysteine,0,0,0,2,0,2
nasopharyngeal swabs,0,0,0,2,0,2
news,0,1,0,0,1,2
nigella sativa / black cumin,0,1,0,1,0,2
nutrition,1,0,0,1,0,2
octagam,1,0,0,1,0,2
omega-3,0,0,0,2,0,2
online questionnaires,0,1,0,1,0,2
online support group,1,0,0,1,0,2
ophthalmologic exam,0,1,0,1,0,2
oral polio vaccine,0,0,2,0,0,2
paracetamol,1,0,0,1,0,2
phone call,0,0,0,2,0,2
physical therapy,1,0,0,1,0,2
physiotherapy,0,1,0,1,0,2
pirfenidone,0,0,0,2,0,2
plx-pad,0,0,0,2,0,2
povidone-iodine,0,0,0,2,0,2
practice details,0,2,0,0,0,2
prayer,0,0,0,2,0,2
pregnant women with laboratory-confirmed 2019-n-cov,0,0,0,2,0,2
preventive information,0,0,2,0,0,2
psychological,1,0,0,1,0,2
pul-042,0,0,0,2,0,2
pulmonary rehabilitation,0,1,0,1,0,2
pyronaridine-artesunate,0,0,0,2,0,2
quality of life,0,0,1,1,0,2
quercetin,0,0,0,2,0,2
radiological,0,0,0,2,0,2
ravulizumab,0,0,0,2,0,2
recombinant new coronavirus vaccine (cho cell) low-dose group,0,0,0,2,0,2
recombinant new coronavirus vaccine (cho cells) high-dose group,0,0,0,2,0,2
recop unit patient,1,1,0,0,0,2
regn10933 / regn10987,0,0,0,2,0,2
regn10933/regn10987 combination therapy,0,0,0,2,0,2
rtb101,0,0,0,2,0,2
sars-cov-2,0,1,0,1,0,2
sars-cov-2 rs/matrix-m1 adjuvant,1,0,0,1,0,2
self supportive care (ssc),0,0,0,2,0,2
self supportive care (ssc) alone,0,0,0,2,0,2
semi-directive interview,0,0,0,2,0,2
siltuximab,0,0,0,2,0,2
simple cognitive task intervention,0,0,0,2,0,2
sirolimus,0,0,0,2,0,2
sivomixx,1,0,0,1,0,2
soc / placebo,0,0,0,2,0,2
sodium bicarbonate,1,0,0,1,0,2
sofosbuvir/ledipasvir,0,2,0,0,0,2
spirometry,0,0,0,2,0,2
stool collection,0,1,0,1,0,2
td-0903,0,1,0,1,0,2
tele-yoga,0,2,0,0,0,2
tinzaparin,0,2,0,0,0,2
tinzaparin/dalteparin,0,2,0,0,0,2
tofacitinib,0,0,0,2,0,2
traditional chinese medicine,0,0,0,2,0,2
"two doses of low dosage inactivated sars-cov-2 vaccine at the schedule of day 0,28",1,0,0,1,0,2
"two doses of medium dosage inactivated sars-cov-2 vaccine at the schedule of day 0,28",1,0,0,1,0,2
ultrasonography,0,1,0,1,0,2
v,0,0,1,1,0,2
volatile organic compounds analysis,0,0,0,2,0,2
vv-ecmo / cytokine adsorption,0,0,0,2,0,2
water,0,1,0,0,1,2
whole exome sequencing,0,0,0,2,0,2
- tocilizumab,1,0,0,0,0,1
-interferon nebulization,0,1,0,0,0,1
"""calm"" is a mindfulness meditation mobile app",0,1,0,0,0,1
": igg, ig m serologies in the amniotoc fluid, the blood cord",0,0,0,1,0,1
[68ga]ga-dota-(rgd)2 pet,0,0,0,1,0,1
[68ga]ga-dota-(rgd)2 pet/ct,0,0,0,1,0,1
[timp-2]*[igfbp-7],0,1,0,0,0,1
0.12% chg oral rinse,0,0,0,1,0,1
0.12% chlorhexidine gluconate mouth rinse,0,0,0,1,0,1
0.4ml inj syringe 0.4ml,0,0,0,1,0,1
0.5% povidone iodine,0,0,0,1,0,1
0.9% normal saline,0,0,0,1,0,1
1% hydrogen peroxide,0,0,0,1,0,1
10 to 14 days later,0,0,0,1,0,1
100 mg,0,0,0,1,0,1
1200 mg),0,0,0,1,0,1
14-day schedule,0,0,0,1,0,1
1600 mg),0,0,0,1,0,1
18f-î±vî²6-bp,0,0,1,0,0,1
2.2x10^10vp (qpcr) boost,0,0,0,1,0,1
21 - phase 2,1,0,0,0,0,1
24 hour holter ecg,0,0,0,1,0,1
3),0,0,0,0,1,1
40-steps-test,0,0,0,1,0,1
40ml blood sample,0,0,1,0,0,1
4plants,0,0,1,0,0,1
4plants/azythromycin,0,0,1,0,0,1
6 months later,0,0,0,1,0,1
6 weeks after delivery,0,0,0,1,0,1
600mg) oral suspension,0,0,0,1,0,1
a short video intervention,0,0,0,1,0,1
a vignette intervention,0,0,0,1,0,1
"ä±t will be compared pain, sleep, fatigue, physical activity level",0,0,1,0,0,1
"ä±t will be compared pain, sleep, fatigue, physical activity level/quality of life/questioning exercise habits before/after the covid-19 outbreak in patients with behã§et/fmf.",0,0,1,0,0,1
aã§aã­ palm berry extract - natural product,0,0,0,1,0,1
aapc,0,0,0,1,0,1
aaz covid-19 rapid test,0,0,0,1,0,1
abdominal ultrasound,0,1,0,0,0,1
abivertinib,0,0,0,1,0,1
abpm,0,0,0,1,0,1
abx464,0,0,0,1,0,1
accuchek inform ii platform,0,0,0,1,0,1
"ace inhibitor, angiotensin receptor blocker",0,0,0,1,0,1
ace inhibitor/arb,1,0,0,0,0,1
ace inhibitors/calcium channel blockers,0,1,0,0,0,1
ace/arb,0,0,0,1,0,1
acknowledgement racial injustice ama,1,0,0,0,0,1
actigraphy,0,0,0,1,0,1
action (tara),0,1,0,0,0,1
activase,0,0,0,1,0,1
active comparator,0,0,0,1,0,1
active control:healthy living,1,0,0,0,0,1
active covid-19 disease,0,0,0,1,0,1
activity,0,1,0,0,0,1
acute kidney injury,0,1,0,0,0,1
ad5-ncov,0,0,0,1,0,1
adam sensor,0,0,0,1,0,1
adaptation at work score (psas),0,1,0,0,0,1
"adaptive immune response, complement activation,",0,0,0,1,0,1
adenovirus type-5 vectored covid-19 vaccine,1,0,0,0,0,1
adimrsc-2f,0,0,0,1,0,1
administration of equine immunoglobulin anti sars-cov-2,1,0,0,0,0,1
admission to icu for covid-19,0,1,0,0,0,1
adsorbed covid-19 (inactivated) vaccine,0,0,0,1,0,1
aerobic training,0,0,0,1,0,1
aerosolized dnase,0,0,0,1,0,1
african american sender acknowledgement,1,0,0,0,0,1
african american sender in informational videos.,1,0,0,0,0,1
after-each-case room disinfection,0,1,0,0,0,1
after covid-19 pandemic,0,0,0,1,0,1
after the covid-19 outbreak in patients with behã§et,0,0,1,0,0,1
ag0301-covid19,1,0,0,0,0,1
ag0302-covid19,1,0,0,0,0,1
agent-797,0,0,0,1,0,1
ai algorithm,0,0,0,1,0,1
ai model,1,0,0,0,0,1
airwave oscillometry,0,0,0,1,0,1
airway management during sedation,0,0,0,1,0,1
airway management during sedation/general anesthesia,0,0,0,1,0,1
airway pressure release ventilation,0,1,0,0,0,1
ak119,0,0,0,1,0,1
albumine,0,0,0,1,0,1
alexa amazon,0,0,0,1,0,1
all treatment about covid-2019,0,0,0,1,0,1
allogeneic,0,0,0,1,0,1
almitrine,0,0,0,1,0,1
alpha one antitrypsin,0,0,0,1,0,1
alum adjuvant,0,0,0,1,0,1
aluminum adjuvant of inactivated sars-cov-2 vaccine,1,0,0,0,0,1
alvelestat,0,0,0,1,0,1
alveolar,0,0,0,1,0,1
ama acknowledgement drug pricing,1,0,0,0,0,1
ambrisentan,0,0,0,1,0,1
ambulation,0,0,0,1,0,1
amiodarone,0,0,0,1,0,1
amlodipine,0,0,0,1,0,1
ampion,1,0,0,0,0,1
an69-oxiris,0,0,0,1,0,1
an69-standard,0,0,0,1,0,1
anakinra/ruxolitinib,0,0,0,0,1,1
"analysis of cytokine response, innate",0,0,0,1,0,1
"analysis of cytokine response, innate/adaptive immune response, complement activation,/serum neurofilaments as a marker of neurological damage.",0,0,0,1,0,1
ang-3777,0,0,0,1,0,1
anger message,0,1,0,0,0,1
angiogenic biomarkers,0,0,0,1,0,1
angiography scanner,0,0,0,1,0,1
angiotensin-(1-7),0,0,0,1,0,1
angiotensin-converting enzyme inhibitors (ace-i)/angiotensin ii receptor blockers (arb),0,1,0,0,0,1
angiotensin ii,0,0,0,1,0,1
angiotensin peptide (1-7) derived plasma,0,0,0,1,0,1
anise,0,0,0,1,0,1
anluohuaxian,0,0,0,1,0,1
anne one,0,0,1,0,0,1
anti-coronavirus antibodies (immunoglobulins)obtained with dfpp from convalescent patients,0,0,0,1,0,1
anti-sars-cov-2 igt seropositivity,0,1,0,0,0,1
anti-sars-cov-2 igy,0,0,0,1,0,1
anti-sars-cov2 serological controls,0,0,0,1,0,1
anti-sars-cov2 serological controls/serum neutralization,0,0,0,1,0,1
anticoagulation agents (edoxaban and,0,0,0,1,0,1
anticoagulation agents (edoxaban and/or high dose lmwh),0,0,0,1,0,1
antidiabetic treatment,0,1,0,0,0,1
antioxidants,0,0,0,1,0,1
antirheumatic drugs,0,0,1,0,0,1
antithrombotic therapy (anticoagulant and,0,1,0,0,0,1
antithrombotic therapy (anticoagulant and/or antiplatelet) before admission for covid19,0,1,0,0,0,1
antroquinonol,0,0,0,1,0,1
anxiety,0,0,0,1,0,1
anxiety questionnaire,0,0,0,1,0,1
anxiety reduction training,0,0,0,1,0,1
anxiety),0,0,0,1,0,1
any drug used to treat covid-19,0,0,0,1,0,1
apilimod dimesylate,0,0,0,1,0,1
apixaban,0,0,0,1,0,1
apixaban 2.5 mg,0,0,0,1,0,1
apixaban 5mg,0,0,0,1,0,1
apl-9,0,0,0,1,0,1
appendectomy,0,1,0,0,0,1
apple watch,0,0,0,1,0,1
apps,0,0,0,1,0,1
apremilast,0,0,0,1,0,1
aprepitant injectable emulsion,0,0,0,1,0,1
aprotinin,1,0,0,0,0,1
arb blocker,0,1,0,0,0,1
arbidol hydrochloride/interferon atomization,0,0,0,1,0,1
arct-021 dose 1,0,0,0,1,0,1
arct-021 dose 2,0,0,0,1,0,1
arct-021 dose 3,0,0,0,1,0,1
arct-021 dose 4,0,0,0,1,0,1
arct-021 dose regimen 1,0,0,0,1,0,1
arct-021 dose regimen 2,0,0,0,1,0,1
ardsnet,0,0,0,1,0,1
argatroban,0,0,0,1,0,1
artemesia annua,0,0,0,1,0,1
artemic,0,0,0,1,0,1
artemisia annua leaf,0,0,0,1,0,1
artesunate,0,0,0,1,0,1
artesunate-amodiaquine,0,0,0,1,0,1
asbrip,0,0,0,1,0,1
asc09,0,0,0,1,0,1
asc09f/oseltamivir,0,0,0,1,0,1
ascorbic acid/zinc gluconate,0,0,1,0,0,1
aspirin 25mg orally,0,0,0,1,0,1
assembled mask,0,0,0,1,0,1
assessing impact of covid19,0,0,1,0,0,1
assessment of cardiovascular diseases,0,0,0,1,0,1
assessment of cardiovascular diseases/cardiovascular risk factors,0,0,0,1,0,1
assessment of postnatal depression using the the edinburgh questionnaire between 4,0,0,0,1,0,1
assessment of postnatal depression using the the edinburgh questionnaire between 4/6 weeks after delivery,0,0,0,1,0,1
assessment of the sequelae after hospitalization for sars-cov-2,0,0,1,0,0,1
assessment of ventilator-associated pneumonia criteria,0,0,0,1,0,1
assessment tests,0,0,0,1,0,1
assessment),0,0,0,1,0,1
assigned strategies: active choice,0,0,0,1,0,1
assigned strategies: enhanced active choice,0,0,0,1,0,1
assigned strategies: opt-in,0,0,0,1,0,1
asunercept,0,0,0,1,0,1
asynchronies detection,0,1,0,0,0,1
at-001,0,0,0,1,0,1
at-527,0,0,0,1,0,1
at risk for covid-19 infection,0,0,0,1,0,1
atazanavir/dexamethasone,0,0,0,1,0,1
ati-450,0,0,0,1,0,1
atovaquone,0,0,0,1,0,1
atovaquone/azithromycin,0,0,0,1,0,1
attendance by ambulance crew,0,0,0,1,0,1
attention bias modification (abm),0,1,0,0,0,1
atyr1923,1,0,0,0,0,1
audio-visual triage system (avt),0,1,0,0,0,1
auditory evoked potentials (aep),0,0,0,1,0,1
auricular neuromodulation,0,0,0,1,0,1
auricular percutaneous neurostimulation,0,0,0,1,0,1
autologous non-hematopoietic peripheral blood stem cells (nhpbsc),0,1,0,0,0,1
autopsy,0,1,0,0,0,1
auxora,0,0,0,1,0,1
avdoralimab,0,0,0,1,0,1
avigan,0,0,0,1,0,1
aviptadil,0,0,0,1,0,1
aviptadil/standard care,0,0,0,1,0,1
award,0,0,0,1,0,1
award advice,0,0,0,1,0,1
award/covid-specific advice,0,0,0,1,0,1
ayurvedic kadha,0,1,0,0,0,1
azd1656,0,0,0,1,0,1
azd7442,1,0,0,0,0,1
azoximer bromide,0,0,0,1,0,1
bactek-r,0,0,0,1,0,1
bactrl-spike,0,0,0,1,0,1
bandebereho fathers',0,0,1,0,0,1
bardoxolone methyl,0,0,0,1,0,1
bariatric procedures,0,0,0,1,0,1
baricitinib/anakinra,0,0,0,1,0,1
baseline,0,0,0,1,0,1
baseline blood sample,0,0,0,1,0,1
baseline message,0,1,0,0,0,1
baseline/during hospitalization blood samples,0,0,0,1,0,1
basic feedback,1,0,0,0,0,1
bbv152,0,0,0,1,0,1
bbv152a - phase i,1,0,0,0,0,1
bbv152a - phase ii,1,0,0,0,0,1
bbv152b - phase i,1,0,0,0,0,1
bbv152b - phase ii,1,0,0,0,0,1
bbv152c - phase i,1,0,0,0,0,1
bdb-001 injection,0,0,0,1,0,1
beck depression inventory (bdi),0,1,0,0,0,1
behavioral activation ssi,0,0,0,1,0,1
behaviour change technique intervention to improve quality of life,0,0,0,1,0,1
bemiparin,0,0,0,1,0,1
bemiparin sodium,0,0,0,1,0,1
bempegaldesleukin,0,0,0,1,0,1
berberine,0,1,0,0,0,1
best symptomatic treatment based on doctor recommendations),0,0,0,1,0,1
beta interferon,0,0,0,1,0,1
bgb dxp593,0,0,0,1,0,1
bi 764198,0,0,0,1,0,1
bicalutamide 150 mg oral tablet,0,0,0,1,0,1
bidirectional oxygenation mouthpiece,0,0,0,1,0,1
bio 300 oral suspension,0,0,0,1,0,1
bio101,0,0,0,1,0,1
biochemical analysis,0,1,0,0,0,1
biological assays in particular on the lipid metabolism,0,1,0,0,0,1
biological sample/clinical data collection,0,0,0,1,0,1
biological test,0,0,0,1,0,1
biological/vaccine: recombinant new coronavirus vaccine (cho cell) low-dose group,0,0,0,1,0,1
biological/vaccine: recombinant new coronavirus vaccine (cho cells) high-dose group,0,0,0,1,0,1
biological/vaccine: recombinant new coronavirus vaccine (cho cells) placebo group,0,0,0,1,0,1
"biomarker (tropt, myoglobin, ck, ck-mb, ldh, d-dimer, crp, pct)",0,0,0,1,0,1
biomarkers expression,0,0,0,1,0,1
biosensor,0,0,0,1,0,1
biovitals,0,0,0,1,0,1
bivalirudin,0,0,0,1,0,1
bld-2660,1,0,0,0,0,1
blink,0,0,0,1,0,1
blink/masseter inhibitory reflex,0,0,0,1,0,1
blood collection on their first consultation/10 to 14 days later,0,0,0,1,0,1
blood d-dimer assay,0,1,0,0,0,1
blood group determination,0,0,0,1,0,1
"blood tests sputum, nasal lavage",0,0,0,1,0,1
"blood tests sputum, nasal lavage/brushing",0,0,0,1,0,1
blood/derivatives,0,0,0,1,0,1
bloodwork,0,0,0,1,0,1
bms-986253,0,0,0,1,0,1
bnt162a1,0,0,0,1,0,1
bnt162b3,0,0,0,1,0,1
bnt162c2,0,0,0,1,0,1
boost,0,0,0,1,0,1
bovhyaluronidase azoxymer,0,0,0,1,0,1
brain mri,0,0,0,1,0,1
brazilian green propolis extract (epp-af),0,1,0,0,0,1
breath biopsy,0,0,0,1,0,1
breath biopsy face masks with removable filters,0,0,0,1,0,1
breath biopsy face masks with removable filters/fitted pva strip,0,0,0,1,0,1
breath test/cheek swab,0,0,0,1,0,1
"breathing exercise, intensive spirometry use, supported cough, progressive mobilisation",0,0,0,1,0,1
"breathing exercise, intensive spirometry use, supported cough, progressive mobilisation/ambulation",0,0,0,1,0,1
bridge therapy,0,0,0,1,0,1
brief interpersonal telepsychotherapy,0,0,1,0,0,1
brief psychiatric rating scale,0,0,0,1,0,1
bromelain,0,0,0,1,0,1
bromhexine oral tablet and/or hydroxychloroquine tablet,0,0,0,1,0,1
broncho-vaxomâ®,0,0,0,1,0,1
brushing,0,0,0,1,0,1
btl-tml-covid,0,0,0,1,0,1
bucillamine,0,0,1,0,0,1
building of the classification model,0,0,0,1,0,1
burnout,0,0,0,1,0,1
butterfly,0,0,0,1,0,1
butterfly iq,0,0,0,1,0,1
bva-100,0,0,0,1,0,1
by computer consultation,0,1,0,0,0,1
c-reactive protein,0,0,0,1,0,1
c21,0,1,0,0,0,1
c3,0,1,0,0,0,1
c3/ holter monitor,0,1,0,0,0,1
cag,0,0,0,1,0,1
calcium channel blockers,0,1,0,0,0,1
cambridge validated viral detection,0,0,0,1,0,1
candesartan,0,0,0,1,0,1
canine odor detection of volatile organic compounds,0,0,0,1,0,1
cap-1002,0,0,0,1,0,1
capillary collection,0,0,0,1,0,1
capillary collection/testing,0,0,0,1,0,1
cardiac ct,0,0,0,1,0,1
cardiac mri,0,0,0,1,0,1
cardiac surgery,0,0,0,1,0,1
cardiology clinical consultations,0,0,0,1,0,1
cardiopulmonary resuscitation,0,1,0,0,0,1
cardiovascular risk factors,0,0,0,1,0,1
care as usual,0,0,1,0,0,1
care modalities,0,1,0,0,0,1
caring contacts,0,0,0,1,0,1
carotid artery reactivity testing,1,0,0,0,0,1
case fatality rate,0,1,0,0,0,1
cash transfer,1,0,0,0,0,1
castem,0,0,0,1,0,1
ccp,0,0,0,1,0,1
cd24fc,1,0,0,0,0,1
cell therapy protocol 1,0,0,0,1,0,1
cell therapy protocol 2,0,0,0,1,0,1
cellular response,0,0,0,1,0,1
centricyte 1000,0,0,0,1,0,1
centrum adult (under 50) multivitamin,0,0,1,0,0,1
cerc-002,0,0,0,1,0,1
cerebral compliance,0,1,0,0,0,1
cerebral compliance/hemodynamics monitoring,0,1,0,0,0,1
certified cloth face mask,0,0,1,0,0,1
certified cloth face mask/preventive information,0,0,1,0,0,1
chadox1 ncov-19 single dose,0,0,0,1,0,1
chadox1 ncov-19 single dose / paracetamol,0,0,0,1,0,1
chadox1 ncov-19 two dose,0,0,0,1,0,1
chadox1 ncov-19 two dose / paracetamol,0,0,0,1,0,1
