Country,Study_Count
Brazil|Canada|Chile|Colombia|Ecuador|Egypt|India|Pakistan|Philippines|Russian Federation|Saudi Arabia|United Arab Emirates,1
Brazil|Chile|Uruguay,1
Brazil|Italy,1
Brazil|United States,1
Bulgaria|Germany,1
Burkina Faso,1
Canada|Israel,1
Canada|Mongolia,1
Canada|Saudi Arabia,1
Chile|Colombia|Ecuador|Spain,1
China|Hong Kong|Spain,1
China|India|Indonesia|Japan|Malaysia|Pakistan|Singapore,1
China|Indonesia,1
China|Italy,1
Costa Rica,1
Croatia,1
Denmark|France|Germany|Norway,1
Denmark|India|Sweden|Switzerland,1
Dominican Republic,1
Ethiopia,1
Finland|France|Germany|Italy|Sweden|United Kingdom,1
France|Germany|Spain,1
France|Guadeloupe|Martinique,1
France|Martinique|Mayotte|R̩union,1
French Guiana|Guadeloupe|New Caledonia,1
Germany|Israel,1
Germany|Netherlands,1
Germany|Netherlands|Spain,1
Germany|Romania,1
Germany|Sweden,1
Gibraltar,1
Honduras,1
India|Israel,1
India|United Kingdom,1
Indonesia|Italy|Lao People's Democratic Republic|Pakistan|Thailand|United Kingdom,1
Israel|Italy|Malaysia|Australia|Canada|China|France|Gambia|Germany|Poland|Portugal|Romania|Singapore|Switzerland,1
Israel|Mexico|Russian Federation,1
Italy|Romania|United Kingdom,1
Italy|San Marino,1
Italy|Spain,1
Kenya,1
Kyrgyzstan,1
"Moldova, Republic of",1
"Moldova, Republic of|Romania|Ukraine|United Kingdom",1
Nepal,1
New Zealand,1
Panama|Peru,1
Puerto Rico,1
Russian Federation|Spain,1
Rwanda,1
Senegal,1
"Sweden|United States|China|France|Germany|Hong Kong|Italy|Japan|Korea, Republic of|Netherlands|Singapore|Spain|Switzerland|Taiwan|United Kingdom",1
Turkey|Argentina|Brazil|Chile|France|Germany|India|Italy|Mexico|Peru|Russian Federation|South Africa|Spain,1
Uganda,1
"Ukraine|South Africa|United States|Belgium|Brazil|Moldova, Republic of|Romania",1
United States|Albania|Australia|Czechia|France|Germany|Hong Kong|Israel|Italy|Lebanon|Norway|Poland|Spain|Sweden|Taiwan,1
United States|Argentina|Armenia|Australia|Bolivia|Chile|Costa Rica|Czechia|Germany|Guatemala|Italy|Lebanon|Mexico|Netherlands|Nigeria|Puerto Rico|Saudi Arabia|Spain|Tunisia|Turkey|Venezuela,1
United States|Argentina|Belgium|Brazil|Canada|Chile|France|India|Japan|Mexico|Netherlands|Peru|Poland|Russian Federation|South Africa|Spain|United Kingdom,1
United States|Argentina|Botswana|Brazil|Kenya|Malawi|Mexico|Mozambique|Peru|South Africa|Tanzania|Zambia|Zimbabwe,1
United States|Argentina|Brazil|Chile|Colombia|Mexico|Peru|Philippines|South Africa|Ukraine,1
United States|Argentina|Brazil|Colombia|France|Germany|Mexico|Peru|Russian Federation|Spain|Turkey|United Kingdom,1
"United States|Argentina|Brazil|Germany|India|Italy|Japan|Korea, Republic of|Mexico|Puerto Rico|Russian Federation|Spain|United Kingdom",1
United States|Argentina|Brazil|Germany|South Africa|Turkey,1
United States|Argentina|Chile|Colombia|Peru,1
United States|Argentina|Denmark|United Kingdom,1
United States|Australia,1
United States|Australia|Brazil|Spain,1
United States|Austria|Belgium,1
United States|Austria|France|Israel|Spain|United Kingdom,1
United States|Belgium,1
United States|Belgium|Brazil|France,1
United States|Belgium|Canada|France|Japan|Spain,1
United States|Belgium|Colombia|France|Germany|Philippines|South Africa|Spain|United Kingdom,1
United States|Belgium|France|Netherlands,1
United States|Bolivia|Canada|Chile|India|United Kingdom,1
United States|Brazil|Canada|Chile|Peru|Spain|United Kingdom,1
United States|Brazil|Canada|Mexico,1
United States|Brazil|Canada|South Africa|Spain,1
"United States|Brazil|Chile|Moldova, Republic of|Romania",1
United States|Brazil|Chile|Peru|South Africa,1
United States|Brazil|Colombia|Egypt|France|Mexico|Spain,1
United States|Brazil|France|Russian Federation|Spain,1
United States|Brazil|Kenya|Mexico|Peru|South Africa,1
United States|Brazil|Mexico,1
United States|Brazil|Mexico|Spain,1
United States|Brazil|Russian Federation,1
United States|Canada|Denmark|France|Germany|Italy|Netherlands|Spain|United Kingdom,1
United States|Canada|Ghana|Ireland|Netherlands|South Africa|Uganda|United Kingdom|Zambia|Zimbabwe,1
United States|Canada|Israel|Japan|Serbia|Spain|United Kingdom,1
United States|Canada|Puerto Rico,1
United States|Denmark,1
"United States|Denmark|Germany|Greece|Japan|Korea, Republic of|Mexico|Singapore|Spain|United Kingdom",1
United States|Denmark|Greece|Japan|Nigeria|United Kingdom,1
"United States|Denmark|Japan|Korea, Republic of|Mexico|Singapore|Spain|United Kingdom",1
United States|Denmark|Singapore|Spain,1
United States|Egypt|Germany|Peru|Singapore,1
"United States|Egypt|Iran, Islamic Republic of",1
United States|France|Germany|Italy|Poland|Spain|United Kingdom,1
United States|France|Italy|Russian Federation|Spain|United Kingdom,1
United States|France|Japan|Spain|United Kingdom,1
United States|India,1
United States|Israel,1
United States|Italy,1
United States|Italy|Spain|United Kingdom,1
"United States|Japan|Korea, Republic of|Mexico|Singapore",1
United States|Malawi|Mozambique|Peru|South Africa|Tanzania|Zambia|Zimbabwe,1
"United States|Moldova, Republic of|Romania",1
United States|New Zealand,1
United States|Poland,1
United States|Romania,1
United States|Russian Federation,1
"United States|Spain|China|France|Germany|Hong Kong|Italy|Japan|Korea, Republic of|Netherlands|Singapore|Sweden|Switzerland|Taiwan|United Kingdom",1
United States|Switzerland,1
United States|Turkey,1
