nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,id,intervention_type,intervention_name,description,status,facility_name,city,state,zip,country,site_count
NCT04252664,"ClinicalTrials.gov processed this data on April 24, 2020",2020-01-31,NA,NA,2020-04-13,2020-01-31,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-04-13,2020-04-15,Actual,"February 12, 2020",Actual,2020-02-12,April 2020,2020-04-30,"April 27, 2020",Anticipated,2020-04-27,"April 10, 2020",Anticipated,2020-04-10,NA,Interventional,NA,,A Trial of Remdesivir in Adults With Mild and Moderate COVID-19,"A Phase 3 Randomized, Double-blind, Placebo-controlled Multicenter Study to Evaluate the Efficacy and Safety of Remdesivir in Hospitalized Adult Patients With Mild and Moderate COVID-19.",Suspended,NA,Phase 3,308,Anticipated,Capital Medical University,,2,NA,"The epidemic of COVID-19 has been controlled well at present, no eligible patients can be
    recruitted.",FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-25T09:21:23Z,2020-04-25T09:21:23Z,5176862,Drug,Remdesivir,"RDV 200 mg loading dose on day 1 is given, followed by 100 mg iv once-daily maintenance doses for 9 days.",,Jin Yin-tan hospital,Wuhan,Hubei,100013,China,1
NCT04252664,"ClinicalTrials.gov processed this data on April 24, 2020",2020-01-31,NA,NA,2020-04-13,2020-01-31,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-04-13,2020-04-15,Actual,"February 12, 2020",Actual,2020-02-12,April 2020,2020-04-30,"April 27, 2020",Anticipated,2020-04-27,"April 10, 2020",Anticipated,2020-04-10,NA,Interventional,NA,,A Trial of Remdesivir in Adults With Mild and Moderate COVID-19,"A Phase 3 Randomized, Double-blind, Placebo-controlled Multicenter Study to Evaluate the Efficacy and Safety of Remdesivir in Hospitalized Adult Patients With Mild and Moderate COVID-19.",Suspended,NA,Phase 3,308,Anticipated,Capital Medical University,,2,NA,"The epidemic of COVID-19 has been controlled well at present, no eligible patients can be
    recruitted.",FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-25T09:21:23Z,2020-04-25T09:21:23Z,5176863,Drug,Remdesivir placebo,"RDV placebo 200 mg loading dose on day 1 is given, followed by 100 mg iv once-daily maintenance doses for 9 days.",,Jin Yin-tan hospital,Wuhan,Hubei,100013,China,1
NCT04257656,"ClinicalTrials.gov processed this data on April 24, 2020",2020-01-31,NA,NA,2020-04-13,2020-02-03,2020-02-06,Actual,NA,NA,NA,NA,NA,NA,2020-04-13,2020-04-15,Actual,"February 6, 2020",Actual,2020-02-06,April 2020,2020-04-30,"April 10, 2020",Actual,2020-04-10,"March 30, 2020",Actual,2020-03-30,NA,Interventional,NA,,A Trial of Remdesivir in Adults With Severe COVID-19,"A Phase 3 Randomized, Double-blind, Placebo-controlled, Multicenter Study to Evaluate the Efficacy and Safety of Remdesivir in Hospitalized Adult Patients With Severe COVID-19.",Terminated,NA,Phase 3,237,Actual,Capital Medical University,,2,NA,"The epidemic of COVID-19 has been controlled well in China, no eligible patients can be
    enrolled at present.",FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-25T09:21:12Z,2020-04-25T09:21:12Z,5176822,Drug,Remdesivir,"RDV 200 mg loading dose on day 1 is given, followed by 100 mg iv once-daily maintenance doses for 9 days.",,Bin Cao,Beijing,Beijing,100029,China,1
NCT04257656,"ClinicalTrials.gov processed this data on April 24, 2020",2020-01-31,NA,NA,2020-04-13,2020-02-03,2020-02-06,Actual,NA,NA,NA,NA,NA,NA,2020-04-13,2020-04-15,Actual,"February 6, 2020",Actual,2020-02-06,April 2020,2020-04-30,"April 10, 2020",Actual,2020-04-10,"March 30, 2020",Actual,2020-03-30,NA,Interventional,NA,,A Trial of Remdesivir in Adults With Severe COVID-19,"A Phase 3 Randomized, Double-blind, Placebo-controlled, Multicenter Study to Evaluate the Efficacy and Safety of Remdesivir in Hospitalized Adult Patients With Severe COVID-19.",Terminated,NA,Phase 3,237,Actual,Capital Medical University,,2,NA,"The epidemic of COVID-19 has been controlled well in China, no eligible patients can be
    enrolled at present.",FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-25T09:21:12Z,2020-04-25T09:21:12Z,5176823,Drug,Remdesivir placebo,"RDV placebo 200 mg loading dose on day 1 is given, followed by 100 mg iv once-daily maintenance doses for 9 days.",,Bin Cao,Beijing,Beijing,100029,China,1
NCT04263402,"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-02,NA,NA,2020-03-14,2020-02-07,2020-02-10,Actual,NA,NA,NA,NA,NA,NA,2020-03-14,2020-03-17,Actual,"February 1, 2020",Actual,2020-02-01,March 2020,2020-03-31,"July 1, 2020",Anticipated,2020-07-01,"June 1, 2020",Anticipated,2020-06-01,NA,Interventional,NA,,The Efficacy of Different Hormone Doses in 2019-nCoV Severe Pneumonia,"An Open, Prospective/Retrospective, Randomized Controlled Cohort Study to Compare the Efficacy of Different Hormone Doses in the Treatment of 2019-nCoV Severe Pneumonia",Recruiting,NA,Phase 4,100,Anticipated,Tongji Hospital,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-01T09:25:53Z,2020-04-01T09:25:53Z,4326007,Drug,Methylprednisolone,"Patients in the Group I will receive basic symptomatic supportive treatment,plus methylprednisolone(<40mg/d intravenous drip for 7 days).",Recruiting,Department and Institute of Infectious Disease,Wuhan,Hubei,430030,China,1
NCT04263402,"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-02,NA,NA,2020-03-14,2020-02-07,2020-02-10,Actual,NA,NA,NA,NA,NA,NA,2020-03-14,2020-03-17,Actual,"February 1, 2020",Actual,2020-02-01,March 2020,2020-03-31,"July 1, 2020",Anticipated,2020-07-01,"June 1, 2020",Anticipated,2020-06-01,NA,Interventional,NA,,The Efficacy of Different Hormone Doses in 2019-nCoV Severe Pneumonia,"An Open, Prospective/Retrospective, Randomized Controlled Cohort Study to Compare the Efficacy of Different Hormone Doses in the Treatment of 2019-nCoV Severe Pneumonia",Recruiting,NA,Phase 4,100,Anticipated,Tongji Hospital,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-01T09:25:53Z,2020-04-01T09:25:53Z,4326008,Drug,Methylprednisolone,"Patients in the Group II will receive basic symptomatic supportive treatment,plus methylprednisolone(40~80mg/d intravenous drip for 7 days).",Recruiting,Department and Institute of Infectious Disease,Wuhan,Hubei,430030,China,1
NCT04255017,"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-02,NA,NA,2020-03-14,2020-02-02,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-03-14,2020-03-17,Actual,"February 1, 2020",Actual,2020-02-01,March 2020,2020-03-31,"July 1, 2020",Anticipated,2020-07-01,"June 1, 2020",Anticipated,2020-06-01,NA,Interventional,NA,,"A Prospective/Retrospective,Randomized Controlled Clinical Study of Antiviral Therapy in the 2019-nCoV Pneumonia","An Open, Prospective/Retrospective, Randomized Controlled Cohort Study to Compare the Efficacy of Three Antiviral Drugs(Abidol Hydrochloride, Oseltamivir and Lopinavir/Ritonavir) in the Treatment of 2019-nCoV Pneumonia.",Recruiting,NA,Phase 4,400,Anticipated,Tongji Hospital,,4,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-01T09:27:04Z,2020-04-01T09:27:04Z,4327081,Drug,Abidol hydrochloride,"Abidol hydrochloride (0.2g once, 3 times a day,2 weeks)was added on the basis of group I.",Recruiting,Department and Institute of Infectious Disease,Wuhan,Hubei,430030,China,1
NCT04255017,"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-02,NA,NA,2020-03-14,2020-02-02,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-03-14,2020-03-17,Actual,"February 1, 2020",Actual,2020-02-01,March 2020,2020-03-31,"July 1, 2020",Anticipated,2020-07-01,"June 1, 2020",Anticipated,2020-06-01,NA,Interventional,NA,,"A Prospective/Retrospective,Randomized Controlled Clinical Study of Antiviral Therapy in the 2019-nCoV Pneumonia","An Open, Prospective/Retrospective, Randomized Controlled Cohort Study to Compare the Efficacy of Three Antiviral Drugs(Abidol Hydrochloride, Oseltamivir and Lopinavir/Ritonavir) in the Treatment of 2019-nCoV Pneumonia.",Recruiting,NA,Phase 4,400,Anticipated,Tongji Hospital,,4,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-01T09:27:04Z,2020-04-01T09:27:04Z,4327082,Drug,Oseltamivir,"Oseltamivir(75mg once, twice a day,2 weeks) was added on the basis of group I.",Recruiting,Department and Institute of Infectious Disease,Wuhan,Hubei,430030,China,1
NCT04255017,"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-02,NA,NA,2020-03-14,2020-02-02,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-03-14,2020-03-17,Actual,"February 1, 2020",Actual,2020-02-01,March 2020,2020-03-31,"July 1, 2020",Anticipated,2020-07-01,"June 1, 2020",Anticipated,2020-06-01,NA,Interventional,NA,,"A Prospective/Retrospective,Randomized Controlled Clinical Study of Antiviral Therapy in the 2019-nCoV Pneumonia","An Open, Prospective/Retrospective, Randomized Controlled Cohort Study to Compare the Efficacy of Three Antiviral Drugs(Abidol Hydrochloride, Oseltamivir and Lopinavir/Ritonavir) in the Treatment of 2019-nCoV Pneumonia.",Recruiting,NA,Phase 4,400,Anticipated,Tongji Hospital,,4,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-01T09:27:04Z,2020-04-01T09:27:04Z,4327083,Drug,Lopinavir/ritonavir,"Lopinavir/ritonavir (500mg once, twice a day,2 weeks)was added on the basis of group I.",Recruiting,Department and Institute of Infectious Disease,Wuhan,Hubei,430030,China,1
NCT04254874,"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-02,NA,NA,2020-03-14,2020-02-02,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-03-14,2020-03-17,Actual,"February 1, 2020",Actual,2020-02-01,March 2020,2020-03-31,"July 1, 2020",Anticipated,2020-07-01,"June 1, 2020",Anticipated,2020-06-01,NA,Interventional,NA,,"A Prospective/Retrospective,Randomized Controlled Clinical Study of Interferon Atomization in the 2019-nCoV Pneumonia","An Open, Prospective/Retrospective, Randomized Controlled Cohort Study to Compare the Efficacy of Two Therapeutic Schemes(Abidol Hydrochloride,Abidol Hydrochloride Combined With Interferon Atomization)in the Treatment of 2019-nCoV Pneumonia.",Recruiting,NA,Phase 4,100,Anticipated,Tongji Hospital,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-01T09:27:04Z,2020-04-01T09:27:04Z,4327095,Drug,Abidol hydrochloride,"0.2g once, 3 times a day,two weeks",Recruiting,Department and Institute of Infectious Disease,Wuhan,Hubei,430030,China,1
NCT04254874,"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-02,NA,NA,2020-03-14,2020-02-02,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-03-14,2020-03-17,Actual,"February 1, 2020",Actual,2020-02-01,March 2020,2020-03-31,"July 1, 2020",Anticipated,2020-07-01,"June 1, 2020",Anticipated,2020-06-01,NA,Interventional,NA,,"A Prospective/Retrospective,Randomized Controlled Clinical Study of Interferon Atomization in the 2019-nCoV Pneumonia","An Open, Prospective/Retrospective, Randomized Controlled Cohort Study to Compare the Efficacy of Two Therapeutic Schemes(Abidol Hydrochloride,Abidol Hydrochloride Combined With Interferon Atomization)in the Treatment of 2019-nCoV Pneumonia.",Recruiting,NA,Phase 4,100,Anticipated,Tongji Hospital,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-01T09:27:04Z,2020-04-01T09:27:04Z,4327096,Drug,Abidol Hydrochloride combined with Interferon atomization,"Abidol Hydrochloride:0.2g once, 3 times a day,two weeks; Interferon(PegIFN-Î±-2b) atomization:45ug, add to sterile water 2ml, twice a day,two weeks",Recruiting,Department and Institute of Infectious Disease,Wuhan,Hubei,430030,China,1
NCT04264533,"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-04,NA,NA,2020-03-06,2020-02-08,2020-02-11,Actual,NA,NA,NA,NA,NA,NA,2020-03-06,2020-03-10,Actual,"February 14, 2020",Actual,2020-02-14,February 2020,2020-02-29,"September 30, 2020",Anticipated,2020-09-30,"September 30, 2020",Anticipated,2020-09-30,NA,Interventional,NA,,Vitamin C Infusion for the Treatment of Severe 2019-nCoV Infected Pneumonia,Vitamin C Infusion for the Treatment of Severe 2019-nCoV Infected Pneumonia: a Prospective Randomized Clinical Trial,Recruiting,NA,Phase 2,140,Anticipated,Zhongnan Hospital,,2,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-01T09:25:41Z,2020-04-01T09:25:41Z,4325891,Drug,VC,12g Vitamin C will be infused in the experimental group twice a day for 7 days by the infusion pump with a speed of 12ml/h.,Recruiting,Zhongnan Hospital of Wuhan University,Wuhan,Hubei,430000,China,1
NCT04264533,"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-04,NA,NA,2020-03-06,2020-02-08,2020-02-11,Actual,NA,NA,NA,NA,NA,NA,2020-03-06,2020-03-10,Actual,"February 14, 2020",Actual,2020-02-14,February 2020,2020-02-29,"September 30, 2020",Anticipated,2020-09-30,"September 30, 2020",Anticipated,2020-09-30,NA,Interventional,NA,,Vitamin C Infusion for the Treatment of Severe 2019-nCoV Infected Pneumonia,Vitamin C Infusion for the Treatment of Severe 2019-nCoV Infected Pneumonia: a Prospective Randomized Clinical Trial,Recruiting,NA,Phase 2,140,Anticipated,Zhongnan Hospital,,2,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-01T09:25:41Z,2020-04-01T09:25:41Z,4325892,Drug,Sterile Water for Injection,50ml sterile water for injection will be infused in the placebo comparator group twice a day for 7 days by the infusion pump with a speed of 12ml/h.,Recruiting,Zhongnan Hospital of Wuhan University,Wuhan,Hubei,430000,China,1
