nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,intervention_type,intervention_name,description,n.x,status,facility_name,city,state,zip,country,n.y
NCT04275947,"ClinicalTrials.gov processed this data on February 28, 2020",2020-02-17,NA,NA,2020-02-17,2020-02-17,2020-02-19,Actual,NA,NA,NA,NA,NA,NA,2020-02-17,2020-02-19,Actual,"February 14, 2020",Actual,2020-02-14,February 2020,2020-02-29,"May 31, 2020",Anticipated,2020-05-31,"April 30, 2020",Anticipated,2020-04-30,NA,Observational,CMHS,,The COVID-19 Mobile Health Study (CMHS),"The COVID-19 Mobile Health Study, a Large-scale Clinical Observational Study Using nCapp",Recruiting,NA,NA,450,Anticipated,Chinese Alliance Against Lung Cancer,,NA,2,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,The anonymous clinical data for training and validation the model,2020-03-01T00:04:48Z,2020-03-01T00:04:48Z,Other,"nCapp, a cell phone-based auto-diagnosis system","Combined with 15 questions online, and a predicated formula to auto-diagnosis of the risk of COVID-19",1,Recruiting,Renmin Hospital of Wuhan University,Wuhan,Hubei,,China,1
NCT04279899,"ClinicalTrials.gov processed this data on March 02, 2020",2020-02-18,NA,NA,2020-02-19,2020-02-19,2020-02-21,Actual,NA,NA,NA,NA,NA,NA,2020-02-19,2020-02-21,Actual,"February 1, 2020",Actual,2020-02-01,February 2020,2020-02-29,"December 31, 2020",Anticipated,2020-12-31,"November 30, 2020",Anticipated,2020-11-30,NA,Observational,NA,,The Investigation of the Neonates With or With Risk of COVID-19,A Multicenter Observational Study of the Perinatal-neonatal Population With or With Risk of COVID-19 in China,Recruiting,NA,NA,100,Anticipated,Children's Hospital of Fudan University,,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-03-03T05:07:37Z,2020-03-03T05:07:37Z,NA,NA,NA,NA,Recruiting|Not yet recruiting,Maternal and Child Health Hospital of Hubei Province|Children Hospital of Fudan University,Wuhan|Shanghai,Hubei|Shanghai,430070|201102,China|China,2
NCT04279795,"ClinicalTrials.gov processed this data on March 02, 2020",2020-02-19,NA,NA,2020-02-19,2020-02-19,2020-02-21,Actual,NA,NA,NA,NA,NA,NA,2020-02-19,2020-02-21,Actual,"January 20, 2020",Actual,2020-01-20,February 2020,2020-02-29,"February 28, 2021",Anticipated,2021-02-28,"January 31, 2021",Anticipated,2021-01-31,NA,Observational,NA,,Detection of 2019 Novel Coronavirus in Multiple Organ System and Its Relationship With Clinical Manifestations,Study on Detection of 2019 Novel Coronavirus in Multiple Organ System and Its Relationship With Clinical Manifestations in Patients,Recruiting,NA,NA,20,Anticipated,"Third Affiliated Hospital, Sun Yat-Sen University",,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-03-03T05:07:41Z,2020-03-03T05:07:41Z,NA,NA,NA,NA,Recruiting,The Third Affiliated Hospital of Sun Yat-sen University,Guangzhou,Guangdong,510630,China,1
NCT04280913,"ClinicalTrials.gov processed this data on March 23, 2020",2020-02-20,NA,NA,2020-03-17,2020-02-20,2020-02-21,Actual,NA,NA,NA,NA,NA,NA,2020-03-17,2020-03-19,Actual,"February 22, 2020",Actual,2020-02-22,March 2020,2020-03-31,"March 31, 2020",Anticipated,2020-03-31,"March 31, 2020",Anticipated,2020-03-31,NA,Observational,NA,,Clinical Outcomes of Patients With COVID19,Clinical Outcomes of Hospitalized Patients With Coronavirus Disease 2019,Withdrawn,NA,NA,0,Actual,Guangzhou Institute of Respiratory Disease,,NA,1,The research project was changed.,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-03-24T08:57:03Z,2020-03-24T08:57:03Z,Other,retrospective analysis,The investigators retrospectively analyzed the hospitalized patients with COVID-19.,1,,HuiZhou Municipal Central Hospital,Huizhou,Guangdong,516001,China,1
NCT04284046,"ClinicalTrials.gov processed this data on March 06, 2020",2020-02-22,NA,NA,2020-02-22,2020-02-22,2020-02-25,Actual,NA,NA,NA,NA,NA,NA,2020-02-22,2020-02-25,Actual,"January 31, 2020",Actual,2020-01-31,February 2020,2020-02-29,"February 18, 2020",Actual,2020-02-18,"February 18, 2020",Actual,2020-02-18,NA,Observational,NA,,CT Scores Predict Mortality in 2019-nCoV Pneumonia,CT Scores Predict Mortality in 2019-nCoV Pneumonia,Completed,NA,NA,39,Actual,"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",,NA,2,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-03-07T05:28:52Z,2020-03-07T05:28:52Z,Other,CT score,CT score = normal lung tissue (%) Ã—1 + GGO (%) Ã—2 + consolidation (%) Ã—3,1,,Wuhan third hospital,Wuhan,Hubei,,China,1
NCT04292327,"ClinicalTrials.gov processed this data on March 13, 2020",2020-02-23,NA,NA,2020-02-29,2020-02-29,2020-03-03,Actual,NA,NA,NA,NA,NA,NA,2020-02-29,2020-03-03,Actual,"January 1, 2020",Actual,2020-01-01,February 2020,2020-02-29,"July 31, 2020",Anticipated,2020-07-31,"April 30, 2020",Anticipated,2020-04-30,NA,Observational,2019-nCoV,,Clinical Progressive Characteristics and Treatment Effects of 2019-novel Coronavirus,Clinical Progressive Characteristics and Treatment Effects of 2019-novel Coronavirus(2019-nCoV),"Active, not recruiting",NA,NA,400,Anticipated,Fujian Provincial Hospital,,NA,3,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-03-14T09:30:12Z,2020-03-14T09:30:12Z,NA,NA,NA,NA,,Fujian Provincial Hospital,Fuzhou,Fujian,350000,China,1
NCT04285801,"ClinicalTrials.gov processed this data on March 19, 2020",2020-02-24,NA,NA,2020-03-08,2020-02-24,2020-02-26,Actual,NA,NA,NA,NA,NA,NA,2020-03-08,2020-03-10,Actual,"February 14, 2020",Actual,2020-02-14,March 2020,2020-03-31,"February 25, 2020",Actual,2020-02-25,"February 25, 2020",Actual,2020-02-25,NA,Observational,NA,,Critically Ill Patients With COVID-19 in Hong Kong: a Multicentre Observational Cohort Study,Critically Ill Patients With COVID-19 in Hong Kong: a Multicentre Observational Cohort Study,Completed,NA,NA,8,Actual,Chinese University of Hong Kong,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-03-20T09:18:58Z,2020-03-20T09:18:58Z,NA,NA,NA,NA,||,Pamela Youde Nethersole Eastern Hospital|Prince of Wales Hospital|Princess Margaret Hospital,Hong Kong|Hong Kong|Hong Kong,||,||,Hong Kong|Hong Kong|Hong Kong,3
NCT04292340,"ClinicalTrials.gov processed this data on March 13, 2020",2020-02-25,NA,NA,2020-02-28,2020-02-28,2020-03-03,Actual,NA,NA,NA,NA,NA,NA,2020-02-28,2020-03-03,Actual,"February 1, 2020",Actual,2020-02-01,February 2020,2020-02-29,"December 31, 2020",Anticipated,2020-12-31,"July 31, 2020",Anticipated,2020-07-31,NA,Observational,NA,,Anti-SARS-CoV-2 Inactivated Convalescent Plasma in the Treatment of COVID-19,The Efficacy and Safety of Anti-SARS-CoV-2 Inactivated Convalescent Plasma in the Treatment of Novel Coronavirus Pneumonia Patient (COVID-19) : An Observational Study,Recruiting,NA,NA,15,Anticipated,Shanghai Public Health Clinical Center,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-03-14T09:30:12Z,2020-03-14T09:30:12Z,NA,NA,NA,NA,Recruiting,Shanghai Public Health Clinical Center,Shanghai,Shanghai,201508,China,1
NCT04298814,"ClinicalTrials.gov processed this data on March 16, 2020",2020-02-26,NA,NA,2020-03-04,2020-03-04,2020-03-06,Actual,NA,NA,NA,NA,NA,NA,2020-03-04,2020-03-06,Actual,"March 7, 2020",Anticipated,2020-03-07,March 2020,2020-03-31,"July 30, 2020",Anticipated,2020-07-30,"May 30, 2020",Anticipated,2020-05-30,NA,Observational,NA,,Safety Related Factors of Endotracheal Intubation in Patients With Severe Covid-19 Pneumonia,Analysis of Safety Related Factors of Endotracheal Intubation in Patients With Severe Covid-19 Pneumonia,Not yet recruiting,NA,NA,120,Anticipated,Tongji Hospital,,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-03-17T09:05:42Z,2020-03-17T09:05:42Z,Other,severe covid-19 pneumonia with ET,severe covid-19 pneumonia undergoing endotracheal intubation,1,NA,NA,NA,NA,NA,NA,NA
NCT04290780,"ClinicalTrials.gov processed this data on March 20, 2020",2020-02-27,NA,NA,2020-03-11,2020-02-27,2020-03-02,Actual,NA,NA,NA,NA,NA,NA,2020-03-11,2020-03-13,Actual,"March 9, 2020",Actual,2020-03-09,March 2020,2020-03-31,"October 30, 2020",Anticipated,2020-10-30,"October 10, 2020",Anticipated,2020-10-10,NA,Observational,NOSO-COR,,Multicenter Study on Nosocomial Transmission of SARS-CoV-2 Virus,Multicenter Study on Nosocomial Transmission of SARS-CoV-2 Virus,Recruiting,NA,NA,300,Anticipated,Hospices Civils de Lyon,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      nasopharyngeal swab
    ",NA,NA,NA,NA,NA,2020-03-23T08:55:29Z,2020-03-23T08:55:29Z,Other,nosocomial infection/hospital acquired infection,"When there is suspicion of a community-acquired case (admission of an infected patient) or nosocomial case (infection of a patient already hospitalized), a case report form including demographic data, medical history, and clinical and biological data on the infectious episode will be completed for each case, either patient, caregivers or health care professionals, presenting clinical signs or symptoms compatible with SARS-CoV-2 infection. The suspected cases will undergo nasopharyngeal swab collection and detection of SARS-CoV-2 in nasopharyngeal swabs will be done by real-time RT-PCR assay.
Hygiene measures applied by the service will be collected using a questionnaire as well as recommendations of the learned societies within the country regarding the risk of infection by coronavirus. In addition, data characterizing the service and hospital will also be collected (specialty, number of beds, number of nurses, doctors, etc.).",1,Recruiting|Recruiting,"Service HygiÃ¨ne, EpidÃ©miologie et PrÃ©vention|Service HygiÃ¨ne, EpidÃ©miologie et PrÃ©vention",Lyon|Lyon,|,69003|69004,France|France,2
NCT04306497,"ClinicalTrials.gov processed this data on March 23, 2020",2020-03-01,NA,NA,2020-03-14,2020-03-10,2020-03-13,Actual,NA,NA,NA,NA,NA,NA,2020-03-14,2020-03-17,Actual,"March 2, 2020",Actual,2020-03-02,January 2020,2020-01-31,May 2020,Anticipated,2020-05-31,May 2020,Anticipated,2020-05-31,NA,Observational,CTOROTSADTOC,,Clinical Trial on Regularity of TCM Syndrome and Differentiation Treatment of COVID-19.,Clinical Trial on Regularity of TCM Syndrome and Differentiation Treatment of COVID-19 in Jiangsu Province,Recruiting,NA,NA,340,Anticipated,"Jiangsu Famous Medical Technology Co., Ltd.",,NA,2,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,All researchers in this study,2020-03-24T08:55:53Z,2020-03-24T08:55:53Z,Drug,TCM prescriptions,"TCM prescriptions1:Take decocted or granule, one dose a day; TCM prescriptions2:Take decocted or granule, one dose a day.",1,Recruiting,Huai'an fourth people's Hospital,Huaian,Jiangsu,210029,China,1
NCT04292964,"ClinicalTrials.gov processed this data on March 23, 2020",2020-03-01,NA,NA,2020-03-13,2020-03-01,2020-03-03,Actual,NA,NA,NA,NA,NA,NA,2020-03-13,2020-03-17,Actual,"March 1, 2020",Actual,2020-03-01,March 2020,2020-03-31,"March 13, 2020",Actual,2020-03-13,"March 13, 2020",Actual,2020-03-13,NA,Observational,NA,,Prognostic Factors of Patients With COVID-19,Prognostic Factors of Patients With COVID-19,Completed,NA,NA,201,Actual,Chongqing Medical University,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-03-24T08:56:37Z,2020-03-24T08:56:37Z,NA,NA,NA,NA,,The First Affiliated Hospital of Chongqing Medical University,Chongqing,,,China,1
NCT04299711,"ClinicalTrials.gov processed this data on March 18, 2020",2020-03-04,NA,NA,2020-03-04,2020-03-04,2020-03-09,Actual,NA,NA,NA,NA,NA,NA,2020-03-04,2020-03-09,Actual,"October 15, 2020",Anticipated,2020-10-15,March 2020,2020-03-31,"March 15, 2022",Anticipated,2022-03-15,"November 15, 2020",Anticipated,2020-11-15,NA,Observational,NA,,Mental Health and Its Correlates Among Chinese Adolescents Exposed to the Novel Coronavirus Disease 2019,Mental Health and Its Correlates Among Chinese Adolescents Exposed to the Novel Coronavirus Disease 2019: A Longitudinal Study Protocol,Not yet recruiting,NA,NA,3428,Anticipated,University of Macau,,NA,4,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-03-19T09:19:22Z,2020-03-19T09:19:22Z,Other,Exposed to the novel coronavirus disease 2019,Exposed to the novel coronavirus disease 2019,1,NA,NA,NA,NA,NA,NA,NA
NCT04312464,"ClinicalTrials.gov processed this data on March 23, 2020",2020-03-04,NA,NA,2020-03-13,2020-03-13,2020-03-18,Actual,NA,NA,NA,NA,NA,NA,2020-03-13,2020-03-18,Actual,"January 1, 2020",Actual,2020-01-01,March 2020,2020-03-31,"March 18, 2020",Anticipated,2020-03-18,"March 15, 2020",Anticipated,2020-03-15,NA,Observational,NA,,Myocardial Damage in COVID-19,Retrospective Study of Myocardial Damage in COVID-19,Enrolling by invitation,NA,NA,500,Anticipated,"Wuhan Union Hospital, China",,NA,2,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-03-24T08:53:03Z,2020-03-24T08:53:03Z,Other,non,no intervention,1,,"Department of Cardiology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",Wuhan,Hubei,430022,China,1
