intervention,mapped_intervention
levamisole pill / budesonide/formoterol inhaler,levamisole / budesonide/formoterol
liberase enzyme (roche),liberase enzyme
local standard of care,standard care
lopinavir,lopinavir
lopinavir / ritonavir tablets combined with xiyanping injection,lopinavir / ritonavir/xiyanping
lopinavir / ritonavir tablets/with xiyanping injection,lopinavir / ritonavir/xiyanping
"lopinavir / ritonavir, alpha-interferon nebulization",lopinavir / ritonavir/ alpha-interferon nebulization
lopinavir / ritonavir/ alpha-interferon nebulization,lopinavir / ritonavir/ alpha-interferon nebulization
lopinavir/ritonavir,lopinavir/ritonavir
lopinavir/ritonavir / hydoxychloroquine,lopinavir/ritonavir / hydoxychloroquine
lopinavir/ritonavir group,lopinavir/ritonavir
lopinavir/ritonavir tablets,lopinavir/ritonavir
lopinavir/ritonavir tablets/arbidol/chloroquine phosphate,lopinavir/ritonavir/arbidol/chloroquine
lopinavir/ritonavir treatment,lopinavir/ritonavir
lopinavir/ritonavir/arbidol/chloroquine,lopinavir/ritonavir/arbidol/chloroquine
losartan,losartan
low-dose chloroquine,chloroquine
low-dose chloroquine/hydroxychloroquine,chloroquine/hydroxychloroquine
lv-smenp-dc vaccine/antigen-specific ctls,lv-smenp-dc vaccine/antigen-specific ctls
maximal intensive care,maximal intensive care
medical mask,medical mask
meplazumab,meplazumab
meplazumab for injection,meplazumab
methylprednisolone,methylprednisolone
methylprednisolone therapy,methylprednisolone
microcannula harvest adipose derived tissue stromal vascular fraction (tsvf),tsvf
mid dose chloroquine,chloroquine
mid dose chloroquine/hydroxychloroquine,chloroquine/hydroxychloroquine
mrna-1273,mrna-1273
mscs,mesenchymal�stem cells
mscs-derived exosomes,mesenchymal�stem cells
n95 respirator,n95 respirator
n-acetylcysteine,n-acetylcysteine
n-acetylcysteine/ fuzheng huayu,n-acetylcysteine/ fuzheng huayu
n-acetylcysteine/ fuzheng huayu tablet,n-acetylcysteine/ fuzheng huayu
n-acetylcysteine/placebo,n-acetylcysteine/placebo
nacl 0.9%,saline
naproxen,naproxen
natural honey,natural honey
nestcellâ®,mesenchymal�stem cells
nitric oxide,nitric oxide
nitric oxide gas,nitric oxide
nivolumab,nivolumab
nk cells,nk cells
"nk cells,il15-nk cells,nkg2d car-nk cells,ace2 car-nk cells,nkg2d-ace2 car-nk cells",nk cells
normal saline / maximal intensive care,normal saline / maximal intensive care
normal saline infusion,saline
normal saline infusion / maximal intensive care,normal saline / maximal intensive care
omeprazole 20mg,omeprazole
oral,oral
"oral nutrition supplement (ons) enriched in eicosapentaenoic acid, gamma-linolenic acid","oral nutrition supplement (ons) enriched in eicosapentaenoic acid, gamma-linolenic acid"
"oral nutrition supplement (ons) enriched in eicosapentaenoic acid, gamma-linolenic acid/antioxidants","oral nutrition supplement (ons) enriched in eicosapentaenoic acid, gamma-linolenic acid/antioxidants"
oseltamivir,oseltamivir
others(no intervention),standard care
oxygen,oxygen
pathogen-specific aapc,aapc
pd-1 blocking antibody,pd-1 blocking antibody
pd-1 blocking antibody/standard treatment,pd-1 blocking antibody/standard treatment
peginterferon lambda-1a,peginterferon
physical rehabilitation based humanistic care,humanistic care
piclidenoson,piclidenoson
pirfenidone,pirfenidone
placebo,placebo
placebo of hydroxychloroquine,placebo
placebo of lpv,placebo
placebo of lpv/r tablets,placebo
placebo oral tablet,placebo
placebo: emtricitabine,placebo
placebo: emtricitabine/tenofovir disoproxil,placebo
placebo: hydroxychloroquine,placebo
placebos,placebo
plasma,plasma
prone positioning,prone positioning
prone positioning (pp),prone positioning
prophylaxis,prophylaxis
psychological,psychological
psychological/physical rehabilitation based humanistic care,psychological/physical rehabilitation based humanistic care
pul-042 inhalation solution,pul-042 inhalation solution
recombinant human angiotensin-converting enzyme 2 (rhace2),rhace2
recombinant human interferon î±1î²,interferon
recombinant human interferon î±2b spray,interferon
recombinant human interferon alpha-1b,interferon
recombinant novel coronavirus vaccine (adenovirus type 5 vector),adenovirus type 5 vector
remdesivir,remdesivir
remdesivir placebo,placebo
ribavirin,ribavirin
ritonavir,ritonavir
ritonavir group,ritonavir
ritonavir tablets,ritonavir
ritonavir treatment,ritonavir
ritonavir),ritonavir
ritonavir/oseltamivir,ritonavir/oseltamivir
rivaroxaban 2.5 mg,rivaroxaban
roactemra,roactemra
roactemra iv,roactemra
roactemra sc,roactemra
ruxolitinib,ruxolitinib
ruxolitinib oral tablet,ruxolitinib
saline,saline
saline placebo,placebo
sargramostim,sargramostim
sarilumab,sarilumab
sarilumab (anti-il-6 receptor),sarilumab
sarilumab sar153191,sarilumab
sars-cov-2 non-immune plasma,plasma
sildenafil citrate,sildenafil citrate
sildenafil citrate tablets,sildenafil citrate
siltuximab,siltuximab
standard administration of oxygen flow,oxygen
standard care,standard care
standard medical care,standard care
standard medical treatment,standard care
standard of care,standard care
standard of care treatment,standard care
standard public health measures,standard care
standard screening strategy,standard care
standard therapy,standard care
standard treatment,standard care
standard western medicine treatment,standard care
stem cell educator-treated mononuclear cells apheresis,stem cell educator-treated mononuclear cells apheresis
sterile normal saline for intravenous use,saline
sterile water for injection,water
symbicort rapihaler,symbicort
t89,t89
telemedicine,tele-medicine
tele-medicine platform,tele-medicine
tenofovir disoproxil,tenofovir disoproxil
tetrandrine,tetrandrine
thalidomide,thalidomide
the control group will not receive hydroxychloroquine,control
thiazide,thiazide
thiazide/thiazide-like diuretics,thiazide/thiazide-like diuretics
thiazide-like diuretics,thiazide-like diuretics
thymosin,thymosin
thymosin alpha 1,thymosin
thymosin/standard treatment,thymosin/standard treatment
tocilizumab,tocilizumab
tocilizumab (tcz),tocilizumab
tocilizumab injection,tocilizumab
tofacitinib,tofacitinib
tradipitant,tradipitant
traditional chinese medicine prescription,chinese medicine
traditional chinese medicines (tcms) granules,chinese medicine
uc-mscs,mesenchymal�stem cells
umbilical cord wharton's jelly-derived human,mesenchymal�stem cells
usual care,standard care
vc,vitamin c
vitamin c,vitamin c
vitamin d,vitamin d
vivadiagâ„¢ covid-19 lgm,vivadiag
vivadiagâ„¢ covid-19 lgm/igg rapid test,vivadiagâ„¢ covid-19 lgm/igg rapid test
vv-ecmo,vv-ecmo
vv-ecmo / cytokine adsorption,vv-ecmo / cytokine adsorption
vv-ecmo / cytokine adsorption (cytosorb adsorber),vv-ecmo / cytokine adsorption
vv-ecmo only (no cytokine adsorption),vv-ecmo
washed microbiota transplantation,washed microbiota transplantation
water,water
who recommendations (waiting condition),who recommendations (waiting condition)
with interferon atomization,interferon
with tocilizumab,tocilizumab
with xiyanping injection,xiyanping
wj-mscs,mesenchymal�stem cells
xiyanping,xiyanping
xiyanping injection,xiyanping
yin hu qing wen granula(low does),yinhu qingwen
yinhu qingwen,yinhu qingwen
yinhu qingwen decoction,yinhu qingwen
yinhu qingwen decoction(low dose),yinhu qingwen
yinhu qingwen granula,yinhu qingwen
