nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,id,nct_id,name,downcase_name
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-16,NA,NA,2021-09-20,2021-09-20,2021-09-22,Actual,NA,NA,NA,NA,NA,NA,2021-09-20,2021-09-22,Actual,"June 1, 2020",Actual,2020-06-01,September 2021,2021-09-30,"December 14, 2020",Actual,2020-12-14,"November 23, 2020",Actual,2020-11-23,NA,Observational,NA,,Music for Decreasing Dental Anxiety During Oral Surgery in Coronavirus Disease 2019 (COVID-19),Musical Flow for Decreasing Dental Anxiety During Oral and Implants Surgery in COVID-19: a Randomized Controlled Study,Completed,NA,NA,100,Actual,European University of Madrid,,NA,3,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,"All of the individual participant data collected during the study could be available since 3 years after publication for anyone who wishes to access the data, signing a data access agreement.",2021-09-26T00:35:12Z,2021-09-26T00:35:12Z,15233715,NCT05052034,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-13,NA,NA,2021-09-13,2021-09-13,2021-09-20,Actual,NA,NA,NA,NA,NA,NA,2021-09-13,2021-09-20,Actual,"August 7, 2021",Actual,2021-08-07,September 2021,2021-09-30,"February 3, 2022",Anticipated,2022-02-03,"August 23, 2021",Actual,2021-08-23,NA,Interventional,NA,,Booster Immunization Study of Recombinant SARS-CoV-2 Fusion Protein Vaccine (V-01),A Clinical Study to Evaluate the Immunogenicity and Safety of the Third Dose Booster Immunization of Recombinant SARS-CoV-2 Fusion Protein Vaccine (V-01) in Healthy Participants,"Active, not recruiting",NA,Phase 1,43,Actual,Livzon Pharmaceutical Group Inc.,,1,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-09-26T00:35:23Z,2021-09-26T00:35:23Z,15233944,NCT05050474,COVID19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-16,NA,NA,2021-09-16,2021-09-16,2021-09-20,Actual,NA,NA,NA,NA,NA,NA,2021-09-16,2021-09-20,Actual,"April 1, 2020",Actual,2020-04-01,September 2021,2021-09-30,"October 1, 2020",Actual,2020-10-01,"August 31, 2020",Actual,2020-08-31,5 Months,Observational [Patient Registry],CovWean,,Characteristics of Weaning From Mechanical Ventilation in COVID-19,Epidemiology of Weaning From Invasive Mechanical Ventilation in COVID-19. Observational and Multicenter Study.,Completed,NA,NA,326,Actual,Sanatorio Anchorena San Martin,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-09-26T00:35:33Z,2021-09-26T00:35:33Z,15234143,NCT05049200,COVID-19,covid-19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-17,NA,NA,2021-09-20,2021-09-17,2021-09-20,Actual,NA,NA,NA,NA,NA,NA,2021-09-20,2021-09-22,Actual,"May 21, 2021",Actual,2021-05-21,September 2021,2021-09-30,"August 20, 2023",Anticipated,2023-08-20,"August 20, 2023",Anticipated,2023-08-20,NA,Observational,NA,,Characterization and Durability of COVID-19 Vaccine Induced Immune Responses in Healthcare/Frontline Workers,Characterization and Durability of COVID-19 Vaccine Induced Immune Responses in Healthcare/Frontline Workers,Recruiting,NA,NA,150,Anticipated,"Tuberculosis Research Centre, India",,NA,2,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-09-26T00:35:33Z,2021-09-26T00:35:33Z,15234144,NCT05049187,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-03,NA,NA,2021-09-15,2021-09-15,2021-09-17,Actual,NA,NA,NA,NA,NA,NA,2021-09-15,2021-09-17,Actual,"July 19, 2021",Actual,2021-07-19,September 2021,2021-09-30,March 2022,Anticipated,2022-03-31,November 2021,Anticipated,2021-11-30,NA,Interventional,NA,,"A Study to Evaluate the Safety, Tolerability, and Immunogenicity of MVC-COV1901, CT-COV-21 Extension Study","A Phase II, Prospective, Open-Label, Multi-Center Study to Evaluate the Safety, Tolerability, and Immunogenicity of the SARS-CoV-2 Vaccine Candidate MVC-COV1901, CT-COV-21 Extension Study",Enrolling by invitation,NA,Phase 2,500,Anticipated,Medigen Vaccine Biologics Corp.,,1,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-09-26T00:35:35Z,2021-09-26T00:35:35Z,15234184,NCT05048849,Covid19 Vaccine,covid19 vaccine
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-12,NA,NA,2021-09-16,2021-09-16,2021-09-17,Actual,NA,NA,NA,NA,NA,NA,2021-09-16,2021-09-23,Actual,"September 16, 2021",Actual,2021-09-16,September 2021,2021-09-30,September 2022,Anticipated,2022-09-30,June 2022,Anticipated,2022-06-30,NA,Interventional,NA,,Vortioxetine for Post-Covid-19 Syndrome,"Randomized, Double-Blinded, Placebo-Controlled Study Evaluating Vortioxetine for Cognitive Deficits in Persons With Post-COVID-19 Syndrome",Recruiting,NA,Phase 2,200,Anticipated,Brain and Cognition Discovery Foundation,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,No,NA,2021-09-26T00:35:42Z,2021-09-26T00:35:42Z,15234306,NCT05047952,Post-COVID-19 Syndrome,post-covid-19 syndrome
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-16,NA,NA,2021-09-16,2021-09-16,2021-09-17,Actual,NA,NA,NA,NA,NA,NA,2021-09-16,2021-09-23,Actual,"September 10, 2021",Actual,2021-09-10,September 2021,2021-09-30,"August 31, 2022",Anticipated,2022-08-31,"April 30, 2022",Anticipated,2022-04-30,NA,Observational,NA,,Comparison of Prone Position and Standard Electrocardiogram in COVID-19 Patients,Comparison of Prone Position and Standard Electrocardiogram in COVID-19 Patients: A Prospective Study in Specialized COVID-19,Recruiting,NA,NA,60,Anticipated,Khon Kaen University,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,After the study finished and for 5 years later.,For educational or research purposes.,NA,Yes,"For educational or research purposes, data can be provided by contacting PI or correspondent author.",2021-09-26T00:35:42Z,2021-09-26T00:35:42Z,15234319,NCT05047835,COVID-19 Acute Respiratory Distress Syndrome,covid-19 acute respiratory distress syndrome
"ClinicalTrials.gov processed this data on September 24, 2021",2021-08-27,NA,NA,2021-09-16,2021-09-16,2021-09-17,Actual,NA,NA,NA,NA,NA,NA,2021-09-16,2021-09-17,Actual,"August 23, 2021",Actual,2021-08-23,September 2021,2021-09-30,"September 30, 2021",Anticipated,2021-09-30,"September 30, 2021",Anticipated,2021-09-30,NA,Observational,RAVEN,,Oxford/AstraZeneca COVID-19 Vaccine Effectiveness in England,Real-world Effectiveness of the Oxford/AstraZeneca COVID-19 Vaccine in England. An Observational Retrospective Cohort Study Using Secondary Databases to Establish Effectiveness of the Oxford/AstraZeneca COVID-19 Vaccine in England.,Recruiting,NA,NA,25428392,Anticipated,AstraZeneca,,NA,3,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-09-26T00:35:42Z,2021-09-26T00:35:42Z,15234322,NCT05047822,Covid-19 Infection,covid-19 infection
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-14,NA,NA,2021-09-14,2021-09-14,2021-09-17,Actual,NA,NA,NA,NA,NA,NA,2021-09-14,2021-09-17,Actual,"September 9, 2021",Actual,2021-09-09,September 2021,2021-09-30,September 2022,Anticipated,2022-09-30,September 2022,Anticipated,2022-09-30,NA,Interventional,NA,,Safety and Immunogenicity Study of AdCLD-CoV19-1: A COVID-19 Preventive Vaccine in Healthy Volunteers,"A Dose Escalation, Multicenter, Open, Phase I Study to Assess the Safety and Immunogenicity of AdCLD-CoV19-1, a COVID-19 Preventive Vaccine in Healthy Volunteers.",Recruiting,NA,Phase 1,40,Anticipated,"Cellid Co., Ltd.",,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-09-26T00:35:43Z,2021-09-26T00:35:43Z,15234339,NCT05047692,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-14,NA,NA,2021-09-21,2021-09-14,2021-09-17,Actual,NA,NA,NA,NA,NA,NA,2021-09-21,2021-09-24,Estimate,"September 14, 2021",Anticipated,2021-09-14,September 2021,2021-09-30,"December 31, 2021",Anticipated,2021-12-31,"December 31, 2021",Anticipated,2021-12-31,NA,Observational,RALE-CORADS,,RALE Versus CORADS/CT-Severity Score in COVID-19,The Prognostic Value of the Abnormalities on the Chest Radiography Versus the Chest Computed Tomography in Critically Ill COVID-19 Patients - Protocol for a National Study Comparing the RALE With the CORADS and CT-Severity Score,Recruiting,NA,NA,100,Anticipated,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2021-09-26T00:35:44Z,2021-09-26T00:35:44Z,15234344,NCT05047653,COVID-19 Pneumonia,covid-19 pneumonia
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-01,NA,NA,2021-09-20,2021-09-15,2021-09-17,Actual,NA,NA,NA,NA,NA,NA,2021-09-20,2021-09-24,Estimate,"September 9, 2021",Actual,2021-09-09,September 2021,2021-09-30,"December 25, 2021",Anticipated,2021-12-25,"December 25, 2021",Anticipated,2021-12-25,NA,Interventional,NA,,A Post-Exposure Prophylaxis Study of PF-07321332/Ritonavir in Adult Household Contacts of an Individual With Symptomatic COVID-19,"A PHASE 2/3, RANDOMIZED, DOUBLE-BLIND, DOUBLE-DUMMY, PLACEBO CONTROLLED STUDY TO EVALUATE THE SAFETY AND EFFICACY OF 2 REGIMENS OF ORALLY ADMINISTERED PF 07321332/RITONAVIR IN PREVENTING SYMPTOMATIC SARS-COV-2 INFECTION IN ADULT HOUSEHOLD CONTACTS OF AN INDIVIDUAL WITH SYMPTOMATIC COVID-19",Recruiting,NA,Phase 3,2634,Anticipated,Pfizer,,3,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,,NA,NA,https://www.pfizer.com/science/clinical_trials/trial_data_and_results/data_requests,Yes,"Pfizer will provide access to individual de-identified participant data and related study documents (e.g. protocol, Statistical Analysis Plan (SAP), Clinical Study Report (CSR)) upon request from qualified researchers, and subject to certain criteria, conditions, and exceptions. Further details on Pfizer's data sharing criteria and process for requesting access can be found at: https://www.pfizer.com/science/clinical_trials/trial_data_and_results/data_requests.",2021-09-26T00:35:44Z,2021-09-26T00:35:44Z,15234350,NCT05047601,COVID-19,covid-19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-08,NA,NA,2021-09-16,2021-09-08,2021-09-16,Actual,NA,NA,NA,NA,NA,NA,2021-09-16,2021-09-23,Actual,September 2021,Anticipated,2021-09-30,September 2021,2021-09-30,November 2021,Anticipated,2021-11-30,November 2021,Anticipated,2021-11-30,NA,Interventional,NA,,Study to Evaluate the Dynamic Consent Model Based on the Blockchain-based Clinical Trial Platform METORY,A Virtual Clinical Trial to Implement and Evaluate the Dynamic Consent Model Based on the Blockchain-based Next-generation Clinical Trial Platform METORY,Recruiting,NA,N/A,60,Anticipated,Seoul National University Hospital,,1,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-09-26T00:35:48Z,2021-09-26T00:35:48Z,15234437,NCT05047016,COVID-19 Pneumonia,covid-19 pneumonia
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-05,NA,NA,2021-09-13,2021-09-13,2021-09-16,Actual,NA,NA,NA,NA,NA,NA,2021-09-13,2021-09-16,Actual,"April 28, 2020",Actual,2020-04-28,September 2021,2021-09-30,"December 31, 2025",Anticipated,2025-12-31,"December 31, 2023",Anticipated,2023-12-31,NA,Observational,COVID-Scope,,COVID-19: A Scope Research on Epidemiology and Clinical Course,COVID-19: A Scope Research on Epidemiology and Clinical Course,Recruiting,NA,NA,5000,Anticipated,Instituto de Saude Publica da Universidade do Porto,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-09-26T00:35:50Z,2021-09-26T00:35:50Z,15234459,NCT05046769,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-08-26,NA,NA,2021-09-13,2021-09-13,2021-09-16,Actual,NA,NA,NA,NA,NA,NA,2021-09-13,2021-09-16,Actual,"October 3, 2020",Actual,2020-10-03,September 2021,2021-09-30,October 2021,Anticipated,2021-10-31,"October 15, 2020",Actual,2020-10-15,NA,Interventional,NA,,"This is a Double-blind, Placebo-controlled, Randomized Study of the Tolerability, Safety and Immunogenicity of an Inactivated Whole Virion Concentrated Purified Vaccine (CoviVac) Against Covid-19","Double-blind, Placebo-controlled, Randomized Study of Tolerability, Safety and Immunogenicity of the Inactivated Whole-virion Concentrated Purified Coronavirus Vaccine, Produced by FSBSI ""Chumakov Federal Scientific Center for Research and Development of Immune-and-Biological Products"", on Volunteers at the Age of 18-60 Years","Active, not recruiting",NA,Phase 1/Phase 2,400,Actual,Chumakov Federal Scientific Center for Research and Development of Immune-and-Biological Products,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-09-26T00:35:52Z,2021-09-26T00:35:52Z,15234483,NCT05046548,Coronavirus Infections,coronavirus infections
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-03,NA,NA,2021-09-10,2021-09-10,2021-09-16,Actual,NA,NA,NA,NA,NA,NA,2021-09-10,2021-09-16,Actual,"April 1, 2021",Actual,2021-04-01,September 2021,2021-09-30,"March 30, 2022",Anticipated,2022-03-30,"December 30, 2021",Anticipated,2021-12-30,NA,Observational,NA,,The Clinical Manifestations Of SARS-Cov-2 Disease Not Only Pulmonary,The Clinical Manifestations Of SARS-Cov-2 Disease Not Only Pulmonary,Recruiting,NA,NA,414,Anticipated,Assiut University,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-09-26T00:35:52Z,2021-09-26T00:35:52Z,15234487,NCT05046509,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-09-07,NA,NA,2021-09-15,2021-09-15,2021-09-16,Actual,NA,NA,NA,NA,NA,NA,2021-09-15,2021-09-16,Actual,"January 14, 2021",Actual,2021-01-14,November 2020,2020-11-30,"January 14, 2025",Anticipated,2025-01-14,"January 14, 2023",Anticipated,2023-01-14,NA,Observational,DYNAtracs,,SARS-CoV-2 Transmission in Belgian Primary Schools of the Federation Wallonie - Bruxelles: An Epidemiological Pilot Study,SARS-CoV-2 Transmission in Belgian Primary Schools of the Federation Wallonie - Bruxelles: An Epidemiological Pilot Study,Recruiting,NA,NA,2900,Anticipated,Universit̩ Catholique de Louvain,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      Saliva samples
    ",Starting 6 months after publication,NA,NA,Yes,All collected IPD,2021-09-26T00:35:52Z,2021-09-26T00:35:52Z,15234491,NCT05046470,SARS-CoV-2 Infection,sars-cov-2 infection
