nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,id,nct_id,mesh_term,downcase_mesh_term,mesh_type
NA,2021-10-04,NA,NA,2021-10-04,2021-10-04,2021-10-06,Actual,NA,NA,NA,NA,NA,NA,2021-10-04,2021-10-06,Actual,"October 1, 2021",Anticipated,2021-10-01,October 2021,2021-10-31,"January 1, 2022",Anticipated,2022-01-01,"January 1, 2022",Anticipated,2022-01-01,NA,Observational,ONCORAL-Covid,NA,Impact of the COVID-19 Pandemic on Drug Use and Monitoring of Cancer Patients,Assessment of the Impact of the COVID-19 Pandemic on Drug Use and on the Perception of Remote Monitoring by Cancer Patients Followed in the ONCORAL Program,Recruiting,NA,NA,170,Anticipated,Hospices Civils de Lyon,NA,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T05:17:10Z,2021-10-12T05:17:10Z,838250,NCT05069662,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-09-29,NA,NA,2021-10-08,2021-10-08,2021-10-11,Estimate,NA,NA,NA,NA,NA,NA,2021-10-08,2021-10-11,Estimate,"July 20, 2020",Actual,2020-07-20,October 2021,2021-10-31,"September 27, 2021",Actual,2021-09-27,"August 30, 2021",Actual,2021-08-30,NA,Observational,NA,NA,Study on Antibody Persistence and Immune Memory of Inactivated COVID-19 Vaccine,A Prospective Cohort Study on Antibody Persistence and Immune Memory After Two Doses of Inactivated COVID-19 Vaccine in 150 People,Completed,NA,NA,150,Actual,"Centers for Disease Control and Prevention, China",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,Samples With DNA,Blood samples.,NA,NA,NA,NA,NA,2021-10-12T05:16:50Z,2021-10-12T05:16:50Z,836928,NCT05072496,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-09-16,NA,NA,2021-10-01,2021-10-01,2021-10-05,Actual,NA,NA,NA,NA,NA,NA,2021-10-01,2021-10-05,Actual,October 2021,Anticipated,2021-10-31,October 2021,2021-10-31,June 2023,Anticipated,2023-06-30,March 2022,Anticipated,2022-03-31,NA,Interventional,NA,NA,A Ph 2 Trial With an Oral Tableted COVID-19 Vaccine,"A Phase 2, Double-Blind, Multi-Center, Randomized, Placebo-Controlled, Dose-Ranging Trial to Determine the Safety, Immunogenicity and Efficacy of an Adenoviral-Vector Based Vaccine Expressing Severe Acute Respiratory Syndrome (SARS-CoV-2) and dsRNA Adjuvant Administered Orally",Recruiting,NA,Phase 2,896,Anticipated,Vaxart,NA,10,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T05:17:21Z,2021-10-12T05:17:21Z,839385,NCT05067933,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-10-02,NA,NA,2021-10-04,2021-10-02,2021-10-05,Actual,NA,NA,NA,NA,NA,NA,2021-10-04,2021-10-11,Estimate,"April 1, 2020",Actual,2020-04-01,October 2021,2021-10-31,"October 15, 2021",Anticipated,2021-10-15,"October 15, 2021",Anticipated,2021-10-15,NA,Observational,NA,NA,Unleash the Mystery of COVID-19 Related Unusual Thrombosis,Unusual Pattern of Thrombotic Events in Young Adults Noncritically Ill Patients With COVID-19 May Result From An Un-diagnosed Inherited Form of Thrombophilia,Recruiting,NA,NA,150,Anticipated,Sohag University,NA,NA,2,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T05:17:18Z,2021-10-12T05:17:18Z,838888,NCT05068375,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-06-10,NA,NA,2021-10-05,2021-10-05,2021-10-06,Actual,NA,NA,NA,NA,NA,NA,2021-10-05,2021-10-06,Actual,"May 10, 2021",Actual,2021-05-10,July 2021,2021-07-31,"July 20, 2022",Anticipated,2022-07-20,"May 20, 2022",Anticipated,2022-05-20,NA,Interventional,VaccEffect,NA,Study on COVID-19 Vaccine Effectiveness Among Health Workers in Azerbaijan,Cohort Study to Measure COVID-19 Vaccine Effectiveness Among Health Workers in Azerbaijan,Recruiting,NA,Not Applicable,1500,Anticipated,Public health and reforms Center of Ministry of Health,NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Undecided,NA,2021-10-12T05:17:10Z,2021-10-12T05:17:10Z,838294,NCT05069454,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-09-09,NA,NA,2021-09-22,2021-09-22,2021-10-04,Actual,NA,NA,NA,NA,NA,NA,2021-09-22,2021-10-04,Actual,"March 1, 2020",Actual,2020-03-01,September 2021,2021-09-30,December 2022,Anticipated,2022-12-31,September 2022,Anticipated,2022-09-30,NA,Observational,POSACOVID,NA,Posaconazole Prophylaxis for CAPA Prevention in Critically-Ill Patients,Posaconazole for the Prevention of COVID-19 Associated Pulmonary Aspergillosis in Critically-Ill Patients: A European Multicenter Case-Control Study,Recruiting,NA,NA,351,Anticipated,Medical University of Graz,NA,NA,2,NA,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Undecided,NA,2021-10-12T05:17:34Z,2021-10-12T05:17:34Z,840196,NCT05065658,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-06-21,NA,NA,2021-10-03,2021-10-03,2021-10-05,Actual,NA,NA,NA,NA,NA,NA,2021-10-03,2021-10-05,Actual,"December 28, 2020",Actual,2020-12-28,October 2021,2021-10-31,March 2022,Anticipated,2022-03-31,December 2021,Anticipated,2021-12-31,NA,Observational,NA,NA,Covid-19 Vaccine Responses in Patients With Inflammatory Bowel Diseases,Covid-19 Vaccine Responses in Patients With Inflammatory Bowel Diseases,"Active, not recruiting",NA,NA,284,Actual,Rabin Medical Center,NA,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"complete blood count, CRP, Anti-TNF level and trough from relevant patients, COVID-19 serology including neutralizing antibodies, cytokine levels, lymphocyte subpopulation [CD4 CD8 B CD20/19, NKT], T cell proliferation, immunoglobulin levels.",NA,NA,NA,No,NA,2021-10-12T05:17:22Z,2021-10-12T05:17:22Z,839357,NCT05067959,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-08-30,NA,NA,2021-10-04,2021-10-04,2021-10-05,Actual,NA,NA,NA,NA,NA,NA,2021-10-04,2021-10-05,Actual,"March 1, 2021",Actual,2021-03-01,June 2021,2021-06-30,"December 30, 2021",Anticipated,2021-12-30,"October 30, 2021",Anticipated,2021-10-30,NA,Observational,NA,NA,Efficacy of Respiratory Physiotherapy on Severe ICU-admitted COVID-19 Patients.,"Efficacy of Respiratory Physiotherapy on Severe ICU-admitted COVID-19 Patients: a Multicentric, National, Observational, Retrospective Study.",Recruiting,NA,NA,340,Anticipated,"Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico",NA,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T05:17:21Z,2021-10-12T05:17:21Z,839274,NCT05067907,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-09-28,NA,NA,2021-10-01,2021-10-01,2021-10-05,Actual,NA,NA,NA,NA,NA,NA,2021-10-01,2021-10-05,Actual,"March 1, 2020",Actual,2020-03-01,October 2021,2021-10-31,"September 20, 2021",Actual,2021-09-20,"March 1, 2020",Actual,2020-03-01,NA,Observational,PHC,NA,Post-COVID-19 Pneumo-hematocele,Post COVID-19 Pneumo-hematocele: Clinical Presentation and Treatment Pathway,Completed,NA,NA,37,Actual,Hospital General Ajusco Medio,NA,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Undecided,NA,2021-10-12T05:17:21Z,2021-10-12T05:17:21Z,839143,NCT05067881,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-09-20,NA,NA,2021-09-21,2021-09-21,2021-09-23,Actual,NA,NA,NA,NA,NA,NA,2021-09-21,2021-09-23,Actual,"September 22, 2021",Anticipated,2021-09-22,September 2021,2021-09-30,"August 30, 2022",Anticipated,2022-08-30,"January 31, 2022",Anticipated,2022-01-31,NA,Interventional,FLOT,NA,FLuticasone in cOvid Treatment (FLOT),"A Multicenter, Open-label, Randomized Controlled Trial to Evaluate the Efficacy of Fluticasone Propionate MDI Added to Standard Care at Early Stage of COVID-19 in Reducing the Incidence of Adverse Outcomes in Symptomatic Patients Either From 18 to 49 Year Old With Risk Factors or Older Than 50 Year Old",Recruiting,NA,Phase 2/Phase 3,500,Anticipated,University of Medicine and Pharmacy at Ho Chi Minh City,NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,From Oct 2021 to September 2022.,Researchers who proposed use of data has been approved by a review committee.,NA,Yes,"Individual participant data collected during the trial, after deidentification.",2021-10-12T05:18:52Z,2021-10-12T05:18:52Z,846073,NCT05054322,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-09-14,NA,NA,2021-09-14,2021-09-14,2021-09-23,Actual,NA,NA,NA,NA,NA,NA,2021-09-14,2021-09-23,Actual,"October 1, 2021",Anticipated,2021-10-01,September 2021,2021-09-30,"December 1, 2021",Anticipated,2021-12-01,"November 1, 2021",Anticipated,2021-11-01,NA,Observational,NA,NA,Baseline Blood Indices and Prolonged Length of Hospital Stay,Baseline Blood Indices as a Marker for Prolonged Length of Hospital Stay in Diabetic Older Patients With Mild or Moderate Covid-19 Infection,Recruiting,NA,NA,90,Anticipated,Gulhane Training and Research Hospital,NA,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-12T05:18:52Z,2021-10-12T05:18:52Z,846046,NCT05054283,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-09-30,NA,NA,2021-09-30,2021-09-30,2021-10-01,Actual,NA,NA,NA,NA,NA,NA,2021-09-30,2021-10-01,Actual,"February 1, 2021",Actual,2021-02-01,September 2021,2021-09-30,"June 1, 2022",Anticipated,2022-06-01,"February 1, 2022",Anticipated,2022-02-01,1 Year,Observational [Patient Registry],IMCAS proyect,NA,Impact of COVID19 on Asthma,Impact of COVID19 on Lung Function and Control of Asthma Patients,Recruiting,NA,NA,100,Anticipated,FundaciÃ³ Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,NA,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Undecided,NA,2021-10-12T05:17:44Z,2021-10-12T05:17:44Z,841003,NCT05064501,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-09-16,NA,NA,2021-09-20,2021-09-20,2021-09-22,Actual,NA,NA,NA,NA,NA,NA,2021-09-20,2021-09-22,Actual,"June 1, 2020",Actual,2020-06-01,September 2021,2021-09-30,"December 14, 2020",Actual,2020-12-14,"November 23, 2020",Actual,2020-11-23,NA,Observational,NA,NA,Music for Decreasing Dental Anxiety During Oral Surgery in Coronavirus Disease 2019 (COVID-19),Musical Flow for Decreasing Dental Anxiety During Oral and Implants Surgery in COVID-19: a Randomized Controlled Study,Completed,NA,NA,100,Actual,European University of Madrid,NA,NA,3,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Undecided,"All of the individual participant data collected during the study could be available since 3 years after publication for anyone who wishes to access the data, signing a data access agreement.",2021-10-12T05:19:08Z,2021-10-12T05:19:08Z,847219,NCT05052034,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-09-14,NA,NA,2021-09-14,2021-09-14,2021-09-17,Actual,NA,NA,NA,NA,NA,NA,2021-09-14,2021-09-17,Actual,"September 9, 2021",Actual,2021-09-09,September 2021,2021-09-30,September 2022,Anticipated,2022-09-30,September 2022,Anticipated,2022-09-30,NA,Interventional,NA,NA,Safety and Immunogenicity Study of AdCLD-CoV19-1: A COVID-19 Preventive Vaccine in Healthy Volunteers,"A Dose Escalation, Multicenter, Open, Phase I Study to Assess the Safety and Immunogenicity of AdCLD-CoV19-1, a COVID-19 Preventive Vaccine in Healthy Volunteers.",Recruiting,NA,Phase 1,40,Anticipated,"Cellid Co., Ltd.",NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-12T05:19:38Z,2021-10-12T05:19:38Z,849265,NCT05047692,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-09-21,NA,NA,2021-09-21,2021-09-21,2021-09-29,Actual,NA,NA,NA,NA,NA,NA,2021-09-21,2021-09-29,Actual,"December 21, 2020",Actual,2020-12-21,September 2021,2021-09-30,"September 1, 2023",Anticipated,2023-09-01,"September 1, 2022",Anticipated,2022-09-01,6 Months,Observational [Patient Registry],NA,NA,The Nasal Microbiome and Its Importance in Disease,The Importance of the Nasal Microbiome in Transmission and Disease,Recruiting,NA,NA,320,Anticipated,University of Aarhus,NA,NA,5,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,Samples Without DNA,Microbiome swabs,NA,NA,NA,Undecided,NA,2021-10-12T05:18:03Z,2021-10-12T05:18:03Z,842329,NCT05061329,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-09-04,NA,NA,2021-10-05,2021-09-20,2021-10-01,Actual,NA,NA,NA,NA,NA,NA,2021-10-05,2021-10-06,Actual,"September 30, 2021",Actual,2021-09-30,October 2021,2021-10-31,September 2022,Anticipated,2022-09-30,September 2022,Anticipated,2022-09-30,6 Months,Observational [Patient Registry],NA,NA,Muscle Evaluation of Patients Infected by the Coronavirus,Muscle Evaluation of Patients Infected by the Coronavirus Requiring Mechanical Ventilation,Recruiting,NA,NA,138,Anticipated,Hospital Israelita Albert Einstein,NA,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,"Data will be available at the end of the study, as soon as the manuscript became published in a journal (following publication). No end date (data will be available indefinitely).",Researchers who provide a methodologically sound proposal and/or investigators whose proposed use of the data has been approved by an independent review committee identified for this purpose.,NA,Yes,"Individual participant data (IPD) collected during the study that underlie results reported will be shared after de-identification (text, tables, figures, and appendices).",2021-10-12T05:17:53Z,2021-10-12T05:17:53Z,841631,NCT05063214,Coronavirus Infections,coronavirus infections,mesh-list
NA,2021-09-24,NA,NA,2021-09-28,2021-09-28,2021-09-30,Actual,NA,NA,NA,NA,NA,NA,2021-09-28,2021-09-30,Actual,"September 15, 2021",Actual,2021-09-15,September 2021,2021-09-30,"March 15, 2022",Anticipated,2022-03-15,"December 15, 2021",Anticipated,2021-12-15,NA,Interventional,NA,NA,RCT on the Efficacy of Dexamethasone Versus Methyl Prednisolone in Covid-19 Infected Patients With High Oxygen Flow,Randomized Controlled Trial on the Efficacy of Dexamethasone Versus Methyl Prednisolone in Covid-19 Infected Patients With High Oxygen Flow,Recruiting,NA,Phase 4,60,Anticipated,Cairo University,NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-12T05:17:55Z,2021-10-12T05:17:55Z,841874,NCT05062681,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-09-29,NA,NA,2021-10-01,2021-09-29,2021-09-30,Actual,NA,NA,NA,NA,NA,NA,2021-10-01,2021-10-08,Actual,"September 28, 2021",Actual,2021-09-28,October 2021,2021-10-31,"September 28, 2021",Actual,2021-09-28,"September 28, 2021",Actual,2021-09-28,NA,Observational,VIVACIOUS,NA,Immune Response to COVID-19 Vaccine in Immunotherapy (IO) and Non-IO Treated Cancer Patients,Immune Response to COVID-19 Vaccine in Immunotherapy (IO) and Non-IO Treated Cancer Patients,Completed,NA,NA,53,Actual,"University Health Network, Toronto",NA,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-12T05:17:57Z,2021-10-12T05:17:57Z,842000,NCT05062525,Coronavirus Infections,coronavirus infections,mesh-ancestor
