nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,id,nct_id,name,downcase_name,intervention_type,intervention_name,description,intervention_count,status,facility_name,city,state,zip,country,site_count
"ClinicalTrials.gov processed this data on April 16, 2020",2020-04-05,NA,NA,2020-04-06,2020-04-06,2020-04-07,Actual,NA,NA,NA,NA,NA,NA,2020-04-06,2020-04-07,Actual,"April 5, 2020",Actual,2020-04-05,April 2020,2020-04-30,"April 25, 2020",Anticipated,2020-04-25,"April 20, 2020",Anticipated,2020-04-20,20 Days,Observational [Patient Registry],NA,,Evaluation of Covid 19 Anxiety in Endometriosis Patients,Endometriosis Patients Covid 19 Anxiety,"Active, not recruiting",NA,NA,80,Anticipated,Kanuni Sultan Suleyman Training and Research Hospital,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-17T09:12:07Z,2020-04-17T09:12:07Z,5069431,NCT04337346,Covid19,covid19,NA,NA,NA,NA,,Pinar Yalcin Bahat,Istanbul,Ä°Ì‡stanbul,34000,Turkey,1
"ClinicalTrials.gov processed this data on April 16, 2020",2020-04-05,NA,NA,2020-04-06,2020-04-06,2020-04-07,Actual,NA,NA,NA,NA,NA,NA,2020-04-06,2020-04-07,Actual,"April 1, 2020",Actual,2020-04-01,April 2020,2020-04-30,"June 20, 2020",Anticipated,2020-06-20,"June 15, 2020",Anticipated,2020-06-15,2 Months,Observational [Patient Registry],NA,,Evaluation of Postnatal Outcomes of Covid 19 Positive Mothers Newborns,Postnatal Outcomes of Covid 19 Positive Mothers Newborns,"Active, not recruiting",NA,NA,70,Anticipated,Kanuni Sultan Suleyman Training and Research Hospital,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-17T09:12:08Z,2020-04-17T09:12:08Z,5069436,NCT04337320,Covid19,covid19,Other,newborns from covid 19 positive mothers,"Evaluation of apgar, hemogram and developmental status of babies born from covid 19 positive mothers",1,,Pinar Yalcin Bahat,Istanbul,Ä°Ì‡stanbul,34000,Turkey,1
"ClinicalTrials.gov processed this data on April 22, 2020",2020-04-08,NA,NA,2020-04-10,2020-04-10,2020-04-14,Actual,NA,NA,NA,NA,NA,NA,2020-04-10,2020-04-14,Actual,"April 15, 2020",Anticipated,2020-04-15,April 2020,2020-04-30,"September 1, 2021",Anticipated,2021-09-01,"September 30, 2020",Anticipated,2020-09-30,6 Months,Observational [Patient Registry],IBD-COVID-19,,Cohort of Patients With Inflammatory Bowel Disease During COVID-19 Pandemic,Prospective Multicenter Cohort of Patients With Inflammatory Bowel Disease Treated by Infliximab or Vedolizumab During COVID-19 Pandemic,Not yet recruiting,NA,NA,850,Anticipated,Nantes University Hospital,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      Blood
    ",NA,NA,NA,NA,NA,2020-04-24T09:06:34Z,2020-04-24T09:06:34Z,5159583,NCT04344249,COVID,covid,NA,NA,NA,NA,,Chu Nantes,Nantes,,,France,1
"ClinicalTrials.gov processed this data on April 09, 2020",2020-04-05,NA,NA,2020-04-07,2020-04-05,2020-04-07,Actual,NA,NA,NA,NA,NA,NA,2020-04-07,2020-04-09,Estimate,"March 21, 2020",Actual,2020-03-21,April 2020,2020-04-30,"May 22, 2020",Anticipated,2020-05-22,"May 20, 2020",Anticipated,2020-05-20,2 Months,Observational [Patient Registry],NA,,Evaluation of Blood Results of Covid 19 Positive Pregnants,Blood Results of Covid 19 Positive Pregnants,"Active, not recruiting",NA,NA,100,Anticipated,Kanuni Sultan Suleyman Training and Research Hospital,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples Without DNA,"
      peripheral blood values; hemogram, biochemistry (ast- sub-urea, creatinine, potassium,
      sodium, calcium, magnesium, vitamin d, homocysteine, ggt, crp)
    ",NA,NA,NA,Yes,NA,2020-04-10T09:09:53Z,2020-04-10T09:09:53Z,4974170,NCT04337294,Covid19,covid19,Biological,Evaluation of blood results of covid 19 positive pregnant patients,"peripheral blood values; hemogram, biochemistry (ast- sub-urea, creatinine, potassium, sodium, calcium, magnesium, vitamin d, homocysteine, ggt, crp)",1,,Pinar Yalcin Bahat,Istanbul,Ä°Ì‡stanbul,34000,Turkey,1
"ClinicalTrials.gov processed this data on April 10, 2020",2020-03-29,NA,NA,2020-03-29,2020-03-29,2020-04-01,Actual,NA,NA,NA,NA,NA,NA,2020-03-29,2020-04-01,Actual,"March 30, 2020",Actual,2020-03-30,March 2020,2020-03-31,"June 29, 2021",Anticipated,2021-06-29,"June 29, 2020",Anticipated,2020-06-29,1 Year,Observational [Patient Registry],NA,,COVID-19 in Patients With Pre-existing Cirrhosis (COVID-Cirrhosis-CHESS2002): A Multicentre Observational Study,Clinical Characteristics of COVID-19 in Patients With Pre-existing Cirrhosis (COVID-Cirrhosis-CHESS2002): A Multicentre Observational Study,Recruiting,NA,NA,50,Anticipated,Hepatopancreatobiliary Surgery Institute of Gansu Province,,NA,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-11T09:13:03Z,2020-04-11T09:13:03Z,4990470,NCT04329559,COVID-19,covid-19,NA,NA,NA,NA,Not yet recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Not yet recruiting|Recruiting|Recruiting|Not yet recruiting|Recruiting|Not yet recruiting|Recruiting|Recruiting,"Dalian Sixth People's Hospital|Minda Hospital Affiliated to Hubei University for Nationalities|The Central Hospital of Enshi Tujia And Miao Autonomous Prefecture|The First Hospital of Lanzhou University|The Central Hospital of Lishui City|Guangxi Zhuang Autonomous Region|The Sixth Peoples Hospital of Shenyang|Shenzhen Third People's Hospital|Suizhou Hospital, Hubei University of Medicine|Tianjin Second People's Hospital|Ankang Central Hospital|Renmin Hospital of Wuhan University|Wuhan Union Hospital|Xingtai People's Hospital|The Affiliated Third Hospital of Jiangsu University",Dalian|Enshi|Enshi|Lanzhou|Lishui|Nanning|Shenyang|Shenzhen|Suizhou|Tianjin|Wuhan|Wuhan|Wuhan|Xingtai|Zhenjiang,||||||||||||||,||||||||||||||,China|China|China|China|China|China|China|China|China|China|China|China|China|China|China,15
"ClinicalTrials.gov processed this data on April 24, 2020",2020-04-23,NA,NA,2020-04-23,2020-04-23,2020-04-24,Estimate,NA,NA,NA,NA,NA,NA,2020-04-23,2020-04-24,Estimate,April 2020,Anticipated,2020-04-30,April 2020,2020-04-30,"December 31, 2020",Anticipated,2020-12-31,"August 31, 2020",Anticipated,2020-08-31,6 Months,Observational [Patient Registry],TVP-COVID-RIV,,Influence of COVID-19 Infection in Thromboembolic Venous Disease: National Cohort Study,National Cohort Study to Assess the Influence of COVID-19 Infection in Thromboembolic Venous Disease:,Not yet recruiting,NA,NA,50,Anticipated,Sociedad Espanola de Angiologia y Cirugia Vascular,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-27T08:52:25Z,2020-04-27T08:52:25Z,5198949,NCT04361981,COVID-19,covid-19,Other,Deep Venous Disease Diagnostic,Clinical and/or echographic diagnosis of Deep Venous Disease in a patient with COVID-19 infection,1,NA,NA,NA,NA,NA,NA,NA
"ClinicalTrials.gov processed this data on April 24, 2020",2020-04-22,NA,NA,2020-04-22,2020-04-22,2020-04-24,Estimate,NA,NA,NA,NA,NA,NA,2020-04-22,2020-04-24,Estimate,"March 1, 2020",Actual,2020-03-01,March 2020,2020-03-31,March 2021,Anticipated,2021-03-31,"March 1, 2021",Anticipated,2021-03-01,2 Years,Observational [Patient Registry],COVID19-SETH,,COVID-19 in Liver Transplant Recipients,COVID-19 in Liver Transplant Recipients in Spain: a Nationwide Prospective Study,Recruiting,NA,NA,200,Anticipated,Hospital Clinic of Barcelona,,NA,1,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-27T08:52:36Z,2020-04-27T08:52:36Z,5199000,NCT04361591,COVID19,covid19,Other,Observational only,Observational Study,1,Recruiting,SETH-affiliated Liver Transplant Programs in Spain,Barcelona,,,Spain,1
"ClinicalTrials.gov processed this data on April 24, 2020",2020-04-22,NA,NA,2020-04-22,2020-04-22,2020-04-24,Estimate,NA,NA,NA,NA,NA,NA,2020-04-22,2020-04-24,Estimate,"April 15, 2020",Actual,2020-04-15,April 2020,2020-04-30,"October 1, 2021",Anticipated,2021-10-01,"October 1, 2020",Anticipated,2020-10-01,30 Days,Observational [Patient Registry],COSA,,Registry of COVID-19 Patients Treated With the Seraph 100 Microbind Affinity Blood Filter,Registry for the Evaluation of Safety and Effectiveness of the Seraph 100 Microbind Affinity Blood Filter in the Therapy of COVID-19 Patients (COSA),Recruiting,NA,NA,100,Anticipated,Hannover Medical School,,NA,1,NA,FALSE,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-27T08:52:39Z,2020-04-27T08:52:39Z,5199019,NCT04361500,COVID-19,covid-19,Device,Seraph 100,Seraph 100 therapy during a COVID-19 infection,1,Recruiting|Recruiting,Academic Teaching Hospital Brunswick|Hannover Medical School,Brunswick|Hannover,Lower Saxony|,|,Germany|Germany,2
"ClinicalTrials.gov processed this data on April 24, 2020",2020-04-21,NA,NA,2020-04-22,2020-04-22,2020-04-24,Estimate,NA,NA,NA,NA,NA,NA,2020-04-22,2020-04-24,Estimate,"April 20, 2020",Actual,2020-04-20,April 2020,2020-04-30,"August 31, 2025",Anticipated,2025-08-31,"August 31, 2021",Anticipated,2021-08-31,1 Year,Observational [Patient Registry],CV-COVID-19,,Long-term Effects of Coronavirus Disease 2019 on the Cardiovascular System: CV COVID-19 Registry,Long-term Effects of Coronavirus 2019 Disease on the Cardiovascular System in Patients Who Have Undergone a Diagnostic Nasopharyngeal Swab for SARS-CoV-2. CV COVID-19 Registry,Recruiting,NA,NA,10000,Anticipated,Hospital Clinic of Barcelona,,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,Will be made available upon request.,2020-04-27T08:53:32Z,2020-04-27T08:53:32Z,5199237,NCT04359927,Sars-CoV2,sars-cov2,NA,NA,NA,NA,Recruiting,Hospital ClÃ­nic of Barcelona,Barcelona,Catalonia,08036,Spain,1
"ClinicalTrials.gov processed this data on April 24, 2020",2020-04-21,NA,NA,2020-04-22,2020-04-22,2020-04-24,Estimate,NA,NA,NA,NA,NA,NA,2020-04-22,2020-04-24,Estimate,"April 8, 2020",Actual,2020-04-08,April 2020,2020-04-30,"April 20, 2042",Anticipated,2042-04-20,"April 20, 2022",Anticipated,2022-04-20,20 Years,Observational [Patient Registry],NA,,COVID-19 Recovered Volunteer Research Participant Pool Registry,COVID-19 Recovered Volunteer Research Participant Pool Registry,Recruiting,NA,NA,10000,Anticipated,"University of California, Los Angeles",,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Yes,NA,2020-04-27T08:53:43Z,2020-04-27T08:53:43Z,5199295,NCT04359602,Recovered From COVID-19,recovered from covid-19,NA,NA,NA,NA,Recruiting,Ronald Reagan UCLA Medical Center,Los Angeles,California,90095,United States,1
"ClinicalTrials.gov processed this data on April 24, 2020",2020-04-08,NA,NA,2020-04-20,2020-04-20,2020-04-22,Actual,NA,NA,NA,NA,NA,NA,2020-04-20,2020-04-22,Actual,"April 25, 2020",Anticipated,2020-04-25,April 2020,2020-04-30,"January 1, 2023",Anticipated,2023-01-01,"January 1, 2022",Anticipated,2022-01-01,6 Weeks,Observational [Patient Registry],PSYCHIC,,PSYCHIATRIC Disorders and Covid-19,"PSYCHIatric Disorders and Covid-19 (PSYCHIC) : Observatory of the Psychiatric, Somatic and Pharmacological Impacts of the COVID-19 Pandemic on Patients Hospitalized for Psychiatric Disorders and Suspected to be Infected by COVID-19",Not yet recruiting,NA,NA,250,Anticipated,Nantes University Hospital,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,None Retained,"
      Blood
    ",NA,NA,NA,NA,NA,2020-04-27T08:54:34Z,2020-04-27T08:54:34Z,5199489,NCT04358042,Covid19,covid19,Other|Other|Other|Other,"Brief Psychiatric Rating Scale|Depression, Anxiety and Stress Scale|Impact of Event Scale-Revised|Connor-Davidson Resilience Scale 10 items (CD-RISC 10)","The Abbreviated Psychiatric Rating Scale is a clinical scale for measuring symptomatic change in psychiatric inpatients for various conditions. It includes an accurate and complete description of the major characteristic symptoms. It is based both on patient responses and on observations made during the interview by the clinician. The usual reference period is the last two weeks.|evaluation of 3 dimensions of psychological distress: depression, anxiety and stress. The scale consists of 21 items and the patient is instructed to choose for each item the one that best corresponds to his or her experience over the past week, on a scale of 0 (""does not apply to me at all"") to 3 (""applies entirely to me, or the vast majority of the time""). A score is calculated for each dimension according to a predefined rating.|is a 22-item self-questionnaire that measures perceived stress in reference to a traumatic event during the previous 7 days. Each item is rated on a scale ranging from 0 (not at all) to 4 (extremely) and 3 sub-scores of post-traumatic symptoms are calculated: Revivification, Avoidance, Psychophysiological Activation, as well as a total score of severity of the state of stress. Acute Stress Disorder (ASD) and Post-Traumatic Stress Disorder (PTSD) share the same symptoms, the former lasting between 3 days and one month, while the latter is diagnosed when symptoms persist beyond one month. Since the exposure to the stressful event will have occurred less than a month ago, this questionnaire here will help identify a state of acute stress. A total R-ESI score equal to or greater than 33 suggests a significant level of symptoms|Self-questionnaire composed of 10 items, evaluating the resilience capacities of patients. Resilience may act as a moderator against the symptoms of PTSD. This instrument uses a 5-point Likert-type response scale ranging from 0 ""Not true at all"" to 4 ""True most of the time"".",4,,Nantes University Hospital - IFAC,Nantes,,44093,France,1
