intervention,"Active, not recruiting",Completed,Enrolling by invitation,Recruiting,Terminated,Total
elisa,0,1,0,0,0,1
elisa/rapid test to detect antibodies against covid-19,0,1,0,0,0,1
emergency surgery,0,1,0,0,0,1
endoscopic intervention,0,1,0,0,0,1
endoscopic procedure,0,1,0,0,0,1
endothelial damage,1,0,0,0,0,1
endothelial damage/angiogenic biomarkers,1,0,0,0,0,1
enhanced hygiene measures,1,0,0,0,0,1
epidemiology of admissions,0,1,0,0,0,1
evaluation of changes in the diagnostic-therapeutic pathway,0,1,0,0,0,1
face mask sampling,0,0,0,1,0,1
fibromyalgia impact questionnaire,0,1,0,0,0,1
follow-up phone call,0,1,0,0,0,1
follow up,1,0,0,0,0,1
follow up calls,0,0,0,1,0,1
gastrointestinal endoscopy,0,1,0,0,0,1
general anesthesia,0,1,0,0,0,1
health care worker survey,0,0,0,1,0,1
hematological,0,0,0,1,0,1
hematological/immunological biomarkers,0,0,0,1,0,1
hemodynamics monitoring,0,1,0,0,0,1
history of exposure to anti-cd20 treatment since 01,0,0,0,1,0,1
history of exposure to anti-cd20 treatment since 01/01/2010,0,0,0,1,0,1
hiv,0,0,0,1,0,1
hospital admission,1,0,0,0,0,1
hospital treatment of covid disease,0,0,0,1,0,1
hospitalized children with covid19,0,0,0,1,0,1
hydroxychloroquine / azithromycin,0,1,0,0,0,1
hypertension,1,0,0,0,0,1
identification of genetic variants,1,0,0,0,0,1
igg,0,1,0,0,0,1
igg antibody test,0,0,0,1,0,1
igg test,0,0,0,1,0,1
immunological biomarkers,0,0,0,1,0,1
immunosuppressive agents,0,0,0,1,0,1
impact of event scale-revised,0,0,0,0,1,1
incremental shuttle walk test,0,0,0,1,0,1
indirect calorimetry,0,0,0,1,0,1
intellivent asv,0,1,0,0,0,1
interval appendectomy,0,1,0,0,0,1
interview,0,0,0,1,0,1
ivermectin / doxycycline,0,1,0,0,0,1
laboratory,0,0,0,1,0,1
laboratory blood tests,0,0,0,1,0,1
levels of sars-cov-2 antibodies,0,0,0,1,0,1
low molecular weight heparin as standard of care treatment,0,1,0,0,0,1
lung ultrasound,0,0,0,1,0,1
machine based evaluation,0,0,0,1,0,1
machine learning,0,0,0,1,0,1
metabolomic,0,0,0,1,0,1
methylprednisolone,0,1,0,0,0,1
mitigation measures against covid 19,0,1,0,0,0,1
mitochondrial dna,0,0,0,1,0,1
ml) intraven vial (ml),0,1,0,0,0,1
modified rankin score,0,1,0,0,0,1
"mrm , toilet mastectomy , bcs",0,1,0,0,0,1
multisystem inflammatory syndrome in children (mis-c),0,0,0,1,0,1
muscle,0,0,0,1,0,1
muscle ultrasound evaluation,0,0,0,1,0,1
netosis markers,0,0,0,1,0,1
neuropsychological assessment,0,0,0,1,0,1
no severe covid-19,1,0,0,0,0,1
no special intervention,0,1,0,0,0,1
non-hospitalization procedures,1,0,0,0,0,1
non-interventional study,1,0,0,0,0,1
non intervention,0,0,0,1,0,1
novel coronavirus infection,0,1,0,0,0,1
nutrition therapy according to icu protocol,1,0,0,0,0,1
obesity,1,0,0,0,0,1
observation,1,0,0,0,0,1
online questionnaires,0,1,0,0,0,1
optimized management of covid-19 positive kidney transplant recipients: single center experience from the middle east,0,1,0,0,0,1
other vaccine against sars-cov-2,0,0,0,1,0,1
participation,0,1,0,0,0,1
patient sampling,0,0,0,1,0,1
patients with hemopathy,0,0,0,1,0,1
patients with stable normal kidney function,0,1,0,0,0,1
patients with the treatment agains covid19,0,0,0,1,0,1
patients with unstable kidney function,0,1,0,0,0,1
pcr/serology,0,0,0,1,0,1
perceived stress scale,0,1,0,0,0,1
performance evaluation study of realdetect rt-pcr kit for covid-19 detection,0,0,0,1,0,1
placebo,0,1,0,0,0,1
postpartum,1,0,0,0,0,1
postpartum women under investigation for coronavirus/diagnosed with covid-19,1,0,0,0,0,1
pregnant women under investigation for coronavirus,1,0,0,0,0,1
pregnant women under investigation for coronavirus/diagnosed with covid-19,1,0,0,0,0,1
presence of specific anti-sars-cov-2 antibodies,0,1,0,0,0,1
prone positioning,0,1,0,0,0,1
pulmonary function test,0,0,0,1,0,1
qualitative approaches to analysis,0,0,0,1,0,1
quality of life assessment,0,0,0,1,0,1
questionaire,0,0,1,0,0,1
questionnaires family,0,0,0,1,0,1
questionnaires patient,0,0,0,1,0,1
"raman analysis of saliva, characterization of the raman database",0,0,0,1,0,1
"raman analysis of saliva, characterization of the raman database/building of the classification model",0,0,0,1,0,1
rapid test,0,1,0,0,0,1
registery data collection,0,0,0,1,0,1
rehabilitation,0,1,0,0,0,1
ria-device (remote investigation,0,1,0,0,0,1
ria-device (remote investigation/assessment),0,1,0,0,0,1
rrt-pcr sars-cov-2,0,0,0,1,0,1
sarcopenia diagnosis,0,0,0,1,0,1
sars-cov-2-test,0,0,0,1,0,1
sars-cov-2 serological assessment (igg),0,0,0,1,0,1
sars-cov-2 vaccination,1,0,0,0,0,1
sars-cov-2 viral culturing,0,0,0,1,0,1
sars-cov2 infection,1,0,0,0,0,1
savr,1,0,0,0,0,1
scheduled surgery,0,1,0,0,0,1
senior fitness test,0,1,0,0,0,1
sequencing covid-19,0,0,0,1,0,1
seraph,0,0,0,1,0,1
serum pai-1 alpha analysis.,0,0,0,1,0,1
single passive leg movement,0,1,0,0,0,1
sonoclot,0,0,0,1,0,1
spironolactone,0,1,0,0,0,1
sras-cov-2 vaccination immunological response,0,0,0,1,0,1
statins,1,0,0,0,0,1
stress scale,0,0,0,0,1,1
"symptomatology, treatment. daily activities",0,0,0,1,0,1
taking biological samples,0,0,0,1,0,1
tavr,1,0,0,0,0,1
tavr/savr,1,0,0,0,0,1
teleconsultation either by phone,0,0,0,1,0,1
teleconsultation either by phone/by computer consultation. quantitative/qualitative approaches to analysis,0,0,0,1,0,1
telemedicine in the form virtual clinic via video consultation,0,1,0,0,0,1
telephone interview,1,0,0,0,0,1
test,0,1,0,0,0,1
tested for sars-cov-2 (regardless of the result),0,1,0,0,0,1
the drugs used before,0,1,0,0,0,1
"the drugs used before/during the pandemic, the patient's job status, physical activity conditions, pain status",0,1,0,0,0,1
the leisure time activity,0,1,0,0,0,1
thromboprofylaxis protocol,0,1,0,0,0,1
time management,0,1,0,0,0,1
time management/participation/the leisure time activity,0,1,0,0,0,1
tmd) scale,0,1,0,0,0,1
tocilizumab,0,1,0,0,0,1
tocilizumab 200 mg,0,1,0,0,0,1
tocilizumab 200 mg/10 ml (20 mg/ml) intraven vial (ml),0,1,0,0,0,1
transthoracic echocardiogram (tte),0,0,0,1,0,1
ultra sound,0,1,0,0,0,1
ultrasound,0,1,0,0,0,1
"urinary ngal, timp-2, igfbp7, il-6, viral load",0,0,0,1,0,1
"urinary ngal, timp-2, igfbp7, il-6, viral load/metabolomic",0,0,0,1,0,1
urine collection,0,0,0,1,0,1
users,0,1,0,0,0,1
vaccination,0,0,0,1,0,1
vascular occlusion test,0,0,0,1,0,1
venous bleeding,1,0,0,0,0,1
vitros anti-sars-cov-2 igg test,0,0,1,0,0,1
walk test,0,0,0,1,0,1
web-application,0,1,0,0,0,1
web-based redcap survey,0,0,0,1,0,1
web application users,0,1,0,0,0,1
