intervention,"Active, not recruiting",Completed,Enrolling by invitation,Recruiting,Terminated,Total
"blood collection at day 8, day 16, day 24, month 6",0,0,0,1,0,1
"blood collection at day 8, day 16, day 24, month 6/month 12 after first symptoms from sars-cov-2 infection",0,0,0,1,0,1
blood collection on their first consultation/10 to 14 days later,0,0,0,1,0,1
blood sampling (venesection),0,0,0,1,0,1
"blood tests sputum, nasal lavage",0,0,0,1,0,1
"blood tests sputum, nasal lavage/brushing",0,0,0,1,0,1
bloodwork,0,0,0,1,0,1
bovhyaluronidase azoxymer,0,0,0,1,0,1
breath biopsy face masks with removable filters,0,0,0,1,0,1
breath biopsy face masks with removable filters/fitted pva strip,0,0,0,1,0,1
breath test,0,0,0,1,0,1
brushing,0,0,0,1,0,1
burnout,0,0,0,1,0,1
butterfly,0,0,0,1,0,1
bva-100,0,0,0,1,0,1
by computer consultation,0,1,0,0,0,1
c-reactive protein,0,0,0,1,0,1
c3,0,1,0,0,0,1
c3/ holter monitor,0,1,0,0,0,1
cag,0,0,0,1,0,1
calcium channel blockers,0,1,0,0,0,1
cambridge validated viral detection,0,0,0,1,0,1
capnography,0,0,0,1,0,1
cardiac ct,0,0,0,1,0,1
cardiac mri,0,0,0,1,0,1
cardiac surgery,0,0,0,1,0,1
cardiology clinical consultations,0,0,0,1,0,1
cardiopulmonary exercise test,0,0,0,1,0,1
care modalities,0,1,0,0,0,1
carotid artery reactivity testing,1,0,0,0,0,1
case fatality rate,0,1,0,0,0,1
cellular immunity,0,0,1,0,0,1
cellular response,0,1,0,0,0,1
change in preference to surgery under covid-19 pandemic.,0,1,0,0,0,1
chart review,0,0,0,1,0,1
chemotherapy,1,0,0,0,0,1
chest mri,0,0,0,1,0,1
chlorine dioxide,0,0,0,1,0,1
clinical data collection,0,0,0,1,0,1
clinical examination,0,0,0,1,0,1
clinical features/laboratory values,0,1,0,0,0,1
clinical interview,0,0,0,1,0,1
clinical observation,0,0,0,1,0,1
clinical outcomes in elderly patients with covid-19.,0,0,0,1,0,1
clinical testing of subjects,0,0,0,1,0,1
"clinical, functional",0,0,0,1,0,1
"clinical, functional/radiological lung involvement evolution",0,0,0,1,0,1
"clinical, laboratory",0,0,0,1,0,1
"clinical, laboratory/imaging characteristics of pneumonia",0,0,0,1,0,1
clinico-biological parameters in routine care,0,0,0,1,0,1
closed-loop control of oxygen supplementation by o2matic,0,1,0,0,0,1
clungene rapid test cassette,0,0,0,1,0,1
cns magnetic resonance imaging (mri) imaging,0,0,0,1,0,1
cobicistat,0,0,0,1,0,1
cognitive assessment,0,0,1,0,0,1
cognitive testing,0,0,0,1,0,1
collection of breath sample,0,0,0,1,0,1
collection of mucosal lining fluid,0,1,0,0,0,1
collection of odour samples,0,0,0,1,0,1
collection of swabs,0,0,0,1,0,1
collection of tears,0,0,1,0,0,1
collection of tears/saliva.,0,0,1,0,0,1
colorectal resections,1,0,0,0,0,1
community-driven messages to promote covid-19 testing,0,0,1,0,0,1
compare the difference in respiratory rate between h0,0,0,0,1,0,1
complete thrombophilic profile testing by multiplex pcr,0,0,0,1,0,1
completion of post telemedicine encounter survey,0,1,0,0,0,1
completion of pre-pandemic survey,0,1,0,0,0,1
completion of survey after peak of pandemic,0,1,0,0,0,1
comprehensive treatment,0,0,0,1,0,1
connected devices measurements,0,0,0,1,0,1
continuous positive airway pressure (cpap) treatment,0,0,0,1,0,1
continuous renal replacement therapy,0,0,0,1,0,1
corticosteroid with,0,1,0,0,0,1
corticosteroid with/without colchicine,0,1,0,0,0,1
corticosteroids/derivatives,1,0,0,0,0,1
coviage,0,1,0,0,0,1
covicu,0,0,0,1,0,1
covid-19 / patients,1,0,0,0,0,1
covid-19 androgen sensitivity test (covast),0,0,1,0,0,1
covid-19 antibody testing,0,0,0,1,0,1
covid-19 antigen,1,0,0,0,0,1
"covid-19 antigen/antibody tests,/influenza rapid test",1,0,0,0,0,1
covid-19 experience surveys,0,0,0,1,0,1
covid-19 facility,0,1,0,0,0,1
covid-19 infection,0,0,0,1,0,1
covid-19 infection status,0,0,0,1,0,1
covid-19 infection will be conducted.,0,0,0,1,0,1
covid-19 nasal,1,0,0,0,0,1
covid-19 nasal/pharyngeal swab,1,0,0,0,0,1
covid-19 positive,0,0,0,1,0,1
covid-19 positive pregnant women,0,1,0,0,0,1
covid-19 presto test,0,0,0,1,0,1
covid-19 survey,0,0,0,1,0,1
covid-19 treatment,0,0,0,1,0,1
covid-19 treatments,0,1,0,0,0,1
covid-19 vaccine,0,0,0,1,0,1
covid-19/ observational,0,0,0,1,0,1
covid-19/intensive care,0,1,0,0,0,1
covid-antibody test,0,0,0,1,0,1
covid-surgres questionaire,0,1,0,0,0,1
covid 19 diagnostic test,1,0,0,0,0,1
covid 19 impact,0,1,0,0,0,1
covid icu containment measures,0,0,0,1,0,1
covid19 rt-pcr,0,0,0,1,0,1
covidseq test,0,0,1,0,0,1
covx,0,1,0,0,0,1
cries 13 questionnaire,0,0,0,1,0,1
cross-sectional observational study,0,1,0,0,0,1
cross-sectional study investigating the association of npis with mental health,0,1,0,0,0,1
cross sectional study using scientifically validated psychometric scales,0,1,0,0,0,1
current clinical practices of participating physicians,0,0,0,1,0,1
cystatin c,0,0,0,1,0,1
cytokines measurement,0,1,0,0,0,1
daily syndromic surveillance,0,0,1,0,0,1
darunavir,0,0,0,1,0,1
darunavir/cobicistat,0,0,0,1,0,1
dass-21 instrument (depression,0,0,0,1,0,1
dass-21 instrument (depression/anxiety),0,0,0,1,0,1
dass questionnaire,0,1,0,0,0,1
data,0,0,0,1,0,1
data collecting,0,0,0,1,0,1
data collection from blood draw,0,0,0,1,0,1
data collection from lumbar puncture,0,0,0,1,0,1
data collection from medical files,0,0,0,1,0,1
data collection up to 1 year,0,0,0,1,0,1
data collection/clinical testing of subjects,0,0,0,1,0,1
data collection: clinical care assessments,0,0,1,0,0,1
data extraction from medical files,0,0,0,1,0,1
data monitoring for 48h within the first 12 hours of admission for covid-19,0,0,0,1,0,1
"data research, database analysis",0,1,0,0,0,1
death with routine,1,0,0,0,0,1
decisions of limitations,0,0,0,1,0,1
decisions of limitations/stop processing,0,0,0,1,0,1
demographic characteristics,0,1,0,0,0,1
depression scale,0,0,0,1,0,1
"depression,",0,0,0,1,0,1
derivatives,1,0,0,0,0,1
description of groups caracteristics,0,1,0,0,0,1
device used to record voice for screening,0,0,0,1,0,1
dexamethasone,0,1,0,0,0,1
"diagnosis of sars-cov2 by rt-pcr/: igg, ig m serologies in the amniotoc fluid, the blood cord/the placenta",0,0,0,1,0,1
diagnostic examination for venous thromboembolism,0,1,0,0,0,1
diagnostic test for detection of sars-cov-2,0,0,1,0,0,1
diet tracking,0,0,0,1,0,1
"dietary counselling on food groups according to iyc feeding practices, who",0,0,0,1,0,1
differences in triage,0,1,0,0,0,1
dlco,0,0,0,1,0,1
doctor spot,0,0,0,1,0,1
dornase alfa,0,1,0,0,0,1
duplex ultrasound/computed tomography angiography,0,1,0,0,0,1
during covid-19 pandemic,0,0,0,1,0,1
dysphagia handicap index (dhi),0,0,0,1,0,1
early rehabilitation,0,0,0,1,0,1
earsats pulse oximeter probe,0,0,0,1,0,1
easycov poc,0,0,0,1,0,1
eat-26 questionnaire,0,1,0,0,0,1
eating habits,0,0,0,1,0,1
echo-doppler,0,0,0,1,0,1
echocardiogram,0,0,0,1,0,1
edinburgh postnatal depression scale (edps),0,0,0,1,0,1
education,0,1,0,0,0,1
education sessions,0,0,0,1,0,1
educational meetings/visual prompts,0,1,0,0,0,1
ei open ended pre-survey,0,0,1,0,0,1
ei open ended pre-survey/semi structured interview,0,0,1,0,0,1
elective cancer surgery,0,0,0,1,0,1
electrical impedance tomography,0,0,0,1,0,1
electro impedance tomography,0,0,0,1,0,1
electrocardiogram (ecg),0,0,0,1,0,1
"electrocardiogram, telemetry, echocardiogram, laboratory values",0,0,0,1,0,1
"electrocardiogram, transthoracic echocardiography",0,0,0,1,0,1
"electrocardiogram, transthoracic echocardiography/clinico-biological parameters in routine care",0,0,0,1,0,1
"electrocardiography ,tomographic imaging",0,1,0,0,0,1
electrolytes,1,0,0,0,0,1
emergency general surgical admissions,0,1,0,0,0,1
emergency laparotomy,0,1,0,0,0,1
endoscopic management according to standard of care,0,1,0,0,0,1
environmental exposure,0,0,0,1,0,1
environmental exposure/clinical features,0,0,0,1,0,1
epds (edinburgh postnatal depression scale),0,1,0,0,0,1
epidemiological,0,1,0,0,0,1
epidemiological/demographic characteristics,0,1,0,0,0,1
equipment with smartwatch throughout hospital stay on the general ward,0,0,0,1,0,1
euroimmun assay,0,0,0,1,0,1
evaluate hacor score effectivity in this patients,0,0,0,1,0,1
"evaluation of clinical, instrumental",0,0,0,1,0,1
"evaluation of clinical, instrumental/laboratory diagnostics tests",0,0,0,1,0,1
evaluation of skin microvascular flow,0,0,0,1,0,1
evaluation of skin microvascular flow/reactivity,0,0,0,1,0,1
evaluation of the epidemiological characteristics of coronavirus infection (sars-cov-2),0,0,0,1,0,1
evaluation of the ferritin,0,0,0,1,0,1
even birth year intervention groups,0,0,0,1,0,1
examinations for the research:,0,0,0,1,0,1
examine the impact of covid-19 during pregnancy,0,0,0,1,0,1
experiences of health care professionals working in intensive care units during the covid-19 pandemic,0,0,0,1,0,1
experts consensus,0,1,0,0,0,1
exposure surveys,1,0,0,0,0,1
exposure to disinfectants during the coronavirus pandemic,0,1,0,0,0,1
exposure to the dutch measures due to the covid-19 pandemic.,0,0,0,1,0,1
extracorporeal left hemicolectomy anastomosis,0,0,0,1,0,1
extracorporeal membrane oxygenation,0,0,0,1,0,1
facial fractures reduction,0,1,0,0,0,1
facial fractures reduction/osteosynthesis,0,1,0,0,0,1
famotidine,0,1,0,0,0,1
favipiravir,0,0,0,1,0,1
favorable outcome,0,1,0,0,0,1
fecal,0,0,0,1,0,1
fibreoptic endoscopic evaluation of swallowing (fees),0,0,0,1,0,1
fibrin generation markers assays,0,0,0,1,0,1
fingertip tests for poc assays,0,0,0,1,0,1
fitted pva strip,0,0,0,1,0,1
flu shot,0,0,1,0,0,1
fmd,0,0,0,1,0,1
fmf.,0,0,1,0,0,1
follow-up of patients with covid-19,0,0,0,1,0,1
fondaparinux,0,1,0,0,0,1
fsfi survey,0,1,0,0,0,1
functional mri,0,0,0,1,0,1
further processing of health data,0,0,0,1,0,1
gad-7 (7-item generalized anxiety disorder),0,0,0,1,0,1
gad-7 (general anxiety disorder) scale,0,1,0,0,0,1
gad-7 general anxiety disorder scale,0,0,0,1,0,1
gas exchange measurement,0,1,0,0,0,1
general public cohort,0,1,0,0,0,1
generalized anxiety disorder-7 (gad-7),0,1,0,0,0,1
genetic,0,0,0,1,0,1
geneva emotional competence test (geco),0,0,1,0,0,1
global longitudinal strain,0,0,0,1,0,1
global survey,0,1,0,0,0,1
gloves,0,1,0,0,0,1
glucose control,0,0,0,1,0,1
glucose control/sensor usage,0,0,0,1,0,1
glycaemic levels,0,0,0,1,0,1
glycosylated ferritin by standard approved serological tests,0,0,0,1,0,1
"gps reports of potential patient safety incidents, non-covid-19 related",0,1,0,0,0,1
grandiosity subscales,0,0,0,1,0,1
group 1,1,0,0,0,0,1
group1,0,0,0,1,0,1
guduchi ghan vati,0,1,0,0,0,1
gustatory tests,0,0,0,1,0,1
h12 of the initiation of morphine between the control,0,0,0,1,0,1
health-related quality of life,0,0,0,1,0,1
health questionnaire,1,0,0,0,0,1
heparin,0,0,0,1,0,1
high-flow nasal cannula treatment,0,0,0,1,0,1
high flow nasal cannula,0,1,0,0,0,1
high peep with end inspiratory pause,0,0,0,1,0,1
high peep without end inspiratory pause,0,0,0,1,0,1
hip arthropalsty,0,1,0,0,0,1
holter monitor,0,1,0,0,0,1
home-use test,0,0,0,1,0,1
home sleep apnea testing,1,0,0,0,0,1
home sleep apnea testing/in-hospital polysomnography,1,0,0,0,0,1
home spirometry,0,0,0,1,0,1
hospital acquired infection,0,0,0,1,0,1
hospital anxiety,0,0,0,1,0,1
hospital anxiety depression scale,0,1,0,0,0,1
hospital anxiety/depression scale,0,0,0,1,0,1
"hospitalisation, necessity of icu, mortality rate, lung involvement",0,0,0,1,0,1
hospitalization for premature birth,0,0,1,0,0,1
hospitalized patients for covid-19 infection,0,0,0,1,0,1
host genotype,0,0,0,1,0,1
host immune factors,0,0,0,1,0,1
human milk donors,0,0,0,1,0,1
humoral,0,0,1,0,0,1
humoral/cellular immunity,0,0,1,0,0,1
id now vs. accula,0,0,0,1,0,1
ier-r (posttraumatic stress),0,0,0,1,0,1
igg antibodies assay,0,0,0,1,0,1
igg sars cov 2 antibodies,1,0,0,0,0,1
igg sars cov2,1,0,0,0,0,1
igg test,0,1,0,0,0,1
"igg, aaz, boulogne-billancourt, france)",0,0,0,1,0,1
igm test,0,0,1,0,0,1
igm/igg antibodies assay,0,0,0,1,0,1
imaging,0,0,0,1,0,1
imaging by thoracic scanner,1,0,0,0,0,1
imaging characteristics of pneumonia,0,0,0,1,0,1
"imaging, blood tests",0,1,0,0,0,1
immune response study,0,0,0,1,0,1
immunfluorescence,0,0,0,1,0,1
immunoformulation,0,1,0,0,0,1
immunoglobulin,0,1,0,0,0,1
immunoglubulins,0,0,0,1,0,1
immunological,0,0,0,1,0,1
immunosuppressive,0,0,0,1,0,1
impact event score,0,0,0,1,0,1
impulseâ„¢ una e-stethoscope,0,1,0,0,0,1
in-hospital mortality rate,0,1,0,0,0,1
individualized-chinese herbal medicine,0,0,0,1,0,1
infectious disease,0,0,0,1,0,1
infectious disease/cardiology clinical consultations,0,0,0,1,0,1
influenza rapid test,1,0,0,0,0,1
informational videos,0,0,0,1,0,1
informational videos/social media campaigns encouraging cancer screening.,0,0,0,1,0,1
informed consent,0,0,0,1,0,1
integrated clinical evaluation,0,0,0,1,0,1
intensive care,0,1,0,0,0,1
intensive care unit admission ratio,0,0,0,1,0,1
interleuken 6,0,0,0,1,0,1
interventional groups,0,0,0,1,0,1
intestinal microbiota,0,0,0,1,0,1
intracorporeal left hemicolectomy anastomosis,0,0,0,1,0,1
invasive mechanical ventilation,0,1,0,0,0,1
investigation of smell,0,0,0,1,0,1
investigation of smell/taste disorders,0,0,0,1,0,1
investigation of the prevalence of test positivity,0,0,0,1,0,1
iota carrageenan nasal spray,0,1,0,0,0,1
iota carrageenan nasal spray/ivermectin oral drops (used as buccal drops),0,1,0,0,0,1
ip-10,0,1,0,0,0,1
its,0,0,0,1,0,1
"ivermectin 5 mg/ml oral solution, aspirin 250 mg tablets",0,1,0,0,0,1
ivermectin/deamethisone/aspirin,0,1,0,0,0,1
ivermectin/deamethisone/exoparin,0,1,0,0,0,1
kaletra,0,0,0,1,0,1
kaletra/beta interferon,0,0,0,1,0,1
ketotifen,0,1,0,0,0,1
kir phenotype evaluation,0,1,0,0,0,1
"knowledge, attitude, practice, awareness, preference",0,1,0,0,0,1
lab workup (on admission,0,0,0,1,0,1
lab workup (on admission/regularly during follow up).,0,0,0,1,0,1
laboratory analyses,0,0,0,1,0,1
laboratory diagnostics tests,0,0,0,1,0,1
laboratory test positive for sars-cov-2 virus,0,0,1,0,0,1
laboratory values,0,1,0,0,0,1
labs,0,0,0,1,0,1
lamp,0,0,0,1,0,1
laparoscopic,0,1,0,0,0,1
laparoscopic/open appendicectomy,0,1,0,0,0,1
lateral position (left,0,0,0,1,0,1
lateral position (left/right lateral decubitus),0,0,0,1,0,1
lifestyle habits,0,1,0,0,0,1
liver,0,0,1,0,0,1
liver function tests,0,1,0,0,0,1
lmwh,0,1,0,0,0,1
lock-down,0,1,0,0,0,1
lock-down/social distancing,0,1,0,0,0,1
longitudinally,0,0,0,1,0,1
lopinavir,0,0,0,1,0,1
lopinavir/ritonavir,0,0,0,1,0,1
low peep - fio2 high,0,0,0,1,0,1
low peep - fio2 low,0,0,0,1,0,1
lung ct scan analysis in covid-19 patients,0,0,0,1,0,1
lung function test,0,0,1,0,0,1
lung function tests,0,0,0,1,0,1
lung ultrasound (lus),0,0,0,1,0,1
machine learning model,0,1,0,0,0,1
magec spine rod,0,0,0,1,0,1
magnetic resonance imaging,0,0,0,1,0,1
management of covid-19,0,0,0,1,0,1
management strategy of outpatient with mild to moderate sars-cov-2 pneumonia,0,1,0,0,0,1
"masimo, lidco",0,0,0,1,0,1
maslach burnout inventory (mbi),0,1,0,0,0,1
massive parallel sequencing of host genome,0,0,0,1,0,1
"maternal attachment, edinburgh depression scoring",0,1,0,0,0,1
"maternal attachment, edinburgh depression scoring/postpartum anxiety scale scores",0,1,0,0,0,1
maternal stress,0,0,0,1,0,1
mcc ims,0,1,0,0,0,1
measurement of circulating sflt1 concentration,0,0,0,1,0,1
mechanical trombectomy,0,1,0,0,0,1
mhealth assessments,0,0,0,1,0,1
microcirculation recording,0,0,0,1,0,1
microscopy of defined brain regions on autopsy specimens,0,0,0,1,0,1
mindfulness training,0,0,0,1,0,1
"ml oral solution, aspirin 250 mg tablets",0,1,0,0,0,1
"ml oral solution, dexamethasone 4-mg injection, aspirin 250 mg tablets",0,1,0,0,0,1
"ml oral solution, dexamethasone 4-mg injection, enoxaparin injection. inpatient treatment with mechanical ventilation in icu.",0,1,0,0,0,1
mmrc (modified medical research council) dyspnea scale,0,0,0,1,0,1
mobile internet survey on self-test,0,1,0,0,0,1
model building,0,1,0,0,0,1
model validation,0,1,0,0,0,1
modification,0,1,0,0,0,1
monitoring for aggravation,0,0,0,1,0,1
montelukast,0,1,0,0,0,1
month 12 after first symptoms from sars-cov-2 infection,0,0,0,1,0,1
mortality,0,0,0,1,0,1
mr-pro-adm,0,0,0,1,0,1
"mri (heart, brain, lungs, liver)",0,0,0,1,0,1
mri scans,0,0,0,1,0,1
mrna in urine test,1,0,0,0,0,1
multicapillary column coupled ion mobility spectrometry,0,0,0,1,0,1
multifrequency bioimpedance spectroscopy,0,0,0,1,0,1
muscle,1,0,0,0,0,1
musclesound ultrasound,0,0,0,1,0,1
na (no intervention),0,0,0,1,0,1
nanomix elabâ® covid-19 rapid antigen panel (non-interventional),0,0,0,1,0,1
nasal high flow,0,1,0,0,0,1
nasopharyngeal,0,1,0,0,0,1
nasopharyngeal (np) swab,1,0,0,0,0,1
nasopharyngeal/throat swab,0,1,0,0,0,1
ncapp,0,0,0,1,0,1
neural network diagnosis algorithm,0,0,0,1,0,1
newborns,0,1,0,0,0,1
news,0,1,0,0,0,1
next generation sequencing (ngs) analysis,0,0,0,1,0,1
nhanes smell,0,0,0,1,0,1
nhanes smell/taste tests,0,0,0,1,0,1
no-immunosuppressive,0,0,0,1,0,1
no intervention (survey study for medical doctors).,0,0,0,1,0,1
no intervention planned due to the observational study design only a diagnostic testing,0,0,1,0,0,1
no interventional study,1,0,0,0,0,1
non,0,0,1,0,0,1
non-acei,1,0,0,0,0,1
non-acei/arb,1,0,0,0,0,1
non-invasive ventilatory support,1,0,0,0,0,1
non interventional study,0,0,0,1,0,1
non invasive visual acuity testing,1,0,0,0,0,1
none - na,0,1,0,0,0,1
none - observational,0,0,0,1,0,1
"none, this study is observational",0,0,0,1,0,1
noninvasive ventilation,0,1,0,0,0,1
noninvasive ventilation treatment,0,0,0,1,0,1
"nose swabs, bronchoalveolar lavage ,urine)",0,0,0,1,0,1
nosocomial,0,0,0,1,0,1
not required,0,1,0,0,0,1
nps test,0,0,0,1,0,1
nricm101,0,0,0,1,0,1
nutrition,1,0,0,0,0,1
nutritional assessment,0,0,0,1,0,1
nutritional intervention,0,0,0,1,0,1
observation for study group,1,0,0,0,0,1
observation of covid 19 pneumonia,0,0,0,1,0,1
observation of different courses of sars-cov-2 infection in different phases (acute vs. post-acute),0,0,0,1,0,1
observation of different courses of sars-cov-2 infection in different phases (acute vs. post-acute)/settings,0,0,0,1,0,1
observational cohort study on the natural history of hospitalized sars-cov-2 patients.,1,0,0,0,0,1
observational measurement of biometric data. no change to health care provided.,0,0,0,1,0,1
"obtainment of nasopharyngeal, oropharyngeal, buccal, nasal",0,0,0,1,0,1
"obtainment of nasopharyngeal, oropharyngeal, buccal, nasal/saliva samples",0,0,0,1,0,1
occupational health workers,0,0,0,1,0,1
odd,0,0,0,1,0,1
odd/even birth year intervention groups,0,0,0,1,0,1
olfaction testing,0,0,0,1,0,1
olfactory,0,0,0,1,0,1
olfactory device,0,0,0,1,0,1
olfactory function evaluation,0,0,0,1,0,1
