Intervention_type,intervention,Study_count
Combination Product,azithromycin/amoxicillin/clavulanate,1
Combination Product,clavulanate,1
Combination Product,device),1
Combination Product,hydroxychloroquine,1
Combination Product,hydroxychloroquine / azithromycin,1
Combination Product,hydroxychloroquine/azithromycin/ tocilizumab,1
Combination Product,hydroxychloroquine/nitazoxanide,1
Combination Product,hyperbaric oxygen,1
Combination Product,ivermectin,1
Combination Product,mefloquine/azithromycin/ tocilizumab,1
Combination Product,standard care,1
Combination Product,stem cell educator-treated mononuclear cells apheresis,1
Device,actigraphy,1
Device,bidirectional oxygenation mouthpiece,1
Device,biosensor,1
Device,biovitals,1
Device,caption ai,1
Device,cellectraâ® 2000,1
Device,centricyte 1000,1
Device,citrox,1
Device,control,1
Device,control swab,1
Device,covsurf drug delivery system,1
Device,cpap,1
Device,cytosorb,1
Device,ecco2r,1
Device,electric pad for human external pain therapy,1
Device,expiratory training device,1
Device,gammacoreâ® (vagus nerve stimulation),1
Device,go2 peep mouthpiece,1
Device,high flow nasal cannula (hfnc),1
Device,hyperbaric oxygen,1
Device,igg antibody test,1
Device,inspiratory training device,1
Device,intraosseous,1
Device,intravenous,1
Device,kerecis,1
Device,kerecis oral/nasal spray,1
Device,mask,1
Device,medical mask,1
Device,mouthrinse with bãªta-cyclodextrin,1
Device,mouthrinse with bãªta-cyclodextrin/citrox,1
Device,mouthrinse without bãªta-cyclodextrin,1
Device,mouthrinse without bãªta-cyclodextrin/citrox,1
Device,multifrequency bioimpedance spectroscopy,1
Device,musclesound ultrasound,1
Device,n95 respirator,1
Device,nasal rinse,1
Device,neuromuscular,1
Device,nioâ® (intraosseous access),1
Device,non-contact mce system,1
Device,oxyhydrogen,1
Device,plasma adsorption cartridge,1
Device,prototype,1
Device,q-nrg metobolic cart device,1
Device,sledd with a l-mod,1
Device,standard care,1
Device,vivadiagâ„¢ covid-19 lgm,1
Device,vivadiagâ„¢ covid-19 lgm/igg rapid test,1
Device,vv-ecmo,1
Device,vv-ecmo / cytokine adsorption,1
Diagnostic Test,complement dosage,1
Diagnostic Test,conjunctival swab,1
Diagnostic Test,covid-19 diagnostic test,1
Diagnostic Test,cytokines,1
Diagnostic Test,data collection,1
Diagnostic Test,data collection/rhinopharyngeal swab,1
Diagnostic Test,igg antibody test,1
Diagnostic Test,igm/igg rapid test,1
Diagnostic Test,lung ultrasound,1
Diagnostic Test,monitoring visit,1
Diagnostic Test,new screening strategy,1
Diagnostic Test,ng biotech,1
Diagnostic Test,pcr,1
Diagnostic Test,rapid salivary test,1
Diagnostic Test,rhinopharyngeal,1
Diagnostic Test,saliva,1
Diagnostic Test,standard care,1
Diagnostic Test,vitalconnect vital sign patch,1
Dietary Supplement,antioxidants,1
Dietary Supplement,ascorbic acid/zinc gluconate,1
Dietary Supplement,ayurveda,1
Dietary Supplement,cholecalciferol,1
Dietary Supplement,control,1
Dietary Supplement,glucose,1
Dietary Supplement,honey,1
Dietary Supplement,isocaloric,1
Dietary Supplement,isocaloric/isonutrigenous ons,1
Dietary Supplement,isonutrigenous ons,1
Dietary Supplement,ketogenic diet,1
Dietary Supplement,"oral nutrition supplement (ons) enriched in eicosapentaenoic acid, gamma-linolenic acid",1
Dietary Supplement,"oral nutrition supplement (ons) enriched in eicosapentaenoic acid, gamma-linolenic acid/antioxidants",1
Dietary Supplement,probiotic,1
Dietary Supplement,sivomixx,1
Dietary Supplement,vitamins,1
Drug,,1
Drug,-interferon nebulization,1
Drug,100 mg,1
Drug,100 mg/ml virazole,1
Drug,3),1
Drug,5.,1
Drug,50 mg,1
Drug,50 mg/ml virazole,1
Drug,acalabrutinib,1
Drug,"ace inhibitor, angiotensin receptor blocker",1
Drug,acetylsalicylic acid,1
Drug,activase,1
Drug,almitrine,1
Drug,amiodarone,1
Drug,amoxicillin,1
Drug,amoxicillin/clavulanate,1
Drug,anakinra/osoc,1
Drug,anakinra/ruxolitinib,1
Drug,angiotensin,1
Drug,anluohuaxian,1
Drug,antihypertensives,1
Drug,arbidol hydrochloride/interferon atomization,1
Drug,asc09/ritonavir,1
Drug,asc09f/oseltamivir,1
Drug,ascorbic acid/folic acid,1
Drug,at-001,1
Drug,atorvastatin,1
Drug,atovaquone,1
Drug,atovaquone/azithromycin,1
Drug,aviptadil / maximal intensive care,1
Drug,avm0703,1
Drug,azithromycin/lopinavir,1
Drug,bat,1
Drug,bat / calcifediol,1
Drug,best available therapy,1
Drug,best supportive care,1
Drug,best supportive care (bsc) / ifx-1,1
Drug,bhv-3500,1
Drug,bld-2660,1
Drug,bms-986253,1
Drug,bromhexine oral tablet and/or hydroxychloroquine tablet,1
Drug,calcifediol,1
Drug,calcium channel blockers,1
Drug,candesartan,1
Drug,captopril,1
Drug,carrimycin,1
Drug,cd24fc,1
Drug,chlorhexidine,1
Drug,cholecalciferol,1
Drug,ciclesonide,1
Drug,clevudine,1
Drug,cm4620,1
Drug,cobicistat,1
Drug,continuation of ras blocker,1
Drug,"conventional medicines (oxygen therapy, alfa interferon via aerosol inhalation,",1
Drug,"conventional medicines (oxygen therapy, alfa interferon via aerosol inhalation,/lopinavir/ritonavir)",1
Drug,cumin,1
Drug,danoprevir,1
Drug,danoprevir/ritonavir,1
Drug,dapagliflozin,1
Drug,darunavir,1
Drug,darunavir/cobicistat,1
Drug,defibrotide 25 mg/kg 24 hours continuous infusion for 15 days,1
Drug,dexamethasone/hydroxychloroquine,1
Drug,dexmedetomidine,1
Drug,dietary supplement containing resistant starch,1
Drug,diovan,1
Drug,discontinuation of ras blocker,1
Drug,drug isotretinoin (13 cis retinoic acid ) capsules/standard treatment,1
Drug,eculizumab,1
Drug,eicosapentaenoic acid,1
Drug,enoxaparin/lovenox,1
Drug,escin,1
Drug,estradiol,1
Drug,etoposide,1
Drug,experimental drug,1
Drug,favipiravir / standard care,1
Drug,favipiravir/chloroquine,1
Drug,favipiravir/tocilizumab,1
Drug,fingolimod,1
Drug,fluvoxamine,1
Drug,folic acid,1
Drug,fondaparinux,1
Drug,formoterol,1
Drug,fuzheng huayu,1
Drug,ganovo,1
Drug,ganovo/ritonavir//-interferon nebulization,1
Drug,gargle/mouthwash,1
Drug,gimsilumab,1
Drug,hc,1
Drug,hidroxicloroquina / azitromicina o lopinavir/ritonavir / interferon î²-1b / hidroxicloroquina,1
Drug,honey,1
Drug,huaier,1
Drug,human recombinant interleukin 2,1
Drug,hydoxychloroquine/chloroquine,1
Drug,hydroxychloroquine/clindamycin,1
Drug,hydroxychloroquine/clindamycin/primaquine,1
Drug,hydroxychloroquine/doxycycline,1
Drug,hydroxychloroquine/folic acid,1
Drug,hydroxychloroquine/standard preventive measures,1
Drug,î³-globulin,1
Drug,ibuprofen,1
Drug,ifx-1,1
Drug,indomethacin,1
Drug,ino-4800,1
Drug,insulin,1
Drug,interferon-î² 1a,1
Drug,interferon î²-1b,1
Drug,intravenous drug,1
Drug,iodine,1
Drug,isoprinosine,1
Drug,isotretinoin/standard care,1
Drug,ketamine,1
Drug,kg 24 hours continuous infusion for 15 days,1
Drug,levamisole / budesonide/formoterol,1
Drug,levamisole/isoprinosine,1
Drug,liberase enzyme,1
Drug,linagliptin,1
Drug,lopinavir / ritonavir/ alpha-interferon nebulization,1
Drug,lopinavir / ritonavir/xiyanping,1
Drug,lopinavir/ritonavir / hydoxychloroquine,1
Drug,lopinavir/ritonavir/arbidol/chloroquine,1
Drug,lovenox,1
Drug,ly3127804,1
Drug,mavrilimumab,1
Drug,maximal intensive care,1
Drug,measles-mumps-rubella vaccine,1
Drug,mefloquine,1
Drug,melatonin,1
Drug,meplazumab,1
Drug,methotrexate,1
Drug,mouthwash,1
Drug,mrx-4dp0004,1
Drug,n-acetylcysteine,1
Drug,n-acetylcysteine/ fuzheng huayu,1
Drug,n-acetylcysteine/placebo,1
Drug,nafamostat mesilate,1
Drug,naltrexone,1
Drug,naproxen,1
Drug,nasal rinse,1
Drug,niclosamide,1
Drug,nigella sativa,1
Drug,nigella sativa / black cumin,1
Drug,nintedanib,1
Drug,nk cells,1
Drug,no colchine,1
Drug,normal saline / maximal intensive care,1
Drug,omeprazole,1
Drug,oral,1
Drug,osoc,1
Drug,other,1
Drug,oxygen,1
Drug,pd-1 blocking antibody,1
Drug,pd-1 blocking antibody/standard treatment,1
Drug,piclidenoson,1
Drug,pirfenidone,1
Drug,povidone,1
Drug,prazosin,1
Drug,prevention,1
Drug,progesterone,1
Drug,prophylaxis,1
Drug,propofol,1
Drug,pyridostigmine bromide,1
Drug,r tablets,1
Drug,ramipril,1
Drug,recombinant human interferon î±1î²,1
Drug,recombinant human interferon î±2b spray,1
Drug,recombinant human plasma gelsolin (rhu-pgsn),1
Drug,ribavirin,1
Drug,ritonavir/interferon,1
Drug,ritonavir/oseltamivir,1
Drug,roactemra,1
Drug,sargramostim,1
Drug,sildenafil citrate,1
Drug,sirolimus,1
Drug,sitagliptin,1
Drug,spironolactone,1
Drug,standard of care thromboprophylaxis,1
Drug,standard therapy,1
Drug,stannous protoporphyrin,1
Drug,stem cell product,1
Drug,sulfamethoxazole,1
Drug,symbicort,1
Drug,t3 solution,1
Drug,t89,1
Drug,tacrolimus,1
Drug,td-0903,1
Drug,tetrandrine,1
Drug,thiazide,1
Drug,thiazide-like diuretics,1
Drug,thiazide/thiazide-like diuretics,1
Drug,thymosin/standard treatment,1
Drug,tinzaparin,1
Drug,tinzaparin/unfractionated heparin,1
Drug,tirofiban,1
Drug,tj003234,1
Drug,tociliuzumab,1
Drug,tofacitinib,1
Drug,tradipitant,1
Drug,treatment,1
Drug,treatment/prophylaxis,1
Drug,trimethoprim,1
Drug,trimethoprim/sulfamethoxazole,1
Drug,umifenovir,1
Drug,usual practice / symbicort rapihaler,1
Drug,verapamil,1
Drug,virazole,1
Drug,water,1
Drug,zidovudine,1
Drug,zithromax,1
Genetic,dalargin,1
Genetic,mesenchymal stem cells,1
Genetic,sars-cov-2 viral composition,1
Genetic,t-cell receptor,1
Other,"""calm"" is a mindfulness meditation mobile app",1
Other,"12.7% fio2, hypercapnia 7% co2, inspiratory mechanical constraint",1
Other,arb,1
Other,assessment of the presence of the sars-cov-2 virus,1
Other,ayurveda,1
Other,blood draw,1
Other,blood/derivatives,1
Other,cash transfer,1
Other,continuation of acei,1
Other,continuation of acei/arb,1
Other,continuation of arb,1
Other,current care per ucla treating physicians,1
Other,derivatives.,1
Other,discontinuation of acei,1
Other,discontinuation of acei/arb,1
Other,discontinuation of arb,1
Other,doppler echo,1
Other,experimental: questionnaire without precaution information,1
Other,gas exchanges at different peep,1
Other,hemodynamics changes at different peep,1
Other,home-cov rule implementation,1
Other,home care monitoring,1
Other,hypoxia : 14.3,1
Other,"hypoxia : 14.3/12.7% fio2, hypercapnia 7% co2, inspiratory mechanical constraint",1
Other,lung mechanics at different peep,1
Other,maintenance,1
Other,maximal effort test,1
Other,nasopharynx,1
Other,oxygen-ozone,1
Other,ozone,1
Other,placebo / placebo,1
Other,plasma,1
Other,postural positioning,1
Other,protective ventilation,1
Other,psycho-education video,1
Other,psychoeducational intervention,1
Other,pulmonary physiotherapy techniques,1
Other,rehabilitation,1
Other,saline with baby shampoo nasal irrigation,1
Other,sampling of oropharynx,1
Other,sampling of oropharynx/nasopharynx,1
Other,sars-cov-2 infection,1
Other,serum,1
Other,spin-chat program,1
Other,standard interface,1
Other,study group,1
Other,supportive care,1
Other,surgical facial mask,1
Other,suspension,1
Other,suspension/maintenance of angiotensin receptor blockers/angiotensin-converting enzyme inhibitors,1
Other,telemedicine,1
Other,traditional chinese medicine,1
Other,ultraprotective ventilation,1
Other,usual antibiotic treatment,1
Other,video based aerobic exercise,1
Other,vitamin c,1
Other,washed microbiota transplantation,1
Other,weekly assessment,1
Procedure,alveolar,1
Procedure,auricular neuromodulation,1
Procedure,blood draw,1
Procedure,blood sample,1
Procedure,chest physiotherapy using a non-invasive oscillating device,1
Procedure,clinical examination,1
Procedure,control,1
Procedure,cpap,1
Procedure,csvf,1
Procedure,ct,1
Procedure,dalargin,1
Procedure,extended sampling,1
Procedure,extended sampling/procedures,1
Procedure,laryngoscopy,1
Procedure,mechanical ventilation,1
Procedure,oxygen,1
Procedure,pcr,1
Procedure,procalcitonin,1
Procedure,procedures,1
Procedure,standard therapy,1
Procedure,telephone follow-up,1
Procedure,tsvf,1
Procedure,vv-ecmo,1
Radiation,low,1
